,Date,Open,High,Low,Close,Volume,OtherData
0,2006-11-07,3.8,3.8,3.8,3.8,2000.0,0.0
1,2006-11-24,2.3,2.3,2.3,2.3,8000.0,0.0
2,2006-10-26,2.1,2.1,2.1,2.1,20000.0,0.0
3,2006-10-27,3.0,3.0,3.0,3.0,2000.0,0.0
4,2006-10-30,2.0,2.0,2.0,2.0,10000.0,0.0
5,2006-10-31,3.0,3.0,3.0,3.0,7000.0,0.0
6,2007-04-02,4.65,4.8,4.65,4.8,143000.0,0.0
7,2007-04-03,4.8,5.2,4.8,5.0,600000.0,0.0
8,2007-04-04,5.0,5.3,5.0,5.2,192000.0,0.0
9,2007-04-10,5.4,5.4,5.0,5.0,50000.0,0.0
10,2007-04-11,5.1,5.2,5.1,5.1,20000.0,0.0
11,2007-04-12,5.1,5.2,5.1,5.2,98000.0,0.0
12,2007-04-13,5.1,5.1,5.0,5.0,85000.0,0.0
13,2007-04-16,5.1,5.3,5.1,5.3,556000.0,0.0
14,2007-04-17,5.3,6.3,5.3,5.9,592000.0,1088200.0
15,2007-04-18,5.9,5.9,5.6,5.9,471000.0,824000.0
16,2007-04-19,5.8,5.8,5.6,5.7,227000.0,0.0
17,2007-04-20,5.7,5.7,5.6,5.6,58000.0,0.0
18,2007-04-23,5.7,5.9,5.5,5.8,501000.0,0.0
19,2007-04-24,5.7,6.0,5.6,6.0,829000.0,1630600.0
20,2007-04-25,6.1,6.3,5.9,6.0,731000.0,0.0
21,2007-04-26,5.9,6.2,5.6,6.0,2465000.0,0.0
22,2007-04-27,5.8,6.2,5.8,6.0,233000.0,0.0
23,2007-04-30,6.2,6.8,6.0,6.1,1343000.0,0.0
24,2007-08-01,10.0,10.0,10.0,10.0,79500.0,0.0
25,2007-08-03,10.0,10.0,9.5,9.9,206000.0,0.0
26,2007-08-06,9.2,10.5,9.2,10.0,113000.0,0.0
27,2007-08-07,9.8,10.0,9.8,10.0,88000.0,0.0
28,2007-08-09,9.7,9.8,9.7,9.8,62000.0,0.0
29,2007-08-14,10.0,10.0,9.6,9.6,9000.0,0.0
30,2007-08-15,10.0,10.0,10.0,10.0,1000.0,0.0
31,2007-08-16,9.0,9.8,9.0,9.8,9000.0,0.0
32,2007-08-17,9.9,9.9,9.9,9.9,1000.0,0.0
33,2007-08-21,10.0,10.0,9.6,9.6,51000.0,0.0
34,2007-08-22,9.1,9.6,9.1,9.6,20000.0,0.0
35,2007-08-23,9.6,10.5,9.6,10.5,21000.0,192000.0
36,2007-08-24,10.5,10.5,9.7,9.7,600.0,-3880.0
37,2007-08-30,9.7,10.5,9.6,9.8,328000.0,1902350.0
38,2007-08-31,9.8,9.9,9.7,9.7,10000.0,0.0
39,2007-12-03,13.5,13.5,12.5,12.75,1721100.0,-16895400.0
40,2007-12-04,13.0,14.0,12.75,14.0,1685000.0,-693550.0
41,2007-12-05,14.75,15.0,14.0,14.25,2423700.0,530300.0
42,2007-12-06,14.75,14.75,14.25,14.5,479500.0,0.0
43,2007-12-07,14.75,15.0,14.25,15.0,1418100.0,1045000.0
44,2007-12-12,15.25,15.75,15.0,15.5,1360800.0,3127500.0
45,2007-12-13,15.25,15.25,14.0,14.0,2305500.0,-16351525.0
46,2007-12-14,14.5,14.5,14.0,14.0,541400.0,575000.0
47,2007-12-17,14.25,15.5,14.0,15.0,3481900.0,-4395000.0
48,2007-12-18,15.0,15.5,14.75,15.25,861000.0,1875000.0
49,2007-12-19,15.25,16.5,15.0,15.0,3137500.0,1482050.0
50,2007-12-20,15.25,15.25,15.0,15.25,373600.0,2255275.0
51,2007-12-26,15.25,15.25,14.75,15.0,220200.0,0.0
52,2007-12-27,15.0,15.0,14.25,14.5,117800.0,0.0
53,2007-12-28,14.5,14.75,14.0,14.5,362600.0,0.0
54,2007-02-01,2.55,2.55,2.5,2.5,15000.0,0.0
55,2007-02-02,2.55,2.55,2.5,2.5,37000.0,0.0
56,2007-02-07,2.5,2.5,2.5,2.5,20000.0,0.0
57,2007-02-15,2.7,2.7,2.7,2.7,5000.0,0.0
58,2007-02-26,2.3,3.0,2.3,3.0,3000.0,0.0
59,2007-02-27,3.0,3.25,3.0,3.25,49000.0,0.0
60,2007-02-28,3.25,3.25,3.25,3.25,10000.0,0.0
61,2007-01-30,2.1,2.5,2.1,2.5,1089000.0,0.0
62,2007-01-31,2.5,2.5,2.5,2.5,13000.0,0.0
63,2007-07-02,11.0,12.0,11.0,11.5,194000.0,0.0
64,2007-07-03,11.5,11.5,11.25,11.5,117300.0,0.0
65,2007-07-04,11.5,11.75,11.25,11.25,69700.0,0.0
66,2007-07-05,11.0,11.0,11.0,11.0,29000.0,0.0
67,2007-07-06,11.0,11.0,10.75,10.75,71000.0,0.0
68,2007-07-09,10.5,10.5,10.0,10.25,31100.0,0.0
69,2007-07-10,10.0,10.5,10.0,10.0,87000.0,0.0
70,2007-07-11,10.0,10.25,10.0,10.25,19000.0,0.0
71,2007-07-12,10.25,10.25,10.0,10.0,51800.0,0.0
72,2007-07-13,12.0,12.0,11.25,11.25,7000.0,0.0
73,2007-07-16,10.0,10.0,10.0,10.0,5000.0,0.0
74,2007-07-17,10.5,10.5,10.0,10.0,29000.0,0.0
75,2007-07-18,10.0,10.0,10.0,10.0,91000.0,0.0
76,2007-07-19,10.0,10.0,10.0,10.0,13000.0,0.0
77,2007-07-23,10.0,10.0,9.8,9.8,4000.0,0.0
78,2007-07-25,9.8,9.8,9.6,9.7,80000.0,293000.0
79,2007-07-26,9.7,9.7,9.7,9.7,20000.0,0.0
80,2007-07-27,10.25,10.25,10.25,10.25,5000.0,0.0
81,2007-07-30,10.0,10.25,9.9,10.25,207000.0,0.0
82,2007-07-31,10.25,10.75,10.25,10.25,163800.0,-205000.0
83,2007-06-01,8.6,8.9,8.6,8.9,48000.0,0.0
84,2007-06-04,8.6,8.6,8.4,8.4,53000.0,0.0
85,2007-06-05,8.5,8.7,8.4,8.7,54000.0,0.0
86,2007-06-06,8.6,8.7,8.4,8.7,36000.0,0.0
87,2007-06-07,8.7,9.4,8.7,9.4,160000.0,0.0
88,2007-06-08,9.8,10.25,9.0,9.5,41000.0,0.0
89,2007-06-12,9.5,9.7,9.5,9.6,38000.0,0.0
90,2007-06-13,9.5,9.5,9.4,9.5,7000.0,0.0
91,2007-06-14,9.3,9.3,9.1,9.2,22000.0,-9200.0
92,2007-06-15,9.2,9.2,9.0,9.0,7000.0,0.0
93,2007-06-18,9.0,9.0,8.9,9.0,15000.0,0.0
94,2007-06-19,9.0,9.0,8.8,9.0,19000.0,0.0
95,2007-06-20,9.0,9.5,8.0,9.0,359000.0,0.0
96,2007-06-21,9.1,9.1,8.9,9.1,152000.0,0.0
97,2007-06-22,9.2,9.2,9.0,9.1,128000.0,0.0
98,2007-06-25,9.2,12.0,9.2,10.75,721000.0,2871300.0
