,Date,Open,High,Low,Close,Volume,OtherData
0,2013-06-10,30.0,30.0,26.55,27.2,5783600.0,-53712430.0
1,2013-06-11,27.25,28.6,26.4,26.6,1838900.0,-15580675.0
2,2013-06-13,26.4,26.4,25.4,25.6,5397700.0,-40225660.0
3,2013-06-14,26.0,26.9,25.9,26.4,688400.0,5126310.0
4,2013-06-17,26.4,26.45,25.95,26.0,2873600.0,-36575305.0
5,2013-06-18,26.0,26.2,25.7,25.8,173900.0,-2982155.0
6,2013-06-19,25.8,25.8,25.0,25.0,907300.0,-5600045.0
7,2013-06-20,25.0,25.0,23.0,23.8,1352700.0,-11357360.0
8,2013-06-21,23.0,24.8,22.3,23.0,1933800.0,-13247490.0
9,2013-06-24,23.0,23.95,22.9,23.0,165800.0,751630.0
10,2013-06-25,23.0,23.85,20.0,23.0,1422900.0,1261945.0
11,2013-06-26,22.2,23.7,22.2,23.0,449100.0,-7150.0
12,2013-06-27,23.4,23.45,23.3,23.35,27400.0,116800.0
13,2013-06-28,23.35,24.75,23.35,24.0,1018200.0,4895760.0
14,2013-07-01,24.0,25.0,23.9,25.0,95600.0,1205965.0
15,2013-07-02,25.0,25.6,25.0,25.35,3018000.0,62187745.0
16,2013-07-03,25.1,26.15,25.1,26.0,1692000.0,11897410.0
17,2013-07-04,26.0,26.5,25.8,26.0,696700.0,3280050.0
18,2013-07-05,26.5,26.55,26.45,26.5,210600.0,-5048600.0
19,2013-07-08,26.0,26.25,26.0,26.1,154600.0,-2810400.0
20,2013-07-09,26.1,26.1,26.0,26.0,1449100.0,-20480300.0
21,2013-07-10,26.0,26.3,26.0,26.0,1364900.0,2517350.0
22,2013-07-11,26.4,27.0,26.4,27.0,549400.0,997610.0
23,2013-07-12,27.0,27.0,26.5,26.5,989300.0,707950.0
24,2013-07-15,26.6,26.6,26.3,26.5,90600.0,180120.0
25,2013-07-16,27.0,27.0,26.5,26.5,712500.0,-18800.0
26,2013-07-17,26.0,26.5,26.0,26.5,151500.0,1091440.0
27,2013-07-18,26.7,26.7,26.5,26.5,946600.0,3708870.0
28,2013-07-19,27.0,27.05,26.8,26.8,172600.0,-594600.0
29,2013-07-22,27.0,27.0,26.8,26.8,173300.0,3114180.0
30,2013-07-23,26.8,27.0,26.0,27.0,688600.0,803195.0
31,2013-07-24,26.95,27.05,26.95,27.05,31800.0,-427090.0
32,2013-07-25,27.0,29.0,27.0,28.2,673900.0,-4637130.0
33,2013-07-26,28.2,29.9,28.2,29.0,755600.0,3789090.0
34,2013-07-29,29.7,30.25,28.55,28.9,664500.0,-7805360.0
35,2013-07-30,28.5,28.85,27.8,28.85,52700.0,0.0
36,2013-07-31,28.5,28.5,27.5,27.5,508500.0,3414870.0
37,2013-08-01,28.0,29.0,28.0,28.5,333100.0,-1172460.0
38,2013-08-02,28.2,28.5,28.0,28.0,52200.0,232140.0
39,2013-08-05,28.8,28.8,28.45,28.45,2900.0,-8565.0
40,2013-08-06,27.6,29.95,27.5,29.95,113200.0,685060.0
41,2013-08-07,29.5,29.5,28.5,28.9,107300.0,2029715.0
42,2013-08-08,28.8,29.0,28.8,28.9,181000.0,-622910.0
43,2013-08-12,28.0,29.0,28.0,28.65,140200.0,-149720.0
44,2013-08-13,29.15,29.5,28.65,29.0,2127500.0,12334895.0
45,2013-08-14,29.3,30.0,29.3,29.8,802300.0,-2669580.0
46,2013-08-15,29.75,29.75,29.4,29.5,644200.0,951450.0
47,2013-08-16,29.2,29.2,28.0,29.2,322000.0,618250.0
48,2013-08-22,28.0,28.6,27.5,28.5,192200.0,792870.0
49,2013-08-23,28.0,28.5,28.0,28.35,854200.0,1312665.0
50,2013-08-27,27.5,28.0,26.5,26.5,600.0,-100.0
51,2013-08-28,26.7,26.7,25.0,26.5,2123900.0,-30709900.0
52,2013-08-29,26.5,29.0,26.5,27.5,247100.0,-4424400.0
53,2013-08-30,27.5,27.5,27.0,27.0,864500.0,-216700.0
54,2013-09-02,27.5,27.5,27.5,27.5,3000.0,55000.0
55,2013-09-03,27.5,27.5,27.5,27.5,58600.0,-30250.0
56,2013-09-04,27.5,27.95,27.5,27.95,4300.0,110360.0
57,2013-09-05,28.0,28.0,26.5,27.0,48000.0,382960.0
58,2013-09-06,27.0,27.0,26.95,27.0,50800.0,1349975.0
59,2013-09-10,27.0,27.0,27.0,27.0,1400.0,-5400.0
60,2013-09-11,26.5,27.0,26.0,26.5,380400.0,-1330300.0
61,2013-09-12,26.5,26.5,25.8,25.8,403400.0,-272150.0
62,2013-09-13,26.0,26.0,26.0,26.0,117500.0,-312000.0
63,2013-09-16,26.0,26.0,25.75,25.75,1325800.0,7740.0
64,2013-09-17,26.0,26.25,26.0,26.0,790400.0,41150.0
65,2013-09-18,26.5,26.5,26.5,26.5,2700.0,0.0
66,2013-09-19,28.0,28.1,27.5,28.0,281600.0,1538000.0
67,2013-09-20,28.0,28.1,28.0,28.0,132200.0,-311550.0
68,2013-09-23,27.6,28.0,27.6,28.0,94800.0,287070.0
69,2013-09-24,28.0,28.0,26.5,26.5,154600.0,-464800.0
70,2013-09-25,27.0,27.0,26.8,27.0,9700.0,134000.0
71,2013-09-26,27.0,27.5,26.5,27.0,65200.0,297000.0
72,2013-09-27,27.0,27.8,26.0,27.8,7900.0,73965.0
73,2013-09-30,26.2,26.2,26.0,26.0,30000.0,261500.0
74,2013-10-01,26.5,27.15,26.15,26.15,3200.0,58950.0
75,2013-10-02,26.95,27.1,26.1,27.1,13100.0,343385.0
76,2013-10-03,26.95,27.5,26.95,27.1,178500.0,516395.0
77,2013-10-07,27.1,27.1,27.0,27.0,26600.0,-689000.0
78,2013-10-08,27.0,27.0,27.0,27.0,2394400.0,-54645300.0
79,2013-10-09,27.0,27.0,27.0,27.0,60500.0,-1606500.0
80,2013-10-11,30.05,39.5,29.95,30.0,3459000.0,-41611580.0
81,2013-10-14,31.8,33.9,30.3,33.45,1788200.0,-20655540.0
82,2013-10-16,33.5,33.5,32.2,32.85,562100.0,-1003385.0
83,2013-10-17,32.85,33.0,32.25,32.5,235400.0,-4432455.0
84,2013-10-18,32.95,33.4,32.5,32.85,1691000.0,-9356655.0
85,2013-10-21,33.0,33.0,32.65,32.65,190700.0,-4755255.0
86,2013-10-22,32.65,32.8,31.0,31.5,84000.0,-1395215.0
