,Date,Open,High,Low,Close,Volume,OtherData
0,2012-12-12,4.38,4.51,4.34,4.36,68451000.0,-22734660.0
1,2012-12-13,4.34,4.45,4.32,4.44,28146000.0,25367040.0
2,2012-12-14,4.44,4.55,4.41,4.47,27942000.0,-4307370.0
3,2012-12-17,4.5,4.5,4.41,4.42,8524000.0,2427280.0
4,2012-12-18,4.45,4.5,4.38,4.43,12263000.0,5395930.0
5,2012-12-19,4.42,4.44,4.4,4.4,3816000.0,447590.0
6,2012-12-20,4.4,4.45,4.39,4.4,3268000.0,-4091440.0
7,2012-12-21,4.4,4.45,4.39,4.4,4425000.0,-3350520.0
8,2012-12-26,4.4,4.44,4.38,4.41,2610000.0,39600.0
9,2012-12-27,4.4,4.41,4.39,4.41,2621000.0,1685450.0
10,2012-12-28,4.41,4.42,4.36,4.4,8394000.0,-3315150.0
11,2013-01-02,4.37,4.4,4.37,4.37,3389000.0,-10052320.0
12,2013-01-03,4.38,4.44,4.37,4.38,5949000.0,-8788910.0
13,2013-01-04,4.38,4.4,4.36,4.36,3449000.0,-2511640.0
14,2013-01-07,4.38,4.45,4.38,4.42,13950000.0,-7212170.0
15,2013-01-08,4.42,4.46,4.41,4.44,4570000.0,730280.0
16,2013-01-09,4.41,4.47,4.41,4.45,9363000.0,-2975660.0
17,2013-01-10,4.48,4.7,4.48,4.61,34940000.0,7256490.0
18,2013-01-11,4.64,4.99,4.61,4.98,38147000.0,1759210.0
19,2013-01-14,4.99,5.15,4.85,5.01,31203000.0,15933730.0
20,2013-01-15,5.01,5.15,4.88,4.98,28959600.0,-20582608.0
21,2013-01-16,5.0,5.05,4.88,4.98,15088000.0,-18592100.0
22,2013-01-17,4.99,5.34,4.99,5.31,28320000.0,37579590.0
23,2013-01-18,5.32,5.4,5.25,5.37,30596000.0,-1047766.0
24,2013-01-21,5.39,5.45,5.3,5.4,7734700.0,14715657.0
25,2013-01-22,5.4,5.43,5.25,5.34,13903000.0,6292365.0
26,2013-01-23,5.34,5.4,5.24,5.31,5275700.0,10576876.0
27,2013-01-24,5.29,5.54,5.28,5.48,17953400.0,44212122.0
28,2013-01-25,5.49,5.8,5.49,5.8,27578400.0,45711252.0
29,2013-01-28,5.84,5.9,5.71,5.83,15570400.0,38831156.0
30,2013-01-29,5.85,5.9,5.84,5.86,15461700.0,19668849.0
31,2013-01-30,5.85,5.9,5.74,5.79,16709200.0,-31527846.0
32,2013-01-31,5.8,5.83,5.72,5.8,9797800.0,-12782025.0
33,2013-02-01,5.8,6.12,5.8,6.11,15010300.0,16958737.0
34,2013-02-04,6.11,6.37,6.11,6.35,18769100.0,-10997182.0
35,2013-02-05,6.35,6.48,6.22,6.43,21741500.0,-23703431.0
36,2013-02-06,6.43,6.74,6.0,6.29,29649100.0,8858500.0
37,2013-02-07,6.29,6.3,5.8,5.97,24554100.0,-47639997.0
38,2013-02-08,5.97,6.0,5.88,5.92,11021400.0,-23981420.0
39,2013-02-11,5.92,6.2,5.92,6.04,5166800.0,-8604624.0
40,2013-02-12,6.09,6.09,5.97,6.02,4602200.0,-188885.0
41,2013-02-13,6.07,6.08,5.97,6.0,6404000.0,-28126581.0
42,2013-02-14,6.0,6.21,5.97,6.18,11047100.0,-6251578.0
43,2013-02-15,6.16,6.7,6.16,6.45,37725100.0,-92016875.0
44,2013-02-18,6.75,6.82,6.7,6.76,26614400.0,-78526056.0
45,2013-02-19,6.85,6.99,6.85,6.95,25986800.0,-85487113.0
46,2013-02-20,7.09,7.19,6.81,6.83,30711100.0,-35905880.0
47,2013-02-21,6.9,7.1,6.82,6.85,19392600.0,-77194635.0
48,2013-02-22,6.9,6.95,6.51,6.51,45641200.0,-226621954.0
49,2013-02-25,6.6,6.75,6.58,6.6,13441400.0,-60928351.0
50,2013-02-26,6.59,6.74,6.48,6.54,20879100.0,-88034076.0
51,2013-02-27,6.57,6.65,6.55,6.55,7921000.0,-19718111.0
52,2013-02-28,6.61,6.7,6.48,6.5,20062200.0,-36458998.0
53,2013-03-01,6.52,6.79,6.52,6.76,10184100.0,-4698419.0
54,2013-03-04,6.78,7.0,6.72,6.97,14472200.0,17346728.0
55,2013-03-05,6.98,7.13,6.95,7.12,13608200.0,20996564.0
56,2013-03-06,7.15,7.2,7.03,7.03,8822500.0,3527046.0
57,2013-03-07,7.03,7.03,6.89,6.96,3758800.0,-7802586.0
58,2013-03-08,6.95,6.98,6.82,6.85,11809800.0,-29151147.0
59,2013-03-11,6.85,7.0,6.84,6.91,8910200.0,-15200071.0
60,2013-03-12,6.97,7.0,6.75,6.76,6112800.0,-9128680.0
61,2013-03-13,6.78,6.83,6.56,6.71,11219500.0,-36755971.0
62,2013-03-14,6.72,6.96,6.65,6.96,11923500.0,-8891201.0
63,2013-03-15,7.0,7.04,6.91,6.94,4000800.0,-1538635.0
64,2013-03-18,6.96,6.96,6.4,6.6,13439600.0,-23367571.0
65,2013-03-19,6.58,6.7,6.07,6.68,15756000.0,-8123636.0
66,2013-03-20,6.68,6.93,6.47,6.93,11878000.0,13817317.0
67,2013-03-21,6.9,7.01,6.75,6.85,5557200.0,120384.0
68,2013-03-22,6.89,6.94,6.77,6.77,2117700.0,-4746914.0
69,2013-03-25,6.79,7.0,6.78,6.94,6090100.0,-8685505.0
70,2013-03-26,6.95,7.04,6.88,6.9,7077400.0,-1330672.0
71,2013-03-27,6.9,7.05,6.9,6.99,7808400.0,-2138085.0
72,2013-04-01,7.09,7.2,6.91,6.99,10494200.0,-18526755.0
73,2013-04-02,7.0,7.0,6.85,6.9,2918100.0,-6459144.0
74,2013-04-03,6.97,7.04,6.8,6.83,5401400.0,-12964213.0
75,2013-04-04,6.83,6.94,6.78,6.8,6778100.0,-19587490.0
76,2013-04-05,6.8,6.9,6.73,6.75,5553300.0,-2350485.0
77,2013-04-08,6.75,6.75,6.6,6.65,4933300.0,-8833143.0
78,2013-04-10,6.68,6.83,6.68,6.68,4358500.0,-13572008.0
79,2013-04-11,6.7,6.92,6.67,6.85,10364900.0,-16614919.0
80,2013-04-12,6.92,7.03,6.88,6.98,9643500.0,-16189926.0
81,2013-04-15,7.0,7.02,6.9,6.97,5984700.0,-16427326.0
82,2013-04-16,6.9,7.08,6.8,7.0,6905400.0,-12341954.0
83,2013-04-17,7.0,7.15,6.9,6.9,13840400.0,-19685455.0
84,2013-04-18,6.95,7.0,6.9,6.98,2303700.0,506682.0
85,2013-04-19,7.05,7.05,6.98,6.99,7197500.0,-7586304.0
86,2013-04-22,6.99,7.11,6.95,7.02,7819700.0,-7149179.0
87,2013-04-23,7.07,7.4,7.0,7.35,16788600.0,-5541131.0
88,2013-04-24,7.41,7.5,7.16,7.17,13260000.0,-26518992.0
89,2013-04-25,7.23,7.23,7.06,7.15,10150300.0,-19195874.0
90,2013-04-26,7.17,7.45,7.16,7.4,21769900.0,-9713971.0
