,Date,Open,High,Low,Close,Volume,OtherData
0,2017-05-29,16.0,16.12,15.2,15.3,61648200,88585068
1,2017-05-30,15.32,15.68,15.32,15.56,17042400,1662754
2,2017-05-31,15.62,15.74,15.46,15.62,12034200,1178858
3,2017-06-01,15.7,16.04,15.68,15.98,19361200,3711210
4,2017-06-02,15.9,16.02,15.7,15.78,8458800,-4924256
5,2017-06-05,15.8,16.18,15.78,15.94,11312700,3289760
6,2017-06-06,16.0,16.04,15.96,15.96,7813900,5593420
7,2017-06-07,16.0,16.0,15.78,15.98,8257300,11178784
8,2017-06-08,15.96,16.0,15.86,15.9,4313300,-8870246
9,2017-06-09,15.96,15.96,15.8,15.8,1503500,-106184
10,2017-06-13,15.8,15.86,15.58,15.58,5172900,-725710
11,2017-06-14,15.6,15.66,15.58,15.6,1367400,5310136
12,2017-06-15,15.68,15.8,15.6,15.66,3639300,-1083262
13,2017-06-16,15.68,15.7,15.52,15.58,2898100,91792
14,2017-06-19,15.6,15.6,15.4,15.56,3215200,-758362
15,2017-06-20,15.58,16.24,15.56,16.24,13613500,-18826610
16,2017-06-21,16.22,16.56,16.1,16.1,13327100,32753277
17,2017-06-22,16.12,16.4,16.04,16.1,4407700,12523214
18,2017-06-23,16.1,16.28,16.04,16.08,1590400,201210
19,2017-06-27,16.12,16.2,16.08,16.2,2270100,1702784
20,2017-06-28,16.12,16.36,16.12,16.3,7388200,-25897608
21,2017-06-29,16.36,16.6,16.0,16.0,14276100,-17861110
22,2017-06-30,16.02,16.04,15.76,15.8,7368800,-6098350
23,2017-07-03,15.8,15.94,15.8,15.8,1793200,3846066
24,2017-07-04,15.9,16.0,15.86,15.9,3286300,-9058142
25,2017-07-05,15.9,15.9,15.76,15.78,2115800,-159000
26,2017-07-06,15.8,15.92,15.78,15.84,1839600,158700
27,2017-07-07,15.96,15.96,15.84,15.86,825300,2347900
28,2017-07-10,15.92,15.92,15.78,15.8,1395000,4520980
29,2017-07-11,15.8,15.8,15.58,15.6,4661900,16943950
30,2017-07-12,15.6,15.64,15.5,15.6,2697300,8296660
31,2017-07-13,15.6,15.6,15.52,15.52,2980000,13386970
32,2017-07-13,15.6,15.6,15.52,15.52,2980000,13386970
33,2017-07-14,15.6,15.6,15.52,15.54,2212600,939226
34,2017-07-17,15.56,15.56,15.5,15.52,2670500,2416178
35,2017-07-18,15.5,15.5,15.34,15.4,3641800,-10796336
36,2017-07-19,15.42,15.6,15.4,15.42,2552900,6469144
37,2017-07-20,15.48,15.7,15.44,15.58,3709300,12603558
38,2017-07-21,15.68,15.7,15.58,15.64,1130300,1835470
39,2017-07-24,15.66,15.66,15.54,15.6,1611200,5172540
40,2017-07-25,15.6,15.66,15.4,15.4,1912000,9115948
41,2017-07-26,15.4,15.54,15.34,15.42,5761800,7465110
42,2017-07-27,15.42,15.44,14.76,14.98,10604300,37057378
43,2017-07-28,14.98,14.98,14.86,14.92,4877000,7383108
44,2017-07-31,14.92,14.98,14.86,14.94,2124800,3227212
45,2017-08-01,14.96,14.96,14.84,14.88,1352600,2689664
46,2017-08-02,14.88,14.9,14.86,14.9,1393700,3050744
47,2017-08-03,14.94,14.96,14.9,14.94,1235500,10868690
48,2017-08-04,14.94,15.22,14.94,15.2,2213600,14599476
49,2017-08-07,15.22,15.24,14.96,15.2,865100,8484702
50,2017-08-08,15.18,15.18,14.96,15.0,1993300,15909906
51,2017-08-09,15.0,15.1,14.78,15.02,2218700,9064988
52,2017-08-10,15.06,15.08,14.98,15.0,416800,2341438
53,2017-08-11,15.0,15.0,14.88,15.0,910100,3722300
54,2017-08-14,15.0,15.0,14.9,14.98,211900,801532
55,2017-08-15,14.98,15.0,14.94,15.0,1404100,17104972
56,2017-08-16,15.02,15.2,14.98,15.14,1213700,3233898
57,2017-08-17,15.14,15.14,15.1,15.14,457000,1167740
58,2017-08-18,15.12,15.12,14.98,15.1,1506100,611880
59,2017-08-22,15.1,15.1,15.0,15.1,386900,1223168
60,2017-08-23,15.1,15.1,14.98,15.1,1671000,4065778
61,2017-08-24,15.1,15.24,15.1,15.1,1299300,2990810
62,2017-08-25,15.1,15.66,15.1,15.6,7502100,32067438
63,2017-08-29,15.6,15.6,15.38,15.38,2462300,5326870
64,2017-08-30,15.4,15.4,15.02,15.1,2093300,5786708
65,2017-08-31,15.12,15.18,15.0,15.18,481900,2146592
66,2017-09-04,15.18,15.2,15.1,15.12,612200,2444752
67,2017-09-05,15.18,15.2,14.98,15.06,1413900,11195468
68,2017-09-06,15.06,15.06,14.94,15.0,906600,3751660
69,2017-09-07,15.0,15.06,14.94,15.06,983800,3405850
70,2017-09-08,15.06,15.08,14.96,15.04,422600,2720252
71,2017-09-11,15.04,15.1,14.98,15.1,386100,1497612
72,2017-09-13,15.2,15.34,15.14,15.32,1985100,6405650
73,2017-09-14,15.4,15.4,15.1,15.36,1738100,1779944
74,2017-09-15,15.36,15.42,15.28,15.36,2019900,13013138
75,2017-09-18,15.36,15.68,15.28,15.4,3416900,15522168
76,2017-09-19,15.5,15.58,15.3,15.36,1409200,6164508
77,2017-09-20,15.44,15.44,15.28,15.32,1210500,6526028
78,2017-09-21,15.3,15.3,15.0,15.18,1449400,4151908
79,2017-09-22,15.24,15.24,15.02,15.16,830600,5282518
80,2017-09-25,15.16,15.16,15.02,15.1,1674800,19315070
81,2017-09-26,15.08,15.08,14.98,15.04,572800,-122996
82,2017-09-27,15.18,15.18,15.0,15.0,2356600,20897028
83,2017-09-28,15.0,15.12,15.0,15.02,182900,954168
84,2017-09-29,15.04,15.14,15.0,15.12,178000,591924
85,2017-10-02,15.14,15.18,15.1,15.18,57300,221192
86,2017-10-03,15.18,15.18,15.08,15.1,194800,359500
87,2017-10-04,15.1,15.12,15.02,15.02,129000,242824
88,2017-10-05,15.02,15.1,15.02,15.1,368900,3439236
89,2017-10-06,15.1,15.1,15.0,15.02,1572500,4061344
90,2017-10-09,15.04,15.1,14.94,15.0,2190100,4793926
91,2017-10-10,15.04,15.04,14.94,15.0,521900,2365596
92,2017-10-11,14.94,15.02,14.92,15.0,1778700,14687300
93,2017-10-12,15.0,15.0,14.9,14.96,1738800,7721970
94,2017-10-13,14.96,14.96,14.82,14.84,1560100,8104400
95,2017-10-17,14.82,14.84,14.8,14.82,1189900,846518
96,2017-10-18,14.8,14.82,14.72,14.78,859500,1547918
97,2017-10-19,14.78,14.8,14.7,14.8,801400,2447496
98,2017-10-20,14.9,14.9,14.8,14.88,295200,674378
99,2017-10-23,14.8,15.0,14.8,15.0,257500,314104
100,2017-10-24,15.0,15.0,14.8,14.9,226400,278838
101,2017-10-25,14.84,14.9,14.74,14.8,447700,1280710
102,2017-10-26,14.76,14.8,14.72,14.76,487100,1047610
103,2017-10-27,14.96,14.96,14.1,14.66,4920200,6557144
104,2017-10-30,14.66,14.84,14.5,14.6,2593500,6630220
105,2017-11-02,14.6,14.94,14.54,14.88,402500,681528
106,2017-11-03,14.88,14.96,14.8,14.96,2629900,955880
107,2017-11-06,14.94,15.02,14.88,14.96,6205800,13711342
108,2017-11-07,14.9,15.0,14.88,14.96,413600,1469098
109,2017-11-09,14.92,14.92,14.86,14.88,1359000,3842648
110,2017-11-10,14.9,14.98,14.88,14.92,821900,3004704
111,2017-11-13,14.92,14.92,14.88,14.92,482200,1358586
112,2017-11-14,14.94,14.94,14.78,14.9,2735700,1072074
113,2017-11-15,14.7,14.9,14.7,14.88,188500,458956
114,2017-11-16,14.86,14.86,14.76,14.84,394100,1245558
115,2017-11-17,14.8,14.8,14.6,14.8,170000,619994
116,2017-11-20,14.8,14.8,14.44,14.8,747900,138976
117,2017-11-21,14.8,14.8,14.6,14.76,188300,379032
118,2017-11-22,14.7,14.78,14.5,14.7,524900,457808
119,2017-11-23,14.78,14.8,14.5,14.76,313800,189330
120,2017-11-24,14.76,14.88,14.6,14.7,537600,1738760
121,2017-11-27,14.8,14.8,14.72,14.76,140500,501978
122,2017-11-28,14.76,14.86,14.68,14.8,295500,1361962
123,2017-11-29,14.8,14.8,14.6,14.8,282800,678290
124,2017-12-01,14.8,14.8,14.58,14.8,380300,2355758
125,2017-12-04,14.58,14.76,14.54,14.76,1165500,11934180
126,2017-12-05,14.76,14.98,14.76,14.9,2615000,19071124
127,2017-12-06,14.94,14.98,14.82,14.84,330600,1873266
128,2017-12-07,14.84,14.88,14.7,14.88,150100,-241266
129,2017-12-08,14.82,14.9,14.7,14.9,107300,311318
130,2017-12-11,14.9,14.9,14.8,14.84,690100,983814
131,2017-12-12,14.8,14.82,14.62,14.66,67100,211088
132,2017-12-13,14.8,14.8,14.66,14.68,557500,2613032
133,2017-12-14,14.64,14.84,14.64,14.78,773900,-938600
134,2017-12-15,14.78,14.8,14.62,14.76,222900,1516160
135,2017-12-18,14.68,14.76,14.6,14.72,202900,1271302
136,2017-12-19,14.76,14.84,14.72,14.8,1554900,5139236
137,2017-12-20,14.8,14.8,14.64,14.64,187300,434678
138,2017-12-21,14.8,14.8,14.62,14.68,150300,352776
139,2017-12-22,14.76,14.76,14.4,14.4,5359500,17449620
140,2017-12-27,14.44,14.58,14.44,14.44,97800,655576
141,2017-12-28,14.5,14.68,14.5,14.68,238100,2022058
142,2017-12-29,14.68,14.78,14.54,14.78,1554800,2672262
143,2018-01-03,14.6,14.7,14.58,14.58,377300,1961062
144,2018-01-05,14.62,14.88,14.62,14.72,557500,-2208044
145,2018-01-08,14.9,15.32,14.82,15.14,5179100,19503144
146,2018-01-09,15.14,15.6,15.14,15.54,4095200,5529418
147,2018-01-10,15.54,15.6,15.42,15.5,3539000,10492830
