,Date,Open,High,Low,Close,Volume,OtherData
0,2008-04-01,0.31,0.31,0.31,0.31,500000,0
1,2008-04-02,0.31,0.33,0.31,0.31,500000,0
2,2008-04-03,0.31,0.31,0.31,0.31,800000,0
3,2008-04-09,0.3,0.3,0.3,0.3,530000,0
4,2008-04-10,0.3,0.3,0.29,0.29,430000,0
5,2008-04-11,0.3,0.3,0.3,0.3,360000,0
6,2008-04-14,0.29,0.29,0.29,0.29,100000,0
7,2008-04-15,0.29,0.29,0.29,0.29,900000,0
8,2008-04-16,0.3,0.3,0.29,0.29,1950000,0
9,2008-04-17,0.29,0.29,0.29,0.29,500000,0
10,2008-04-18,0.29,0.29,0.28,0.28,360000,0
11,2008-04-22,0.28,0.28,0.28,0.28,1570000,0
12,2008-04-23,0.28,0.28,0.28,0.28,580000,0
13,2008-04-24,0.28,0.28,0.28,0.28,190000,0
14,2008-04-25,0.28,0.28,0.27,0.27,250000,0
15,2008-04-28,0.28,0.28,0.26,0.26,2120000,0
16,2008-04-29,0.26,0.26,0.26,0.26,210000,0
17,2008-04-30,0.27,0.27,0.27,0.27,1230000,0
18,2008-12-04,0.14,0.14,0.14,0.14,240000,0
19,2008-12-05,0.13,0.195,0.13,0.195,550000,5200
20,2008-12-11,0.15,0.18,0.14,0.18,540000,0
21,2008-12-16,0.15,0.15,0.15,0.15,500000,0
22,2008-12-17,0.15,0.15,0.15,0.15,300000,0
23,2008-12-22,0.14,0.14,0.14,0.14,400000,0
24,2008-12-23,0.18,0.18,0.18,0.18,10000,0
25,2008-12-24,0.135,0.15,0.135,0.15,510000,0
26,2008-02-01,0.33,0.33,0.32,0.33,400000,0
27,2008-02-04,0.3,0.35,0.3,0.35,430000,0
28,2008-02-05,0.36,0.39,0.35,0.35,17320000,0
29,2008-02-06,0.32,0.35,0.32,0.35,1190000,0
30,2008-02-07,0.36,0.4,0.36,0.37,24760000,28400
31,2008-02-08,0.38,0.38,0.35,0.35,5100000,0
32,2008-02-11,0.35,0.35,0.35,0.35,300000,0
33,2008-02-12,0.34,0.34,0.33,0.33,1200000,0
34,2008-02-13,0.34,0.34,0.34,0.34,900000,0
35,2008-02-14,0.34,0.34,0.34,0.34,1100000,0
36,2008-02-15,0.34,0.34,0.34,0.34,200000,0
37,2008-02-19,0.34,0.35,0.34,0.35,710000,0
38,2008-02-20,0.35,0.42,0.35,0.39,32090000,-144000
39,2008-02-21,0.41,0.41,0.39,0.39,11610000,-32800
40,2008-02-22,0.37,0.37,0.34,0.35,5380000,0
41,2008-02-26,0.35,0.35,0.34,0.34,850000,0
42,2008-02-27,0.35,0.4,0.35,0.4,7900000,0
43,2008-02-28,0.4,0.41,0.35,0.35,12210000,0
44,2008-02-29,0.34,0.38,0.34,0.35,4100000,0
