,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-14,0.2,0.2,0.19,0.19,160000,0
1,2006-12-04,0.22,0.22,0.22,0.22,160000,0
2,2006-12-08,0.16,0.16,0.16,0.16,60000,0
3,2006-12-12,0.18,0.18,0.18,0.18,60000,0
4,2006-12-14,0.185,0.185,0.185,0.185,300000,0
5,2006-12-18,0.175,0.22,0.175,0.22,610000,0
6,2006-12-19,0.2,0.2,0.2,0.2,310000,0
7,2006-12-20,0.2,0.2,0.2,0.2,10000,0
8,2006-12-22,0.18,0.18,0.18,0.18,90000,0
9,2006-11-08,0.19,0.21,0.19,0.2,780000,0
10,2006-11-09,0.22,0.24,0.21,0.23,2420000,0
11,2006-11-10,0.23,0.25,0.23,0.23,1090000,0
12,2006-11-13,0.23,0.23,0.23,0.23,10000,0
13,2006-11-14,0.23,0.23,0.22,0.22,60000,0
14,2006-11-15,0.23,0.23,0.23,0.23,340000,0
15,2006-11-16,0.22,0.22,0.22,0.22,40000,0
16,2006-11-17,0.22,0.23,0.22,0.23,440000,0
17,2006-11-20,0.23,0.23,0.23,0.23,100000,0
18,2006-11-21,0.22,0.22,0.22,0.22,200000,0
19,2006-11-22,0.22,0.22,0.22,0.22,60000,0
20,2006-11-23,0.23,0.25,0.23,0.25,90000,0
21,2006-11-24,0.25,0.26,0.25,0.25,930000,0
22,2006-11-27,0.25,0.25,0.24,0.24,310000,0
23,2006-11-30,0.23,0.23,0.23,0.23,440000,0
24,2006-10-03,0.18,0.18,0.18,0.18,40000,0
25,2006-10-04,0.18,0.18,0.18,0.18,100000,0
26,2006-10-10,0.2,0.23,0.2,0.22,900000,146100
27,2006-10-13,0.2,0.2,0.2,0.2,100000,0
28,2006-10-17,0.2,0.2,0.2,0.2,180000,0
29,2006-10-19,0.18,0.18,0.18,0.18,60000,0
30,2006-10-20,0.2,0.25,0.2,0.2,1080000,0
31,2006-10-23,0.2,0.2,0.18,0.18,320000,0
32,2006-10-26,0.185,0.185,0.185,0.185,200000,0
33,2006-09-01,0.19,0.2,0.19,0.2,200000,0
34,2006-09-06,0.18,0.18,0.18,0.18,160000,0
35,2006-09-07,0.18,0.18,0.18,0.18,30000,0
36,2006-09-18,0.18,0.18,0.18,0.18,10000,0
37,2006-09-20,0.185,0.185,0.185,0.185,10000,0
38,2006-09-21,0.185,0.19,0.185,0.19,390000,0
39,2006-09-22,0.22,0.22,0.2,0.22,470000,0
40,2006-09-25,0.22,0.22,0.22,0.22,200000,0
41,2006-09-26,0.2,0.2,0.19,0.19,190000,0
42,2006-09-27,0.18,0.18,0.18,0.18,500000,0
43,2007-04-02,0.2,0.2,0.2,0.2,10000,0
44,2007-04-16,0.22,0.25,0.22,0.25,300000,0
45,2007-04-17,0.27,0.27,0.26,0.26,1840000,0
46,2007-04-19,0.26,0.26,0.25,0.25,350000,0
47,2007-04-20,0.26,0.27,0.25,0.27,400000,0
48,2007-04-23,0.28,0.28,0.27,0.27,610000,0
49,2007-04-24,0.28,0.28,0.28,0.28,250000,0
50,2007-02-02,0.2,0.2,0.2,0.2,500000,0
51,2007-02-07,0.19,0.19,0.19,0.19,110000,0
52,2007-02-08,0.18,0.2,0.18,0.185,1590000,0
53,2007-02-09,0.19,0.19,0.19,0.19,170000,0
54,2007-02-12,0.2,0.2,0.2,0.2,310000,0
55,2007-02-13,0.2,0.22,0.2,0.22,860000,0
56,2007-02-14,0.22,0.22,0.22,0.22,1580000,0
57,2007-02-15,0.22,0.225,0.22,0.225,2090000,0
58,2007-02-19,0.22,0.23,0.22,0.225,1650000,0
59,2007-02-20,0.225,0.23,0.225,0.23,800000,0
60,2007-02-21,0.235,0.29,0.235,0.28,4980000,0
61,2007-02-22,0.27,0.27,0.26,0.26,910000,0
62,2007-02-23,0.26,0.28,0.26,0.28,120000,0
63,2007-02-26,0.29,0.31,0.29,0.29,1560000,0
64,2007-02-27,0.29,0.29,0.26,0.26,520000,0
65,2007-02-28,0.245,0.245,0.245,0.245,770000,0
66,2007-01-03,0.2,0.2,0.2,0.2,540000,0
67,2007-01-04,0.2,0.2,0.2,0.2,360000,0
68,2007-01-05,0.2,0.22,0.2,0.22,700000,0
69,2007-01-08,0.22,0.225,0.22,0.22,240000,0
70,2007-01-09,0.22,0.22,0.22,0.22,160000,0
71,2007-01-11,0.2,0.2,0.2,0.2,40000,0
72,2007-01-12,0.2,0.2,0.2,0.2,570000,-114000
73,2007-01-15,0.185,0.2,0.185,0.2,60000,0
74,2007-01-16,0.215,0.23,0.215,0.215,1180000,0
75,2007-01-17,0.225,0.225,0.22,0.22,150000,0
76,2007-01-19,0.2,0.2,0.2,0.2,330000,0
77,2007-01-22,0.205,0.21,0.205,0.21,600000,0
78,2007-01-23,0.2,0.2,0.18,0.2,260000,0
79,2007-01-24,0.21,0.22,0.2,0.22,1100000,0
80,2007-01-25,0.205,0.205,0.205,0.205,10000,0
81,2007-01-26,0.2,0.2,0.2,0.2,910000,-58000
82,2007-01-31,0.2,0.2,0.2,0.2,140000,0
83,2007-03-01,0.25,0.25,0.25,0.25,380000,0
84,2007-03-07,0.18,0.18,0.18,0.18,60000,0
85,2007-03-15,0.205,0.205,0.2,0.2,100000,2050
86,2007-03-16,0.205,0.22,0.205,0.22,110000,0
87,2007-03-20,0.2,0.22,0.2,0.22,50000,0
88,2007-03-21,0.25,0.25,0.25,0.25,300000,0
89,2007-03-23,0.24,0.28,0.24,0.28,1500000,167000
90,2007-03-27,0.25,0.25,0.25,0.25,50000,0
