,Date,Open,High,Low,Close,Volume,OtherData
0,2013-10-07,9.07,9.4,9.05,9.24,15119100.0,-22996708.0
1,2013-10-08,9.24,9.75,9.24,9.7,34167500.0,-40105300.0
2,2013-10-09,9.72,10.4,9.72,10.12,28310400.0,17664940.0
3,2013-10-10,10.2,10.96,10.12,10.9,36021700.0,-28484490.0
4,2013-10-11,11.12,11.46,11.04,11.18,33256000.0,63392404.0
5,2013-10-14,11.2,11.34,10.9,11.26,12079400.0,-17641546.0
6,2013-10-16,11.3,11.9,11.08,11.48,21561200.0,-21656158.0
7,2013-10-17,11.7,11.92,11.5,11.88,19747300.0,41409950.0
8,2013-10-18,11.86,11.86,11.66,11.72,19665200.0,25475824.0
9,2013-10-21,11.72,11.76,11.6,11.68,25187500.0,37716160.0
10,2013-10-22,11.72,11.84,11.64,11.68,21305500.0,47930188.0
11,2013-10-23,11.78,11.78,11.64,11.66,3237900.0,25504444.0
12,2013-10-24,11.68,12.34,11.68,12.16,18768900.0,-24629012.0
13,2013-10-25,12.3,12.4,12.1,12.2,9594700.0,-5480510.0
14,2013-10-29,12.2,12.5,12.08,12.3,12068400.0,-23137454.0
15,2013-10-30,12.3,12.3,12.04,12.06,10363800.0,-36067824.0
16,2013-10-31,12.02,12.1,11.7,11.76,18626200.0,-67452642.0
17,2013-11-04,11.76,11.8,11.46,11.6,6117100.0,-46844154.0
18,2013-11-05,11.54,11.74,11.48,11.58,9892700.0,-50635720.0
19,2013-11-06,11.58,11.58,11.32,11.42,2552600.0,-5720514.0
20,2013-11-07,11.46,11.88,11.46,11.5,4911700.0,4581050.0
21,2013-11-08,11.5,11.54,11.48,11.52,9116200.0,-4845604.0
22,2013-11-11,11.44,11.5,11.0,11.3,8171600.0,-9578190.0
23,2013-11-12,11.28,11.44,11.26,11.28,12879300.0,-47500726.0
24,2013-11-13,11.5,11.82,11.4,11.72,5867300.0,-10440332.0
25,2013-11-14,11.6,12.2,11.6,11.94,8034100.0,-45437374.0
26,2013-11-15,11.98,12.1,11.92,11.92,5454000.0,-23333458.0
27,2013-11-18,12.04,12.04,11.9,11.94,7594700.0,12604414.0
28,2013-11-19,11.96,11.96,11.68,11.74,6534800.0,-31550696.0
29,2013-11-20,11.7,11.96,11.06,11.3,10621500.0,25059362.0
30,2013-11-21,11.3,11.3,10.9,10.98,11624300.0,3252810.0
31,2013-11-22,11.0,11.1,10.8,10.9,5900700.0,-27042998.0
32,2013-11-25,10.9,10.9,10.8,10.8,5874600.0,940588.0
33,2013-11-26,10.78,10.78,10.46,10.5,5414500.0,-36051978.0
34,2013-11-27,10.5,10.8,10.48,10.6,6482500.0,-45396268.0
35,2013-11-28,10.8,11.16,10.7,10.86,7884400.0,-18883240.0
36,2013-11-29,10.9,11.4,10.9,11.36,3008500.0,21516966.0
37,2013-12-02,11.5,11.96,11.4,11.94,13877000.0,29375626.0
38,2013-12-03,11.92,11.92,11.7,11.82,25703400.0,4393814.0
39,2013-12-04,11.88,12.0,11.7,11.7,6064300.0,-24946478.0
40,2013-12-05,11.68,11.76,11.58,11.66,5402000.0,8106264.0
41,2013-12-06,11.6,11.6,11.2,11.28,1696500.0,-5224536.0
42,2013-12-09,11.3,11.3,10.82,11.0,5963700.0,-14699200.0
43,2013-12-10,11.2,11.2,10.82,10.9,21586900.0,422744.0
44,2013-12-11,10.82,10.96,10.8,10.8,2742100.0,-4087744.0
45,2013-12-12,10.8,10.8,10.5,10.58,9861300.0,-12172456.0
46,2013-12-13,10.6,11.2,10.58,11.0,4424800.0,-10191540.0
47,2013-12-16,10.98,11.3,10.74,11.0,3332900.0,-4111308.0
48,2013-12-17,11.0,11.3,10.94,11.1,1453600.0,-5602952.0
49,2013-12-18,11.0,11.3,10.8,10.9,3465400.0,-14106986.0
50,2013-12-19,11.06,11.06,10.78,10.8,7747400.0,37762246.0
51,2013-12-20,10.8,10.86,10.52,10.7,5061600.0,33917462.0
52,2013-12-23,10.7,10.86,10.54,10.7,3072100.0,-30393342.0
