,Date,Open,High,Low,Close,Volume,OtherData
0,2007-12-03,435.0,435.0,420.0,425.0,5360,0
1,2007-12-04,420.0,422.5,420.0,420.0,9330,0
2,2007-12-05,420.0,420.0,410.0,410.0,2750,0
3,2007-12-06,410.0,410.0,410.0,410.0,240,0
4,2007-12-07,400.0,400.0,395.0,395.0,1570,0
5,2007-12-10,390.0,390.0,380.0,390.0,2620,0
6,2007-12-11,400.0,415.0,390.0,405.0,1110,0
7,2007-12-13,387.5,390.0,380.0,390.0,10500,-4061500
8,2007-12-14,390.0,390.0,380.0,382.5,7320,-2500750
9,2007-12-17,372.5,372.5,367.5,370.0,24250,-6293750
10,2007-12-18,360.0,360.0,350.0,350.0,350,0
11,2007-12-20,365.0,365.0,365.0,365.0,10,0
12,2007-12-27,400.0,400.0,400.0,400.0,120,0
13,2007-12-28,395.0,400.0,395.0,400.0,2710,0
14,2007-11-20,395.0,410.0,390.0,395.0,121660,10525700
15,2007-11-21,400.0,400.0,395.0,395.0,4860,0
16,2007-11-22,390.0,430.0,390.0,410.0,98260,7575275
17,2007-11-23,410.0,450.0,400.0,420.0,167090,35720850
18,2007-11-26,430.0,472.5,430.0,472.5,3980,0
19,2007-11-27,430.0,457.5,430.0,450.0,612730,-3305350
20,2007-11-28,460.0,460.0,445.0,445.0,9020,0
21,2007-11-29,445.0,460.0,425.0,442.5,74700,-25613075
22,2008-04-01,265.0,265.0,260.0,260.0,1650,-90100
23,2008-04-02,275.0,275.0,260.0,262.5,4620,-923750
24,2008-04-08,262.5,262.5,262.5,262.5,120,0
25,2008-04-09,262.5,262.5,262.5,262.5,1090,0
26,2008-04-10,260.0,260.0,260.0,260.0,20,0
27,2008-04-14,260.0,260.0,260.0,260.0,2890,-751400
28,2008-04-16,260.0,260.0,260.0,260.0,100,-26000
29,2008-04-18,260.0,267.5,260.0,260.0,520,-124800
30,2008-04-21,260.0,260.0,260.0,260.0,1880,-488800
31,2008-04-23,260.0,260.0,260.0,260.0,380,0
32,2008-04-25,270.0,275.0,265.0,275.0,3700,18550
33,2008-08-04,295.0,295.0,285.0,285.0,1510,0
34,2008-08-05,295.0,295.0,295.0,295.0,1530,0
35,2008-08-06,310.0,312.5,310.0,312.5,2570,0
36,2008-08-07,315.0,325.0,315.0,325.0,5680,0
37,2008-08-08,325.0,325.0,325.0,325.0,3000,0
38,2008-08-11,315.0,315.0,315.0,315.0,70,0
39,2008-08-12,310.0,310.0,310.0,310.0,500,0
40,2008-08-14,310.0,310.0,310.0,310.0,2000,0
41,2008-08-20,310.0,310.0,310.0,310.0,450,0
42,2008-08-21,310.0,315.0,310.0,315.0,1620,0
43,2008-08-22,300.0,300.0,300.0,300.0,1000,0
44,2008-08-26,310.0,310.0,310.0,310.0,4000,0
45,2008-08-27,310.0,310.0,310.0,310.0,20,-3100
46,2008-08-28,310.0,310.0,310.0,310.0,2000,0
47,2008-12-03,422.5,427.5,422.5,425.0,3730,0
48,2008-12-04,422.5,425.0,422.5,425.0,400,0
49,2008-12-10,420.0,425.0,420.0,425.0,20,0
50,2008-12-12,350.0,350.0,350.0,350.0,10,0
51,2008-02-01,337.5,340.0,337.5,340.0,4810,-71425
52,2008-02-05,340.0,340.0,340.0,340.0,120,-40800
53,2008-02-06,332.5,332.5,330.0,332.5,3800,-330050
54,2008-02-07,335.0,337.5,335.0,337.5,1880,632300
55,2008-02-08,340.0,342.5,340.0,342.5,2480,-30600
56,2008-02-12,345.0,345.0,345.0,345.0,200,0
57,2008-02-22,350.0,350.0,350.0,350.0,500,-175000
58,2008-02-26,350.0,350.0,340.0,340.0,3000,-630950
59,2008-02-27,340.0,340.0,337.5,340.0,5250,-1530000
60,2008-02-28,340.0,340.0,340.0,340.0,2000,-680000
61,2008-02-29,340.0,340.0,330.0,330.0,4300,-990000
62,2008-01-03,390.0,390.0,387.5,387.5,5700,-2028000
63,2008-01-07,377.5,377.5,377.5,377.5,2100,-377500
64,2008-01-08,375.0,375.0,372.5,372.5,11860,-747500
