,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,0.04,0.04,0.038,0.038,4600000,0.0
1,2006-08-02,0.039,0.039,0.039,0.039,200000,0.0
2,2006-08-03,0.042,0.042,0.038,0.038,5200000,0.0
3,2006-08-04,0.04,0.04,0.04,0.04,22200000,0.0
4,2006-08-07,0.041,0.041,0.038,0.038,2900000,0.0
5,2006-08-08,0.04,0.043,0.04,0.042,35100000,0.0
6,2006-08-09,0.043,0.049,0.043,0.048,49800000,24500.0
7,2006-08-10,0.049,0.06,0.046,0.05,105300000,12800.0
8,2006-08-11,0.05,0.0575,0.05,0.0525,53800000,-40000.0
9,2006-08-14,0.0525,0.055,0.0525,0.0525,15000000,0.0
10,2006-08-15,0.05,0.05,0.048,0.048,11700000,-9600.0
11,2006-08-16,0.049,0.0525,0.048,0.048,15300000,0.0
12,2006-08-17,0.048,0.0525,0.047,0.049,19700000,0.0
13,2006-12-04,0.0675,0.0675,0.065,0.065,5300000,0.0
14,2006-12-05,0.065,0.065,0.0625,0.0625,3400000,0.0
15,2006-12-06,0.0625,0.0625,0.0625,0.0625,1000000,0.0
16,2006-12-07,0.06,0.06,0.06,0.06,2600000,0.0
17,2006-12-11,0.06,0.06,0.06,0.06,3000000,0.0
18,2006-12-12,0.06,0.06,0.06,0.06,2300000,0.0
19,2006-12-14,0.06,0.06,0.06,0.06,2500000,0.0
20,2006-12-15,0.0625,0.0625,0.0625,0.0625,2400000,0.0
21,2006-12-18,0.065,0.065,0.0625,0.0625,4300000,0.0
22,2006-12-19,0.065,0.065,0.0625,0.065,7600000,0.0
23,2006-12-21,0.065,0.07,0.065,0.0675,14900000,0.0
24,2006-12-22,0.07,0.07,0.0625,0.0625,3000000,0.0
25,2006-12-27,0.06,0.06,0.06,0.06,1500000,-60000.0
26,2006-12-28,0.06,0.06,0.06,0.06,2000000,-120000.0
27,2006-12-29,0.0625,0.0625,0.0625,0.0625,1100000,0.0
28,2006-11-02,0.06,0.06,0.0575,0.0575,3800000,0.0
29,2006-11-07,0.0575,0.06,0.0575,0.06,1500000,0.0
30,2006-11-08,0.0575,0.0575,0.0575,0.0575,1100000,0.0
31,2006-11-09,0.0575,0.0575,0.055,0.055,5300000,0.0
32,2006-11-10,0.055,0.055,0.055,0.055,2100000,0.0
33,2006-11-13,0.055,0.055,0.055,0.055,3200000,-11000.0
34,2006-11-14,0.0575,0.0575,0.055,0.055,3000000,0.0
35,2006-11-16,0.055,0.055,0.055,0.055,1600000,0.0
36,2006-11-17,0.055,0.0575,0.055,0.0575,4800000,0.0
37,2006-11-20,0.0575,0.06,0.0575,0.06,7000000,0.0
38,2006-11-21,0.06,0.06,0.06,0.06,700000,0.0
39,2006-11-22,0.0575,0.065,0.0575,0.0625,17700000,0.0
40,2006-11-23,0.0675,0.0675,0.0625,0.0625,6900000,0.0
41,2006-11-24,0.0625,0.065,0.0625,0.065,8000000,0.0
42,2006-11-27,0.065,0.0675,0.065,0.0675,14900000,0.0
43,2006-11-28,0.0625,0.0625,0.0625,0.0625,6200000,0.0
44,2006-11-29,0.065,0.075,0.065,0.07,32600000,1406750.0
45,2006-11-30,0.0675,0.07,0.0675,0.0675,6500000,0.0
46,2006-10-03,0.0575,0.0575,0.055,0.055,1800000,0.0
47,2006-10-04,0.0575,0.0575,0.0525,0.0525,1100000,0.0
48,2006-10-05,0.0575,0.0575,0.05,0.05,5000000,-5750.0
49,2006-10-06,0.05,0.05,0.05,0.05,4500000,0.0
50,2006-10-09,0.05,0.05,0.05,0.05,4800000,0.0
51,2006-10-10,0.0525,0.0525,0.0525,0.0525,1000000,0.0
52,2006-10-11,0.05,0.05,0.05,0.05,1200000,0.0
53,2006-10-12,0.05,0.05,0.05,0.05,2000000,0.0
54,2006-10-13,0.05,0.05,0.05,0.05,2500000,0.0
55,2006-10-16,0.05,0.055,0.05,0.055,13600000,0.0
56,2006-10-17,0.055,0.06,0.055,0.055,13500000,0.0
57,2006-10-18,0.055,0.065,0.055,0.065,19000000,-25000.0
58,2006-10-19,0.0675,0.07,0.0625,0.0675,26400000,0.0
59,2006-10-20,0.065,0.0675,0.06,0.0625,13300000,0.0
60,2006-10-23,0.0625,0.0625,0.06,0.06,4800000,0.0
61,2006-10-25,0.0575,0.06,0.0575,0.06,12200000,0.0
62,2006-10-26,0.06,0.06,0.06,0.06,3700000,0.0
63,2006-10-27,0.06,0.0625,0.0575,0.0625,21100000,0.0
64,2006-10-30,0.0625,0.0625,0.06,0.0625,23800000,0.0
65,2006-10-31,0.0625,0.0625,0.06,0.06,900000,0.0
66,2006-09-01,0.0725,0.075,0.0675,0.075,35600000,0.0
67,2006-09-04,0.075,0.0775,0.075,0.075,15000000,0.0
68,2006-09-05,0.075,0.0775,0.0675,0.0675,15300000,0.0
69,2006-09-06,0.065,0.0675,0.06,0.06,17800000,0.0
70,2006-09-07,0.06,0.06,0.06,0.06,4200000,0.0
71,2006-09-08,0.0575,0.0575,0.0575,0.0575,1800000,-17250.0
72,2006-09-11,0.06,0.06,0.06,0.06,100000,0.0
73,2006-09-12,0.0525,0.0525,0.048,0.048,7300000,0.0
74,2006-09-13,0.048,0.049,0.048,0.048,1500000,0.0
75,2006-09-14,0.048,0.0525,0.048,0.0525,1500000,0.0
76,2006-09-15,0.0525,0.06,0.0525,0.06,8200000,0.0
77,2006-09-18,0.06,0.065,0.06,0.0625,6100000,0.0
78,2006-09-19,0.065,0.065,0.0625,0.0625,1900000,0.0
79,2006-09-20,0.0575,0.0575,0.0575,0.0575,1200000,0.0
80,2006-09-21,0.06,0.0625,0.06,0.0625,300000,0.0
81,2006-09-22,0.0575,0.0575,0.0575,0.0575,2400000,0.0
82,2006-09-25,0.06,0.06,0.0575,0.0575,2700000,0.0
83,2006-09-26,0.055,0.0575,0.055,0.0575,4800000,28750.0
84,2007-04-02,0.125,0.135,0.125,0.13,16720000,67600.0
85,2007-04-03,0.135,0.135,0.13,0.13,10310000,0.0
86,2007-04-04,0.13,0.135,0.125,0.125,15290000,25000.0
87,2007-04-10,0.13,0.13,0.125,0.13,5440000,0.0
88,2007-04-11,0.13,0.145,0.13,0.145,21390000,0.0
89,2007-04-12,0.15,0.155,0.14,0.14,23310000,0.0
90,2007-04-13,0.145,0.145,0.14,0.14,9330000,0.0
91,2007-04-16,0.14,0.15,0.14,0.14,8610000,0.0
92,2007-04-17,0.145,0.145,0.14,0.14,8740000,0.0
93,2007-04-18,0.14,0.14,0.14,0.14,6600000,-42000.0
94,2007-04-19,0.14,0.14,0.135,0.135,12660000,0.0
95,2007-04-20,0.135,0.14,0.13,0.14,1420000,0.0
96,2007-04-23,0.14,0.14,0.13,0.135,8680000,0.0
97,2007-04-24,0.13,0.155,0.13,0.155,58430000,-33000.0
98,2007-04-25,0.16,0.16,0.15,0.15,26510000,-72000.0
99,2007-04-26,0.15,0.155,0.15,0.15,16390000,0.0
100,2007-04-27,0.15,0.15,0.145,0.145,9930000,-36250.0
101,2007-04-30,0.145,0.145,0.14,0.14,5400000,0.0
102,2007-08-01,0.27,0.27,0.26,0.27,28580000,27000.0
103,2007-08-02,0.27,0.28,0.23,0.24,43880000,48000.0
104,2007-08-03,0.24,0.25,0.2,0.22,54690000,0.0
105,2007-08-06,0.21,0.215,0.18,0.2,24880000,36600.0
106,2007-08-07,0.22,0.235,0.22,0.23,27480000,230000.0
107,2007-08-08,0.235,0.25,0.23,0.25,49360000,0.0
108,2007-08-09,0.27,0.28,0.26,0.27,43520000,10000.0
109,2007-08-10,0.25,0.25,0.22,0.24,27620000,0.0
110,2007-08-13,0.24,0.245,0.23,0.23,16040000,0.0
111,2007-08-14,0.23,0.23,0.215,0.22,11980000,220000.0
112,2007-08-15,0.215,0.215,0.205,0.215,32740000,0.0
113,2007-08-16,0.215,0.215,0.18,0.19,24920000,0.0
114,2007-08-17,0.185,0.2,0.16,0.16,20020000,0.0
115,2007-08-21,0.18,0.21,0.18,0.205,12700000,0.0
116,2007-08-22,0.21,0.215,0.2,0.215,29570000,0.0
117,2007-08-23,0.23,0.24,0.23,0.235,24700000,0.0
118,2007-08-24,0.23,0.23,0.22,0.22,8870000,0.0
119,2007-08-28,0.23,0.24,0.23,0.23,14230000,0.0
120,2007-08-29,0.215,0.22,0.21,0.215,20240000,0.0
121,2007-08-30,0.23,0.23,0.225,0.225,15520000,0.0
122,2007-08-31,0.225,0.23,0.225,0.23,10730000,0.0
123,2007-12-03,0.23,0.24,0.23,0.24,1080000,0.0
124,2007-12-04,0.24,0.245,0.24,0.24,4580000,0.0
125,2007-12-05,0.24,0.25,0.24,0.245,2890000,-48000.0
126,2007-12-06,0.245,0.26,0.245,0.25,13450000,0.0
127,2007-12-07,0.25,0.25,0.245,0.245,2180000,0.0
128,2007-12-10,0.25,0.25,0.24,0.25,4730000,0.0
129,2007-12-11,0.245,0.245,0.24,0.24,1590000,0.0
130,2007-12-12,0.24,0.24,0.24,0.24,1080000,0.0
131,2007-12-13,0.245,0.245,0.24,0.24,1510000,0.0
132,2007-12-14,0.235,0.235,0.235,0.235,1700000,0.0
133,2007-12-17,0.23,0.23,0.225,0.225,980000,0.0
134,2007-12-18,0.21,0.225,0.21,0.225,2840000,0.0
135,2007-12-20,0.215,0.22,0.215,0.22,130000,0.0
136,2007-12-26,0.22,0.225,0.22,0.225,1390000,0.0
137,2007-12-27,0.225,0.225,0.225,0.225,1560000,13500.0
138,2007-12-28,0.22,0.22,0.22,0.22,320000,-22000.0
139,2007-02-01,0.0625,0.0625,0.0625,0.0625,19600000,0.0
140,2007-02-02,0.065,0.065,0.0625,0.065,7300000,0.0
141,2007-02-06,0.0625,0.0625,0.0625,0.0625,3000000,0.0
142,2007-02-07,0.0625,0.0625,0.0625,0.0625,2500000,0.0
143,2007-02-09,0.0625,0.0675,0.0625,0.0675,12000000,-110500.0
144,2007-02-12,0.065,0.07,0.065,0.07,9300000,0.0
145,2007-02-13,0.07,0.0725,0.07,0.07,8900000,0.0
146,2007-02-14,0.0725,0.0725,0.07,0.07,6900000,0.0
147,2007-02-15,0.065,0.0675,0.065,0.0675,3500000,0.0
148,2007-02-19,0.0725,0.0725,0.0725,0.0725,4700000,0.0
149,2007-02-20,0.0725,0.0725,0.0725,0.0725,200000,0.0
150,2007-02-21,0.0725,0.075,0.0725,0.0725,9100000,0.0
151,2007-02-22,0.07,0.07,0.07,0.07,5100000,0.0
152,2007-02-23,0.07,0.0725,0.07,0.07,1800000,0.0
153,2007-02-26,0.075,0.08,0.0725,0.08,31000000,-176000.0
154,2007-02-27,0.0825,0.09,0.0825,0.0875,54900000,0.0
155,2007-02-28,0.0725,0.0725,0.07,0.0725,20800000,0.0
156,2007-01-02,0.06,0.06,0.06,0.06,200000,0.0
157,2007-01-03,0.065,0.065,0.065,0.065,1500000,0.0
158,2007-01-05,0.0625,0.0625,0.0625,0.0625,2000000,0.0
159,2007-01-08,0.0625,0.0625,0.0575,0.0575,8100000,-463750.0
160,2007-01-09,0.06,0.06,0.06,0.06,1000000,0.0
161,2007-01-10,0.06,0.06,0.06,0.06,2900000,0.0
162,2007-01-11,0.0625,0.065,0.06,0.065,3400000,0.0
163,2007-01-12,0.0625,0.0625,0.06,0.06,3000000,0.0
164,2007-01-15,0.0625,0.0625,0.0625,0.0625,1200000,0.0
165,2007-01-16,0.0625,0.0625,0.0625,0.0625,6200000,0.0
166,2007-01-17,0.065,0.065,0.065,0.065,6300000,0.0
167,2007-01-18,0.0675,0.0725,0.0675,0.07,14600000,0.0
168,2007-01-19,0.07,0.075,0.07,0.075,30700000,0.0
169,2007-01-22,0.075,0.075,0.0725,0.0725,6900000,0.0
170,2007-01-23,0.07,0.07,0.07,0.07,3100000,0.0
171,2007-01-24,0.065,0.065,0.0625,0.065,21500000,-567500.0
172,2007-01-25,0.0675,0.0675,0.0625,0.0675,4100000,0.0
173,2007-01-26,0.065,0.0675,0.065,0.0675,3600000,0.0
174,2007-01-30,0.065,0.065,0.0625,0.0625,12100000,106250.0
175,2007-01-31,0.0625,0.0625,0.0625,0.0625,5000000,0.0
176,2007-07-02,0.28,0.28,0.24,0.25,43990000,39200.0
177,2007-07-03,0.27,0.27,0.25,0.26,11900000,0.0
178,2007-07-04,0.26,0.28,0.26,0.27,19970000,0.0
179,2007-07-05,0.27,0.27,0.26,0.26,4490000,0.0
180,2007-07-06,0.27,0.27,0.27,0.27,6290000,54000.0
181,2007-07-09,0.27,0.27,0.25,0.25,8510000,0.0
182,2007-07-10,0.26,0.26,0.25,0.25,1810000,0.0
183,2007-07-11,0.25,0.25,0.25,0.25,9830000,0.0
184,2007-07-12,0.25,0.26,0.25,0.26,12440000,0.0
185,2007-07-13,0.27,0.27,0.26,0.26,8920000,0.0
186,2007-07-16,0.26,0.3,0.26,0.28,58350000,-58000.0
187,2007-07-17,0.28,0.29,0.27,0.28,17690000,0.0
188,2007-07-18,0.28,0.42,0.28,0.39,307990000,-868000.0
189,2007-07-19,0.44,0.47,0.36,0.37,296660000,134000.0
190,2007-07-23,0.38,0.38,0.34,0.36,62440000,0.0
191,2007-07-25,0.36,0.37,0.35,0.37,44450000,219600.0
192,2007-07-26,0.37,0.37,0.34,0.34,40550000,0.0
193,2007-07-27,0.33,0.33,0.3,0.3,86870000,155000.0
194,2007-07-30,0.28,0.3,0.28,0.3,22840000,0.0
195,2007-07-31,0.31,0.31,0.28,0.28,29890000,570000.0
196,2007-06-01,0.28,0.3,0.27,0.29,47590000,-84000.0
197,2007-06-04,0.3,0.31,0.29,0.3,46270000,0.0
198,2007-06-05,0.3,0.3,0.28,0.29,21420000,0.0
199,2007-06-06,0.29,0.3,0.28,0.29,14290000,0.0
200,2007-06-07,0.28,0.29,0.27,0.28,19660000,0.0
201,2007-06-08,0.27,0.31,0.27,0.29,46880000,-3000.0
202,2007-06-12,0.29,0.31,0.29,0.29,20080000,0.0
203,2007-06-13,0.29,0.3,0.28,0.29,10000000,0.0
204,2007-06-14,0.3,0.31,0.3,0.3,40810000,-31000.0
205,2007-06-15,0.31,0.32,0.3,0.3,24040000,0.0
206,2007-06-18,0.3,0.3,0.29,0.29,21210000,0.0
207,2007-06-19,0.29,0.31,0.29,0.3,29380000,0.0
208,2007-06-20,0.3,0.31,0.3,0.3,21870000,0.0
209,2007-06-21,0.3,0.31,0.3,0.3,20150000,-48000.0
210,2007-06-22,0.31,0.31,0.3,0.3,13010000,0.0
211,2007-06-25,0.29,0.29,0.29,0.29,9740000,0.0
212,2007-06-26,0.28,0.29,0.27,0.28,20090000,0.0
213,2007-06-27,0.27,0.27,0.245,0.25,38780000,0.0
214,2007-06-28,0.27,0.3,0.26,0.3,92820000,414800.0
215,2007-06-29,0.32,0.32,0.28,0.28,65280000,-3100.0
216,2007-03-01,0.0725,0.075,0.07,0.075,8000000,0.0
217,2007-03-02,0.0725,0.075,0.07,0.07,23000000,0.0
218,2007-03-05,0.07,0.07,0.07,0.07,13000000,0.0
219,2007-03-07,0.0675,0.07,0.0675,0.07,7800000,0.0
220,2007-03-08,0.0675,0.0675,0.065,0.065,4300000,0.0
221,2007-03-09,0.0675,0.0675,0.0675,0.0675,200000,0.0
222,2007-03-12,0.0675,0.0675,0.0675,0.0675,100000,0.0
223,2007-03-13,0.0675,0.0675,0.065,0.0675,3800000,0.0
224,2007-03-14,0.07,0.07,0.065,0.065,1200000,0.0
225,2007-03-15,0.065,0.0675,0.065,0.0675,5300000,0.0
