,Date,Open,High,Low,Close,Volume,OtherData
0,2006-12-13,0.51,0.64,0.51,0.64,100000,0
1,2006-12-15,0.64,0.64,0.64,0.64,350000,0
2,2006-12-18,0.65,0.65,0.5,0.5,330000,0
3,2006-12-19,0.63,0.63,0.63,0.63,60000,0
4,2006-12-27,0.68,0.68,0.68,0.68,50000,0
5,2006-12-28,0.67,0.75,0.67,0.74,440000,0
6,2006-12-29,0.74,0.8,0.7,0.79,1230000,0
7,2006-11-08,0.54,0.54,0.54,0.54,100000,54000
8,2006-11-09,0.6,0.6,0.6,0.6,50000,0
9,2006-11-15,0.55,0.55,0.55,0.55,100000,0
10,2006-11-21,0.59,0.59,0.59,0.59,470000,0
11,2006-11-24,0.58,0.62,0.58,0.62,570000,0
12,2006-11-29,0.58,0.58,0.55,0.58,900000,150800
13,2006-11-30,0.65,0.65,0.65,0.65,100000,0
14,2006-10-13,0.4,0.54,0.4,0.51,100000,0
15,2006-10-16,0.46,0.53,0.46,0.53,60000,0
16,2006-10-18,0.55,0.55,0.55,0.55,100000,0
17,2006-10-20,0.5,0.5,0.5,0.5,70000,0
18,2006-10-23,0.54,0.54,0.54,0.54,40000,0
19,2006-10-25,0.59,0.59,0.59,0.59,50000,0
20,2006-10-26,0.58,0.58,0.5,0.5,410000,0
21,2006-10-27,0.5,0.54,0.5,0.54,150000,0
22,2006-10-30,0.53,0.56,0.53,0.56,240000,0
23,2006-09-06,0.5,0.57,0.5,0.57,350000,75000
24,2006-09-08,0.5,0.51,0.5,0.5,210000,50000
25,2006-09-19,0.49,0.49,0.49,0.49,20000,9800
26,2006-09-21,0.49,0.49,0.49,0.49,80000,39200
27,2006-09-22,0.48,0.48,0.48,0.48,100000,0
28,2006-09-25,0.48,0.48,0.48,0.48,100000,0
29,2006-09-27,0.52,0.52,0.52,0.52,50000,0
30,2007-04-11,0.6,0.6,0.6,0.6,20000,0
31,2007-04-13,0.8,0.8,0.8,0.8,20000,0
32,2007-04-16,0.8,0.8,0.8,0.8,200000,0
33,2007-04-18,0.72,0.72,0.72,0.72,40000,0
34,2007-04-19,0.77,0.79,0.77,0.79,20000,0
35,2007-04-20,0.78,0.78,0.78,0.78,20000,15600
36,2007-04-27,0.75,0.75,0.75,0.75,80000,0
37,2007-04-30,0.75,0.75,0.75,0.75,100000,0
38,2007-08-01,0.95,0.95,0.95,0.95,510000,0
39,2007-08-02,0.95,0.95,0.93,0.93,370000,0
40,2007-08-07,0.93,0.93,0.93,0.93,60000,0
41,2007-08-08,1.0,1.02,1.0,1.02,250000,0
42,2007-08-09,1.06,1.08,1.0,1.08,431000,0
43,2007-08-13,0.93,0.95,0.93,0.95,300000,0
44,2007-08-14,0.95,0.95,0.95,0.95,100000,0
45,2007-08-15,0.9,0.9,0.9,0.9,100000,0
46,2007-08-17,0.9,0.9,0.8,0.8,420000,0
47,2007-08-22,0.8,0.81,0.8,0.8,650000,0
48,2007-08-23,0.82,0.82,0.82,0.82,430000,0
49,2007-08-24,0.8,0.8,0.8,0.8,470000,0
50,2007-08-28,0.88,0.88,0.82,0.82,200000,0
51,2007-08-29,0.8,0.82,0.8,0.82,1000000,0
52,2007-08-30,0.85,0.85,0.85,0.85,310000,0
53,2007-08-31,0.86,0.99,0.82,0.99,730000,0
54,2007-12-03,0.92,0.92,0.92,0.92,30000,0
55,2007-12-06,0.98,1.1,0.98,1.02,1880000,544400
56,2007-12-07,1.04,1.04,1.02,1.02,51000,-52000
57,2007-12-10,1.04,1.04,0.99,0.99,320000,-52000
58,2007-12-12,1.0,1.0,1.0,1.0,10000,0
59,2007-12-14,1.0,1.0,1.0,1.0,20000,0
60,2007-12-19,1.0,1.0,1.0,1.0,10000,0
61,2007-12-20,0.95,0.95,0.92,0.92,50000,0
62,2007-12-28,0.96,1.0,0.95,1.0,690000,-190600
63,2007-01-19,0.65,0.65,0.65,0.65,1000000,0
64,2007-01-22,0.55,0.55,0.55,0.55,70000,0
65,2007-01-25,0.65,0.65,0.65,0.65,10000,6500
66,2007-01-30,0.57,0.57,0.57,0.57,10000,0
67,2007-01-31,0.57,0.8,0.57,0.8,30000,0
68,2007-07-02,1.3,1.3,1.2,1.22,1710000,-513500
69,2007-07-03,1.22,1.34,1.18,1.28,5054000,-2000440
70,2007-07-04,1.28,1.3,1.2,1.28,3129000,-1391640
71,2007-07-05,1.2,1.24,1.2,1.24,556000,0
72,2007-07-06,1.24,1.32,1.22,1.24,4403000,0
73,2007-07-09,1.26,1.28,1.22,1.22,4459000,-1220000
74,2007-07-10,1.24,1.26,1.22,1.24,611000,0
75,2007-07-11,1.24,1.24,1.2,1.2,1818000,0
76,2007-07-12,1.2,1.24,1.16,1.18,875000,0
77,2007-07-13,1.18,1.22,1.16,1.16,645000,0
78,2007-07-16,1.16,1.16,1.16,1.16,504000,0
79,2007-07-17,1.14,1.14,1.14,1.14,135000,0
80,2007-07-18,1.12,1.14,1.1,1.14,685000,0
81,2007-07-19,1.12,1.12,1.1,1.1,320000,0
82,2007-07-23,1.08,1.16,1.08,1.16,26000,0
83,2007-07-25,1.1,1.1,1.02,1.04,361000,0
84,2007-07-27,1.02,1.02,1.02,1.02,272000,0
85,2007-07-30,0.95,0.95,0.95,0.95,10000,0
86,2007-07-31,0.98,0.98,0.95,0.95,300000,0
87,2007-06-04,0.79,0.79,0.79,0.79,40000,0
88,2007-06-13,0.6,0.99,0.6,0.99,630000,0
89,2007-06-14,0.9,0.9,0.84,0.84,300000,0
90,2007-06-15,0.82,0.82,0.82,0.82,200000,0
91,2007-06-18,0.85,1.04,0.85,0.99,5860000,677000
92,2007-06-19,0.98,0.98,0.95,0.95,970000,0
93,2007-06-20,0.96,0.96,0.96,0.96,200000,0
94,2007-06-21,0.95,0.98,0.95,0.98,600000,0
95,2007-06-22,1.02,1.04,0.98,0.99,1300000,0
96,2007-06-25,1.0,1.3,0.99,1.14,6130000,-444400
97,2007-06-26,1.18,1.54,1.18,1.46,18366000,-120000
98,2007-06-27,1.6,1.6,1.36,1.4,4493000,-1943200
99,2007-06-28,1.38,1.42,1.3,1.3,5709000,-799000
100,2007-06-29,1.3,1.3,1.26,1.3,596000,-165100
101,2007-03-30,0.8,0.8,0.8,0.8,130000,0
102,2007-05-03,0.75,0.75,0.75,0.75,100000,0
103,2007-05-04,0.75,0.75,0.75,0.75,230000,0
104,2007-05-11,0.76,0.76,0.76,0.76,1000000,0
105,2007-05-15,0.8,0.8,0.8,0.8,200000,80000
106,2007-05-16,0.8,0.8,0.8,0.8,200000,0
