,Date,Open,High,Low,Close,Volume,OtherData
0,2018-04-05,1000.0,1009.0,982.0,982.0,4000,0
1,2018-04-06,981.0,981.0,980.0,980.0,16000,1078100
2,2018-04-10,980.0,980.0,980.0,980.0,880,0
3,2018-04-11,981.0,981.0,980.0,980.0,1300,0
4,2018-04-12,980.0,981.0,980.0,980.0,2880,0
5,2018-04-13,980.0,980.0,980.0,980.0,1880,0
6,2018-04-16,980.0,980.0,980.0,980.0,1530,0
7,2018-04-17,980.0,980.0,980.0,980.0,1710,0
8,2018-04-18,980.0,988.0,920.0,970.0,2960,78400
9,2018-04-19,980.0,980.0,980.0,980.0,60,0
10,2018-04-20,975.0,975.0,970.0,970.0,1000,0
11,2018-04-23,970.0,970.0,968.0,968.0,1050,0
12,2018-04-24,975.0,975.0,975.0,975.0,10000,0
13,2018-04-25,975.0,975.0,975.0,975.0,250,68250
14,2018-04-26,995.0,995.0,995.0,995.0,140,0
15,2018-04-27,975.0,975.0,966.0,966.0,2910,97500
16,2018-04-30,990.0,990.0,990.0,990.0,200,0
17,2018-05-02,985.0,990.0,985.0,990.0,3350,0
18,2018-05-03,995.0,995.0,995.0,995.0,720,0
19,2018-05-04,995.0,998.5,985.0,985.0,4380,49250
20,2018-05-08,980.0,990.0,980.0,990.0,70,0
21,2018-05-09,980.0,980.0,975.0,975.0,300,0
22,2018-05-10,990.0,990.0,975.0,975.0,450,-214500
23,2018-05-11,975.0,975.0,975.0,975.0,600,-585000
24,2018-05-15,985.0,985.0,976.0,976.0,210,0
25,2018-05-17,976.0,985.0,970.0,985.0,1950,48800
26,2018-05-18,990.0,990.0,990.0,990.0,60,0
27,2018-05-22,990.0,990.0,990.0,990.0,1000,0
28,2018-05-24,990.0,990.0,990.0,990.0,400,0
29,2018-05-25,980.0,980.0,975.0,975.0,5000,0
30,2018-05-28,970.0,975.0,969.0,970.0,550,0
31,2018-05-30,993.0,993.0,993.0,993.0,50,0
32,2018-05-31,993.0,993.0,993.0,993.0,100,0
33,2018-06-04,992.0,992.0,992.0,992.0,5500,0
