,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,0.26,0.26,0.26,0.26,100000,0
1,2006-08-08,0.26,0.26,0.26,0.26,10000,-2600
2,2006-12-21,0.64,0.64,0.6,0.6,50000,0
3,2006-11-03,0.65,0.7,0.65,0.7,70000,0
4,2006-10-06,0.27,0.27,0.27,0.27,20000,0
5,2006-10-17,0.4,0.4,0.39,0.4,320000,0
6,2006-10-18,0.45,0.6,0.45,0.6,260000,0
7,2006-10-19,0.7,0.73,0.7,0.73,550000,0
8,2006-10-20,0.74,0.8,0.74,0.8,300000,0
9,2006-10-23,0.8,0.8,0.71,0.71,100000,0
10,2006-10-25,0.71,0.71,0.68,0.68,170000,0
11,2006-09-12,0.26,0.26,0.26,0.26,100000,0
12,2006-09-15,0.26,0.26,0.26,0.26,50000,0
13,2007-02-02,0.8,0.8,0.8,0.8,200000,-8000
14,2007-02-13,0.8,0.8,0.8,0.8,80000,0
15,2007-02-21,0.9,0.92,0.9,0.92,160000,0
16,2007-02-23,0.92,1.0,0.92,1.0,210000,0
17,2007-02-27,1.0,1.0,1.0,1.0,10000,0
18,2007-01-09,0.6,0.6,0.6,0.6,20000,-6000
19,2007-01-10,0.7,0.7,0.6,0.6,50000,0
20,2007-01-11,0.7,0.75,0.7,0.75,40000,0
21,2007-01-12,0.85,0.9,0.8,0.89,300000,0
