,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-07,1.3,1.3,1.3,1.3,5000,0
1,2006-08-08,1.4,1.46,1.4,1.44,84000,70160
2,2006-08-09,1.42,1.42,1.42,1.42,30000,0
3,2006-08-10,1.42,1.42,1.42,1.42,6000,8520
4,2006-08-14,1.5,1.5,1.48,1.5,30000,44840
5,2006-08-15,1.5,1.5,1.5,1.5,11000,16500
6,2006-12-06,2.46,2.7,2.46,2.7,135000,0
7,2006-12-11,2.85,2.85,2.7,2.7,52000,0
8,2006-12-12,2.7,3.0,2.7,3.0,350000,-27000
9,2006-12-13,2.6,2.65,2.6,2.65,10000,-5300
10,2006-12-15,2.7,2.7,2.3,2.3,1281000,-3161700
11,2006-12-18,2.3,2.3,2.3,2.3,9000,0
12,2006-12-19,2.6,2.6,2.6,2.6,42000,0
13,2006-12-20,2.55,2.55,2.55,2.55,8000,-20400
14,2006-12-21,2.55,2.7,2.55,2.7,51000,-5100
15,2006-12-22,2.65,2.65,2.65,2.65,4000,-10600
16,2006-12-27,2.6,2.6,2.6,2.6,12000,-5200
17,2006-12-29,2.6,2.6,2.6,2.6,6000,0
18,2006-11-03,2.16,2.16,2.16,2.16,200000,-326160
19,2006-11-07,2.28,2.4,2.28,2.34,110000,-14040
20,2006-11-08,2.4,2.4,2.38,2.4,100000,-24000
21,2006-11-10,2.2,2.2,2.2,2.2,10000,0
22,2006-11-13,2.3,2.32,2.3,2.32,39000,0
23,2006-11-15,2.28,2.46,2.28,2.4,290000,0
24,2006-11-17,2.5,2.5,2.4,2.42,117000,-212960
25,2006-11-20,2.5,2.5,2.46,2.46,90000,0
26,2006-11-22,2.46,2.6,2.46,2.6,255000,-375000
27,2006-11-23,2.55,2.55,2.5,2.5,50000,-51000
28,2006-11-24,2.5,2.5,2.44,2.44,30000,0
29,2006-11-27,2.34,2.34,2.34,2.34,5000,0
30,2006-10-04,1.68,1.68,1.68,1.68,81000,0
31,2006-10-05,1.5,1.5,1.5,1.5,1000,0
32,2006-10-06,1.52,1.52,1.5,1.52,107000,0
33,2006-10-10,1.6,1.72,1.6,1.72,184000,0
34,2006-10-11,1.72,1.72,1.7,1.7,50000,0
35,2006-10-12,1.56,1.56,1.56,1.56,6000,0
36,2006-10-13,1.7,1.76,1.7,1.74,200000,0
37,2006-10-17,1.78,1.82,1.78,1.8,490000,0
38,2006-10-18,1.8,2.0,1.8,1.98,1046000,0
39,2006-10-19,2.02,2.06,2.0,2.02,770000,0
40,2006-10-20,2.1,2.1,2.04,2.04,557000,-299880
41,2006-10-23,2.04,2.12,2.04,2.1,255000,0
42,2006-10-25,2.1,2.1,2.1,2.1,15000,0
43,2006-10-26,2.1,2.14,2.1,2.14,377000,-212000
44,2006-10-27,2.14,2.4,2.1,2.4,473000,0
45,2006-10-31,2.3,2.3,2.3,2.3,229000,-46000
46,2006-09-04,1.36,1.36,1.36,1.36,2000,0
47,2006-09-06,1.34,1.36,1.34,1.36,27000,-34020
48,2006-09-08,1.06,1.66,1.06,1.66,55000,0
49,2006-09-15,1.5,1.5,1.5,1.5,1000,0
50,2006-09-19,1.28,1.28,1.26,1.26,145000,107100
51,2006-09-20,1.26,1.26,1.26,1.26,93000,0
52,2006-09-26,1.24,1.24,1.24,1.24,13000,-12400
53,2007-04-10,3.1,3.1,3.1,3.1,53000,-161200
54,2007-04-11,3.1,3.1,3.0,3.0,116000,186000
55,2007-04-12,3.0,3.0,3.0,3.0,3000,0
56,2007-04-13,3.1,3.15,3.1,3.15,16000,0
57,2007-04-17,3.4,3.4,3.4,3.4,20000,0
58,2007-04-18,3.4,3.4,3.4,3.4,5000,0
59,2007-04-19,3.7,4.3,3.7,4.3,385000,0
60,2007-04-20,4.1,4.2,4.1,4.2,304000,-197400
61,2007-04-23,4.3,4.3,4.3,4.3,117000,64500
62,2007-04-24,4.2,4.5,4.2,4.5,218000,-295800
63,2007-04-25,4.5,4.5,4.4,4.4,144000,0
64,2007-02-05,3.7,3.7,3.7,3.7,1000,0
65,2007-02-06,3.4,3.4,3.4,3.4,50000,0
66,2007-02-07,3.6,3.6,3.4,3.4,70000,0
67,2007-02-08,3.3,3.4,3.3,3.4,43000,-108900
68,2007-02-09,3.6,3.75,3.5,3.6,104000,0
69,2007-02-12,3.6,3.7,3.6,3.7,173000,0
70,2007-02-13,3.7,3.8,3.7,3.8,66000,0
71,2007-02-14,4.0,4.05,3.95,4.05,263000,0
72,2007-02-15,4.05,4.15,4.05,4.05,41000,0
73,2007-02-19,4.05,4.05,4.0,4.0,60000,-124500
74,2007-02-21,4.0,4.0,4.0,4.0,95000,0
75,2007-02-23,3.9,3.9,3.8,3.9,94000,0
