,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,2.9,2.9,2.9,2.9,11000.0,0.0
1,2006-08-02,2.8,2.8,2.8,2.8,32000.0,-89600.0
2,2006-08-03,2.8,2.8,2.75,2.75,459000.0,-854700.0
3,2006-08-04,2.7,2.75,2.7,2.7,103000.0,-271000.0
4,2006-08-07,2.7,2.7,2.65,2.65,140000.0,-363050.0
5,2006-08-08,2.65,2.65,2.65,2.65,10000.0,0.0
6,2006-08-09,2.6,2.65,2.6,2.65,1006000.0,-905700.0
7,2006-08-10,2.7,2.8,2.7,2.8,101000.0,0.0
8,2006-08-11,2.8,2.8,2.75,2.75,45000.0,0.0
9,2006-08-14,2.75,2.75,2.75,2.75,25000.0,0.0
10,2006-08-15,2.7,2.7,2.7,2.7,10000.0,0.0
11,2006-08-16,2.6,2.75,2.6,2.75,101000.0,0.0
12,2006-08-17,2.75,2.9,2.75,2.8,1279000.0,0.0
13,2006-12-04,3.25,3.25,3.25,3.25,459000.0,-341250.0
14,2006-12-05,3.25,3.45,3.25,3.35,2075000.0,0.0
15,2006-12-06,3.4,3.45,3.35,3.35,493000.0,0.0
16,2006-12-07,3.4,3.6,3.4,3.45,2955000.0,0.0
17,2006-12-08,3.45,3.6,3.45,3.6,1498000.0,0.0
18,2006-12-11,3.65,3.7,3.6,3.6,1244000.0,1348000.0
19,2006-12-12,3.55,3.6,3.55,3.6,278000.0,0.0
20,2006-12-13,3.6,3.6,3.6,3.6,40000.0,0.0
21,2006-12-14,3.55,3.6,3.55,3.6,110000.0,0.0
22,2006-12-15,3.55,3.55,3.55,3.55,1290000.0,0.0
23,2006-12-18,3.55,3.65,3.55,3.65,2637000.0,-1075000.0
24,2006-12-19,3.6,3.85,3.5,3.6,5490000.0,-9900700.0
25,2006-12-20,3.65,3.65,3.55,3.55,900000.0,-1795400.0
26,2006-12-21,3.6,3.65,3.6,3.65,598000.0,-1428100.0
27,2006-12-22,3.55,3.55,3.55,3.55,574000.0,-965600.0
28,2006-12-27,3.5,3.55,3.5,3.5,190000.0,-7000.0
29,2006-12-28,3.5,3.6,3.5,3.6,944000.0,843100.0
30,2006-12-29,3.6,3.65,3.6,3.65,2344000.0,0.0
31,2006-11-02,2.65,2.65,2.65,2.65,1150000.0,0.0
32,2006-11-03,2.65,2.65,2.6,2.6,1690000.0,0.0
33,2006-11-06,2.6,2.65,2.55,2.6,2429000.0,0.0
34,2006-11-07,2.65,2.75,2.65,2.75,820000.0,-338750.0
35,2006-11-08,2.7,2.7,2.65,2.65,102000.0,0.0
36,2006-11-09,2.75,2.75,2.7,2.75,760000.0,-206250.0
37,2006-11-10,2.75,2.9,2.75,2.8,1250000.0,0.0
38,2006-11-13,2.85,3.05,2.85,3.0,3875000.0,7064350.0
39,2006-11-14,3.0,3.15,3.0,3.1,3197000.0,3100000.0
40,2006-11-15,3.15,3.2,3.15,3.2,2152000.0,103950.0
41,2006-11-16,3.2,3.4,3.15,3.4,5211000.0,3400000.0
42,2006-11-17,3.35,3.5,3.25,3.5,1435000.0,0.0
43,2006-11-20,3.45,3.5,3.45,3.5,151000.0,-172500.0
44,2006-11-21,3.45,3.5,3.25,3.5,2743000.0,4163250.0
45,2006-11-22,3.4,3.4,3.35,3.35,863000.0,713550.0
46,2006-11-23,3.4,3.4,3.25,3.3,716000.0,-110550.0
47,2006-11-24,3.35,3.35,3.25,3.25,868000.0,-326600.0
48,2006-11-27,3.25,3.25,3.25,3.25,100000.0,-97500.0
49,2006-11-28,3.25,3.3,3.2,3.2,231000.0,0.0
50,2006-11-29,3.2,3.2,3.15,3.15,260000.0,0.0
51,2006-11-30,3.15,3.2,3.15,3.2,562000.0,0.0
52,2006-10-02,2.7,2.7,2.65,2.7,519000.0,0.0
53,2006-10-03,2.7,2.7,2.65,2.65,430000.0,0.0
54,2006-10-04,2.75,2.75,2.6,2.65,1091000.0,520000.0
55,2006-10-05,2.65,2.75,2.65,2.75,4643000.0,270000.0
56,2006-10-06,2.75,2.75,2.7,2.7,3358000.0,1007500.0
57,2006-10-09,2.75,2.75,2.65,2.65,1255000.0,0.0
58,2006-10-10,2.65,2.65,2.65,2.65,773000.0,0.0
59,2006-10-11,2.65,2.65,2.65,2.65,800000.0,0.0
60,2006-10-12,2.7,2.75,2.65,2.75,708000.0,0.0
61,2006-10-13,2.75,2.85,2.75,2.8,1569000.0,0.0
62,2006-10-16,2.85,2.95,2.85,2.85,525000.0,0.0
63,2006-10-17,2.8,2.8,2.75,2.75,1498000.0,-159600.0
64,2006-10-18,2.75,2.75,2.75,2.75,206000.0,0.0
65,2006-10-19,2.8,2.85,2.8,2.85,269000.0,0.0
66,2006-10-20,2.85,2.85,2.8,2.8,759000.0,0.0
67,2006-10-23,2.8,2.8,2.8,2.8,1320000.0,-526400.0
68,2006-10-25,2.8,2.85,2.75,2.8,1412000.0,-1947000.0
69,2006-10-26,2.8,2.8,2.75,2.8,255000.0,-280000.0
70,2006-10-27,2.8,2.8,2.7,2.7,2270000.0,-280000.0
71,2006-10-30,2.8,2.8,2.7,2.7,1787000.0,-425500.0
72,2006-10-31,2.7,2.7,2.65,2.65,1637000.0,-129600.0
73,2006-09-01,2.8,2.8,2.75,2.75,2605000.0,0.0
74,2006-09-04,2.8,2.8,2.8,2.8,1230000.0,0.0
75,2006-09-05,2.8,2.8,2.75,2.8,2032000.0,0.0
76,2006-09-06,2.85,2.85,2.75,2.75,188000.0,0.0
77,2006-09-07,2.75,2.85,2.75,2.85,1751000.0,0.0
78,2006-09-08,2.85,3.1,2.85,3.1,4855000.0,-1388000.0
79,2006-09-11,3.15,3.2,3.1,3.1,717000.0,0.0
80,2006-09-12,3.1,3.1,2.95,2.95,1502000.0,-1180000.0
81,2006-09-13,2.95,2.95,2.9,2.9,1641000.0,-1464900.0
82,2006-09-14,3.0,3.15,3.0,3.15,1255000.0,0.0
83,2006-09-15,3.15,3.35,3.15,3.3,4891000.0,-3249500.0
84,2006-09-18,3.25,3.35,3.25,3.3,1220000.0,0.0
85,2006-09-19,3.3,3.3,3.25,3.25,1171000.0,0.0
86,2006-09-20,3.2,3.25,3.2,3.2,364000.0,64000.0
87,2006-09-21,3.3,3.3,3.2,3.2,518000.0,-577000.0
88,2006-09-22,3.1,3.2,3.1,3.1,620000.0,-997000.0
89,2006-09-25,2.95,2.95,2.85,2.85,2468000.0,88500.0
90,2006-09-26,2.8,2.8,2.7,2.7,1136000.0,0.0
91,2006-09-27,2.8,2.8,2.65,2.65,2144000.0,0.0
92,2007-04-03,5.0,5.1,4.95,5.0,2235000.0,-3062500.0
93,2007-04-04,5.0,5.2,5.0,5.1,793000.0,0.0
94,2007-04-10,5.0,5.3,5.0,5.3,1041000.0,0.0
95,2007-04-11,5.3,5.5,5.3,5.4,253000.0,0.0
96,2007-04-12,5.2,5.2,5.2,5.2,22000.0,0.0
97,2007-04-13,5.1,5.3,5.1,5.3,773000.0,0.0
98,2007-04-16,5.4,5.5,5.4,5.5,1138000.0,-566500.0
99,2007-04-17,5.5,5.8,5.4,5.6,2618000.0,0.0
100,2007-04-18,5.5,5.5,5.4,5.4,470000.0,0.0
101,2007-04-19,5.5,5.7,5.4,5.4,523000.0,378000.0
102,2007-04-20,5.4,5.4,5.4,5.4,11000.0,0.0
103,2007-04-23,5.4,5.4,5.4,5.4,371000.0,0.0
104,2007-04-24,5.4,5.4,5.4,5.4,1306000.0,0.0
105,2007-04-25,5.3,5.4,5.3,5.4,379000.0,0.0
106,2007-04-26,5.4,5.4,5.4,5.4,987000.0,-2268000.0
107,2007-04-27,5.7,5.7,5.3,5.4,911000.0,-3240000.0
108,2007-04-30,5.3,5.3,5.3,5.3,1659000.0,-1600600.0
109,2007-08-01,7.2,7.2,6.8,6.8,1372000.0,-88400.0
110,2007-08-02,6.8,6.8,6.7,6.7,333000.0,2041800.0
111,2007-08-03,6.0,6.9,6.0,6.9,5082000.0,32294000.0
112,2007-08-06,6.5,6.5,6.3,6.3,333000.0,0.0
113,2007-08-07,6.2,6.3,6.1,6.2,1889000.0,1547200.0
114,2007-08-08,6.2,6.3,6.1,6.3,674000.0,1279000.0
115,2007-08-09,6.3,6.4,6.3,6.3,1126000.0,5121900.0
116,2007-08-10,6.1,6.1,5.8,6.0,685000.0,1800000.0
117,2007-08-13,6.0,6.0,5.9,6.0,131000.0,0.0
118,2007-08-14,6.0,6.0,5.9,5.9,114000.0,-177000.0
119,2007-08-15,5.9,5.9,5.9,5.9,14000.0,0.0
120,2007-08-16,6.0,6.0,6.0,6.0,1500000.0,0.0
121,2007-08-17,5.9,5.9,5.5,5.8,251000.0,0.0
122,2007-08-21,5.6,5.7,5.6,5.7,243000.0,-530100.0
123,2007-08-22,5.6,5.6,5.5,5.5,660000.0,-1375000.0
124,2007-08-23,5.6,5.7,5.4,5.5,2893000.0,-12082000.0
125,2007-08-24,5.5,5.5,5.5,5.5,409000.0,0.0
126,2007-08-28,5.5,5.5,5.5,5.5,435000.0,0.0
127,2007-08-29,5.4,5.5,5.4,5.5,105000.0,0.0
128,2007-08-30,5.5,5.7,5.5,5.7,1566000.0,2143300.0
129,2007-08-31,5.6,5.9,5.6,5.9,1835000.0,5884400.0
130,2007-12-03,6.5,6.6,6.5,6.5,255000.0,-893000.0
131,2007-12-04,6.3,6.5,6.3,6.5,7000.0,0.0
132,2007-12-05,6.3,6.5,6.3,6.5,82000.0,0.0
133,2007-12-06,6.6,6.6,6.3,6.4,650000.0,-650000.0
134,2007-12-10,6.3,6.4,6.3,6.4,167000.0,-25600.0
135,2007-12-11,6.2,6.4,6.2,6.4,574000.0,-675200.0
136,2007-12-13,6.2,6.4,6.2,6.4,398000.0,-883000.0
137,2007-12-14,6.2,6.2,6.1,6.1,33000.0,48800.0
138,2007-12-17,6.1,6.1,5.9,5.9,135000.0,-377800.0
139,2007-12-18,5.9,5.9,5.8,5.8,68000.0,17700.0
140,2007-12-26,5.8,5.8,5.4,5.4,814000.0,109000.0
141,2007-12-27,5.4,5.8,5.2,5.2,1052000.0,2088000.0
142,2007-12-28,5.2,5.2,4.9,4.9,487000.0,-209000.0
143,2007-02-01,5.4,5.5,5.4,5.4,9303000.0,-13500000.0
