,Date,Open,High,Low,Close,Volume,OtherData
0,2007-08-01,18.0,18.0,18.0,18.0,300,0.0
1,2007-08-02,11.5,18.5,11.5,18.0,603200,0.0
2,2007-08-03,15.0,16.0,14.5,14.5,686300,145000.0
3,2007-08-06,12.25,12.25,11.75,11.75,464000,0.0
4,2007-08-07,12.0,15.5,12.0,12.75,2246300,19740000.0
5,2007-08-08,12.75,13.5,12.75,13.25,22000,0.0
6,2007-08-09,13.25,13.75,13.0,13.75,1271000,13000000.0
7,2007-08-10,13.0,13.5,12.75,13.0,1325000,16900000.0
8,2007-08-13,12.75,13.5,12.75,13.25,1767700,16572000.0
9,2007-08-14,13.0,13.0,12.5,12.5,535000,0.0
10,2007-08-15,12.0,12.0,11.75,11.75,318000,0.0
11,2007-08-16,9.5,10.0,9.5,9.7,2022100,0.0
12,2007-08-17,9.5,9.5,9.0,9.0,1811000,0.0
13,2007-08-21,9.2,10.0,9.2,9.3,1774000,0.0
14,2007-08-22,9.0,9.1,9.0,9.0,1200000,0.0
15,2007-08-23,9.3,9.5,9.3,9.5,1707000,0.0
16,2007-08-24,10.5,10.5,10.5,10.5,405000,0.0
17,2007-08-28,10.25,10.25,10.25,10.25,15000,0.0
18,2007-12-06,11.0,11.5,10.5,11.0,22000,0.0
19,2007-12-07,10.0,10.25,10.0,10.25,1001000,5125000.0
20,2007-12-11,10.5,10.5,10.5,10.5,2000,0.0
21,2007-12-12,10.25,10.25,10.25,10.25,20000,0.0
22,2007-12-13,10.5,10.75,10.5,10.75,8000,0.0
23,2007-12-14,10.0,11.0,10.0,10.5,1044000,5000000.0
24,2007-12-26,10.5,10.5,10.5,10.5,4100,0.0
25,2007-07-12,6.0,6.0,6.0,6.0,3000,0.0
26,2007-07-13,9.0,9.0,9.0,9.0,4000,0.0
27,2007-07-16,9.0,10.0,9.0,10.0,5000,0.0
28,2007-07-17,11.0,12.5,11.0,12.5,16000,0.0
29,2007-07-18,14.0,15.0,14.0,15.0,2000,0.0
30,2007-07-19,14.5,14.5,11.5,11.5,8200,0.0
31,2007-07-23,11.5,12.0,11.5,12.0,8700,0.0
32,2007-07-25,14.5,21.5,14.5,21.0,78800,0.0
33,2007-07-26,18.0,18.0,18.0,18.0,500,0.0
34,2007-07-27,18.0,20.0,18.0,20.0,200,0.0
35,2007-07-30,19.0,19.0,15.0,16.0,4200,0.0
36,2007-07-31,18.0,20.0,18.0,19.5,17800,0.0
37,2007-11-06,11.0,11.0,10.75,10.75,15200,0.0
38,2007-11-07,11.5,11.5,11.5,11.5,7000,0.0
39,2007-11-13,10.5,10.5,10.5,10.5,2000,0.0
40,2007-11-19,10.5,10.5,10.5,10.5,5000,0.0
41,2007-11-20,10.5,10.5,10.5,10.5,1000,0.0
42,2007-11-22,10.5,10.5,10.5,10.5,2000,0.0
43,2007-11-28,9.9,10.0,9.9,10.0,16000,0.0
44,2007-10-01,6.1,7.1,6.1,7.1,47000,244000.0
45,2007-10-04,7.5,7.6,7.5,7.5,600000,0.0
46,2007-10-05,10.0,11.0,10.0,10.5,2089000,0.0
47,2007-10-08,10.5,12.0,10.5,12.0,105600,0.0
48,2007-10-09,12.0,12.0,10.5,11.75,244000,0.0
49,2007-10-10,10.75,11.5,10.75,11.25,200200,0.0
50,2007-10-11,11.0,11.75,11.0,11.25,501900,56250.0
51,2007-10-15,12.0,12.0,11.25,11.5,362500,2475000.0
52,2007-10-16,11.25,11.75,11.25,11.75,312000,2250000.0
53,2007-10-17,11.25,14.75,11.25,14.75,1325500,2250000.0
54,2007-10-18,14.75,14.75,13.0,13.5,54500,0.0
55,2007-10-22,12.0,12.0,12.0,12.0,3000,0.0
56,2007-10-23,11.5,11.5,11.25,11.25,9600,0.0
57,2007-10-25,13.0,13.0,13.0,13.0,5000,0.0
58,2007-09-14,8.0,8.0,8.0,8.0,2000,0.0
59,2007-09-20,8.5,8.5,8.5,8.5,2000,0.0
60,2007-09-24,8.5,8.5,8.5,8.5,7000,0.0
61,2007-09-27,8.5,8.5,8.5,8.5,5000,0.0
