,Date,Open,High,Low,Close,Volume,OtherData
0,2018-04-02,3.47,3.47,3.25,3.38,11000,0
1,2018-04-03,3.39,3.39,3.39,3.39,1000,0
2,2018-04-04,3.26,3.39,3.26,3.39,15000,0
3,2018-04-05,3.43,3.43,3.39,3.39,2000,0
4,2018-04-06,3.43,3.57,3.33,3.5,175000,0
5,2018-04-10,3.4,3.5,3.3,3.49,40000,0
6,2018-04-12,3.39,3.4,3.32,3.4,12000,0
7,2018-04-13,3.32,3.4,3.31,3.4,22000,0
8,2018-04-16,3.47,3.47,3.47,3.47,1000,0
9,2018-04-18,3.3,3.4,3.3,3.4,17000,0
10,2018-04-19,3.26,3.4,3.2,3.4,49000,0
11,2018-04-20,3.4,3.4,3.4,3.4,1000,0
12,2018-04-23,3.47,3.47,3.4,3.47,43000,0
13,2018-04-24,3.25,3.5,3.25,3.5,30000,0
14,2018-04-26,3.47,3.53,3.3,3.48,62000,0
15,2018-04-30,3.44,3.44,3.28,3.42,62000,0
16,2018-05-02,3.3,3.45,3.3,3.44,38000,0
17,2018-05-03,3.43,3.43,3.33,3.42,3000,0
18,2018-05-04,3.42,3.58,3.34,3.49,154000,0
19,2018-05-07,3.36,3.64,3.36,3.54,189000,0
20,2018-05-08,3.54,3.54,3.46,3.52,28000,0
21,2018-05-09,3.52,3.52,3.41,3.46,72000,0
22,2018-05-10,3.45,3.51,3.45,3.51,6000,0
23,2018-05-11,3.53,3.68,3.51,3.64,184000,0
24,2018-05-15,3.6,3.99,3.6,3.89,543000,0
25,2018-05-16,3.89,4.02,3.7,3.88,528000,-20000
26,2018-05-17,3.72,3.85,3.7,3.8,213000,0
27,2018-05-18,3.79,3.79,3.62,3.76,75000,0
28,2018-05-21,3.75,3.8,3.62,3.78,82000,0
29,2018-05-22,3.66,3.76,3.65,3.76,10000,0
30,2018-05-23,3.64,3.73,3.55,3.73,175000,0
31,2018-05-25,3.77,3.77,3.58,3.75,20000,0
32,2018-05-28,3.74,3.74,3.57,3.74,43000,0
33,2018-05-29,3.77,3.77,3.58,3.72,40000,0
34,2018-05-30,3.62,3.62,3.62,3.62,1000,0
35,2018-05-31,3.57,3.68,3.55,3.6,187000,0
36,2018-06-01,3.52,3.58,3.52,3.58,3000,0
37,2018-06-04,3.51,3.59,3.51,3.59,4000,0
38,2018-06-05,3.51,3.6,3.5,3.6,59000,0
39,2018-06-06,3.53,3.6,3.52,3.6,32000,0
40,2018-06-07,3.55,3.65,3.5,3.59,95000,0
41,2018-06-08,3.51,3.51,3.5,3.5,56000,0
42,2018-06-11,3.55,3.6,3.55,3.6,65000,0
43,2018-06-13,3.62,3.65,3.5,3.65,28000,0
44,2018-06-14,3.45,3.65,3.45,3.58,6000,0
45,2018-06-18,3.64,3.64,3.46,3.46,36000,0
46,2018-06-19,3.58,3.68,3.47,3.67,107000,0
47,2018-06-20,3.67,3.86,3.6,3.78,274000,7320
48,2018-06-21,3.78,3.78,3.51,3.74,48000,0
49,2018-06-22,3.49,3.69,3.49,3.69,30000,0
50,2018-06-25,3.49,3.55,3.47,3.55,72000,0
51,2018-06-26,3.46,3.54,3.46,3.54,9000,0
52,2018-06-27,3.54,3.58,3.47,3.58,68000,0
53,2018-06-28,3.5,3.54,3.5,3.54,9000,0
54,2018-07-02,3.53,3.58,3.5,3.58,42000,0
55,2018-07-03,3.45,3.57,3.38,3.53,87000,0
56,2018-07-04,3.43,3.52,3.43,3.51,19000,0
57,2018-07-05,3.41,3.41,3.41,3.41,1000,0
58,2018-07-06,3.41,3.54,3.39,3.52,61000,0
59,2018-07-09,3.4,3.52,3.39,3.52,22000,0
60,2018-07-10,3.38,3.52,3.38,3.52,65000,0
61,2018-07-11,3.52,3.55,3.41,3.55,12000,0
62,2018-07-12,3.55,3.55,3.55,3.55,1000,0
63,2018-07-16,3.42,3.55,3.42,3.55,105000,0
64,2018-07-17,3.44,3.55,3.44,3.55,133000,0
65,2018-07-18,3.47,3.54,3.47,3.54,141000,0
66,2018-07-19,3.47,3.8,3.44,3.67,290000,-7480
67,2018-07-20,3.66,3.7,3.45,3.65,394000,0
68,2018-07-23,3.65,3.72,3.55,3.64,114000,0
69,2018-07-24,3.5,3.53,3.5,3.5,26000,0
70,2018-07-25,3.47,3.61,3.46,3.59,177000,0
71,2018-07-26,4.21,4.6,3.95,4.11,7347000,429589
72,2018-07-27,4.0,4.15,3.88,3.99,884000,0
73,2018-07-30,3.88,3.9,3.8,3.8,494000,0
74,2018-07-31,3.76,3.99,3.72,3.86,317000,0
75,2018-08-01,3.74,4.06,3.71,3.88,930000,0
76,2018-08-02,3.87,3.92,3.76,3.9,243000,0
77,2018-08-03,3.9,3.9,3.8,3.86,244000,0
78,2018-08-06,3.89,3.89,3.72,3.81,157000,0
79,2018-08-07,3.73,3.84,3.73,3.83,79000,0
80,2018-08-08,3.74,3.82,3.67,3.67,220000,0
81,2018-08-09,3.76,3.76,3.64,3.73,269000,0
82,2018-08-10,3.67,3.78,3.67,3.78,134000,0
83,2018-08-13,3.77,3.82,3.7,3.8,107000,0
84,2018-08-14,3.8,3.87,3.73,3.83,180000,0
85,2018-08-15,3.83,3.83,3.77,3.82,148000,0
86,2018-08-16,3.82,4.15,3.76,4.05,478000,0
