,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,3.95,3.95,3.95,3.95,15000.0,0.0
1,2006-08-04,3.9,3.9,3.9,3.9,6000.0,0.0
2,2006-08-16,3.9,3.9,3.9,3.9,2000.0,0.0
3,2006-12-14,4.9,4.9,4.9,4.9,6000.0,0.0
4,2006-12-15,4.9,4.9,4.9,4.9,2000.0,0.0
5,2006-12-19,4.9,4.9,4.9,4.9,2000.0,0.0
6,2006-12-21,4.95,4.95,4.9,4.9,8000.0,0.0
7,2006-11-02,4.6,4.6,4.6,4.6,15000.0,0.0
8,2006-11-09,4.7,4.7,4.7,4.7,2000.0,0.0
9,2006-11-10,4.8,4.8,4.8,4.8,2000.0,0.0
10,2006-11-13,4.8,4.8,4.8,4.8,3000.0,0.0
11,2006-11-20,4.9,4.9,4.9,4.9,1000.0,0.0
12,2006-11-21,4.9,4.9,4.9,4.9,1000.0,0.0
13,2006-11-24,4.9,4.9,4.9,4.9,2000.0,0.0
14,2006-10-09,5.3,5.3,5.3,5.3,10000.0,0.0
15,2006-10-27,4.7,4.7,4.7,4.7,1000.0,0.0
16,2006-09-01,4.1,4.1,4.1,4.1,20000.0,0.0
17,2006-09-05,4.1,4.1,4.1,4.1,10000.0,0.0
18,2006-09-14,4.0,4.0,4.0,4.0,1000.0,0.0
19,2006-09-15,4.1,4.2,4.1,4.2,19000.0,0.0
20,2006-09-19,4.3,4.3,4.3,4.3,1000.0,0.0
21,2006-09-20,4.3,5.0,4.3,5.0,11000.0,0.0
22,2006-09-22,5.3,5.3,5.3,5.3,5000.0,0.0
23,2007-04-11,6.0,6.1,6.0,6.1,5000.0,0.0
24,2007-04-13,6.2,6.3,6.2,6.3,4000.0,0.0
25,2007-04-20,5.7,5.7,5.7,5.7,2000.0,0.0
26,2007-04-24,5.5,5.5,5.5,5.5,13000.0,0.0
27,2007-04-25,5.5,5.5,5.5,5.5,1000.0,0.0
28,2007-04-26,5.5,5.5,5.5,5.5,3000.0,0.0
29,2007-08-06,7.4,7.4,7.2,7.2,54000.0,0.0
30,2007-08-10,7.3,7.3,7.3,7.3,16000.0,0.0
31,2007-08-23,7.3,7.3,6.9,6.9,2000.0,0.0
32,2007-08-29,6.5,6.5,6.5,6.5,2000.0,0.0
33,2007-12-07,8.1,8.1,8.1,8.1,3000.0,0.0
34,2007-12-19,7.8,7.8,7.8,7.8,1000.0,0.0
35,2007-02-01,5.0,5.0,5.0,5.0,36000.0,0.0
36,2007-02-07,5.3,5.3,5.3,5.3,4000.0,0.0
37,2007-02-14,5.3,5.3,5.1,5.1,6000.0,0.0
38,2007-02-20,5.2,5.2,5.2,5.2,3000.0,0.0
39,2007-02-21,6.0,6.0,6.0,6.0,6000.0,0.0
40,2007-02-22,6.1,6.1,6.1,6.1,3000.0,0.0
41,2007-01-02,4.8,4.8,4.8,4.8,1000.0,0.0
42,2007-01-03,4.7,4.9,4.7,4.9,70000.0,0.0
43,2007-01-16,4.9,4.9,4.9,4.9,4000.0,0.0
44,2007-01-19,4.9,4.9,4.9,4.9,2000.0,0.0
45,2007-07-02,7.8,7.8,7.8,7.8,97000.0,0.0
46,2007-07-03,7.8,7.8,7.8,7.8,9000.0,0.0
47,2007-07-09,7.9,7.9,7.9,7.9,8000.0,0.0
48,2007-07-13,7.8,7.8,7.8,7.8,4000.0,0.0
49,2007-07-16,7.9,7.9,7.9,7.9,8000.0,0.0
50,2007-07-17,8.0,8.3,8.0,8.3,62000.0,0.0
51,2007-07-18,8.4,8.5,8.4,8.4,46000.0,0.0
52,2007-07-19,8.4,8.4,8.4,8.4,3000.0,0.0
53,2007-07-25,8.1,8.1,8.1,8.1,3000.0,0.0
54,2007-07-30,8.6,8.6,8.6,8.6,2000.0,0.0
55,2007-06-01,6.3,6.3,6.3,6.3,19000.0,0.0
56,2007-06-04,6.3,6.3,6.3,6.3,3000.0,0.0
57,2007-06-05,6.5,6.5,6.5,6.5,16000.0,0.0
58,2007-06-07,6.3,6.3,6.3,6.3,21000.0,0.0
59,2007-06-13,6.3,6.3,6.3,6.3,2000.0,0.0
60,2007-06-14,6.4,7.5,6.4,7.5,21000.0,0.0
61,2007-06-20,7.2,7.2,7.2,7.2,33000.0,0.0
62,2007-06-21,7.2,8.8,7.2,8.8,30000.0,0.0
63,2007-06-28,7.8,7.8,7.8,7.8,3000.0,0.0
64,2007-06-29,8.2,8.2,8.2,8.2,20000.0,0.0
65,2007-03-05,5.4,6.0,5.4,6.0,16000.0,0.0
66,2007-03-08,6.0,6.0,6.0,6.0,3000.0,0.0
