,Date,Open,High,Low,Close,Volume,OtherData
0,2012-05-18,101.9,102.0,100.0,100.9,76830.0,0.0
1,2012-05-21,100.1,100.6,100.1,100.6,16350.0,0.0
2,2012-05-22,100.4,100.4,100.2,100.2,87350.0,30120.0
3,2012-05-23,100.2,100.4,100.1,100.4,35850.0,-50055.0
4,2012-05-24,100.4,100.4,100.2,100.2,1870.0,0.0
5,2012-05-25,100.2,100.5,100.2,100.5,18000.0,0.0
6,2012-05-28,100.8,100.9,100.8,100.8,7220.0,0.0
7,2012-05-29,100.8,100.9,100.7,100.7,10340.0,0.0
8,2012-05-30,100.7,100.9,100.5,100.5,33700.0,50250.0
9,2012-05-31,100.8,100.9,100.7,100.8,868780.0,0.0
10,2012-06-01,101.0,101.0,100.7,100.7,2550.0,0.0
11,2012-06-04,100.7,100.8,100.6,100.7,35470.0,0.0
12,2012-06-05,100.7,100.8,100.7,100.8,490450.0,0.0
13,2012-06-06,100.9,100.9,100.8,100.8,9750.0,0.0
14,2012-06-07,100.9,100.9,100.9,100.9,5250.0,0.0
15,2012-06-08,101.1,101.1,100.8,100.8,114260.0,0.0
16,2012-06-11,101.0,101.0,101.0,101.0,11250.0,0.0
17,2012-06-13,101.0,101.0,101.0,101.0,6850.0,0.0
18,2012-06-14,101.0,101.2,101.0,101.2,15610.0,0.0
19,2012-06-15,101.2,101.2,100.9,100.9,13550.0,0.0
20,2012-06-18,100.9,102.5,100.9,102.5,24000.0,0.0
21,2012-06-19,102.5,102.5,102.5,102.5,50610.0,0.0
22,2012-06-20,102.5,102.5,102.5,102.5,18000.0,-62525.0
23,2012-06-21,102.0,102.5,102.0,102.5,16560.0,0.0
24,2012-06-22,102.5,102.5,102.1,102.1,56100.0,0.0
25,2012-06-25,102.1,103.5,102.0,103.5,58360.0,-4244690.0
26,2012-06-26,100.0,103.4,100.0,102.0,49240.0,0.0
27,2012-06-27,102.4,102.5,101.0,102.0,103740.0,0.0
28,2012-06-28,102.0,102.0,102.0,102.0,100.0,0.0
29,2012-06-29,101.1,102.0,101.0,101.0,29720.0,0.0
30,2012-07-02,101.5,102.0,101.1,102.0,6330.0,0.0
31,2012-07-03,102.0,102.0,102.0,102.0,490.0,0.0
32,2012-07-04,101.0,102.0,101.0,102.0,410.0,0.0
33,2012-07-05,102.0,102.0,102.0,102.0,1430.0,0.0
34,2012-07-06,101.3,101.3,101.2,101.2,48500.0,0.0
35,2012-07-09,102.3,102.5,102.3,102.5,14600.0,0.0
36,2012-07-10,101.0,101.0,101.0,101.0,1900.0,0.0
37,2012-07-11,101.1,102.0,101.1,102.0,7300.0,0.0
38,2012-07-12,102.0,102.4,102.0,102.0,28490.0,-51000.0
39,2012-07-13,102.0,102.5,102.0,102.5,23650.0,0.0
40,2012-07-16,102.2,102.5,101.7,101.8,9310.0,0.0
41,2012-07-17,101.7,101.7,101.6,101.6,13700.0,0.0
42,2012-07-18,101.6,101.7,101.6,101.7,15100.0,0.0
43,2012-07-19,102.0,102.0,102.0,102.0,100.0,-10200.0
44,2012-07-23,102.0,102.0,102.0,102.0,200.0,0.0
45,2012-07-24,102.0,102.0,102.0,102.0,4850.0,0.0
46,2012-07-25,102.0,102.0,101.8,101.8,10500.0,0.0
47,2012-07-26,101.9,102.5,101.9,102.5,3000.0,0.0
48,2012-07-27,102.5,102.5,102.5,102.5,19500.0,-102500.0
49,2012-07-30,102.5,102.7,102.5,102.7,5350.0,0.0
50,2012-07-31,102.5,102.8,102.5,102.8,22500.0,0.0
51,2012-08-01,102.6,103.0,102.6,103.0,290.0,0.0
52,2012-08-02,103.0,103.0,103.0,103.0,5730.0,0.0
53,2012-08-03,103.0,103.0,102.8,102.8,12650.0,0.0
54,2012-08-06,103.0,103.5,103.0,103.5,53000.0,0.0
55,2012-08-08,103.5,103.5,103.5,103.5,70.0,0.0
56,2012-08-09,103.0,103.0,103.0,103.0,50.0,0.0
57,2012-08-10,103.0,103.1,103.0,103.1,1000.0,0.0
58,2012-08-13,103.0,103.0,103.0,103.0,6900.0,0.0
59,2012-08-14,103.0,103.0,103.0,103.0,550.0,0.0
60,2012-08-15,103.0,103.0,103.0,103.0,800.0,0.0
61,2012-08-16,103.5,103.5,103.0,103.0,4500.0,0.0
62,2012-08-17,103.0,103.0,103.0,103.0,3500.0,0.0
63,2012-08-22,103.1,103.1,103.1,103.1,350.0,0.0
64,2012-08-23,103.1,103.2,103.1,103.2,1000.0,0.0
65,2012-08-24,103.5,103.5,103.5,103.5,250.0,0.0
66,2012-08-28,103.5,103.5,103.5,103.5,310300.0,0.0
67,2012-08-29,103.3,103.5,103.0,103.0,51500.0,0.0
68,2012-09-03,103.0,103.5,103.0,103.5,8000.0,0.0
69,2012-09-04,103.0,103.5,103.0,103.5,18250.0,0.0
70,2012-09-06,103.5,103.5,103.5,103.5,3190.0,0.0
71,2012-09-07,103.1,103.1,103.1,103.1,500.0,0.0
72,2012-09-10,103.1,103.1,103.1,103.1,300.0,0.0
73,2012-09-11,103.1,103.1,103.1,103.1,1800.0,0.0
74,2012-09-12,103.2,103.2,103.2,103.2,10000.0,0.0
75,2012-09-13,103.1,103.1,103.1,103.1,100.0,0.0
76,2012-09-14,103.2,103.2,103.0,103.0,35000.0,0.0
77,2012-09-18,104.8,104.8,103.1,103.1,61000.0,0.0
78,2012-09-21,103.3,103.3,103.3,103.3,500.0,0.0
79,2012-09-25,103.1,103.1,103.1,103.1,100.0,0.0
80,2012-09-26,105.0,105.0,103.5,103.5,52120.0,0.0
