,Date,Open,High,Low,Close,Volume,OtherData
0,2006-12-18,0.9,0.94,0.9,0.94,390000,0
1,2006-12-27,0.94,0.94,0.94,0.94,50000,0
2,2006-12-29,1.0,1.0,0.9,1.0,80000,0
3,2006-11-14,0.8,0.8,0.8,0.8,10000,0
4,2006-10-18,0.7,0.7,0.7,0.7,10000,0
5,2006-10-23,0.7,0.7,0.7,0.7,30000,0
6,2006-10-26,0.7,0.7,0.7,0.7,10000,0
7,2007-04-03,1.26,1.26,1.26,1.26,100000,0
8,2007-04-12,1.2,1.2,1.2,1.2,30000,0
9,2007-04-18,1.1,1.1,1.1,1.1,10000,0
10,2007-04-20,1.1,1.1,1.06,1.06,7000,0
11,2007-04-27,1.06,1.06,1.06,1.06,55000,0
12,2007-08-01,1.8,1.8,1.8,1.8,30000,0
13,2007-08-02,1.8,1.8,1.8,1.8,20000,0
14,2007-08-03,1.8,1.8,1.7,1.7,30000,0
15,2007-08-06,1.7,1.7,1.7,1.7,20000,0
16,2007-08-09,1.72,1.72,1.72,1.72,30000,0
17,2007-08-10,1.8,1.8,1.7,1.7,21000,0
18,2007-08-13,1.7,1.7,1.7,1.7,34000,0
19,2007-08-14,1.7,1.7,1.6,1.6,1206000,0
20,2007-08-16,1.58,1.58,1.58,1.58,30000,0
21,2007-08-29,1.6,1.6,1.6,1.6,20000,0
22,2007-12-10,1.46,1.5,1.46,1.5,115000,0
23,2007-12-11,1.46,1.46,1.46,1.46,25000,0
24,2007-12-26,1.46,1.46,1.46,1.46,50000,0
25,2007-02-05,1.0,1.0,1.0,1.0,10000,0
26,2007-02-06,1.02,1.02,1.02,1.02,100000,0
27,2007-02-07,1.02,1.02,1.02,1.02,3000,0
28,2007-02-08,1.04,1.04,1.04,1.04,5000,0
29,2007-02-15,1.1,1.1,1.1,1.1,150000,0
30,2007-02-20,1.0,1.0,1.0,1.0,10000,0
31,2007-02-21,1.1,1.1,1.1,1.1,100000,0
32,2007-02-23,1.2,1.2,1.2,1.2,18000,0
33,2007-02-27,1.3,1.3,1.2,1.2,58000,0
34,2007-02-28,1.18,1.18,1.18,1.18,8000,0
35,2007-01-02,0.9,0.9,0.9,0.9,10000,0
36,2007-01-08,0.9,0.9,0.9,0.9,200000,0
37,2007-01-10,0.85,0.99,0.85,0.99,50000,0
38,2007-01-11,0.99,1.0,0.99,1.0,80000,0
39,2007-01-22,1.08,1.08,1.08,1.08,20000,0
40,2007-01-30,1.0,1.0,1.0,1.0,25000,0
41,2007-01-31,1.0,1.0,1.0,1.0,30000,0
42,2007-07-02,1.9,1.9,1.9,1.9,210000,0
43,2007-07-03,1.9,1.92,1.9,1.92,47000,0
44,2007-07-04,1.9,1.94,1.9,1.9,147000,0
45,2007-07-05,1.82,1.82,1.82,1.82,50000,0
46,2007-07-06,1.82,1.82,1.82,1.82,60000,0
47,2007-07-09,1.76,1.76,1.76,1.76,30000,0
48,2007-07-10,1.76,1.76,1.76,1.76,30000,0
49,2007-07-13,1.76,1.82,1.74,1.82,3060000,0
50,2007-07-16,1.9,1.92,1.9,1.9,140000,0
51,2007-07-18,1.84,1.94,1.82,1.9,325000,0
52,2007-07-23,1.9,1.92,1.9,1.92,179000,0
53,2007-07-25,2.0,2.02,2.0,2.02,1166000,0
54,2007-07-26,1.92,1.92,1.86,1.86,166000,0
55,2007-07-27,1.84,1.86,1.84,1.86,89000,0
56,2007-07-30,1.84,1.84,1.8,1.8,130000,0
57,2007-07-31,1.8,1.82,1.8,1.8,88000,0
58,2007-06-05,1.02,1.02,1.02,1.02,5000,0
59,2007-06-13,1.3,1.52,1.3,1.52,310000,0
60,2007-06-14,1.4,1.9,1.4,1.6,114000,0
61,2007-06-15,1.64,1.64,1.4,1.4,191000,0
62,2007-06-19,1.4,1.68,1.4,1.68,320000,0
63,2007-06-21,1.66,2.0,1.66,2.0,605000,0
64,2007-06-22,1.96,1.96,1.9,1.9,166000,0
65,2007-06-25,1.9,2.0,1.9,2.0,83000,0
66,2007-06-26,2.0,2.0,1.8,1.8,237000,0
67,2007-06-27,1.68,1.68,1.66,1.66,180000,0
68,2007-06-28,1.9,2.0,1.9,2.0,316000,0
69,2007-06-29,2.0,2.02,2.0,2.0,160000,0
