,Date,Open,High,Low,Close,Volume,OtherData
0,2015-01-14,3.67,3.68,3.22,3.34,436300000.0,-23134150.0
1,2015-01-19,3.4,3.49,3.39,3.44,22485000.0,5737050.0
2,2015-01-20,3.48,3.48,3.36,3.37,16580000.0,13593730.0
3,2015-01-21,3.4,3.4,3.12,3.18,29833000.0,-761390.0
4,2015-01-22,3.18,3.28,3.12,3.22,10766000.0,498430.0
5,2015-01-23,3.25,3.29,3.18,3.18,10744000.0,8280960.0
6,2015-01-26,3.13,3.2,3.12,3.14,11564000.0,938800.0
7,2015-01-27,3.14,3.19,2.94,3.0,31335000.0,96950.0
8,2015-01-28,2.95,2.98,2.8,2.86,41943000.0,19072320.0
9,2015-01-29,2.8,3.1,2.69,3.01,173274000.0,72434940.0
10,2015-01-30,3.09,3.13,3.03,3.04,668366000.0,3161780.0
11,2015-02-02,3.05,3.07,2.97,2.98,147592000.0,-3852070.0
12,2015-02-03,3.0,3.02,2.94,2.98,382344000.0,520415120.0
13,2015-02-04,3.0,3.05,2.97,3.0,20411000.0,3350500.0
14,2015-02-05,3.0,3.04,2.99,3.0,12939000.0,-18936490.0
15,2015-02-06,3.03,3.1,3.0,3.01,21907000.0,-15900210.0
16,2015-02-09,3.0,3.01,2.92,2.93,13643000.0,-3192390.0
17,2015-02-10,2.93,3.04,2.83,2.99,14112000.0,4438750.0
18,2015-02-11,3.04,3.04,2.95,2.95,36554000.0,-1829020.0
19,2015-02-12,2.97,2.99,2.94,2.94,17781000.0,-3208960.0
20,2015-02-13,2.92,2.92,2.84,2.87,9232000.0,1671650.0
21,2015-02-16,2.85,2.93,2.82,2.82,8837000.0,389180.0
22,2015-02-17,2.84,2.87,2.65,2.72,41461000.0,-17529840.0
23,2015-02-18,2.72,2.75,2.58,2.64,21466000.0,-9181520.0
24,2015-02-20,2.64,2.69,2.61,2.62,9809000.0,4035670.0
25,2015-02-23,2.64,2.64,2.53,2.54,16680000.0,-3875630.0
26,2015-02-24,2.55,2.67,2.52,2.64,18672000.0,-10457830.0
27,2015-02-25,2.65,2.72,2.65,2.66,12303000.0,960200.0
28,2015-02-26,2.7,2.89,2.62,2.86,29226000.0,-14591790.0
29,2015-02-27,2.87,2.95,2.8,2.82,20635000.0,-5572900.0
30,2015-03-02,2.82,2.89,2.81,2.87,8971000.0,1703950.0
31,2015-03-03,2.94,2.98,2.92,2.95,17068000.0,-2012280.0
32,2015-03-04,2.96,2.97,2.84,2.91,14261000.0,1996060.0
33,2015-03-05,2.92,2.92,2.87,2.92,4111000.0,-838910.0
34,2015-03-06,2.92,2.98,2.65,2.71,37076000.0,2238340.0
35,2015-03-09,2.7,2.7,2.6,2.65,22459000.0,-1708710.0
36,2015-03-10,2.68,2.72,2.67,2.69,66756000.0,162481060.0
37,2015-03-11,2.69,2.69,2.6,2.62,261061000.0,131888530.0
38,2015-03-12,2.62,2.65,2.53,2.55,232427000.0,8342000.0
39,2015-03-13,2.59,2.59,2.51,2.52,12157000.0,-9420520.0
40,2015-03-16,2.53,2.53,2.18,2.21,73283000.0,5391930.0
41,2015-03-17,2.26,2.39,2.26,2.31,53856000.0,22906710.0
42,2015-03-18,2.32,2.33,2.25,2.29,20051000.0,8161760.0
43,2015-03-19,2.3,2.31,2.29,2.3,85358000.0,-9176730.0
44,2015-03-20,2.3,2.43,2.3,2.41,18503000.0,-546270.0
45,2015-03-23,2.42,2.44,2.35,2.35,4649000.0,0.0
