,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,46.0,46.0,45.0,45.0,1297100.0,-8836900.0
1,2006-08-02,43.0,43.0,42.0,42.0,1912300.0,-79906250.0
2,2006-08-03,43.0,43.5,43.0,43.5,327200.0,3349500.0
3,2006-08-04,43.5,44.5,43.5,44.0,734700.0,5387650.0
4,2006-08-07,44.0,44.0,43.0,43.5,551500.0,5216750.0
5,2006-08-08,43.0,43.5,43.0,43.0,140400.0,-412800.0
6,2006-08-09,42.5,44.0,42.5,44.0,397700.0,630500.0
7,2006-08-10,43.0,43.0,42.5,43.0,270000.0,-430500.0
8,2006-08-11,43.5,43.5,43.5,43.5,312200.0,739500.0
9,2006-08-14,42.5,42.5,42.0,42.0,614300.0,-21085200.0
10,2006-08-15,42.5,42.5,42.0,42.0,692200.0,-18658400.0
11,2006-08-16,41.5,42.0,41.5,41.5,787200.0,-19248900.0
12,2006-08-17,42.0,42.5,41.5,42.5,1375100.0,-22625300.0
13,2006-12-04,53.0,53.5,52.5,53.0,619100.0,-1484850.0
14,2006-12-05,53.0,53.0,52.0,52.5,131800.0,-2756250.0
15,2006-12-06,52.5,52.5,51.5,51.5,534800.0,-6846450.0
16,2006-12-07,51.5,52.5,51.5,51.5,1138100.0,-38007050.0
17,2006-12-08,54.0,59.5,54.0,59.0,6377100.0,203411050.0
18,2006-12-11,59.0,62.0,59.0,60.0,3286800.0,66822850.0
19,2006-12-12,60.0,60.0,57.0,58.5,2198900.0,55061150.0
20,2006-12-13,58.5,59.5,58.5,59.5,1789300.0,-17931300.0
21,2006-12-14,59.5,60.5,59.5,60.5,1578800.0,8499000.0
22,2006-12-15,60.0,60.0,59.5,60.0,749800.0,7506150.0
23,2006-12-18,59.5,61.5,59.5,61.0,287200.0,8267500.0
24,2006-12-19,61.5,62.5,61.0,61.5,2450000.0,-4159350.0
25,2006-12-20,61.0,61.5,60.5,61.5,520900.0,2085850.0
26,2006-12-21,61.5,63.5,61.5,63.5,1373500.0,39007800.0
27,2006-12-22,62.5,63.5,62.5,63.0,1013600.0,2025700.0
28,2006-12-27,63.0,63.0,63.0,63.0,584000.0,8089200.0
29,2006-12-28,63.5,63.5,63.0,63.5,432900.0,7752100.0
30,2006-12-29,63.5,63.5,63.0,63.0,270700.0,7114250.0
31,2006-11-02,52.5,53.0,52.5,53.0,456600.0,7512750.0
32,2006-11-03,53.0,53.0,52.0,52.5,1412200.0,-569450.0
33,2006-11-06,52.5,52.5,52.5,52.5,441600.0,-115500.0
34,2006-11-07,53.0,54.0,53.0,54.0,481800.0,7222600.0
35,2006-11-08,54.0,54.0,53.0,53.5,349900.0,3764000.0
36,2006-11-09,53.5,54.5,53.5,54.5,451600.0,5533700.0
37,2006-11-10,54.0,54.5,54.0,54.0,236500.0,1259850.0
38,2006-11-13,54.0,54.0,53.5,53.5,166000.0,-2170850.0
39,2006-11-14,53.5,54.0,53.5,54.0,757400.0,-4522350.0
40,2006-11-15,54.5,54.5,54.0,54.0,364500.0,11362400.0
41,2006-11-16,54.0,57.0,54.0,57.0,1050200.0,9685950.0
42,2006-11-17,56.5,57.5,56.0,57.5,576900.0,-1917500.0
43,2006-11-20,57.5,57.5,56.5,57.0,242800.0,6489600.0
44,2006-11-21,56.5,56.5,56.0,56.0,262000.0,3438650.0
45,2006-11-22,56.5,56.5,56.0,56.5,648300.0,8373650.0
46,2006-11-23,56.0,56.5,56.0,56.5,334300.0,6404100.0
47,2006-11-24,56.0,56.5,56.0,56.5,567700.0,6042000.0
48,2006-11-27,56.0,56.0,55.5,56.0,301600.0,-7591300.0
49,2006-11-28,55.5,55.5,53.5,53.5,704400.0,-26918250.0
50,2006-11-29,53.5,53.5,51.0,52.0,589900.0,-11497250.0
51,2006-11-30,53.0,53.5,52.5,52.5,439200.0,-4135450.0
52,2006-10-02,50.0,51.0,50.0,51.0,810100.0,37497050.0
53,2006-10-03,51.0,51.0,50.5,51.0,1034800.0,37480350.0
54,2006-10-04,51.0,51.0,50.0,50.0,315200.0,12505000.0
55,2006-10-05,50.0,51.0,50.0,51.0,675400.0,9072400.0
56,2006-10-06,51.5,51.5,51.0,51.0,533800.0,6097600.0
57,2006-10-09,51.0,51.5,51.0,51.5,418600.0,20252400.0
58,2006-10-10,51.0,51.0,50.5,51.0,361500.0,3661700.0
59,2006-10-11,51.0,51.5,51.0,51.5,176400.0,5098500.0
60,2006-10-12,51.0,52.0,51.0,52.0,1083200.0,28368350.0
61,2006-10-13,52.0,52.0,51.0,51.0,460700.0,3472800.0
62,2006-10-16,51.0,51.0,50.5,51.0,387000.0,938400.0
63,2006-10-17,51.0,51.0,50.0,50.5,143400.0,-759950.0
64,2006-10-18,50.0,50.5,50.0,50.5,333500.0,3176450.0
65,2006-10-19,50.5,51.5,50.5,50.5,860300.0,-6565100.0
66,2006-10-20,51.5,51.5,51.0,51.0,708700.0,26841800.0
67,2006-10-23,51.0,51.5,51.0,51.0,650200.0,26826000.0
68,2006-10-25,51.5,53.0,51.5,53.0,887000.0,18606200.0
69,2006-10-26,54.0,54.5,53.0,53.0,385400.0,9363700.0
70,2006-10-27,53.5,54.0,52.5,53.0,542300.0,-9116650.0
71,2006-10-30,53.0,53.0,52.5,53.0,402500.0,-2227000.0
72,2006-10-31,52.0,52.5,52.0,52.5,488600.0,10733250.0
73,2006-09-01,43.5,44.0,43.5,44.0,1002500.0,29294300.0
74,2006-09-04,44.0,46.5,44.0,46.5,1827500.0,72831300.0
75,2006-09-05,46.5,46.5,46.0,46.5,1661800.0,38158400.0
76,2006-09-06,46.5,46.5,45.0,45.5,821700.0,11384550.0
77,2006-09-07,45.5,45.5,45.5,45.5,1210000.0,23164050.0
78,2006-09-08,45.5,45.5,45.0,45.5,995700.0,7962500.0
79,2006-09-11,46.0,46.5,45.5,46.0,777100.0,14832600.0
80,2006-09-12,45.5,46.0,45.5,46.0,825800.0,27835550.0
81,2006-09-13,46.0,46.5,45.5,46.5,849900.0,29502400.0
82,2006-09-14,46.0,47.5,46.0,47.5,1482100.0,56107500.0
83,2006-09-15,47.5,48.5,47.5,48.0,558900.0,22241050.0
84,2006-09-18,48.0,48.5,48.0,48.5,1055700.0,46241500.0
85,2006-09-19,49.0,49.5,49.0,49.0,1508600.0,35643200.0
86,2006-09-20,48.5,49.0,48.0,49.0,857400.0,16328600.0
87,2006-09-21,49.0,49.0,48.5,49.0,1106700.0,37348400.0
88,2006-09-22,49.0,49.5,49.0,49.0,354500.0,13329350.0
89,2006-09-25,49.0,49.0,49.0,49.0,175100.0,8310400.0
90,2006-09-26,49.0,49.0,49.0,49.0,404200.0,19168800.0
91,2006-09-27,49.5,50.0,49.5,50.0,2003300.0,44798250.0
92,2007-04-02,71.0,72.5,71.0,72.0,311700.0,-6745000.0
93,2007-04-03,72.5,73.0,72.5,72.5,106500.0,1599850.0
94,2007-04-04,73.0,75.0,73.0,75.0,851900.0,37579100.0
95,2007-04-10,75.0,75.5,75.0,75.0,6909100.0,442042500.0
96,2007-04-11,75.5,76.0,75.0,75.5,855700.0,31237550.0
97,2007-04-12,75.0,75.0,74.0,74.5,180800.0,5783900.0
98,2007-04-13,74.5,75.0,74.5,75.0,401100.0,5218150.0
99,2007-04-16,75.0,76.0,75.0,76.0,155900.0,835850.0
100,2007-04-17,77.0,78.0,76.0,76.5,462300.0,9438500.0
101,2007-04-18,76.0,76.5,75.5,76.0,331000.0,4866600.0
102,2007-04-19,76.0,76.0,74.5,74.5,519300.0,-14073900.0
103,2007-04-20,74.5,76.0,74.0,75.0,160000.0,2710300.0
104,2007-04-23,75.0,77.0,75.0,76.5,328300.0,13026750.0
105,2007-04-24,76.5,77.0,76.0,77.0,1441800.0,47076300.0
106,2007-04-25,76.5,77.0,76.0,76.5,692100.0,-2710200.0
107,2007-04-26,76.5,77.0,76.5,76.5,3294900.0,-16880900.0
108,2007-04-27,76.5,76.5,76.5,76.5,500500.0,17625600.0
109,2007-04-30,76.0,77.0,76.0,76.5,1038600.0,-29822000.0
