,Date,Open,High,Low,Close,Volume,OtherData
0,2008-04-30,100.0,100.0,100.0,100.0,20800,0
1,2008-08-06,99.0,99.5,99.0,99.5,1000,0
2,2008-08-11,97.5,97.5,97.5,97.5,700,0
3,2008-08-14,100.0,100.0,100.0,100.0,1000,0
4,2008-08-19,99.5,99.5,99.5,99.5,5000,0
5,2008-08-29,97.5,97.5,97.5,97.5,10000,0
6,2008-12-03,90.0,90.0,90.0,90.0,2000,0
7,2008-12-18,89.0,89.0,89.0,89.0,700,0
8,2008-07-03,99.5,99.5,99.5,99.5,100,0
9,2008-07-31,95.0,99.0,95.0,99.0,2000,0
10,2008-06-02,98.0,98.0,98.0,98.0,1200,0
11,2008-06-05,97.5,97.5,97.5,97.5,700,0
12,2008-06-10,97.5,97.5,96.0,96.0,10000,0
13,2008-06-12,96.0,96.0,96.0,96.0,100,0
14,2008-06-13,97.0,97.0,97.0,97.0,400,0
15,2008-06-16,97.0,97.0,97.0,97.0,500,0
16,2008-06-17,97.0,97.0,97.0,97.0,1000,0
17,2008-06-19,97.0,97.0,97.0,97.0,200,0
18,2008-06-20,97.0,97.0,97.0,97.0,600,0
19,2008-06-27,97.0,97.0,97.0,97.0,7200,0
20,2008-05-02,100.0,100.0,100.0,100.0,50000,0
21,2008-05-05,100.0,100.0,99.5,99.5,3300,0
22,2008-05-06,99.0,99.0,98.0,98.0,3200,0
23,2008-05-07,99.5,99.5,99.5,99.5,200,0
24,2008-05-13,99.5,99.5,99.5,99.5,1100,0
25,2008-05-15,99.0,99.0,99.0,99.0,10000,0
26,2008-05-16,99.5,99.5,99.5,99.5,200,0
27,2008-05-19,99.0,99.0,99.0,99.0,2000,0
28,2008-05-20,99.0,99.0,99.0,99.0,2300,0
29,2008-05-21,99.0,99.0,99.0,99.0,5000,0
30,2008-05-22,98.5,99.0,98.5,99.0,5100,0
31,2008-05-23,98.5,98.5,97.0,97.0,12500,0
32,2008-11-03,90.0,90.0,90.0,90.0,2000,0
33,2008-11-19,91.0,91.0,90.0,90.0,4000,0
34,2008-11-27,94.0,94.0,94.0,94.0,28400,0
35,2008-10-16,90.0,90.0,90.0,90.0,2000,0
36,2008-10-17,90.0,90.0,90.0,90.0,2000,0
37,2008-10-23,90.0,90.0,90.0,90.0,1100,0
38,2008-10-29,90.0,90.0,90.0,90.0,2000,0
39,2008-10-31,99.0,99.5,99.0,99.5,1100,0
40,2008-09-09,97.0,97.0,97.0,97.0,1000,0
41,2008-09-10,97.0,97.0,97.0,97.0,5000,0
42,2008-09-11,96.0,96.0,96.0,96.0,1000,0
43,2008-09-16,97.0,97.0,97.0,97.0,1200,0
44,2008-09-17,96.0,96.0,96.0,96.0,15500,0
45,2008-09-18,96.0,96.0,96.0,96.0,1000,0
46,2008-09-24,99.5,99.5,99.5,99.5,100,0
47,2009-04-14,93.0,93.0,93.0,93.0,5000,0
48,2009-04-15,95.0,95.0,95.0,95.0,1000,0
49,2009-04-21,95.0,95.0,95.0,95.0,200,0
50,2009-04-29,93.0,93.0,93.0,93.0,800,0
51,2009-08-07,95.0,95.0,95.0,95.0,100,0
52,2009-08-10,97.5,97.5,96.0,96.0,110000,0
53,2009-08-11,97.0,97.0,96.0,96.0,5100,0
54,2009-08-14,97.0,97.0,97.0,97.0,1000,0
55,2009-08-17,97.0,97.0,97.0,97.0,40000,0
56,2009-08-18,97.0,97.0,97.0,97.0,8600,0
57,2009-08-19,97.0,97.0,97.0,97.0,3800,0
58,2009-08-20,97.0,97.0,97.0,97.0,11000,0
59,2009-08-24,97.0,97.0,97.0,97.0,1600,0
60,2009-08-25,97.0,97.0,97.0,97.0,9100,0
61,2009-12-01,99.5,99.5,99.5,99.5,1000,0
62,2009-12-04,99.5,99.5,99.5,99.5,1000,0
63,2009-12-11,99.5,99.5,99.5,99.5,3000,0
64,2009-12-14,99.5,99.5,99.5,99.5,6000,0
65,2009-12-15,99.5,99.5,99.5,99.5,5000,0
66,2009-12-17,99.5,99.5,99.5,99.5,1000,0
67,2009-12-18,100.0,100.0,100.0,100.0,1000,0
68,2009-12-21,100.0,100.0,100.0,100.0,4000,0
69,2009-12-22,100.0,100.0,100.0,100.0,1000,-100000
70,2009-12-28,100.0,100.0,100.0,100.0,500,-50000
71,2009-12-29,100.0,100.0,100.0,100.0,4000,0
72,2009-02-26,90.0,90.0,90.0,90.0,500,0
73,2009-07-01,95.0,95.0,95.0,95.0,500,0
74,2009-07-03,95.0,95.0,95.0,95.0,100,0
75,2009-07-06,95.0,95.0,95.0,95.0,9400,0
76,2009-07-07,95.0,95.0,95.0,95.0,5000,0
77,2009-07-08,96.0,96.0,96.0,96.0,20000,0
78,2009-07-09,96.0,96.0,96.0,96.0,40000,0
79,2009-07-10,97.5,97.5,97.0,97.0,9200,0
80,2009-07-13,97.5,97.5,97.5,97.5,13400,0
81,2009-07-14,97.5,97.5,97.5,97.5,29200,0
82,2009-07-15,97.5,98.0,97.5,97.5,65000,0
83,2009-07-21,98.0,98.0,98.0,98.0,10800,0
84,2009-07-22,98.0,98.0,98.0,98.0,10000,0
85,2009-07-23,98.0,98.0,98.0,98.0,15000,0
86,2009-07-24,98.0,98.0,98.0,98.0,15000,0
87,2009-07-27,98.0,98.0,98.0,98.0,10000,0
88,2009-07-28,98.0,98.0,98.0,98.0,6800,0
89,2009-07-31,97.0,97.0,97.0,97.0,20400,0
90,2009-06-01,93.0,93.0,93.0,93.0,800,0
91,2009-06-02,93.5,93.5,92.5,92.5,9100,-846300
92,2009-06-04,96.0,96.0,96.0,96.0,200,0
93,2009-06-08,95.0,97.0,95.0,97.0,9100,880850
94,2009-06-17,95.0,96.0,94.0,96.0,100500,0
95,2009-06-18,96.0,96.0,96.0,96.0,45100,0
96,2009-06-19,96.0,96.0,96.0,96.0,32900,0
97,2009-06-22,96.0,96.0,96.0,96.0,20000,0
98,2009-06-23,96.0,96.0,96.0,96.0,35000,0
99,2009-06-24,96.0,96.0,96.0,96.0,70000,0
100,2009-06-25,96.0,97.0,96.0,96.0,264100,0
101,2009-06-26,96.0,96.0,96.0,96.0,100,0
102,2009-06-29,96.0,96.0,96.0,96.0,1100,0
103,2009-06-30,95.0,95.0,95.0,95.0,20000,0
104,2009-03-10,90.0,90.0,90.0,90.0,800,0
105,2009-03-11,90.0,90.0,90.0,90.0,500,0
106,2009-03-26,93.0,93.0,93.0,93.0,700,0
107,2009-05-04,93.0,93.0,93.0,93.0,500,0
108,2009-05-05,92.0,93.0,92.0,92.0,2100,0
109,2009-05-06,92.5,92.5,92.5,92.5,11000,0
110,2009-05-15,93.0,93.0,93.0,93.0,400,0
111,2009-05-18,93.0,93.0,93.0,93.0,500,0
112,2009-05-19,92.5,93.5,92.5,93.5,2000,0
113,2009-05-26,93.5,93.5,93.5,93.5,3000,0
114,2009-05-29,95.0,95.0,95.0,95.0,500,0
115,2009-11-03,99.0,99.0,99.0,99.0,6300,0
116,2009-11-04,99.0,99.0,99.0,99.0,5000,0
117,2009-11-05,99.0,99.0,99.0,99.0,3500,0
118,2009-11-10,99.0,99.0,99.0,99.0,3700,0
119,2009-11-11,99.0,99.5,99.0,99.5,1300,0
120,2009-11-12,99.5,99.5,99.5,99.5,1500,0
121,2009-11-17,99.5,99.5,99.5,99.5,1600,0
122,2009-11-18,99.5,99.5,99.5,99.5,13800,0
123,2009-11-20,99.5,99.5,99.5,99.5,6000,0
124,2009-11-23,99.5,99.5,99.5,99.5,2500,0
125,2009-11-25,99.5,99.5,99.0,99.0,15000,-495000
126,2009-11-26,98.5,98.5,98.0,98.0,18000,0
127,2009-10-01,98.0,98.0,98.0,98.0,4500,0
128,2009-10-02,98.0,98.0,98.0,98.0,6100,0
129,2009-10-05,98.0,98.0,98.0,98.0,7000,0
130,2009-10-06,98.0,98.0,98.0,98.0,2000,0
131,2009-10-07,98.0,98.0,98.0,98.0,500,0
132,2009-10-08,98.0,98.0,98.0,98.0,4600,0
133,2009-10-12,98.5,98.5,98.0,98.0,12000,0
134,2009-10-19,98.5,98.5,98.5,98.5,100,0
135,2009-10-27,98.5,98.5,98.5,98.5,200,0
136,2009-10-30,99.0,99.0,99.0,99.0,30000,0
137,2009-09-03,97.0,97.0,97.0,97.0,200,0
138,2009-09-04,98.0,98.0,98.0,98.0,2500,0
139,2009-09-08,97.0,98.0,97.0,98.0,1100,0
140,2009-09-09,97.5,97.5,97.5,97.5,2000,0
141,2009-09-15,98.0,98.0,98.0,98.0,3000,0
142,2009-09-16,98.0,98.0,98.0,98.0,4000,0
143,2009-09-17,98.0,98.0,98.0,98.0,5000,0
144,2009-09-18,98.0,98.0,98.0,98.0,10000,0
145,2009-09-30,99.0,99.0,99.0,99.0,1000,0
146,2010-04-05,99.0,99.0,99.0,99.0,1000,0
147,2010-04-06,100.0,100.0,99.5,100.0,24000,0
148,2010-04-07,100.0,100.0,100.0,100.0,8500,0
149,2010-04-08,100.0,100.0,100.0,100.0,900,0
150,2010-04-12,100.0,100.0,99.5,99.5,9300,0
151,2010-04-13,99.5,99.5,99.5,99.5,100,0
152,2010-04-14,100.0,100.0,99.5,100.0,3700,0
153,2010-04-15,100.0,100.0,100.0,100.0,10700,0
154,2010-04-16,100.0,100.0,100.0,100.0,238000,0
155,2010-04-19,100.0,100.0,100.0,100.0,11000,0
156,2010-04-20,100.0,100.0,100.0,100.0,50000,0
157,2010-04-21,100.0,100.0,100.0,100.0,100000,0
158,2010-04-22,100.0,100.0,100.0,100.0,166000,0
159,2010-04-23,100.0,100.0,100.0,100.0,167500,0
160,2010-04-26,100.0,100.0,100.0,100.0,103800,0
161,2010-04-27,100.0,100.0,100.0,100.0,25000,0
162,2010-02-01,99.0,99.0,99.0,99.0,8000,0
163,2010-02-04,99.0,99.0,99.0,99.0,4800,0
164,2010-02-08,97.5,97.5,97.5,97.5,500,0
165,2010-02-09,98.0,98.0,98.0,98.0,400,0
166,2010-02-11,98.0,98.0,98.0,98.0,1900,0
167,2010-02-16,98.0,99.0,98.0,99.0,62600,0
168,2010-02-19,98.0,98.0,98.0,98.0,2000,0
169,2010-02-23,98.0,98.0,97.0,97.0,65000,0
170,2010-02-24,98.0,98.0,97.5,97.5,3000,0
171,2010-02-25,99.0,99.0,99.0,99.0,2500,0
172,2010-02-26,100.0,100.0,100.0,100.0,2000,0
173,2010-01-04,100.0,100.0,100.0,100.0,5000,0
174,2010-01-05,100.0,100.0,100.0,100.0,8100,0
175,2010-01-06,100.0,100.0,100.0,100.0,5600,0
176,2010-01-08,98.0,98.0,98.0,98.0,500,0
177,2010-01-12,99.0,99.0,99.0,99.0,2400,0
178,2010-01-20,99.0,99.0,99.0,99.0,100,0
179,2010-01-21,99.0,99.0,99.0,99.0,1000,0
180,2010-07-01,104.0,104.0,104.0,104.0,2720,0
181,2010-07-02,104.0,104.0,104.0,104.0,3670,0
182,2010-07-05,101.0,101.0,101.0,101.0,11160,0
183,2010-07-06,101.0,101.0,101.0,101.0,260900,0
184,2010-07-07,102.0,102.0,102.0,102.0,13670,0
185,2010-07-09,102.0,102.0,102.0,102.0,1840,0
186,2010-07-12,102.0,103.0,102.0,103.0,12610,0
187,2010-07-13,102.0,103.0,102.0,103.0,13090,0
188,2010-07-14,102.0,105.0,102.0,105.0,13090,0
189,2010-07-15,104.0,104.0,104.0,104.0,5300,0
190,2010-07-16,103.0,103.0,103.0,103.0,10,0
191,2010-07-22,103.0,103.0,103.0,103.0,20,0
192,2010-07-23,104.0,104.0,103.0,104.0,21000,0
193,2010-06-01,101.0,101.0,101.0,101.0,22000,0
194,2010-06-02,101.0,101.0,101.0,101.0,5500,0
195,2010-06-03,101.0,101.0,101.0,101.0,15570,0
196,2010-06-04,100.0,100.0,100.0,100.0,7800,0
197,2010-06-08,100.0,100.0,100.0,100.0,3000,0
198,2010-06-09,101.0,101.0,100.0,100.0,79900,0
199,2010-06-10,102.0,102.0,101.0,101.0,20100,0
200,2010-06-11,101.0,102.0,101.0,102.0,11300,0
201,2010-06-15,103.0,103.0,103.0,103.0,100,0
202,2010-06-18,103.0,103.0,102.0,102.0,4100,0
203,2010-06-21,101.0,101.0,101.0,101.0,5600,0
204,2010-06-22,105.0,105.0,104.0,104.0,10110,0
205,2010-06-23,103.0,103.0,103.0,103.0,1000,0
206,2010-06-24,103.0,105.0,103.0,105.0,9120,0
207,2010-06-25,104.0,104.0,104.0,104.0,4050,0
208,2010-06-29,104.0,104.0,104.0,104.0,13280,0
209,2010-03-01,100.0,100.0,100.0,100.0,400,0
210,2010-03-08,98.0,100.0,98.0,100.0,13000,0
211,2010-03-09,100.0,100.0,100.0,100.0,12500,0
212,2010-03-11,99.0,99.0,99.0,99.0,200,0
213,2010-03-15,99.5,99.5,99.5,99.5,2500,0
214,2010-03-16,100.0,100.0,99.5,99.5,40000,0
215,2010-03-17,100.0,100.0,100.0,100.0,11400,0
216,2010-03-24,100.0,100.0,100.0,100.0,3500,0
217,2010-03-25,100.0,100.0,100.0,100.0,5000,0
218,2010-03-26,100.0,100.0,100.0,100.0,10000,0
219,2010-03-30,100.0,100.0,100.0,100.0,500,0
220,2010-05-05,100.0,100.0,100.0,100.0,170100,0
221,2010-05-06,100.0,100.0,100.0,100.0,3000,0
222,2010-05-07,99.5,100.0,99.5,100.0,10400,0
223,2010-05-11,100.0,100.0,100.0,100.0,50000,0
224,2010-05-13,100.0,100.0,100.0,100.0,111600,0
225,2010-05-14,101.0,101.0,100.0,100.0,161200,0
226,2010-05-17,100.0,101.0,100.0,101.0,801000,0
227,2010-05-18,100.0,101.0,100.0,101.0,215000,0
228,2010-05-19,101.0,101.0,101.0,101.0,400000,0
229,2010-05-20,101.0,101.0,101.0,101.0,2000,0
230,2010-05-21,101.0,101.0,101.0,101.0,1000,0
231,2010-05-24,101.0,101.0,101.0,101.0,6000,0
232,2010-05-25,101.0,101.0,101.0,101.0,9000,0
233,2010-05-26,102.0,102.0,102.0,102.0,5000,0
234,2010-05-27,101.0,101.0,101.0,101.0,28500,0
235,2010-05-28,101.0,101.0,101.0,101.0,4000,0
236,2010-07-28,103.2,103.2,103.2,103.2,130,0
237,2010-07-29,104.0,104.0,104.0,104.0,10000,0
238,2010-07-30,103.2,103.2,103.2,103.2,200,0
239,2010-08-02,104.0,104.0,104.0,104.0,150,15600
240,2010-08-03,104.0,104.0,104.0,104.0,150,0
241,2010-08-04,104.0,104.0,104.0,104.0,1600,0
242,2010-08-10,104.5,104.5,104.5,104.5,150,15675
243,2010-08-11,104.0,104.0,104.0,104.0,750,0
244,2010-08-16,105.0,105.0,105.0,105.0,5000,0
245,2010-08-20,104.1,104.1,104.0,104.0,9800,0
246,2010-08-31,104.5,104.5,104.5,104.5,3000,0
247,2010-09-02,105.5,105.5,105.5,105.5,2000,0
248,2010-09-03,106.0,106.0,106.0,106.0,2000,0
249,2010-09-07,107.0,107.0,107.0,107.0,3500,0
250,2010-09-14,105.5,105.5,105.5,105.5,200,0
251,2010-09-15,106.0,106.0,106.0,106.0,7500,0
252,2010-09-21,106.0,106.0,106.0,106.0,670,0
253,2010-09-24,106.0,106.0,106.0,106.0,3000,0
254,2010-09-28,106.0,106.0,104.0,104.0,6500,0
255,2010-09-29,106.0,106.0,106.0,106.0,500,0
256,2010-10-06,106.0,106.0,104.0,104.2,11000,0
257,2010-10-08,105.0,106.0,105.0,106.0,20000,0
258,2010-10-11,105.0,105.0,105.0,105.0,40,0
259,2010-10-12,105.0,105.0,100.0,100.0,35540,0
260,2010-10-13,103.1,103.1,98.0,99.0,313720,0
261,2010-10-19,103.0,103.2,103.0,103.2,4000,0
262,2010-10-20,103.3,103.3,101.1,101.1,85400,0
263,2010-10-21,101.9,102.0,98.0,101.1,105800,10170
264,2010-10-22,104.0,104.0,104.0,104.0,230,0
265,2010-10-26,104.0,104.0,104.0,104.0,400,0
266,2010-10-27,101.1,102.0,101.1,102.0,200500,0
267,2010-10-28,102.5,102.5,102.5,102.5,4500,0
268,2010-11-03,103.0,103.0,103.0,103.0,200,0
269,2010-11-05,103.0,104.0,103.0,104.0,2870,0
270,2010-11-15,104.0,104.0,104.0,104.0,3900,0
271,2010-11-17,104.0,104.0,104.0,104.0,2000,0
272,2010-11-18,104.0,104.0,104.0,104.0,1000,0
273,2010-11-22,103.1,103.1,103.0,103.1,3500,0
274,2010-11-23,103.5,103.5,103.5,103.5,6000,0
275,2010-11-26,104.5,104.5,104.5,104.5,4200,0
276,2010-12-01,106.0,106.0,106.0,106.0,3430,0
277,2010-12-03,106.0,107.0,106.0,107.0,38100,0
278,2010-12-07,107.0,107.5,107.0,107.5,24200,0
279,2010-12-09,107.5,107.5,107.4,107.4,322480,0
280,2010-12-10,107.0,107.0,107.0,107.0,10,0
281,2010-12-13,106.5,106.5,106.5,106.5,10000,0
282,2010-12-14,107.5,107.5,107.5,107.5,10,0
283,2010-12-20,103.8,107.0,103.8,107.0,140,0
284,2010-12-21,107.0,107.0,106.0,106.0,1450,0
285,2010-12-28,106.0,106.0,106.0,106.0,5000,0
286,2010-12-29,105.9,107.5,105.9,107.5,7600,810600
287,2010-12-30,107.0,107.0,104.5,104.5,6000,0
288,2011-01-03,105.0,105.0,105.0,105.0,50,0
289,2011-01-04,107.5,107.5,107.5,107.5,4850,0
290,2011-01-05,105.0,105.0,105.0,105.0,100,0
291,2011-01-06,104.5,104.5,104.5,104.5,8660,0
292,2011-01-11,101.1,101.1,101.1,101.1,1000,0
293,2011-01-12,105.9,105.9,105.9,105.9,100,0
294,2011-01-21,105.9,105.9,105.9,105.9,60,0
295,2011-01-25,103.0,103.0,102.0,103.0,245000,0
296,2011-01-26,102.1,102.1,102.0,102.0,305000,0
297,2011-01-27,102.1,102.1,102.1,102.1,60,0
298,2011-01-31,103.1,103.1,103.1,103.1,358400,0
299,2011-02-03,104.0,105.8,104.0,105.8,1700,0
300,2011-02-09,103.3,103.3,103.3,103.3,840,0
301,2011-02-10,103.3,103.3,103.3,103.3,1000,0
302,2011-02-11,104.0,104.0,103.3,103.3,5010,0
303,2011-02-16,103.4,103.4,103.4,103.4,2450,0
304,2011-02-18,104.0,104.0,103.5,103.5,107500,0
305,2011-02-21,103.3,103.6,103.3,103.5,56600,-228656
306,2011-02-22,103.5,103.5,103.5,103.5,30,0
307,2011-02-24,103.3,103.6,103.3,103.6,1940,-97252
308,2011-03-02,103.5,103.5,103.5,103.5,10000,0
309,2011-03-04,103.5,103.5,103.5,103.5,150000,0
310,2011-03-08,103.5,103.5,103.5,103.5,150,-15525
311,2011-03-09,103.5,103.5,103.5,103.5,200000,0
312,2011-03-10,103.6,103.6,103.2,103.3,200000,0
313,2011-03-14,103.4,103.4,103.4,103.4,100000,0
314,2011-03-15,103.4,103.4,103.4,103.4,203350,-36190
315,2011-03-18,103.4,104.0,103.4,103.5,33350,-346390
316,2011-03-21,103.4,103.4,103.3,103.3,25000,0
317,2011-03-22,103.3,103.4,103.3,103.4,52500,0
318,2011-03-23,103.4,103.4,103.4,103.4,50000,0
319,2011-03-24,103.4,103.4,103.4,103.4,100000,0
320,2011-03-25,103.5,103.5,103.3,103.3,98580,103400
321,2011-03-28,103.4,103.4,103.4,103.4,2900,0
322,2011-03-30,103.5,103.5,103.5,103.5,6000,0
323,2011-03-31,103.5,103.5,103.5,103.5,30000,0
324,2011-04-05,103.4,103.4,103.4,103.4,1000,-103400
325,2011-04-18,103.6,103.6,103.6,103.6,500,0
326,2011-04-28,104.0,104.0,104.0,104.0,300,31200
327,2011-05-03,104.3,104.3,104.3,104.3,300,0
328,2011-05-10,104.3,104.6,104.3,104.6,500,0
329,2011-05-16,106.0,106.0,104.0,104.0,10000,0
330,2011-05-17,106.7,106.7,106.7,106.7,10,0
331,2011-05-18,104.1,104.2,104.1,104.2,350,0
332,2011-05-30,104.4,104.4,104.4,104.4,500,0
333,2011-06-03,104.4,104.5,104.4,104.5,12580,9405
334,2011-06-07,104.6,104.6,104.5,104.5,1000,52300
335,2011-06-09,104.6,104.7,104.6,104.7,1100,0
336,2011-06-10,104.7,104.7,104.5,104.5,152900,104700
337,2011-06-13,104.6,104.6,104.6,104.6,500,52300
338,2011-06-14,106.7,106.7,104.6,104.6,4780,0
339,2011-06-28,104.8,104.8,104.8,104.8,5000,0
340,2011-07-01,106.7,106.7,106.7,106.7,180,0
341,2011-07-04,106.7,106.7,106.7,106.7,140,0
342,2011-07-05,106.8,106.8,106.8,106.8,20000,0
343,2011-07-06,105.0,105.0,105.0,105.0,85000,0
344,2011-07-07,105.0,105.0,105.0,105.0,200,0
345,2011-07-11,100.5,100.5,100.5,100.5,200,20100
346,2011-07-15,103.0,105.0,103.0,105.0,2100,0
347,2011-07-18,103.0,105.0,103.0,105.0,3100,0
348,2011-07-22,103.0,103.0,103.0,103.0,100,0
349,2011-07-27,103.0,103.0,103.0,103.0,15000,0
350,2011-08-08,103.0,103.0,103.0,103.0,800,0
351,2011-08-09,103.0,104.0,103.0,104.0,3370,0
352,2011-08-23,103.5,103.5,103.5,103.5,5000,0
353,2011-08-26,104.0,104.0,104.0,104.0,1400,0
354,2011-08-31,104.0,104.0,104.0,104.0,13600,0
355,2011-09-01,103.6,103.6,103.6,103.6,6400,0
356,2011-09-02,105.0,105.0,105.0,105.0,5000,0
357,2011-09-12,105.0,105.0,105.0,105.0,19440,0
358,2011-09-20,105.0,105.0,104.5,104.5,45000,157100
359,2011-09-26,104.5,104.5,104.5,104.5,3000,0
360,2011-09-30,104.5,104.5,104.5,104.5,7140,0
361,2011-10-10,105.0,105.0,104.5,104.5,3060,21000
362,2011-10-11,105.0,105.0,104.5,104.5,1000,21000
363,2011-10-13,105.0,105.0,104.5,104.5,125200,21000
