,Date,Open,High,Low,Close,Volume,OtherData
0,2015-01-21,500.0,500.0,500.0,500.0,4000,0
1,2015-03-26,500.0,500.0,500.0,500.0,2000,0
2,2015-03-27,500.0,500.0,500.0,500.0,2600,-1300000
3,2015-07-07,500.0,500.0,500.0,500.0,4000,0
4,2015-07-29,505.0,505.0,505.0,505.0,10,0
5,2015-08-04,500.0,500.0,500.0,500.0,7990,0
6,2015-09-04,500.0,500.0,500.0,500.0,2000,0
7,2015-10-06,500.0,500.0,500.0,500.0,1200,0
8,2015-11-13,500.0,500.0,500.0,500.0,2000,0
9,2016-01-19,500.0,500.0,500.0,500.0,7000,0
10,2016-02-05,500.0,500.0,500.0,500.0,8000,0
11,2016-02-09,500.0,500.0,500.0,500.0,2000,0
12,2016-03-01,500.0,500.0,500.0,500.0,2000,-1000000
13,2016-05-03,510.0,510.0,510.0,510.0,100,0
14,2016-05-04,510.0,510.0,510.0,510.0,30,0
15,2016-05-06,500.0,500.0,500.0,500.0,10000,0
16,2016-05-12,510.0,510.0,510.0,510.0,99870,0
17,2016-05-17,510.0,510.0,510.0,510.0,35000,0
18,2016-05-26,510.0,510.0,510.0,510.0,50000,0
19,2016-08-25,505.0,505.0,505.0,505.0,2000,0
20,2016-09-20,505.0,505.0,505.0,505.0,4000,0
21,2016-09-21,505.0,505.0,505.0,505.0,1000,0
22,2016-09-28,515.0,515.0,515.0,515.0,1000,0
23,2016-10-05,506.0,506.0,505.0,505.0,5400,0
24,2016-10-13,505.0,505.0,505.0,505.0,2000,0
25,2016-11-02,510.0,510.0,510.0,510.0,2000,0
26,2016-11-04,510.0,510.0,510.0,510.0,4000,0
27,2016-11-07,510.0,510.0,510.0,510.0,6020,0
28,2016-11-08,510.0,510.0,510.0,510.0,9980,0
29,2016-12-15,505.0,505.0,505.0,505.0,2000,0
30,2017-02-17,506.0,506.0,505.0,505.0,10000,-5039900
31,2017-02-28,505.0,515.0,505.0,515.0,530,0
32,2017-03-09,508.0,508.0,508.0,508.0,2000,-1016000
33,2017-04-25,508.5,508.5,506.0,506.0,33000,0
34,2017-05-25,510.0,510.0,510.0,510.0,4000,0
35,2017-06-08,510.0,510.0,508.0,508.0,4000,-1530000
36,2017-06-19,510.0,510.0,510.0,510.0,35180,0
37,2017-06-20,500.0,500.0,500.0,500.0,4000,0
38,2017-06-28,515.0,515.0,515.0,515.0,3000,0
39,2017-07-07,512.0,512.0,512.0,512.0,2000,0
40,2017-07-17,510.0,510.0,510.0,510.0,30,0
41,2017-07-20,512.0,512.0,512.0,512.0,500,0
42,2017-08-14,517.0,517.0,517.0,517.0,220,0
43,2017-09-28,514.0,514.0,514.0,514.0,2340,0
44,2017-10-25,510.0,510.0,510.0,510.0,4000,0
45,2017-11-10,517.0,517.0,517.0,517.0,800,0
46,2017-11-17,517.0,517.0,517.0,517.0,30,0
47,2017-12-13,510.0,510.0,510.0,510.0,30,0
48,2017-12-27,510.0,510.0,507.0,507.0,580,0
49,2018-01-16,510.0,510.0,510.0,510.0,7090,0
50,2018-01-19,517.0,517.0,517.0,517.0,10,5170
51,2018-02-19,518.0,518.0,505.0,505.0,10000,5180
52,2018-03-05,505.0,505.0,505.0,505.0,10,-5050
53,2018-03-07,505.0,505.0,505.0,505.0,800,0
54,2018-05-28,505.0,505.0,505.0,505.0,13200,0
55,2018-05-30,505.0,505.0,505.0,505.0,9370,0
56,2018-06-04,515.0,515.0,515.0,515.0,6900,0
57,2018-06-06,505.0,505.0,505.0,505.0,4000,0
58,2018-08-10,505.0,505.0,505.0,505.0,100,0
59,2018-08-29,505.0,505.0,451.0,451.0,4000,0
60,2018-09-17,500.0,500.0,500.0,500.0,3000,0
61,2018-10-02,480.0,480.0,480.0,480.0,1000,0
62,2018-10-10,480.0,480.0,480.0,480.0,44510,0
63,2018-10-12,480.0,480.0,480.0,480.0,6590,0
64,2018-10-24,480.0,480.0,480.0,480.0,20,0
65,2018-11-09,480.0,480.0,480.0,480.0,100,0
66,2018-11-14,480.0,480.0,480.0,480.0,310,0
67,2018-11-15,480.0,480.0,480.0,480.0,10,0
68,2018-11-23,480.0,480.0,480.0,480.0,100,0
69,2018-11-27,480.0,480.0,480.0,480.0,200,0
70,2018-12-13,472.0,472.0,472.0,472.0,4000,0
