,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,0.48,0.54,0.38,0.4,291270000,3225300
1,2006-08-02,0.36,0.39,0.34,0.36,338640000,-720300
2,2006-08-03,0.36,0.38,0.29,0.31,133370000,-12500
3,2006-08-04,0.32,0.33,0.31,0.33,53880000,393600
4,2006-08-07,0.33,0.33,0.31,0.32,24220000,-985600
5,2006-08-08,0.34,0.41,0.34,0.41,187450000,-2420000
6,2006-08-09,0.41,0.46,0.39,0.45,156500000,-4100400
7,2006-08-10,0.48,0.48,0.42,0.42,183120000,-7643800
8,2006-08-11,0.42,0.45,0.4,0.42,101150000,-1213500
9,2006-08-14,0.42,0.43,0.4,0.43,39520000,-2000
10,2006-08-15,0.43,0.47,0.43,0.47,91360000,-207000
11,2006-08-16,0.51,0.54,0.5,0.52,376990000,-1283600
12,2006-08-17,0.5,0.57,0.5,0.55,180600000,330000
13,2006-11-02,0.68,0.72,0.67,0.7,109260000,315000
14,2006-11-03,0.71,0.72,0.69,0.7,47230000,207000
15,2006-11-06,0.7,0.72,0.68,0.68,22750000,578000
16,2006-11-07,0.69,0.7,0.67,0.68,24140000,0
17,2006-11-08,0.69,0.71,0.67,0.71,52470000,0
18,2006-11-09,0.72,0.74,0.71,0.73,92520000,730000
19,2006-11-10,0.73,0.74,0.72,0.72,44410000,-7200
20,2006-11-13,0.72,0.73,0.71,0.71,26810000,-695800
21,2006-11-14,0.71,0.72,0.7,0.7,24550000,0
22,2006-11-15,0.71,0.77,0.71,0.76,141430000,-587200
23,2006-11-16,0.77,0.79,0.75,0.76,74940000,0
24,2006-11-17,0.76,0.8,0.76,0.79,101560000,15800
25,2006-11-20,0.8,0.81,0.78,0.79,38850000,760000
26,2006-11-21,0.79,0.79,0.77,0.79,28320000,0
27,2006-11-22,0.79,0.81,0.79,0.8,74830000,562000
28,2006-11-23,0.82,0.84,0.81,0.83,70860000,0
29,2006-10-02,0.59,0.62,0.59,0.61,87940000,-305000
30,2006-10-03,0.61,0.63,0.59,0.6,95410000,14564000
31,2006-10-04,0.6,0.61,0.57,0.59,82850000,0
32,2006-10-05,0.59,0.6,0.58,0.59,46460000,-178000
33,2006-10-06,0.59,0.62,0.59,0.6,43140000,0
34,2006-10-09,0.61,0.62,0.59,0.6,23070000,0
35,2006-10-10,0.6,0.6,0.59,0.6,7190000,0
36,2006-10-11,0.6,0.66,0.6,0.66,152520000,0
37,2006-10-12,0.67,0.68,0.65,0.66,61370000,13200
38,2006-10-13,0.66,0.68,0.65,0.67,104830000,0
39,2006-10-16,0.68,0.7,0.67,0.67,59760000,-998300
40,2006-10-17,0.68,0.69,0.64,0.64,202170000,405000
41,2006-10-18,0.64,0.66,0.63,0.65,45660000,0
42,2006-10-19,0.66,0.72,0.66,0.72,275260000,-996000
43,2006-10-20,0.73,0.74,0.71,0.71,73120000,14400
44,2006-10-23,0.73,0.75,0.71,0.73,89950000,503700
45,2006-10-25,0.74,0.75,0.72,0.73,52280000,146000
46,2006-10-26,0.72,0.73,0.7,0.71,96300000,-249200
47,2006-10-27,0.73,0.74,0.71,0.72,74710000,12248000
48,2006-10-30,0.72,0.72,0.68,0.68,67030000,0
49,2006-10-31,0.67,0.68,0.64,0.68,141220000,-169000
50,2006-09-01,0.64,0.67,0.63,0.66,111890000,-6576000
51,2006-09-04,0.67,0.7,0.65,0.67,115080000,-105000
52,2006-09-05,0.67,0.68,0.59,0.61,115530000,30500
53,2006-09-06,0.61,0.64,0.6,0.61,65260000,-300000
54,2006-09-07,0.61,0.64,0.61,0.62,63130000,-31500
55,2006-09-08,0.62,0.63,0.48,0.56,154670000,-12896300
56,2006-09-11,0.55,0.58,0.54,0.54,50040000,270000
57,2006-09-12,0.54,0.54,0.48,0.5,78250000,-444500
58,2006-09-13,0.5,0.5,0.4,0.42,168230000,141900
59,2006-09-14,0.38,0.47,0.37,0.45,212690000,-1329900
60,2006-09-15,0.46,0.51,0.46,0.49,119360000,-121700
61,2006-09-18,0.53,0.53,0.51,0.51,130560000,0
62,2006-09-19,0.53,0.53,0.49,0.5,39680000,0
63,2006-09-20,0.49,0.51,0.46,0.5,47230000,0
64,2006-09-21,0.5,0.51,0.49,0.49,18880000,0
65,2006-09-22,0.5,0.5,0.47,0.48,26070000,0
66,2006-09-25,0.49,0.56,0.49,0.56,186250000,-2000
67,2006-09-26,0.58,0.6,0.56,0.58,168550000,53400
68,2006-09-27,0.59,0.61,0.58,0.59,141200000,442500
