,Date,Open,High,Low,Close,Volume,OtherData
0,2011-04-06,2.07,2.08,2.02,2.02,15746000.0,-2104970.0
1,2011-04-07,2.04,2.17,2.04,2.11,38888000.0,-8359790.0
2,2011-04-08,2.11,2.28,2.11,2.25,51372000.0,-892250.0
3,2011-04-11,2.27,2.31,2.2,2.2,22007000.0,2503440.0
4,2011-04-12,2.18,2.21,2.12,2.16,25353000.0,2740640.0
5,2011-04-13,2.14,2.26,2.14,2.26,22453000.0,75320.0
6,2011-04-14,2.29,2.33,2.27,2.29,25801000.0,-10000.0
7,2011-04-15,2.31,2.32,2.22,2.22,23001000.0,824780.0
8,2011-04-18,2.22,2.24,2.15,2.17,6465000.0,688600.0
9,2011-04-19,2.15,2.18,2.13,2.18,11414000.0,89780.0
10,2011-04-20,2.19,2.27,2.18,2.24,21281000.0,-9404560.0
11,2011-04-25,2.28,2.29,2.18,2.19,16594000.0,-9252970.0
12,2011-04-26,2.18,2.18,2.12,2.12,22899000.0,-21048430.0
13,2011-04-27,2.13,2.16,2.13,2.16,9749000.0,-4058570.0
14,2011-04-28,2.15,2.18,2.13,2.13,3109000.0,0.0
15,2011-04-29,2.12,2.16,2.12,2.15,3421000.0,-10750.0
16,2011-05-03,2.17,2.17,2.11,2.12,5991000.0,1719200.0
17,2011-05-04,2.16,2.16,2.02,2.04,24034000.0,2521860.0
18,2011-05-05,2.03,2.07,1.97,1.98,13306000.0,2634190.0
19,2011-05-06,1.95,2.04,1.94,2.0,4434000.0,0.0
20,2011-05-09,1.98,2.0,1.93,1.94,6913000.0,-38800.0
21,2011-05-10,1.94,2.02,1.93,1.99,4812000.0,198000.0
22,2011-05-11,2.0,2.04,1.99,2.0,2832000.0,0.0
23,2011-05-12,1.99,1.99,1.95,1.96,4819000.0,2757790.0
24,2011-05-13,2.0,2.0,1.93,1.93,5014000.0,0.0
25,2011-05-16,1.93,1.93,1.9,1.92,1954000.0,0.0
26,2011-05-17,1.88,1.99,1.88,1.92,7715000.0,0.0
27,2011-05-18,1.95,1.96,1.92,1.93,2946000.0,357200.0
28,2011-05-19,1.95,2.03,1.94,1.98,9850000.0,65090.0
29,2011-05-20,1.98,2.0,1.95,1.95,2781000.0,0.0
30,2011-05-23,1.92,1.94,1.91,1.91,1798000.0,0.0
31,2011-05-24,1.9,1.9,1.83,1.85,6315000.0,27900.0
32,2011-05-25,1.83,1.83,1.8,1.83,3897000.0,351460.0
33,2011-05-26,1.83,1.88,1.83,1.84,3812000.0,-29730.0
34,2011-05-27,1.81,1.87,1.81,1.87,1756000.0,744160.0
35,2011-05-30,1.86,1.88,1.85,1.87,519000.0,-9350.0
36,2011-05-31,1.87,2.01,1.87,2.0,15342000.0,19537650.0
37,2011-06-02,2.05,2.05,2.01,2.01,7781000.0,3829440.0
38,2011-06-03,2.0,2.04,1.96,1.96,2209000.0,0.0
39,2011-06-06,1.96,1.96,1.92,1.94,2483000.0,0.0
40,2011-06-07,1.93,2.02,1.91,1.98,6273000.0,1663200.0
41,2011-06-08,1.94,1.99,1.94,1.97,1201000.0,-71280.0
42,2011-06-09,1.98,1.98,1.95,1.96,658000.0,0.0
43,2011-06-10,1.95,1.97,1.94,1.94,1031000.0,0.0
44,2011-06-13,1.94,1.94,1.85,1.85,5000000.0,1161240.0
45,2011-06-14,1.84,1.88,1.76,1.78,6219000.0,47920.0
46,2011-06-15,1.81,1.85,1.78,1.81,3762000.0,-18300.0
47,2011-06-16,1.78,1.84,1.76,1.81,1130000.0,0.0
48,2011-06-17,1.83,1.83,1.82,1.82,271000.0,0.0
49,2011-06-21,1.8,1.86,1.8,1.84,3364000.0,0.0
50,2011-06-22,1.86,1.9,1.84,1.9,4526000.0,166200.0
51,2011-06-23,1.89,1.9,1.86,1.86,4342000.0,0.0
52,2011-06-27,1.9,1.96,1.89,1.91,2706000.0,1000.0
53,2011-06-28,1.91,1.94,1.91,1.92,2624000.0,1111260.0
54,2011-06-29,1.92,1.92,1.89,1.89,979000.0,0.0
55,2011-06-30,1.9,1.95,1.89,1.95,16242000.0,6860150.0
56,2011-07-01,1.98,2.11,1.98,2.09,199507000.0,8935310.0
57,2011-07-04,2.12,2.22,2.12,2.14,49439000.0,5620240.0
58,2011-07-05,2.17,2.17,2.06,2.07,13199000.0,-1863320.0
59,2011-07-06,2.09,2.21,2.06,2.2,49333000.0,714200.0
60,2011-07-07,2.22,2.36,2.2,2.33,103271000.0,-1636210.0
61,2011-07-08,2.35,2.39,2.33,2.33,36694000.0,-1495860.0
62,2011-07-11,2.33,2.36,2.29,2.31,21161000.0,875000.0
63,2011-07-12,2.28,2.39,2.26,2.3,43507000.0,-5935220.0
64,2011-07-13,2.3,2.53,2.3,2.5,77356000.0,22076130.0
65,2011-07-14,2.56,2.7,2.52,2.58,65927000.0,6873680.0
66,2011-07-15,2.59,2.63,2.58,2.6,20241000.0,227440.0
67,2011-07-18,2.62,2.95,2.62,2.9,44763000.0,-2479650.0
68,2011-07-19,2.89,2.94,2.8,2.85,17924000.0,-12136620.0
69,2011-07-20,2.9,2.9,2.62,2.63,26328000.0,-3903210.0
70,2011-07-21,2.69,2.72,2.62,2.66,7676000.0,-161780.0
71,2011-07-22,2.72,2.93,2.7,2.84,36700000.0,2255940.0
72,2011-07-25,2.84,2.84,2.73,2.74,12073000.0,-73980.0
73,2011-07-26,2.74,2.91,2.74,2.9,30392000.0,-1460500.0
74,2011-07-27,2.9,3.06,2.9,3.01,51555000.0,-9257290.0
75,2011-07-28,2.92,2.99,2.91,2.98,21069000.0,-4687380.0
76,2011-07-29,2.98,2.98,2.84,2.9,15126000.0,-774450.0
77,2011-08-01,2.9,2.98,2.9,2.93,15415000.0,100300.0
78,2011-08-02,2.93,2.95,2.88,2.9,6952000.0,-40500.0
79,2011-08-03,2.84,2.86,2.78,2.81,19799000.0,402230.0
80,2011-08-04,2.82,2.88,2.81,2.88,5402000.0,-2156670.0
81,2011-08-05,2.74,2.79,2.64,2.68,19216000.0,-1602220.0
82,2011-08-08,2.6,2.6,2.49,2.53,34578000.0,-3164500.0
83,2011-08-09,2.42,2.47,2.31,2.47,24757000.0,152570.0
84,2011-08-10,2.57,2.63,2.54,2.6,19652000.0,3202440.0
85,2011-08-11,2.47,2.68,2.47,2.65,20246000.0,4024860.0
86,2011-08-12,2.74,2.8,2.6,2.6,16183000.0,-3334670.0
87,2011-08-15,2.6,2.67,2.6,2.64,4447000.0,-53000.0
88,2011-08-16,2.62,2.87,2.62,2.87,35986000.0,-11492530.0
89,2011-08-17,2.86,2.86,2.77,2.8,7930000.0,-8502600.0
90,2011-08-18,2.81,2.85,2.77,2.79,4183000.0,-3697800.0
91,2011-08-19,2.71,2.74,2.62,2.63,7069000.0,-3105470.0
92,2011-08-22,2.68,2.68,2.59,2.6,9535000.0,-3924000.0
93,2011-08-23,2.6,2.61,2.53,2.55,6567000.0,-2937500.0
94,2011-08-24,2.6,2.68,2.49,2.49,8990000.0,214140.0
95,2011-08-25,2.49,2.52,2.45,2.45,2546000.0,0.0
96,2011-08-26,2.45,2.55,2.45,2.5,2010000.0,1301400.0
97,2011-08-31,2.58,2.61,2.5,2.56,3588000.0,-693740.0
98,2011-09-01,2.56,2.65,2.5,2.65,7649000.0,2051100.0
99,2011-09-02,2.65,2.74,2.63,2.67,7206000.0,-8809500.0
100,2011-09-05,2.64,2.64,2.55,2.55,1566000.0,0.0
101,2011-09-06,2.5,2.53,2.43,2.45,5960000.0,-2290750.0
102,2011-09-07,2.47,2.47,2.45,2.45,3962000.0,-2450000.0
103,2011-09-08,2.5,2.53,2.48,2.53,3639000.0,3070010.0
104,2011-09-09,2.56,2.56,2.46,2.48,2908000.0,4041880.0
105,2011-09-12,2.5,2.5,2.44,2.44,1264000.0,0.0
106,2011-09-13,2.43,2.43,2.31,2.31,10822000.0,2395800.0
107,2011-09-14,2.36,2.36,2.25,2.25,4591000.0,690000.0
108,2011-09-15,2.23,2.3,2.21,2.28,1134000.0,0.0
109,2011-09-16,2.3,2.45,2.29,2.4,9253000.0,-3240000.0
110,2011-09-19,2.4,2.45,2.35,2.45,8184000.0,-5156050.0
111,2011-09-20,2.4,2.4,2.3,2.4,2224000.0,0.0
112,2011-09-21,2.39,2.39,2.29,2.3,2998000.0,183200.0
113,2011-09-22,2.3,2.3,2.19,2.25,2174000.0,32800.0
114,2011-09-23,2.15,2.15,2.0,2.05,5287000.0,567300.0
115,2011-09-26,2.0,2.0,1.8,1.89,2698000.0,200000.0
116,2011-09-28,1.96,2.04,1.96,1.99,4815000.0,1586660.0
117,2011-09-29,1.98,2.02,1.9,2.02,4779000.0,551840.0
118,2011-09-30,2.02,2.09,2.02,2.05,7013000.0,-7117720.0
119,2011-10-03,2.0,2.0,1.95,1.98,1613000.0,-886170.0
