,Date,Open,High,Low,Close,Volume,OtherData
0,2014-08-22,511.0,511.0,488.0,498.0,15440.0,0.0
1,2014-08-26,499.0,499.0,495.0,495.0,8710.0,0.0
2,2014-08-27,494.8,494.8,485.0,485.0,36200.0,194900.0
3,2014-08-28,485.0,490.0,480.0,489.0,19300.0,0.0
4,2014-08-29,489.0,490.0,487.0,487.0,14630.0,0.0
5,2014-09-01,488.0,488.0,480.0,488.0,20520.0,0.0
6,2014-09-02,487.0,487.0,487.0,487.0,1620.0,0.0
7,2014-09-03,488.0,488.0,487.0,488.0,13920.0,0.0
8,2014-09-04,487.0,489.0,487.0,488.0,44880.0,0.0
9,2014-09-05,489.0,489.0,489.0,489.0,17070.0,0.0
10,2014-09-08,490.0,490.0,490.0,490.0,9600.0,298900.0
11,2014-09-09,490.0,492.0,490.0,490.0,25390.0,0.0
12,2014-09-10,492.0,494.0,492.0,493.0,5940.0,0.0
13,2014-09-11,495.0,495.0,494.8,495.0,21300.0,0.0
14,2014-09-12,496.0,499.0,496.0,499.0,41510.0,0.0
15,2014-09-15,499.8,500.0,499.8,500.0,13820.0,0.0
16,2014-09-16,502.0,505.0,502.0,505.0,31660.0,-858500.0
17,2014-09-17,500.0,505.0,500.0,503.0,1530.0,0.0
18,2014-09-18,503.0,503.0,502.0,502.0,6350.0,0.0
19,2014-09-22,500.5,500.5,500.5,500.5,2850.0,0.0
20,2014-09-23,501.0,506.0,501.0,506.0,18890.0,0.0
21,2014-09-24,506.0,508.0,506.0,507.0,1080.0,0.0
22,2014-09-25,507.0,507.0,500.5,501.0,19380.0,0.0
23,2014-09-26,503.0,503.0,500.0,500.0,9590.0,-4767845.0
24,2014-09-29,500.0,505.0,500.0,500.0,14600.0,0.0
25,2014-09-30,500.0,500.0,497.0,497.0,6030.0,0.0
26,2014-10-01,498.0,500.0,497.0,497.0,4710.0,2000000.0
27,2014-10-02,497.0,497.0,497.0,497.0,1960.0,0.0
28,2014-10-03,497.0,497.0,496.0,496.0,640.0,0.0
29,2014-10-07,497.0,497.0,496.0,496.0,750.0,0.0
30,2014-10-08,497.0,497.2,497.0,497.2,2330.0,0.0
31,2014-10-09,495.2,495.2,495.2,495.2,90.0,0.0
32,2014-10-10,495.0,495.0,495.0,495.0,5190.0,0.0
33,2014-10-13,495.0,495.0,494.0,494.0,390.0,9880.0
34,2014-10-14,494.0,494.0,491.0,492.0,6810.0,0.0
35,2014-10-15,492.0,495.0,492.0,494.0,6060.0,0.0
36,2014-10-16,492.6,494.0,492.6,494.0,4200.0,0.0
37,2014-10-17,494.0,494.0,494.0,494.0,4020.0,0.0
