,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,23.5,23.5,23.25,23.25,206500.0,375750.0
1,2006-08-02,23.0,23.0,23.0,23.0,22000.0,-506000.0
2,2006-08-03,23.0,23.0,23.0,23.0,21000.0,-483000.0
3,2006-08-04,22.75,23.0,22.75,23.0,22000.0,-476100.0
4,2006-08-07,23.0,23.0,23.0,23.0,305000.0,0.0
5,2006-08-08,23.0,23.0,23.0,23.0,370000.0,57500.0
6,2006-08-09,23.0,23.0,23.0,23.0,80000.0,69000.0
7,2006-08-10,23.0,23.25,23.0,23.25,31600.0,253000.0
8,2006-08-11,23.25,23.25,23.25,23.25,32200.0,-697500.0
9,2006-08-14,23.5,23.5,23.5,23.5,237600.0,291400.0
10,2006-08-15,23.5,23.5,23.5,23.5,18400.0,-432400.0
11,2006-08-16,23.5,23.5,23.5,23.5,21100.0,-495850.0
12,2006-08-17,23.25,23.25,23.25,23.25,24500.0,0.0
13,2006-12-05,21.0,21.0,20.75,20.75,50000.0,508650.0
14,2006-12-06,20.5,20.75,20.5,20.75,143900.0,2878200.0
15,2006-12-07,21.0,21.0,20.5,20.5,102700.0,2050000.0
16,2006-12-08,20.75,21.0,20.5,21.0,31200.0,385700.0
17,2006-12-11,21.0,21.5,21.0,21.5,10000.0,-107500.0
18,2006-12-12,21.25,21.5,21.25,21.5,20000.0,-197800.0
19,2006-12-13,21.5,21.5,21.25,21.25,23200.0,-230050.0
20,2006-12-14,21.25,21.25,21.0,21.25,268200.0,3042750.0
21,2006-12-15,20.75,21.25,20.75,21.25,65000.0,-693750.0
22,2006-12-18,21.25,21.25,21.0,21.25,22200.0,0.0
23,2006-12-19,21.0,21.0,20.75,20.75,31700.0,-122000.0
24,2006-12-20,21.0,21.0,21.0,21.0,15000.0,-315000.0
25,2006-12-21,21.0,21.0,21.0,21.0,25000.0,0.0
26,2006-12-22,21.0,21.0,21.0,21.0,10800.0,0.0
27,2006-12-27,21.0,21.0,20.0,20.0,96700.0,-339000.0
28,2006-12-28,20.0,20.25,20.0,20.0,68800.0,0.0
29,2006-12-29,20.25,21.0,20.25,21.0,32200.0,0.0
30,2006-11-02,22.0,22.0,21.75,21.75,44000.0,-958000.0
31,2006-11-03,22.0,22.0,21.75,22.0,45000.0,-654500.0
32,2006-11-06,21.75,22.0,21.5,22.0,37300.0,-806075.0
33,2006-11-07,21.75,21.75,21.5,21.75,48000.0,-1034000.0
34,2006-11-08,21.5,21.5,21.25,21.5,31500.0,-421125.0
35,2006-11-09,21.5,21.5,21.25,21.25,53000.0,-873500.0
36,2006-11-10,21.25,21.25,20.5,21.25,102600.0,-1647250.0
37,2006-11-13,21.5,21.5,21.0,21.25,64100.0,-1320600.0
38,2006-11-14,21.0,21.5,21.0,21.5,13000.0,-253000.0
39,2006-11-15,21.5,21.5,21.0,21.0,30700.0,-373200.0
40,2006-11-16,21.0,21.0,21.0,21.0,19000.0,-294000.0
41,2006-11-17,20.75,20.75,20.25,20.5,177800.0,-3606275.0
42,2006-11-20,20.5,20.5,20.25,20.25,192600.0,-3822675.0
43,2006-11-21,20.0,20.0,20.0,20.0,446800.0,-8862000.0
44,2006-11-22,20.0,20.0,20.0,20.0,359700.0,-5194000.0
45,2006-11-23,20.0,21.75,20.0,21.75,10200.0,-204350.0
46,2006-11-24,20.5,20.5,20.5,20.5,80800.0,-1025000.0
47,2006-11-27,20.5,20.5,20.5,20.5,141500.0,-1957750.0
48,2006-11-28,20.25,20.25,20.25,20.25,115000.0,-1802250.0
49,2006-11-29,20.25,20.25,19.5,20.0,404500.0,-7649500.0
50,2006-11-30,20.25,20.25,19.5,20.0,215000.0,-3928500.0
51,2006-10-02,22.75,22.75,22.5,22.75,41100.0,-173650.0
52,2006-10-03,22.5,22.75,22.0,22.75,149100.0,-102375.0
53,2006-10-04,22.75,22.75,22.5,22.75,47800.0,-791700.0
54,2006-10-05,22.75,22.75,22.75,22.75,26000.0,-523250.0
55,2006-10-06,22.5,22.75,22.5,22.75,57500.0,-1284875.0
56,2006-10-09,22.75,22.75,22.75,22.75,30100.0,-571025.0
57,2006-10-10,22.75,22.75,22.5,22.75,38800.0,-651200.0
58,2006-10-11,22.75,22.75,22.5,22.5,39300.0,-886575.0
59,2006-10-12,22.75,22.75,22.5,22.5,33900.0,-740625.0
60,2006-10-13,22.5,22.5,22.5,22.5,40200.0,-396000.0
61,2006-10-16,22.25,22.5,22.25,22.5,69000.0,-1148375.0
62,2006-10-17,22.25,22.25,22.25,22.25,25600.0,-398275.0
63,2006-10-18,22.25,22.25,22.25,22.25,26200.0,-493950.0
64,2006-10-19,22.25,22.5,22.25,22.25,44000.0,-958000.0
65,2006-10-20,22.25,22.25,22.0,22.0,67200.0,-1437650.0
66,2006-10-23,22.0,22.25,22.0,22.25,35000.0,-552000.0
67,2006-10-25,22.0,22.0,21.75,21.75,46200.0,-773000.0
68,2006-10-26,21.75,21.75,21.25,21.5,72800.0,-1300850.0
69,2006-10-27,21.5,22.0,21.5,22.0,32000.0,-575125.0
70,2006-10-30,22.0,22.0,21.75,22.0,20200.0,-441900.0
71,2006-10-31,21.75,22.0,21.75,22.0,124000.0,-1823500.0
72,2006-09-01,23.0,23.0,22.75,23.0,35400.0,-172500.0
73,2006-09-04,23.0,23.0,22.75,22.75,21000.0,-460000.0
74,2006-09-05,23.0,23.0,23.0,23.0,30000.0,-460000.0
75,2006-09-06,23.0,23.0,23.0,23.0,35200.0,0.0
