Date,Unnamed: 0,Open,High,Low,Close,Volume,OtherData,EMA-18,EMA-50,EMA-100
2012-04-20,0,500.0,500.0,481.2,492.0,6738310.0,544491676.0,,,
2012-04-23,1,491.0,495.0,490.0,492.2,1104740.0,283862344.0,,,
2012-04-24,2,491.0,492.0,486.6,491.2,682830.0,88762302.0,,,
2012-04-25,3,491.8,516.5,491.8,513.0,1399920.0,211830740.0,,,
2012-04-26,4,515.0,520.0,506.0,508.0,413670.0,29163325.0,,,
2012-04-27,5,510.0,510.0,501.0,502.5,643190.0,10270685.0,,,
2012-05-02,6,510.0,515.0,510.0,510.0,328120.0,-6590375.0,,,
2012-05-03,7,509.0,510.0,494.6,500.5,1317560.0,22928283.0,,,
2012-05-04,8,501.0,512.0,501.0,511.5,465260.0,76130160.0,,,
2012-05-07,9,510.0,510.0,500.0,500.0,408800.0,-10244200.0,,,
2012-05-08,10,500.0,506.0,500.0,503.0,182320.0,1270470.0,,,
2012-05-09,11,503.0,504.0,500.5,502.0,209710.0,580465.0,,,
2012-05-10,12,500.0,501.0,489.0,493.0,382220.0,-14329932.0,,,
2012-05-11,13,493.0,500.0,490.0,491.0,210990.0,-30373744.0,,,
2012-05-14,14,490.0,490.0,468.4,470.0,210090.0,-15010432.0,,,
2012-05-15,15,470.0,470.0,455.4,465.6,769630.0,-99138258.0,,,
2012-05-16,16,470.0,480.0,467.0,470.0,232470.0,24096814.0,,,
2012-05-17,17,475.0,493.0,470.0,482.0,222770.0,-9958956.0,494.3055555555555,,
2012-05-18,18,475.0,475.0,463.0,465.0,181160.0,-22758716.0,491.22076023391816,,
2012-05-21,19,462.2,478.0,460.8,472.0,283660.0,-30269958.0,489.1975223145584,,
2012-05-22,20,480.0,490.0,472.2,472.2,139720.0,9668138.0,487.4083094393417,,
2012-05-23,21,479.0,480.0,476.0,480.0,117010.0,36163706.0,486.62848739309516,,
2012-05-24,22,468.0,480.0,468.0,479.0,52810.0,0.0,485.8254887201378,,
2012-05-25,23,479.0,479.8,478.0,479.0,235560.0,-13084656.0,485.10701622328116,,
2012-05-28,24,480.0,483.0,478.0,483.0,68630.0,8967050.0,484.8852250418831,,
2012-05-29,25,483.2,501.0,481.0,498.0,760220.0,-3125504.0,486.2657276690533,,
2012-05-30,26,498.0,500.0,495.0,500.0,344940.0,-15915062.0,487.7114405459951,,
2012-05-31,27,495.0,503.0,482.0,500.0,166840.0,20872352.0,489.0049731201008,,
2012-06-01,28,498.0,499.6,497.0,499.0,148160.0,4441348.0,490.0570812127218,,
2012-06-04,29,497.0,497.0,476.0,476.2,106130.0,-11246868.0,488.5984410850669,,
2012-06-05,30,476.4,481.0,476.4,477.0,109190.0,-44806342.0,487.3775525497967,,
2012-06-06,31,478.0,481.0,477.0,478.0,55660.0,-4800264.0,486.39044175508127,,
2012-06-07,32,478.2,488.0,478.2,479.0,213640.0,-1339140.0,485.6125005177043,,
2012-06-08,33,475.2,483.0,475.2,481.0,10320.0,-48300.0,485.1269741474197,,
2012-06-11,34,479.0,483.0,479.0,483.0,47230.0,-4275680.0,484.9030821319018,,
2012-06-13,35,483.0,490.0,483.0,484.2,41860.0,10497522.0,484.8290734864385,,
2012-06-14,36,484.0,487.0,484.0,484.0,125230.0,34016840.0,484.74180259312914,,
2012-06-15,37,482.0,482.6,482.0,482.0,36640.0,7471100.0,484.4531917938524,,
2012-06-18,38,482.2,499.6,482.2,496.2,247570.0,-12135352.0,485.68969792081526,,
2012-06-19,39,497.0,497.0,490.0,492.2,11470.0,810704.0,486.37499287651895,,
2012-06-20,40,493.0,493.6,493.0,493.0,146500.0,12807074.0,487.0723620474117,,
2012-06-21,41,492.0,495.0,492.0,494.0,136130.0,19334486.0,487.80158709505247,,
2012-06-22,42,492.0,495.0,490.0,490.0,597810.0,1020360.0,488.03299897978377,,
2012-06-25,43,494.0,494.0,489.0,489.0,7830.0,-2523500.0,488.13478856085925,,
2012-06-26,44,481.4,492.8,481.4,488.0,62510.0,6570550.0,488.1206002912951,,
2012-06-27,45,484.0,504.0,484.0,504.0,542420.0,172977626.0,489.7921160501061,,
2012-06-28,46,500.0,510.0,500.0,505.0,172640.0,46474695.0,491.3929459395686,,
2012-06-29,47,505.0,508.5,505.0,505.0,143680.0,42622190.0,492.825267419614,,
2012-07-02,48,507.0,515.5,507.0,510.0,326870.0,115780325.0,494.63313400702316,,
2012-07-03,49,510.0,517.5,510.0,516.5,296190.0,42373975.0,496.93490937470483,490.64,
2012-07-04,50,517.0,517.0,513.5,515.0,157250.0,33688440.0,498.836497861578,491.5952941176471,
2012-07-05,51,510.0,516.0,510.0,516.0,59890.0,6244300.0,500.6431822972014,492.5523414071511,
2012-07-06,52,513.0,515.5,513.0,514.0,183980.0,-16972880.0,502.04916310802224,493.393426057851,
2012-07-09,53,513.0,513.0,501.0,510.0,30370.0,0.0,502.8860933071778,494.04466425166083,
2012-07-10,54,500.0,509.0,499.0,509.0,93550.0,-8314580.0,503.52966243273806,494.63114800649765,
2012-07-11,55,507.0,507.0,505.5,507.0,205220.0,750485.0,503.8949611240288,495.1162010258506,
2012-07-12,56,510.0,532.0,510.0,531.5,856370.0,307019390.0,506.8007546899205,496.54301667189566,
2012-07-13,57,523.0,542.0,523.0,535.0,322770.0,8169940.0,509.7690963015078,498.05113366515474,
2012-07-16,58,540.0,546.0,538.0,540.0,335430.0,40507840.0,512.9512966908228,499.6961872469133,
2012-07-17,59,540.0,544.0,535.0,535.0,223410.0,13016585.0,515.2722128286309,501.08065049213235,
2012-07-18,60,532.0,535.0,525.0,526.0,70780.0,-604655.0,516.4014535835119,502.05787988459775,
2012-07-19,61,528.5,536.0,526.0,528.5,263860.0,10056335.0,517.6749847852475,503.0948257714763,
2012-07-20,62,529.0,543.0,529.0,538.0,457190.0,36649525.0,519.8144600710109,504.46365613337923,
2012-07-23,63,538.0,538.0,528.5,530.0,53150.0,-313660.0,520.8866221687992,505.4650813830505,
2012-07-24,64,529.5,530.0,525.0,527.0,99200.0,-354130.0,521.5301356247152,506.30958799547994,
2012-07-25,65,527.0,527.0,525.0,525.0,117280.0,-4951970.0,521.8953845063241,507.04254532899057,
2012-07-26,66,528.0,528.0,524.5,525.0,291470.0,32281500.0,522.2221861372374,507.7467592376576,
2012-07-27,67,528.0,534.0,528.0,531.0,26620.0,5106935.0,523.146166543844,508.6586510322593,
2012-07-30,68,538.0,548.0,538.0,544.5,252070.0,53457080.0,525.3939384865972,510.06419412903335,
2012-07-31,69,544.5,549.0,541.0,546.0,324380.0,75324675.0,527.5629975932712,511.4734414180909,
2012-08-01,70,546.0,552.0,546.0,551.0,346040.0,63242920.0,530.0300504781901,513.0235025389501,
2012-08-02,71,551.0,551.0,548.0,548.0,132570.0,1521840.0,531.9216241120648,514.3951298903638,
2012-08-03,72,545.0,549.0,540.0,548.0,27550.0,8528335.0,533.6140847318476,515.712967933879,
2012-08-06,73,550.0,555.0,547.0,548.0,49980.0,6909960.0,535.1283916021794,516.979126054119,
2012-08-08,74,548.0,556.0,540.0,554.0,201770.0,22862380.0,537.1148766966868,518.4309250323888,
2012-08-09,75,550.0,550.0,548.0,548.0,62250.0,-2549280.0,538.2606791496671,519.5904965997461,
2012-08-10,76,548.0,548.0,538.0,542.0,94400.0,-27974260.0,538.6542918707548,520.469300654658,
2012-08-13,77,545.0,545.0,542.0,542.5,54030.0,8314890.0,539.0591032527807,521.333249648593,
2012-08-14,78,542.0,543.5,541.0,543.0,16100.0,-5553665.0,539.4739344893302,522.1829261329619,
2012-08-15,79,543.0,547.0,543.0,543.5,10850.0,-4578925.0,539.8977308588743,523.0188898140223,
2012-08-16,80,548.0,548.0,538.0,541.5,163380.0,-5754610.0,540.0663907684665,523.7436392330802,
2012-08-17,81,541.5,543.5,528.0,538.0,68410.0,-10988735.0,539.8488759507331,524.302712204332,
2012-08-22,82,538.0,538.0,532.0,535.0,135140.0,20323420.0,539.3384679559191,524.7222136865149,
2012-08-23,83,538.0,548.0,537.0,547.0,61180.0,16796565.0,540.1449450131906,525.5958523654754,
2012-08-24,84,545.0,545.0,542.0,543.5,79180.0,-20793795.0,540.4981086960128,526.2979758021232,
2012-08-28,85,547.0,547.0,536.0,536.0,46720.0,-5049825.0,540.0246235701167,526.6784473392948,
2012-08-29,86,536.0,541.0,536.0,540.0,76000.0,-4080890.0,540.0220316153675,527.2008611691264,
2012-08-30,87,540.0,540.0,535.0,536.0,53190.0,363200.0,539.5986598663816,527.5459254370038,
2012-08-31,88,535.0,538.5,535.0,537.0,50190.0,11135330.0,539.3251167225518,527.9166734590821,
2012-09-03,89,537.0,539.5,536.0,537.0,27030.0,-3574640.0,539.0803675938622,528.2728823430397,
2012-09-04,90,537.0,540.0,537.0,537.5,233080.0,-2376730.0,538.9140131102977,528.634730094293,
2012-09-05,91,537.5,540.0,536.5,538.0,314200.0,29334875.0,538.8178012039507,529.0019955807913,
2012-09-06,92,537.5,540.0,537.5,538.5,27080.0,5002980.0,538.78434844564,529.3744663423289,
2012-09-07,93,540.0,554.0,540.0,550.0,210630.0,22481520.0,539.9649433460991,530.1833107994925,
2012-09-10,94,551.0,564.0,551.0,558.0,62860.0,18157165.0,541.8633703622991,531.2741613563751,
2012-09-11,95,558.0,559.0,555.0,558.0,93880.0,6930920.0,543.5619629557414,532.3222334600466,
2012-09-12,96,559.0,562.0,558.0,560.0,246020.0,49310895.0,545.2922826446106,533.4076360694564,
2012-09-13,97,560.0,563.0,560.0,562.5,97980.0,-1365550.0,547.103621313599,534.5485130863407,
2012-09-14,98,563.0,565.0,562.5,563.0,232910.0,-14342145.0,548.7769243332201,535.6642576711901,
2012-09-17,99,563.0,564.0,550.0,550.0,220410.0,-20080940.0,548.9056691402495,536.2264436448688,514.4
2012-09-18,100,556.0,564.0,549.0,551.0,21120.0,-6687960.0,549.1261250202233,536.8057987960505,515.1247524752475
2012-09-19,101,550.0,565.0,545.0,545.0,90450.0,-37036800.0,548.6917960707261,537.1271400197346,515.7163415351437
2012-09-20,102,545.0,545.0,540.0,541.0,128790.0,-2682235.0,547.8821333264392,537.279016881706,516.2170080393984
