,Date,Open,High,Low,Close,Volume,OtherData
0,2016-10-27,1000.0,1008.0,1000.0,1008.0,34060,1000000
1,2016-10-28,1003.0,1008.0,1003.0,1003.0,7490,6914880
2,2016-11-02,1003.0,1010.0,1003.0,1004.0,4100,0
3,2016-11-03,1005.0,1010.0,1005.0,1005.0,1510,0
4,2016-11-04,1015.0,1015.0,1015.0,1015.0,20,0
5,2016-11-07,1015.0,1020.0,1015.0,1020.0,200,0
6,2016-11-08,1020.0,1020.0,1020.0,1020.0,10000,0
7,2016-11-09,1020.0,1020.0,1020.0,1020.0,4510,0
8,2016-11-16,1020.0,1020.0,1020.0,1020.0,150,0
9,2016-11-17,1030.0,1030.0,1030.0,1030.0,3100,0
10,2016-11-22,1021.0,1021.0,1021.0,1021.0,100,91890
11,2016-11-24,1021.0,1022.0,1021.0,1022.0,10010,0
12,2016-11-25,1025.0,1025.0,1025.0,1025.0,2430,0
13,2016-11-28,1020.0,1020.0,1020.0,1020.0,300,0
14,2016-11-29,1020.0,1020.0,1020.0,1020.0,26990,0
15,2016-12-02,1020.0,1020.0,1020.0,1020.0,3330,0
16,2016-12-12,1015.0,1015.0,1010.0,1015.0,12130,0
17,2016-12-13,1015.0,1015.0,1015.0,1015.0,135,0
18,2016-12-15,1015.0,1015.0,1015.0,1015.0,200,0
19,2016-12-16,1020.0,1025.0,1020.0,1025.0,1000,0
20,2016-12-20,1017.0,1017.0,1017.0,1017.0,810,0
21,2016-12-22,1016.0,1016.0,1016.0,1016.0,100,0
22,2016-12-27,1025.0,1025.0,1025.0,1025.0,5,0
23,2016-12-29,1016.0,1016.0,1016.0,1016.0,5,0
24,2017-01-03,1016.0,1016.0,1016.0,1016.0,3120,0
25,2017-01-06,1020.0,1020.0,1020.0,1020.0,5980,0
26,2017-01-09,1020.0,1020.0,1016.0,1020.0,3810,0
27,2017-01-10,1020.0,1040.0,1020.0,1040.0,170,0
28,2017-01-11,1020.0,1020.0,1020.0,1020.0,8420,0
29,2017-01-12,1020.0,1020.0,1020.0,1020.0,1300,1020000
30,2017-01-13,1020.0,1020.0,1020.0,1020.0,19810,0
31,2017-01-16,1020.0,1020.0,1020.0,1020.0,3000,0
32,2017-01-18,1016.0,1016.0,1016.0,1016.0,310,0
33,2017-01-19,1016.0,1016.0,1016.0,1016.0,50,0
34,2017-01-24,1020.0,1020.0,1020.0,1020.0,900,0
35,2017-01-25,1020.0,1020.0,1020.0,1020.0,5,0
36,2017-01-26,1020.0,1020.0,1020.0,1020.0,1000,0
37,2017-01-30,1016.0,1016.0,1016.0,1016.0,100,0
38,2017-01-31,1016.0,1025.0,1016.0,1025.0,68695,0
39,2017-02-02,1020.0,1020.0,1020.0,1020.0,100,0
40,2017-02-06,1020.0,1020.0,1020.0,1020.0,1000,0
41,2017-02-07,1020.0,1020.0,1020.0,1020.0,8000,0
42,2017-02-13,1020.0,1020.0,1020.0,1020.0,3000,0
43,2017-02-15,1020.0,1020.0,1020.0,1020.0,1000,0
44,2017-02-17,1020.0,1020.0,1020.0,1020.0,1040,0
45,2017-02-20,1020.0,1020.0,1020.0,1020.0,50,0
46,2017-02-21,1020.0,1020.0,1020.0,1020.0,500,0
47,2017-02-28,1021.0,1021.0,1021.0,1021.0,20,0
