,Date,Open,High,Low,Close,Volume,OtherData
0,2011-11-24,2.58,2.8,2.53,2.68,4904000.0,-14470.0
1,2011-11-25,2.7,2.75,2.55,2.75,3193000.0,-86750.0
2,2011-11-28,2.75,2.85,2.7,2.85,1623000.0,-56140.0
3,2011-11-29,2.85,2.88,2.8,2.8,869000.0,-28220.0
4,2011-12-01,2.82,2.82,2.71,2.75,192000.0,-43600.0
5,2011-12-02,2.75,2.78,2.64,2.64,486000.0,0.0
6,2011-12-05,2.64,2.74,2.6,2.64,794000.0,0.0
7,2011-12-06,2.62,2.62,2.6,2.6,104000.0,0.0
8,2011-12-07,2.59,2.59,2.24,2.27,679000.0,54600.0
9,2011-12-08,2.3,2.39,2.29,2.39,132000.0,0.0
10,2011-12-09,2.33,2.36,2.28,2.28,198000.0,0.0
11,2011-12-12,2.28,2.28,2.25,2.25,169000.0,0.0
12,2011-12-13,2.25,2.32,2.25,2.32,54000.0,0.0
13,2011-12-14,2.35,2.36,2.35,2.35,86000.0,94000.0
14,2011-12-15,2.36,2.36,2.24,2.24,404000.0,7030.0
15,2011-12-16,2.24,2.25,2.24,2.25,56000.0,112500.0
16,2011-12-19,2.4,2.4,2.32,2.4,161000.0,23400.0
17,2011-12-20,2.32,2.32,2.32,2.32,25000.0,23.0
18,2011-12-21,2.3,2.3,2.3,2.3,12000.0,25300.0
19,2011-12-22,2.3,2.3,2.3,2.3,167000.0,66700.0
20,2011-12-23,2.3,2.4,2.3,2.4,25000.0,11500.0
21,2011-12-26,2.28,2.4,2.28,2.39,17000.0,0.0
22,2011-12-27,2.39,2.39,2.39,2.39,10000.0,23900.0
23,2011-12-28,2.3,2.3,2.29,2.29,41000.0,93940.0
24,2011-12-29,2.3,2.49,2.3,2.47,367000.0,0.0
25,2012-01-02,2.35,2.35,2.35,2.35,105000.0,115150.0
26,2012-01-03,2.35,2.35,2.35,2.35,30000.0,58750.0
27,2012-01-04,2.35,2.35,2.34,2.34,14000.0,0.0
28,2012-01-05,2.33,2.4,2.3,2.4,34000.0,4700.0
29,2012-01-06,2.33,2.33,2.32,2.32,132000.0,0.0
30,2012-01-09,2.32,2.32,2.32,2.32,9000.0,0.0
31,2012-01-10,2.39,2.39,2.32,2.33,17000.0,0.0
