,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-08,1.26,1.26,1.24,1.24,105000.0,0.0
1,2006-08-11,1.2,1.2,1.2,1.2,100000.0,0.0
2,2006-08-14,1.18,1.18,1.18,1.18,70000.0,0.0
3,2006-08-16,1.18,1.22,1.18,1.22,120000.0,0.0
4,2006-12-04,1.8,1.8,1.8,1.8,573000.0,0.0
5,2006-12-05,1.8,1.8,1.8,1.8,463000.0,540000.0
6,2006-12-06,1.8,1.88,1.8,1.88,335000.0,0.0
7,2006-12-07,1.86,1.86,1.86,1.86,784000.0,0.0
8,2006-12-08,1.84,1.92,1.84,1.92,1677000.0,0.0
9,2006-12-11,1.92,1.96,1.9,1.92,1648000.0,0.0
10,2006-12-12,1.94,1.96,1.94,1.94,1698000.0,-1573240.0
11,2006-12-13,1.94,1.96,1.94,1.96,110000.0,0.0
12,2006-12-14,1.94,1.94,1.9,1.9,320000.0,0.0
13,2006-12-15,1.9,1.92,1.88,1.88,2375000.0,-3759660.0
14,2006-12-18,1.88,1.88,1.88,1.88,44000.0,0.0
15,2006-12-19,1.9,2.1,1.9,1.94,1078000.0,0.0
16,2006-12-20,1.9,1.9,1.9,1.9,14000.0,0.0
17,2006-12-27,1.9,1.9,1.9,1.9,110000.0,0.0
18,2006-12-28,1.9,1.92,1.9,1.9,399000.0,0.0
19,2006-12-29,1.9,1.9,1.9,1.9,381000.0,0.0
20,2006-11-02,1.72,1.72,1.68,1.7,897000.0,0.0
21,2006-11-03,1.68,1.72,1.68,1.72,220000.0,0.0
22,2006-11-06,1.74,1.74,1.74,1.74,166000.0,288840.0
23,2006-11-07,1.68,1.68,1.68,1.68,50000.0,0.0
24,2006-11-08,1.68,1.68,1.68,1.68,319000.0,5040.0
25,2006-11-09,1.64,1.7,1.64,1.68,211000.0,0.0
26,2006-11-10,1.64,1.64,1.6,1.6,650000.0,0.0
27,2006-11-14,1.58,1.58,1.54,1.54,350000.0,0.0
28,2006-11-15,1.6,1.68,1.58,1.58,867000.0,0.0
29,2006-11-16,1.6,1.64,1.6,1.62,759000.0,0.0
30,2006-11-17,1.66,1.7,1.64,1.7,638000.0,0.0
31,2006-11-20,1.72,1.76,1.72,1.74,1915000.0,0.0
32,2006-11-21,1.76,1.92,1.76,1.88,4040000.0,646980.0
33,2006-11-22,1.88,2.04,1.88,1.98,5818000.0,0.0
34,2006-11-23,2.02,2.02,1.94,1.94,1216000.0,0.0
35,2006-11-24,1.92,1.92,1.88,1.88,800000.0,0.0
36,2006-11-27,1.86,1.9,1.78,1.82,1339000.0,-608140.0
37,2006-11-28,1.76,1.82,1.76,1.82,670000.0,0.0
38,2006-11-29,1.78,1.78,1.76,1.76,1054000.0,0.0
39,2006-11-30,1.82,1.82,1.82,1.82,449000.0,0.0
40,2006-10-02,1.3,1.3,1.28,1.3,140000.0,0.0
41,2006-10-03,1.3,1.3,1.3,1.3,100000.0,0.0
42,2006-10-04,1.26,1.26,1.26,1.26,70000.0,0.0
43,2006-10-05,1.3,1.3,1.3,1.3,1330000.0,-884000.0
44,2006-10-06,1.32,1.32,1.26,1.3,504000.0,-274300.0
45,2006-10-09,1.26,1.26,1.26,1.26,40000.0,0.0
46,2006-10-10,1.26,1.26,1.26,1.26,70000.0,0.0
47,2006-10-11,1.26,1.26,1.26,1.26,100000.0,0.0
48,2006-10-12,1.28,1.38,1.28,1.36,1169000.0,14420.0
49,2006-10-13,1.36,1.46,1.36,1.46,1019000.0,0.0
50,2006-10-16,1.46,1.48,1.4,1.4,225000.0,0.0
51,2006-10-17,1.36,1.42,1.36,1.42,609000.0,0.0
52,2006-10-18,1.46,1.56,1.46,1.54,2276000.0,0.0
53,2006-10-19,1.56,1.66,1.54,1.64,3690000.0,2372280.0
54,2006-10-20,1.66,1.88,1.66,1.84,9513000.0,8271100.0
55,2006-10-23,1.84,1.84,1.78,1.8,1798000.0,55200.0
56,2006-10-25,1.8,1.84,1.8,1.82,1012000.0,946040.0
57,2006-10-26,1.84,1.92,1.84,1.88,5575000.0,3216640.0
58,2006-10-27,1.88,1.9,1.84,1.84,1160000.0,1840.0
59,2006-10-31,1.82,1.82,1.8,1.8,150000.0,0.0
60,2006-09-01,1.2,1.2,1.2,1.2,97000.0,0.0
61,2006-09-04,1.28,1.28,1.2,1.28,191000.0,-241920.0
62,2006-09-05,1.28,1.28,1.24,1.24,1199000.0,-1280000.0
63,2006-09-06,1.2,1.2,1.2,1.2,50000.0,0.0
64,2006-09-08,1.2,1.2,1.2,1.2,140000.0,0.0
65,2006-09-14,1.16,1.16,1.16,1.16,32000.0,0.0
66,2006-09-22,1.2,1.22,1.2,1.22,52000.0,0.0
67,2006-09-27,1.28,1.36,1.28,1.32,2109000.0,-1307000.0
68,2007-04-02,2.8,2.8,2.8,2.8,148000.0,414400.0
69,2007-04-03,2.85,2.9,2.85,2.9,1094000.0,2923000.0
70,2007-04-04,2.95,3.0,2.95,3.0,236000.0,597000.0
71,2007-04-10,3.05,3.2,3.05,3.1,575000.0,1482400.0
72,2007-04-11,3.1,3.1,3.1,3.1,129000.0,21700.0
73,2007-04-17,3.1,3.1,3.1,3.1,201000.0,0.0
74,2007-04-18,3.1,3.1,2.9,2.95,223000.0,0.0
75,2007-04-19,2.9,2.9,2.9,2.9,101000.0,0.0
76,2007-04-20,2.8,2.85,2.8,2.85,106000.0,0.0
77,2007-04-23,2.9,2.9,2.9,2.9,15000.0,0.0
78,2007-04-26,2.85,2.85,2.85,2.85,120000.0,0.0
79,2007-04-30,2.9,2.9,2.9,2.9,158000.0,0.0
80,2007-08-02,2.46,2.46,2.38,2.38,100000.0,0.0
81,2007-08-03,2.4,2.4,2.28,2.28,170000.0,0.0
82,2007-08-06,2.2,2.2,2.1,2.1,60000.0,0.0
83,2007-08-07,2.12,2.2,2.12,2.2,55000.0,0.0
84,2007-08-08,2.2,2.2,2.2,2.2,100000.0,0.0
85,2007-08-10,2.1,2.1,1.9,1.9,2442000.0,-4732600.0
86,2007-08-14,1.96,1.96,1.96,1.96,50000.0,0.0
87,2007-08-16,1.8,1.8,1.8,1.8,56000.0,0.0
88,2007-08-22,1.8,1.8,1.8,1.8,400000.0,-720000.0
89,2007-08-23,1.8,1.98,1.8,1.98,502000.0,-900000.0
90,2007-08-24,1.82,1.86,1.8,1.82,4158000.0,-2100360.0
91,2007-08-28,1.82,1.84,1.82,1.84,2160000.0,-2742960.0
92,2007-08-29,1.84,1.84,1.76,1.76,880000.0,-1163600.0
93,2007-08-30,1.78,1.84,1.78,1.82,952000.0,-1269600.0
94,2007-08-31,1.84,1.94,1.84,1.86,1793000.0,-1890040.0
95,2007-12-04,1.9,1.9,1.9,1.9,24000.0,0.0
96,2007-12-06,1.9,2.1,1.9,2.1,110000.0,8400.0
97,2007-12-07,2.0,2.0,2.0,2.0,349000.0,0.0
98,2007-12-10,2.0,2.0,2.0,2.0,105000.0,0.0
99,2007-12-11,2.0,2.0,2.0,2.0,165000.0,0.0
100,2007-12-12,2.0,2.0,2.0,2.0,507000.0,0.0
101,2007-12-13,2.0,2.0,2.0,2.0,52000.0,0.0
102,2007-12-14,2.0,2.0,2.0,2.0,132000.0,-60000.0
103,2007-12-17,2.0,2.0,2.0,2.0,73000.0,0.0
104,2007-12-18,2.0,2.0,2.0,2.0,100000.0,-200000.0
105,2007-12-19,2.0,2.0,2.0,2.0,20000.0,0.0
106,2007-12-20,2.0,2.0,2.0,2.0,5000.0,0.0
107,2007-12-26,2.0,2.0,2.0,2.0,500000.0,-1000000.0
108,2007-12-27,2.0,2.0,2.0,2.0,1050000.0,-2000000.0
109,2007-12-28,2.0,2.0,2.0,2.0,760000.0,-1520000.0
110,2007-02-01,3.1,3.3,3.05,3.15,4899000.0,-3539950.0
111,2007-02-02,3.2,3.45,3.2,3.3,1178000.0,1030500.0
112,2007-02-05,3.4,3.55,3.4,3.5,2307000.0,6345200.0
113,2007-02-06,3.5,3.5,3.4,3.4,1294000.0,2719300.0
114,2007-02-07,3.4,3.5,3.35,3.35,65000.0,6700.0
115,2007-02-08,3.3,3.3,3.1,3.1,852000.0,31500.0
116,2007-02-09,3.3,3.35,3.1,3.1,181000.0,66100.0
117,2007-02-12,3.1,3.15,2.95,3.0,1024000.0,-119500.0
118,2007-02-13,3.0,3.2,2.8,2.9,456000.0,0.0
119,2007-02-14,3.1,3.25,3.0,3.0,931000.0,0.0
120,2007-02-15,3.1,3.15,3.1,3.1,643000.0,0.0
121,2007-02-19,3.1,3.1,2.95,2.95,1446000.0,0.0
122,2007-02-20,3.0,3.1,2.9,3.1,1267000.0,58000.0
123,2007-02-21,3.15,3.55,3.15,3.4,2584000.0,6081800.0
124,2007-02-22,3.4,3.45,3.4,3.4,1579000.0,2162400.0
125,2007-02-23,3.4,3.4,3.4,3.4,722000.0,1020000.0
126,2007-02-26,3.35,3.4,3.35,3.4,752000.0,677600.0
127,2007-02-27,3.4,3.4,3.35,3.35,869000.0,706000.0
128,2007-02-28,3.1,3.1,2.8,2.8,1242000.0,57000.0
129,2007-01-02,1.9,1.9,1.9,1.9,300000.0,0.0
130,2007-01-03,1.9,1.92,1.9,1.92,549000.0,0.0
131,2007-01-04,1.9,1.96,1.9,1.96,335000.0,0.0
132,2007-01-05,1.98,2.06,1.98,1.98,430000.0,-30000.0
133,2007-01-08,1.98,1.98,1.98,1.98,20000.0,0.0
134,2007-01-09,2.0,2.12,2.0,2.08,3718000.0,-1407560.0
135,2007-01-10,2.1,2.1,2.04,2.06,1110000.0,-1030000.0
136,2007-01-11,2.1,2.14,2.08,2.08,1541000.0,-668200.0
137,2007-01-12,2.1,2.1,2.08,2.08,346000.0,-135200.0
138,2007-01-15,2.08,2.08,2.06,2.06,351000.0,-312000.0
139,2007-01-16,2.12,2.24,2.1,2.22,4300000.0,-3988000.0
140,2007-01-17,2.22,2.26,2.22,2.26,186000.0,0.0
141,2007-01-18,2.26,2.3,2.26,2.3,995000.0,0.0
142,2007-01-19,2.3,2.44,2.3,2.42,691000.0,0.0
143,2007-01-22,2.42,2.6,2.42,2.5,860000.0,612170.0
144,2007-01-23,2.65,2.7,2.5,2.5,110000.0,12500.0
145,2007-01-24,2.5,2.55,2.5,2.5,591000.0,0.0
146,2007-01-25,2.55,2.9,2.5,2.7,3454000.0,4151200.0
147,2007-01-26,2.7,2.75,2.5,2.75,791000.0,762850.0
148,2007-01-30,2.8,2.85,2.8,2.85,286000.0,72800.0
149,2007-01-31,2.9,3.15,2.9,3.05,1275000.0,1306250.0
150,2007-07-02,2.9,2.9,2.85,2.85,382000.0,-855000.0
151,2007-07-03,2.85,2.85,2.8,2.85,570000.0,-1226850.0
152,2007-07-04,2.85,2.85,2.85,2.85,185000.0,0.0
153,2007-07-05,2.85,2.85,2.85,2.85,55000.0,0.0
154,2007-07-06,2.85,2.85,2.85,2.85,48000.0,0.0
155,2007-07-09,2.85,2.85,2.85,2.85,8000.0,0.0
156,2007-07-10,2.9,2.9,2.85,2.85,85000.0,0.0
157,2007-07-11,2.85,2.85,2.85,2.85,90000.0,0.0
158,2007-07-12,2.8,2.8,2.75,2.8,94000.0,56000.0
159,2007-07-13,2.9,2.9,2.8,2.8,133000.0,0.0
160,2007-07-16,2.8,2.8,2.75,2.8,238000.0,0.0
161,2007-07-17,2.75,2.75,2.75,2.75,2000.0,0.0
162,2007-07-18,2.75,2.75,2.75,2.75,383000.0,0.0
163,2007-07-19,2.75,2.75,2.75,2.75,165000.0,0.0
164,2007-07-25,2.75,2.75,2.65,2.7,1299000.0,0.0
165,2007-07-26,2.7,2.7,2.7,2.7,340000.0,0.0
166,2007-07-27,2.7,2.7,2.7,2.7,2000.0,0.0
167,2007-07-30,2.7,2.7,2.7,2.7,50000.0,0.0
168,2007-07-31,2.6,2.6,2.5,2.5,160000.0,0.0
169,2007-06-01,2.95,2.95,2.95,2.95,100000.0,0.0
170,2007-06-04,2.95,3.0,2.9,2.9,566000.0,58000.0
171,2007-06-05,2.8,2.8,2.8,2.8,227000.0,56000.0
172,2007-06-06,2.85,2.85,2.8,2.8,105000.0,0.0
173,2007-06-07,2.8,2.8,2.8,2.8,200000.0,0.0
174,2007-06-08,2.8,2.8,2.7,2.7,650000.0,-1001500.0
175,2007-06-12,2.8,2.8,2.8,2.8,585000.0,-2800.0
176,2007-06-13,2.8,2.85,2.8,2.8,2547000.0,0.0
177,2007-06-15,2.85,2.9,2.85,2.9,214000.0,0.0
178,2007-06-18,2.8,2.8,2.8,2.8,190000.0,0.0
179,2007-06-19,2.9,2.9,2.9,2.9,25000.0,0.0
180,2007-06-20,3.0,3.2,3.0,3.1,1880000.0,-320000.0
181,2007-06-21,3.2,3.2,3.1,3.1,475000.0,0.0
182,2007-06-22,3.0,3.0,3.0,3.0,165000.0,150000.0
183,2007-06-25,3.0,3.0,3.0,3.0,218000.0,0.0
184,2007-06-26,3.0,3.0,3.0,3.0,730000.0,0.0
185,2007-06-27,2.9,2.95,2.9,2.9,329000.0,0.0
186,2007-06-28,2.9,2.9,2.9,2.9,500000.0,0.0
187,2007-06-29,2.95,3.1,2.95,3.0,202000.0,0.0
188,2007-03-01,2.95,3.0,2.8,2.8,484000.0,0.0
189,2007-03-02,2.8,2.8,2.6,2.6,193000.0,0.0
190,2007-03-05,2.6,2.6,2.1,2.1,655000.0,0.0
191,2007-03-06,2.2,2.3,2.2,2.3,301000.0,0.0
192,2007-03-07,2.6,2.6,2.4,2.42,396000.0,0.0
193,2007-03-09,2.42,2.55,2.42,2.5,84000.0,25000.0
194,2007-03-12,2.5,2.5,2.46,2.46,34000.0,0.0
195,2007-03-13,2.5,2.5,2.46,2.46,135000.0,5000.0
196,2007-03-14,2.4,2.4,2.4,2.4,75000.0,0.0
197,2007-03-15,2.4,2.4,2.4,2.4,150000.0,0.0
198,2007-03-20,2.4,2.4,2.4,2.4,100000.0,0.0
199,2007-03-21,2.4,2.65,2.4,2.65,991000.0,0.0
200,2007-03-22,2.75,2.75,2.65,2.75,142000.0,0.0
201,2007-03-23,2.6,2.7,2.6,2.7,255000.0,15850.0
202,2007-03-26,2.75,2.8,2.7,2.75,1071000.0,2381650.0
203,2007-03-27,2.75,2.75,2.7,2.75,488000.0,965100.0
204,2007-03-29,2.7,2.7,2.7,2.7,20000.0,0.0
205,2007-03-30,2.8,2.8,2.7,2.8,221000.0,328800.0
206,2007-05-02,2.9,2.95,2.9,2.95,405000.0,261250.0
207,2007-05-04,2.85,2.85,2.85,2.85,10000.0,28500.0
208,2007-05-07,2.8,2.8,2.8,2.8,95000.0,42000.0
209,2007-05-09,2.7,2.7,2.7,2.7,146000.0,27000.0
210,2007-05-11,2.7,2.7,2.7,2.7,10000.0,27000.0
211,2007-05-15,3.5,3.5,3.0,3.0,147000.0,0.0
212,2007-05-16,2.9,2.9,2.9,2.9,14000.0,0.0
213,2007-05-17,2.9,2.9,2.9,2.9,5000.0,0.0
214,2007-05-18,2.95,2.95,2.95,2.95,12000.0,0.0
215,2007-05-21,2.95,2.95,2.95,2.95,63000.0,29500.0
216,2007-05-22,3.0,3.1,3.0,3.0,1153000.0,30000.0
217,2007-05-23,3.2,3.3,3.0,3.05,1562000.0,1965400.0
218,2007-05-24,3.05,3.05,3.0,3.0,71000.0,48050.0
219,2007-05-25,2.9,2.9,2.9,2.9,317000.0,116000.0
220,2007-05-28,3.0,3.0,2.8,2.8,164000.0,28000.0
221,2007-05-30,2.8,2.8,2.8,2.8,70000.0,0.0
222,2007-05-31,2.8,2.8,2.8,2.8,100000.0,56000.0
223,2007-11-07,2.02,2.02,2.02,2.02,55000.0,0.0
224,2007-11-08,2.0,2.0,1.98,1.98,465000.0,0.0
225,2007-11-12,2.0,2.0,1.98,1.98,202000.0,-83400.0
226,2007-11-14,1.94,2.0,1.94,2.0,53000.0,0.0
227,2007-11-15,2.0,2.0,2.0,2.0,97000.0,0.0
228,2007-11-16,2.02,2.02,2.0,2.0,130000.0,0.0
229,2007-11-19,2.0,2.0,2.0,2.0,357000.0,0.0
230,2007-11-20,1.96,1.96,1.94,1.94,167000.0,0.0
231,2007-11-21,1.94,1.94,1.94,1.94,107000.0,0.0
232,2007-11-22,1.92,1.92,1.9,1.9,50000.0,-95300.0
233,2007-11-23,1.9,1.9,1.9,1.9,200000.0,0.0
234,2007-11-26,1.9,1.9,1.9,1.9,100000.0,0.0
235,2007-11-29,1.9,1.9,1.9,1.9,135000.0,0.0
236,2007-10-01,1.92,2.0,1.92,2.0,190000.0,-150000.0
237,2007-10-02,2.0,2.02,2.0,2.02,912000.0,-100000.0
238,2007-10-03,2.02,2.08,2.02,2.08,281000.0,10400.0
239,2007-10-04,2.1,2.1,2.08,2.08,202000.0,0.0
240,2007-10-05,2.08,2.08,2.08,2.08,5000.0,0.0
241,2007-10-08,2.04,2.1,2.04,2.08,433000.0,0.0
242,2007-10-09,2.1,2.12,2.1,2.12,25000.0,0.0
243,2007-10-10,2.1,2.1,2.1,2.1,285000.0,-105000.0
244,2007-10-11,2.08,2.12,2.08,2.12,205000.0,0.0
245,2007-10-15,2.12,2.34,2.12,2.3,101000.0,-75200.0
246,2007-10-16,2.16,2.16,2.16,2.16,80000.0,-64800.0
247,2007-10-17,2.1,2.14,2.08,2.12,210000.0,-251400.0
248,2007-10-18,2.1,2.14,2.1,2.14,95000.0,-94800.0
249,2007-10-22,2.06,2.06,2.06,2.06,74000.0,-41200.0
250,2007-10-23,2.06,2.08,2.04,2.04,222000.0,-204300.0
251,2007-10-24,2.04,2.04,2.02,2.04,270000.0,-306000.0
252,2007-10-25,2.06,2.06,2.02,2.02,176000.0,96760.0
253,2007-10-26,2.04,2.04,2.04,2.04,199000.0,-112200.0
254,2007-10-30,2.0,2.0,2.0,2.0,206000.0,0.0
255,2007-10-31,2.0,2.0,2.0,2.0,6000.0,0.0
256,2007-09-03,1.92,1.92,1.88,1.9,313000.0,19000.0
257,2007-09-04,1.9,1.9,1.84,1.84,3480000.0,-1664560.0
258,2007-09-05,1.92,1.92,1.86,1.86,150000.0,0.0
259,2007-09-06,1.84,1.84,1.84,1.84,391000.0,-719440.0
260,2007-09-07,1.84,1.84,1.84,1.84,101000.0,0.0
261,2007-09-10,1.84,1.84,1.82,1.82,220000.0,-365000.0
262,2007-09-11,1.84,1.84,1.84,1.84,70000.0,0.0
263,2007-09-12,1.84,1.84,1.84,1.84,20000.0,0.0
264,2007-09-13,1.84,1.84,1.84,1.84,200000.0,-368000.0
265,2007-09-14,1.84,1.86,1.84,1.86,231000.0,-112240.0
266,2007-09-17,1.86,1.86,1.86,1.86,1917000.0,-3565620.0
267,2007-09-18,1.86,1.86,1.84,1.84,260000.0,-102200.0
268,2007-09-19,1.84,1.84,1.84,1.84,988000.0,-1407600.0
269,2007-09-20,1.88,1.88,1.88,1.88,10000.0,18800.0
270,2007-09-24,1.88,1.88,1.86,1.86,87000.0,0.0
271,2007-09-25,1.86,2.04,1.86,2.04,327000.0,19640.0
272,2007-09-26,1.88,1.88,1.88,1.88,223000.0,0.0
273,2007-09-27,1.94,2.0,1.94,2.0,180000.0,109700.0
274,2007-09-28,1.88,1.88,1.88,1.88,39000.0,0.0
275,2008-04-02,1.8,1.8,1.8,1.8,28000.0,0.0
276,2008-04-11,1.72,1.72,1.72,1.72,50000.0,0.0
277,2008-04-16,1.7,1.7,1.7,1.7,2000.0,0.0
278,2008-04-17,1.7,1.7,1.7,1.7,12000.0,0.0
279,2008-04-18,1.6,1.6,1.6,1.6,5000.0,0.0
280,2008-04-21,1.64,1.64,1.64,1.64,18000.0,0.0
281,2008-08-04,1.5,1.5,1.5,1.5,822000.0,-1110000.0
282,2008-08-05,1.54,1.6,1.54,1.6,301000.0,-463600.0
