,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,5.2,5.2,5.0,5.0,1161000.0,4655000.0
1,2006-08-02,4.9,4.9,4.9,4.9,70000.0,0.0
2,2006-08-03,5.0,5.1,5.0,5.1,782000.0,1275000.0
3,2006-08-04,5.0,5.0,4.95,4.95,1157000.0,-3680000.0
4,2006-08-07,5.0,5.0,5.0,5.0,1772000.0,0.0
5,2006-08-09,5.0,5.0,5.0,5.0,1000.0,0.0
6,2006-08-10,4.3,5.0,4.3,5.0,1011000.0,0.0
7,2006-08-11,4.8,4.9,4.8,4.85,232000.0,97000.0
8,2006-08-15,4.75,4.8,4.75,4.75,1650000.0,-2771750.0
9,2006-08-16,5.0,5.0,4.75,4.8,350000.0,1675150.0
10,2006-08-17,4.8,4.8,4.8,4.8,47000.0,225600.0
11,2006-12-04,7.9,7.9,7.7,7.7,1186000.0,-1327500.0
12,2006-12-05,7.7,7.7,7.4,7.4,1352000.0,554800.0
13,2006-12-06,7.4,7.6,7.3,7.6,6057000.0,19912600.0
14,2006-12-07,7.5,7.6,7.4,7.6,2595000.0,2094900.0
15,2006-12-08,7.5,7.6,7.5,7.5,3549000.0,3742500.0
16,2006-12-11,7.5,7.6,7.5,7.5,2314000.0,4230000.0
17,2006-12-12,7.5,7.7,7.5,7.6,3330000.0,6019600.0
18,2006-12-13,7.6,7.6,7.4,7.5,1299000.0,2700100.0
19,2006-12-14,7.4,7.5,7.4,7.5,2877000.0,3982000.0
20,2006-12-15,7.6,8.1,7.6,8.0,5092000.0,4218800.0
21,2006-12-18,8.0,8.1,7.8,7.8,2746000.0,-7035200.0
22,2006-12-19,7.8,7.8,7.6,7.7,3058000.0,-9012000.0
23,2006-12-20,7.5,7.6,7.4,7.5,5285000.0,3285000.0
24,2006-12-21,7.5,7.6,7.5,7.6,2974000.0,18725900.0
25,2006-12-22,7.6,7.6,7.5,7.5,1093000.0,0.0
26,2006-12-27,7.6,7.7,7.6,7.6,2672000.0,-3217200.0
27,2006-12-28,7.6,7.8,7.6,7.8,833000.0,-1911700.0
28,2006-12-29,7.8,7.8,7.7,7.8,1466000.0,600200.0
29,2006-11-02,6.0,6.0,6.0,6.0,1814000.0,2622000.0
30,2006-11-03,6.0,6.1,6.0,6.1,557000.0,2267900.0
31,2006-11-06,6.0,6.0,6.0,6.0,1310000.0,1518000.0
32,2006-11-07,6.0,6.3,6.0,6.2,10262000.0,5229100.0
