,Date,Open,High,Low,Close,Volume,OtherData
0,2013-10-09,8.5,8.5,6.49,7.88,197200.0,0.0
1,2013-10-10,7.86,7.86,6.8,7.19,45300.0,0.0
2,2013-10-11,7.09,7.1,6.16,7.0,53800.0,-34100.0
3,2013-10-14,6.3,7.0,6.3,6.95,2800.0,0.0
4,2013-10-16,7.0,7.45,6.95,7.41,28200.0,0.0
5,2013-10-17,7.32,7.32,7.2,7.2,1100.0,0.0
6,2013-10-21,6.9,6.9,6.9,6.9,100.0,0.0
7,2013-10-22,6.5,7.35,6.5,6.81,348100.0,0.0
8,2013-10-24,6.81,6.81,6.81,6.81,10500.0,0.0
9,2013-10-25,6.8,6.8,6.8,6.8,17000.0,0.0
10,2013-10-29,7.29,7.99,7.2,7.79,180400.0,-365000.0
11,2013-10-30,7.97,7.97,7.5,7.5,206000.0,0.0
12,2013-10-31,7.0,7.5,7.0,7.48,22300.0,0.0
13,2013-11-04,7.0,7.2,7.0,7.02,33000.0,0.0
14,2013-11-05,7.02,7.2,7.02,7.2,12700.0,0.0
15,2013-11-06,7.01,7.01,7.01,7.01,2000.0,0.0
16,2013-11-07,7.1,7.1,7.0,7.0,13000.0,0.0
17,2013-11-08,7.0,7.0,7.0,7.0,10000.0,0.0
18,2013-11-11,7.0,7.0,6.0,6.98,40700.0,0.0
19,2013-11-12,6.51,6.9,6.51,6.9,128200.0,0.0
20,2013-11-13,6.5,6.55,6.5,6.55,100300.0,0.0
21,2013-11-14,6.8,6.8,6.8,6.8,101100.0,0.0
22,2013-11-15,6.15,6.8,6.15,6.57,25700.0,0.0
23,2013-11-18,6.1,6.41,6.1,6.41,3400.0,0.0
24,2013-11-19,6.71,6.71,6.71,6.71,200.0,0.0
25,2013-11-20,6.71,6.71,6.71,6.71,5000.0,0.0
26,2013-11-21,6.7,6.85,6.5,6.8,187100.0,0.0
27,2013-11-22,6.9,6.9,6.45,6.45,1000.0,0.0
28,2013-11-25,5.81,6.7,5.81,6.01,31100.0,0.0
29,2013-11-26,6.03,6.06,6.03,6.03,1430500.0,0.0
30,2013-11-27,6.5,6.8,6.5,6.8,27100.0,0.0
31,2013-11-28,6.8,7.4,6.2,7.4,155300.0,0.0
