,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-07,2.7,2.7,2.7,2.7,50000,0
1,2006-08-10,2.6,2.6,2.5,2.5,20000,0
2,2006-12-04,2.8,2.8,2.75,2.75,20000,0
3,2006-12-05,2.7,2.7,2.65,2.65,20000,0
4,2006-12-06,2.6,2.65,2.6,2.6,40000,0
5,2006-12-07,2.55,2.55,2.55,2.55,10000,0
6,2006-12-13,2.42,2.42,2.42,2.42,20000,0
7,2006-12-14,2.65,2.7,2.65,2.7,50000,0
8,2006-12-15,2.42,2.44,2.42,2.44,60000,0
9,2006-12-20,2.44,2.8,2.44,2.8,130000,0
10,2006-12-21,2.5,2.5,2.5,2.5,25000,0
11,2006-12-22,2.5,2.9,2.5,2.9,160000,0
12,2006-12-27,2.5,2.55,2.5,2.55,10000,0
13,2006-12-28,2.6,2.75,2.6,2.75,29000,0
14,2006-12-29,2.6,2.6,2.5,2.5,42000,0
15,2006-11-08,2.2,2.28,2.16,2.16,80000,0
16,2006-11-13,2.2,2.22,2.2,2.22,110000,0
17,2006-11-14,2.22,2.22,2.22,2.22,10000,0
18,2006-11-16,2.26,2.3,2.26,2.3,30000,0
19,2006-11-17,2.32,2.34,2.32,2.34,20000,0
20,2006-11-22,2.38,2.55,2.38,2.55,368000,0
21,2006-11-23,2.55,2.55,2.55,2.55,30000,0
22,2006-11-24,2.6,2.6,2.6,2.6,20000,0
23,2006-11-28,2.6,2.75,2.6,2.75,100000,0
24,2006-11-30,2.65,3.2,2.65,2.8,624000,0
25,2006-10-04,2.24,2.24,2.22,2.22,20000,0
26,2006-10-18,2.22,2.22,2.22,2.22,1000,0
27,2006-10-31,2.28,2.3,2.28,2.3,35000,0
28,2006-09-05,2.4,2.4,2.4,2.4,20000,0
29,2006-09-07,2.46,2.5,2.46,2.5,30000,0
30,2006-09-08,2.42,2.42,2.36,2.36,50000,0
31,2006-09-12,2.34,2.46,2.3,2.3,730000,0
32,2006-09-14,2.32,2.32,2.32,2.32,10000,0
33,2006-09-18,2.3,2.3,2.3,2.3,30000,0
34,2006-09-20,2.3,2.3,2.3,2.3,70000,0
35,2006-09-27,2.28,2.28,2.26,2.26,40000,0
36,2007-04-02,2.7,2.7,2.7,2.7,50000,0
37,2007-04-24,2.6,2.6,2.6,2.6,10000,0
38,2007-04-27,2.85,2.85,2.85,2.85,10000,0
39,2007-08-02,2.95,3.0,2.8,2.8,40000,0
40,2007-08-03,2.8,2.8,2.8,2.8,20000,0
41,2007-08-07,2.9,2.9,2.9,2.9,10000,0
42,2007-08-08,2.9,2.9,2.8,2.8,20000,0
43,2007-08-09,2.8,3.15,2.8,3.15,1170000,0
44,2007-08-13,3.05,3.05,2.95,2.95,20000,0
45,2007-08-16,2.55,2.55,2.55,2.55,138000,0
46,2007-08-17,2.7,2.7,2.7,2.7,5000,0
47,2007-08-21,2.7,2.7,2.7,2.7,10000,0
48,2007-12-03,2.7,2.95,2.65,2.65,115000,0
49,2007-12-28,2.7,2.8,2.7,2.8,460000,0
50,2007-02-01,2.8,2.8,2.8,2.8,20000,0
51,2007-02-07,2.8,2.9,2.8,2.9,101000,0
52,2007-02-15,2.5,2.5,2.5,2.5,100000,0
53,2007-02-19,2.5,2.5,2.5,2.5,160000,225000
54,2007-02-20,2.5,2.5,2.5,2.5,5000,12500
55,2007-02-23,2.6,2.8,2.6,2.8,84000,0
56,2007-02-26,2.8,2.8,2.75,2.75,29000,24750
57,2007-02-28,2.65,2.8,2.5,2.8,516000,0
58,2007-01-03,2.5,2.75,2.5,2.7,59000,0
59,2007-01-09,2.5,2.5,2.5,2.5,2000,0
60,2007-01-15,2.5,2.5,2.5,2.5,10000,0
61,2007-01-16,2.46,2.46,2.46,2.46,5000,0
62,2007-01-25,2.75,2.75,2.75,2.75,10000,0
63,2007-01-31,2.8,2.8,2.8,2.8,64000,0
64,2007-07-02,3.0,3.0,2.9,2.95,187000,0
65,2007-07-12,2.9,2.9,2.9,2.9,82000,0
66,2007-07-13,3.0,3.2,3.0,3.2,102000,0
67,2007-07-18,3.0,3.0,3.0,3.0,20000,0
68,2007-07-19,3.0,3.0,3.0,3.0,1000,0
69,2007-07-23,2.9,2.9,2.9,2.9,3000,0
70,2007-07-25,2.5,2.95,2.5,2.95,58000,0
71,2007-07-27,3.0,3.0,2.9,2.9,193000,0
72,2007-06-14,2.44,2.44,2.44,2.44,3000,0
73,2007-06-18,2.65,2.65,2.65,2.65,50000,0
74,2007-06-19,2.7,3.1,2.7,3.1,499000,0
75,2007-06-20,3.1,3.3,3.1,3.1,2515000,-279000
76,2007-06-21,3.1,3.15,3.0,3.0,1205000,0
77,2007-06-22,3.0,3.0,2.95,2.95,635000,900000
78,2007-06-25,2.95,2.95,2.9,2.9,68000,0
79,2007-06-26,2.9,2.9,2.9,2.9,40000,0
80,2007-06-27,2.9,2.9,2.85,2.85,40000,0
81,2007-06-28,2.9,2.95,2.9,2.9,55000,0
82,2007-06-29,2.95,3.1,2.95,3.0,1295000,0
83,2007-03-01,2.8,2.8,2.8,2.8,1000,0
84,2007-03-02,2.7,2.7,2.7,2.7,1000,0
85,2007-03-05,2.5,2.5,2.5,2.5,30000,0
86,2007-03-30,2.7,3.0,2.7,3.0,270000,0
87,2007-05-04,2.55,2.55,2.55,2.55,65000,0
88,2007-05-08,2.55,2.6,2.55,2.6,13000,-23400
89,2007-05-09,2.5,2.5,2.5,2.5,150000,0
