,Date,Open,High,Low,Close,Volume,OtherData
0,2007-12-03,5.0,5.0,4.95,4.95,368000.0,0.0
1,2007-12-04,5.0,5.0,4.9,4.95,169000.0,0.0
2,2007-12-05,4.9,5.0,4.9,5.0,89000.0,0.0
3,2007-12-06,5.0,5.0,4.9,5.0,370000.0,-24750.0
4,2007-12-07,5.0,5.0,4.95,4.95,348000.0,0.0
5,2007-12-10,5.0,5.0,4.9,4.9,35000.0,0.0
6,2007-12-11,4.95,4.95,4.85,4.9,59000.0,0.0
7,2007-12-12,4.95,4.95,4.85,4.95,312000.0,0.0
8,2007-12-13,4.95,4.95,4.85,4.9,73000.0,0.0
9,2007-12-14,4.85,4.85,4.8,4.8,216000.0,0.0
10,2007-12-17,4.75,4.75,4.65,4.7,270000.0,-9400.0
11,2007-12-18,4.65,4.7,4.6,4.7,375000.0,0.0
12,2007-12-19,4.7,4.7,4.6,4.65,79000.0,0.0
13,2007-12-20,4.65,4.75,4.65,4.65,102000.0,0.0
14,2007-12-26,4.65,4.65,4.65,4.65,1000.0,0.0
15,2007-12-27,4.75,4.8,4.65,4.75,25000.0,0.0
16,2007-12-28,4.75,4.75,4.65,4.7,33000.0,0.0
17,2007-11-05,5.4,5.4,5.2,5.2,619000.0,-270000.0
18,2007-11-06,5.2,5.2,5.2,5.2,687000.0,208000.0
19,2007-11-07,5.1,5.3,5.0,5.2,4903000.0,25000.0
20,2007-11-08,5.1,5.1,5.0,5.1,812000.0,0.0
21,2007-11-09,5.1,5.1,5.1,5.1,1196000.0,0.0
22,2007-11-12,5.0,5.1,4.9,5.1,3766000.0,-200000.0
23,2007-11-13,5.0,5.1,4.9,5.1,3997000.0,0.0
24,2007-11-14,5.0,5.3,5.0,5.3,3569000.0,-26000.0
25,2007-11-15,5.2,5.2,5.0,5.2,231000.0,0.0
26,2007-11-16,5.1,5.1,5.1,5.1,286000.0,-76500.0
27,2007-11-19,5.1,5.1,5.1,5.1,218000.0,0.0
28,2007-11-20,5.1,5.1,5.0,5.0,963000.0,0.0
29,2007-11-21,4.95,5.0,4.95,5.0,70000.0,0.0
30,2007-11-22,5.0,5.4,4.8,5.3,11404000.0,-2616900.0
31,2007-11-23,5.2,5.5,5.1,5.4,38973000.0,-397000.0
32,2007-11-26,5.3,5.3,5.1,5.1,1383000.0,10200.0
33,2007-11-27,5.0,5.1,5.0,5.0,791000.0,250000.0
34,2007-11-28,5.0,5.1,5.0,5.0,563000.0,0.0
35,2007-11-29,5.0,5.0,4.8,4.8,1065000.0,88500.0
36,2007-10-17,5.5,5.9,5.3,5.5,48445000.0,3372800.0
37,2007-10-18,5.5,5.7,5.5,5.5,12765000.0,-150200.0
38,2007-10-19,5.5,5.6,5.4,5.5,7211000.0,330000.0
39,2007-10-22,5.1,5.5,4.9,5.5,17305000.0,67300.0
40,2007-10-23,5.4,5.5,5.4,5.4,8130000.0,-6123600.0
41,2007-10-24,5.4,5.4,5.3,5.4,1122000.0,275600.0
42,2007-10-25,5.3,5.4,5.2,5.3,1137000.0,1060000.0
43,2007-10-26,5.3,5.3,5.2,5.3,2342000.0,847000.0
44,2007-10-30,5.3,5.4,5.2,5.2,1477000.0,-47700.0
45,2007-10-31,5.2,5.5,5.2,5.5,4556000.0,-21900.0
46,2008-04-01,3.55,3.55,3.55,3.55,1000.0,0.0
47,2008-04-03,3.1,3.5,3.1,3.5,11000.0,0.0
48,2008-04-04,3.25,3.45,3.2,3.45,30000.0,0.0
49,2008-04-09,3.2,3.4,3.2,3.4,28000.0,0.0
50,2008-04-11,3.15,3.35,3.15,3.35,47000.0,0.0
51,2008-04-16,3.2,3.3,3.2,3.3,19000.0,-38500.0
52,2008-04-17,3.3,3.3,3.2,3.2,6000.0,0.0
53,2008-04-18,3.3,3.3,3.15,3.15,31000.0,0.0
54,2008-04-21,3.25,3.25,3.1,3.1,37000.0,0.0
55,2008-04-22,3.1,3.2,3.1,3.2,7000.0,-6400.0
56,2008-04-24,3.05,3.15,2.9,3.15,130000.0,0.0
57,2008-04-25,2.8,2.85,2.8,2.85,4000.0,0.0
58,2008-04-28,2.85,3.1,2.85,3.1,13000.0,0.0
59,2008-04-29,3.0,3.1,3.0,3.1,20000.0,0.0
60,2008-08-01,2.6,2.9,2.6,2.85,1783000.0,0.0
61,2008-08-04,2.8,2.85,2.7,2.85,1902000.0,0.0
62,2008-08-05,2.85,2.85,2.8,2.8,102000.0,0.0
63,2008-08-06,2.85,2.9,2.8,2.85,522000.0,29000.0
64,2008-08-07,2.8,2.9,2.8,2.85,891000.0,0.0
