Date,Unnamed: 0,Open,High,Low,Close,Volume,OtherData,EMA-18,EMA-50,EMA-100
2006-08-01,0,14.25,14.25,14.25,14.25,449800.0,-4497300.0,,,
2006-08-02,1,14.0,14.25,14.0,14.25,703000.0,-612750.0,,,
2006-08-03,2,14.5,14.5,14.25,14.25,520300.0,-3282725.0,,,
2006-08-04,3,14.25,14.25,14.25,14.25,150600.0,664050.0,,,
2006-08-07,4,14.5,14.5,14.5,14.5,167500.0,0.0,,,
2006-08-08,5,14.75,14.75,14.5,14.5,788200.0,665550.0,,,
2006-08-09,6,14.5,14.5,14.5,14.5,451600.0,2438900.0,,,
2006-08-10,7,14.25,14.5,14.25,14.5,219100.0,58425.0,,,
2006-08-11,8,14.75,15.0,14.75,15.0,302900.0,1890000.0,,,
2006-08-14,9,15.0,15.0,15.0,15.0,7300.0,0.0,,,
2006-08-15,10,14.75,14.75,14.75,14.75,1277700.0,12208575.0,,,
2006-08-16,11,14.75,14.75,14.75,14.75,55900.0,575250.0,,,
2006-08-17,12,14.75,14.75,14.75,14.75,10300.0,151925.0,,,
2006-12-04,13,19.25,19.75,19.25,19.25,833600.0,-976925.0,,,
2006-12-05,14,19.5,19.5,19.25,19.25,32100.0,71225.0,,,
2006-12-06,15,19.25,19.75,19.25,19.75,706500.0,5927150.0,,,
2006-12-07,16,19.5,19.5,19.25,19.5,42700.0,-335400.0,,,
2006-12-08,17,19.25,19.25,19.25,19.25,26300.0,0.0,15.902777777777779,,
2006-12-11,18,19.0,19.25,19.0,19.25,764200.0,-577500.0,16.255116959064328,,
2006-12-12,19,19.0,19.0,19.0,19.0,222400.0,-2850000.0,16.544052016004926,,
2006-12-13,20,19.0,19.0,19.0,19.0,285400.0,-4664500.0,16.802572856425463,,
2006-12-14,21,19.0,19.0,18.75,19.0,43700.0,0.0,17.033880976801726,,
2006-12-15,22,19.0,19.0,19.0,19.0,50600.0,-514900.0,17.240840873980492,,
2006-12-18,23,19.25,19.25,19.0,19.0,1278200.0,-3582300.0,17.426015518824652,,
2006-12-19,24,19.25,19.25,19.25,19.25,38200.0,0.0,17.618013885264162,,
2006-12-20,25,19.0,19.25,19.0,19.25,1033900.0,-10279500.0,17.789801897341622,,
2006-12-21,26,19.0,19.5,19.0,19.5,404700.0,3656950.0,17.969822750253027,,
2006-12-22,27,19.0,19.75,19.0,19.75,225000.0,2966000.0,18.157209829173762,,
2006-12-27,28,19.75,20.0,19.75,20.0,124000.0,-158750.0,18.35118774189231,,
2006-12-28,29,20.0,20.25,20.0,20.25,190400.0,1708750.0,18.55106271642996,,
2006-12-29,30,20.25,20.75,20.25,20.75,340700.0,0.0,18.782529798911018,,
2006-11-02,31,19.75,19.75,19.5,19.75,3525800.0,-3996925.0,18.8843687674467,,
2006-11-03,32,19.75,19.75,19.5,19.75,302900.0,0.0,18.975487844557573,,
2006-11-06,33,19.75,19.75,19.25,19.5,539400.0,-3506100.0,19.030699650393625,,
2006-11-07,34,19.5,19.5,18.75,19.0,829500.0,-5898050.0,19.02746810824692,,
2006-11-08,35,19.0,19.5,18.5,19.5,910100.0,-1321700.0,19.077208307378825,,
2006-11-09,36,19.5,19.5,19.25,19.25,1049100.0,-10003500.0,19.095396906602108,,
2006-11-10,37,19.25,19.25,19.0,19.25,305900.0,-1873050.0,19.111670916433464,,
2006-11-13,38,19.0,19.0,19.0,19.0,32500.0,-152000.0,19.09991608312468,,
2006-11-14,39,19.0,19.5,19.0,19.25,1499000.0,-9247625.0,19.115714390164186,,
2006-11-15,40,19.25,19.25,19.25,19.25,35200.0,0.0,19.129849717515324,,
2006-11-16,41,19.25,19.25,19.25,19.25,604800.0,-4812500.0,19.14249711567161,,
2006-11-17,42,19.25,19.5,19.25,19.5,1229700.0,-21630100.0,19.18012899823249,,
2006-11-20,43,19.5,20.25,19.5,20.0,2169900.0,-33823000.0,19.26643120894486,,
2006-11-21,44,20.0,20.25,20.0,20.0,835600.0,3698750.0,19.343648976424348,,
2006-11-22,45,20.25,20.25,20.0,20.0,999300.0,2191000.0,19.412738557853363,,
2006-11-23,46,20.0,20.0,19.75,19.75,155100.0,-2296700.0,19.44823976228985,,
2006-11-24,47,19.5,19.75,19.25,19.75,241700.0,-2578750.0,19.48000399783829,,
2006-11-27,48,19.75,19.75,19.5,19.75,460300.0,-2717600.0,19.508424629644786,,
2006-11-28,49,19.5,19.5,19.0,19.25,2263300.0,2206900.0,19.481222037050603,18.2,
2006-11-29,50,19.25,19.25,19.0,19.25,842600.0,-1926925.0,19.4568828752558,18.24117647058824,
2006-11-30,51,19.25,20.0,19.0,19.75,2500000.0,-16985100.0,19.4877373094394,18.300346020761246,
2006-10-02,52,16.75,17.0,16.75,16.75,260200.0,57875.0,19.199554434761566,18.239548137594138,
2006-10-03,53,16.5,17.0,16.5,17.0,53900.0,881450.0,18.96802238899719,18.190938406708085,
2006-10-04,54,16.75,17.0,16.75,17.0,103700.0,1308150.0,18.7608621375238,18.144234939778364,
2006-10-05,55,17.25,17.5,17.25,17.5,116500.0,-457325.0,18.628139807258137,18.118970824492934,
2006-10-06,56,17.5,18.75,17.5,18.5,352200.0,4070950.0,18.614651406494122,18.13391314510105,
2006-10-09,57,18.5,18.5,18.5,18.5,1675200.0,0.0,18.60258283738948,18.148269492352,
2006-10-10,58,18.5,18.75,18.0,18.75,939700.0,10561250.0,18.618100433453744,18.17186676716172,
2006-10-11,59,18.75,19.0,18.75,19.0,787500.0,5450675.0,18.658300387827033,18.2043425802142,
2006-10-12,60,19.0,20.0,19.0,19.75,511700.0,1343675.0,18.77321613647682,18.26495659667639,
2006-10-13,61,19.75,20.0,19.5,19.5,269300.0,-938125.0,18.849719701058206,18.313389671316532,
2006-10-16,62,19.75,19.75,19.5,19.75,683200.0,1716300.0,18.944486048315238,18.369727331264905,
2006-10-17,63,19.75,19.75,19.75,19.75,131900.0,2555650.0,19.029276990597843,18.4238556712153,
2006-10-18,64,19.75,19.75,19.75,19.75,551100.0,-2000675.0,19.105142570534912,18.475861331167646,
2006-10-19,65,19.75,20.0,19.75,19.75,360800.0,-987500.0,19.17302229995229,18.525827553474794,
2006-10-20,66,19.75,19.75,19.75,19.75,264600.0,535225.0,19.233756794694155,18.57383431608363,
2006-10-23,67,19.75,19.75,19.75,19.75,275300.0,857150.0,19.28809818472635,18.619958460550933,
2006-10-25,68,20.0,20.5,20.0,20.0,481000.0,-407225.0,19.36303521791305,18.674077736607767,
2006-10-26,69,20.0,20.0,19.75,20.0,150400.0,425500.0,19.430084142343254,18.726074688113343,
2006-10-27,70,19.75,20.0,19.75,19.75,21200.0,83250.0,19.46375949578081,18.76622862191282,
2006-10-30,71,19.75,19.75,19.75,19.75,152400.0,2261375.0,19.493890075172306,18.80480789164173,
2006-10-31,72,19.75,19.75,19.75,19.75,244100.0,2632675.0,19.520849014627853,18.841874248832248,
2006-09-01,73,14.75,14.75,14.75,14.75,909000.0,678500.0,19.01865438150913,18.681408592015305,
2006-09-04,74,14.75,14.75,14.75,14.75,145700.0,663750.0,18.56932234135029,18.527235706053922,
2006-09-05,75,14.75,15.0,14.75,15.0,20800.0,233050.0,18.193604200155512,18.38891273718906,
2006-09-06,76,14.75,15.0,14.75,14.75,447600.0,1383550.0,17.831119547507562,18.246210276907128,
