,Date,Open,High,Low,Close,Volume,OtherData
0,2006-12-04,4.0,4.0,4.0,4.0,5000,0
1,2006-12-05,3.7,3.7,3.7,3.7,2000,0
2,2006-12-06,3.6,3.7,3.6,3.7,13000,0
3,2006-12-12,3.6,3.6,3.6,3.6,6000,0
4,2006-12-19,3.7,3.7,3.7,3.7,2000,0
5,2006-12-28,3.6,4.0,3.6,4.0,20000,0
6,2006-12-29,3.9,4.1,3.7,4.0,50000,0
7,2006-11-10,3.9,3.9,3.9,3.9,25000,0
8,2006-11-15,3.9,3.95,3.85,3.85,90000,254000
9,2006-11-16,3.85,3.95,3.5,3.5,165000,405750
10,2006-11-17,3.5,3.8,3.5,3.8,20000,59500
11,2006-11-24,3.9,4.2,3.9,4.0,104000,0
12,2006-11-27,4.1,4.1,4.1,4.1,1000,0
13,2006-11-28,4.1,4.1,3.9,4.0,30000,0
14,2006-11-29,3.8,3.8,3.8,3.8,6000,0
15,2006-11-30,3.8,3.8,3.8,3.8,5000,0
16,2006-10-20,6.5,6.5,6.5,6.5,20000,0
17,2006-10-23,6.4,6.4,5.9,5.9,39000,0
18,2006-10-25,5.9,5.9,5.3,5.3,82000,0
19,2006-10-26,5.3,5.3,5.1,5.1,3000,0
20,2006-10-27,5.8,5.8,5.0,5.1,9000,0
21,2006-10-30,5.3,5.3,4.0,4.35,569000,1279500
22,2006-10-31,4.1,4.1,4.05,4.05,10000,0
23,2007-04-11,3.0,3.5,3.0,3.5,5000,0
24,2007-04-12,3.2,3.3,3.1,3.1,38000,0
25,2007-04-23,3.3,3.4,3.3,3.4,20000,0
26,2007-04-24,3.4,3.4,3.4,3.4,47000,0
27,2007-04-25,3.7,3.8,3.7,3.8,50000,0
28,2007-04-27,3.2,3.2,3.1,3.1,11000,0
29,2007-04-30,3.4,3.4,3.4,3.4,15000,0
30,2007-08-02,2.5,2.5,2.2,2.5,70000,0
31,2007-08-03,2.02,2.5,2.0,2.5,228000,0
32,2007-08-06,2.5,2.5,2.5,2.5,5000,0
33,2007-08-07,2.5,2.5,2.3,2.4,191000,0
34,2007-08-08,2.3,2.5,2.3,2.5,92000,0
35,2007-08-09,2.3,2.4,2.3,2.4,68000,0
36,2007-08-13,2.3,2.4,2.3,2.3,152000,0
37,2007-08-21,2.3,2.3,2.26,2.3,65000,0
38,2007-08-22,2.18,2.18,2.18,2.18,10000,0
39,2007-08-23,2.28,2.3,2.28,2.3,7000,0
40,2007-08-24,2.28,2.3,2.18,2.18,80000,0
41,2007-08-28,2.1,2.1,2.1,2.1,10000,0
42,2007-08-29,2.08,2.08,2.02,2.02,30000,0
43,2007-08-30,2.02,2.3,2.0,2.3,62000,0
44,2007-12-03,3.1,3.2,3.0,3.2,155000,0
45,2007-12-04,3.0,3.2,3.0,3.2,57000,0
46,2007-12-06,3.1,3.2,3.0,3.2,126000,0
47,2007-12-07,3.1,3.25,3.1,3.25,135000,0
48,2007-12-10,3.1,3.1,3.1,3.1,16000,0
49,2007-12-13,3.0,3.0,3.0,3.0,7000,0
50,2007-12-14,2.95,2.95,2.95,2.95,20000,0
51,2007-12-17,2.9,3.15,2.9,3.15,126000,0
52,2007-12-18,3.1,3.1,3.1,3.1,30000,0
53,2007-12-19,2.8,2.8,2.8,2.8,210000,0
54,2007-12-20,2.8,3.1,2.8,3.1,90000,0
55,2007-12-26,3.0,3.0,3.0,3.0,20000,0
56,2007-12-27,2.8,3.15,2.8,3.15,59000,0
57,2007-02-01,3.15,3.15,3.1,3.1,4000,0
58,2007-02-02,3.1,3.1,3.0,3.0,61000,0
59,2007-02-08,3.5,3.65,3.5,3.65,4000,0
60,2007-02-13,3.6,4.0,3.6,4.0,15000,0
61,2007-02-14,4.0,4.0,4.0,4.0,2000,0
62,2007-02-19,4.3,4.3,3.65,4.1,9000,0
63,2007-02-20,3.6,3.6,3.6,3.6,3000,0
64,2007-02-21,4.0,4.0,4.0,4.0,1000,0
