,Date,Open,High,Low,Close,Volume,OtherData
0,2015-12-07,5.4,5.4,4.16,4.22,41301000,4463040
1,2015-12-08,4.25,4.25,3.57,3.64,13576000,73900
2,2015-12-09,3.71,3.96,3.65,3.86,8782000,-83550
3,2015-12-10,3.9,3.95,3.62,3.64,3212000,-62600
4,2015-12-11,3.7,3.75,3.58,3.64,2233000,36000
5,2015-12-14,3.69,3.69,3.26,3.28,2678000,0
6,2015-12-15,3.24,3.43,3.24,3.28,1295000,3380
7,2015-12-16,3.3,3.4,3.22,3.23,1048000,0
8,2015-12-17,3.25,3.29,3.13,3.17,1448000,-54140
9,2015-12-18,3.17,3.22,3.07,3.1,1131000,0
10,2015-12-21,3.11,3.11,2.9,2.97,1009000,0
11,2015-12-22,2.97,2.97,2.84,2.84,1113000,0
12,2015-12-23,2.84,3.07,2.79,2.97,799000,-93720
13,2015-12-28,2.97,3.42,2.92,3.42,2091000,-312000
14,2015-12-29,3.43,3.46,3.2,3.25,866000,0
15,2016-01-04,3.2,3.2,2.88,2.88,1069000,46000
16,2016-01-05,2.9,2.97,2.88,2.95,184000,57800
17,2016-01-06,2.9,3.0,2.9,2.91,77000,0
18,2016-01-07,2.92,2.92,2.8,2.8,285000,11240
19,2016-01-08,2.8,2.8,2.7,2.79,234000,0
20,2016-01-11,2.75,2.75,2.57,2.59,386000,7740
21,2016-01-12,2.58,2.85,2.56,2.63,183000,0
22,2016-01-13,2.79,2.79,2.58,2.61,268000,0
23,2016-01-14,2.58,2.6,2.5,2.51,47000,0
24,2016-01-15,2.51,2.73,2.51,2.6,341000,12650
25,2016-01-18,2.51,2.51,2.4,2.4,119000,0
26,2016-01-19,2.4,2.42,2.39,2.39,170000,35960
27,2016-01-20,2.39,2.54,2.35,2.35,255000,24000
28,2016-01-21,2.32,2.32,2.14,2.14,209000,11000
29,2016-01-22,2.14,2.21,2.0,2.02,479000,0
30,2016-01-26,2.4,2.4,2.2,2.21,212000,8840
31,2016-01-27,2.23,2.23,2.21,2.23,52000,0
32,2016-01-28,2.2,2.37,2.19,2.31,255000,0
33,2016-01-29,2.39,2.79,2.39,2.51,1249000,0
34,2016-02-01,2.68,2.68,2.53,2.54,261000,0
35,2016-02-02,2.55,2.57,2.41,2.57,377000,0
36,2016-02-03,2.57,2.57,2.44,2.5,221000,0
37,2016-02-04,2.45,2.52,2.45,2.46,99000,0
38,2016-02-05,2.46,2.51,2.42,2.49,425000,0
39,2016-02-09,2.49,2.65,2.49,2.49,520000,-13250
40,2016-02-10,2.49,2.59,2.44,2.45,127000,0
41,2016-02-11,2.45,2.5,2.4,2.4,284000,0
