,Date,Open,High,Low,Close,Volume,OtherData
0,2006-12-12,0.82,0.82,0.82,0.82,10000,0
1,2006-12-18,0.9,0.9,0.9,0.9,70000,0
2,2006-09-07,0.8,0.92,0.8,0.92,280000,0
3,2006-09-08,0.92,0.92,0.8,0.92,100000,0
4,2007-02-26,0.85,0.9,0.85,0.9,30000,0
5,2007-07-05,0.9,1.34,0.9,1.34,870000,0
6,2007-07-06,1.34,1.34,1.0,1.3,203000,0
7,2007-07-09,1.1,1.14,1.1,1.1,114000,0
8,2007-07-10,1.1,1.1,1.08,1.08,64000,0
9,2007-07-11,1.08,1.08,1.08,1.08,96000,0
10,2007-07-12,1.02,1.02,1.02,1.02,140000,0
11,2007-07-16,1.0,1.0,1.0,1.0,253000,0
12,2007-07-18,1.02,1.02,1.02,1.02,50000,0
13,2007-07-23,1.0,1.08,1.0,1.08,22000,0
14,2007-07-26,1.0,1.0,1.0,1.0,150000,0
15,2007-05-11,0.9,0.95,0.9,0.95,220000,0
16,2007-05-28,0.9,0.9,0.9,0.9,100000,0
17,2007-11-12,1.0,1.0,1.0,1.0,100000,0
18,2007-11-19,1.0,1.0,1.0,1.0,110000,0
19,2007-11-22,1.0,1.0,1.0,1.0,70000,0
20,2007-11-27,1.0,1.0,1.0,1.0,50000,0
21,2008-04-09,0.8,0.8,0.8,0.8,50000,0
22,2008-04-10,0.8,0.8,0.8,0.8,200000,0
23,2008-08-04,0.9,0.9,0.9,0.9,50000,0
24,2008-03-27,1.0,1.0,1.0,1.0,150000,0
25,2008-10-08,0.57,0.57,0.57,0.57,20000,0
26,2008-10-09,0.58,0.58,0.58,0.58,10000,0
