,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-10,1.2,1.2,1.2,1.2,40000,48000
1,2006-12-08,1.0,1.0,1.0,1.0,128215000,-7000
2,2006-12-18,0.99,0.99,0.99,0.99,10000,0
3,2006-12-19,0.99,0.99,0.99,0.99,20000,0
4,2007-08-14,1.02,1.02,1.02,1.02,10000,0
5,2007-07-02,0.61,1.0,0.61,1.0,30000,-10000
6,2007-07-05,1.0,1.4,1.0,1.36,1070000,-50000
7,2007-07-06,1.36,1.36,1.08,1.3,420000,-179300
8,2007-07-09,1.18,1.18,1.18,1.18,5000,0
9,2007-07-10,1.18,1.18,1.16,1.16,166000,0
10,2007-07-11,1.16,1.16,1.12,1.12,189000,-82360
11,2007-07-18,0.85,1.02,0.85,1.02,90000,8500
12,2007-07-19,1.02,1.1,1.02,1.1,20000,0
13,2007-07-23,1.02,1.02,1.0,1.0,12000,0
14,2007-07-26,1.0,1.0,1.0,1.0,120000,0
15,2007-07-30,0.99,0.99,0.99,0.99,20000,0
16,2007-05-10,0.9,0.9,0.9,0.9,100000,0
17,2007-05-11,0.9,0.98,0.9,0.98,200000,0
18,2007-11-19,1.0,1.0,1.0,1.0,150000,0
19,2007-11-22,1.0,1.0,1.0,1.0,20000,0
20,2007-11-26,1.0,1.0,1.0,1.0,50000,0
21,2007-11-29,1.0,1.0,1.0,1.0,50000,0
22,2007-09-10,0.62,0.62,0.62,0.62,10000,0
23,2007-09-12,0.71,0.71,0.71,0.71,10000,0
24,2008-04-02,1.0,1.0,1.0,1.0,31000,0
25,2008-04-10,0.8,0.8,0.8,0.8,100000,0
26,2008-08-05,0.98,0.98,0.98,0.98,10000,0
27,2008-08-20,0.98,0.98,0.98,0.98,10000,0
28,2008-12-22,0.45,0.45,0.45,0.45,10000,0
29,2008-02-14,1.02,1.02,1.02,1.02,20000,0
30,2008-07-31,0.99,0.99,0.99,0.99,60000,0
31,2008-05-08,0.8,0.8,0.8,0.8,100000,0
32,2008-05-22,0.66,0.66,0.66,0.66,10000,0
33,2008-11-04,0.65,0.65,0.65,0.65,50000,0
34,2008-11-05,0.47,0.47,0.47,0.47,10000,0
35,2008-10-07,0.6,0.65,0.6,0.65,600000,0
36,2008-10-08,0.64,0.65,0.64,0.65,150000,0
37,2008-10-29,0.4,0.4,0.4,0.4,100000,0
38,2008-10-31,0.55,0.55,0.55,0.55,50000,0
39,2008-09-10,0.72,0.72,0.72,0.72,240000,0
40,2008-09-12,0.73,0.73,0.72,0.72,340000,0
41,2008-09-17,0.72,0.72,0.72,0.72,110000,0
42,2008-09-18,0.73,0.73,0.73,0.73,10000,0
43,2008-09-19,0.78,0.78,0.78,0.78,50000,0
