,Date,Open,High,Low,Close,Volume,OtherData
0,2010-04-05,11.0,11.0,10.75,11.0,50500.0,0.0
1,2010-04-06,11.0,12.5,11.0,12.25,1146900.0,-79625.0
2,2010-04-07,12.25,12.75,12.0,12.0,326900.0,0.0
3,2010-04-08,12.0,12.0,12.0,12.0,64000.0,0.0
4,2010-04-12,11.75,12.75,11.75,12.25,267900.0,-126250.0
5,2010-04-13,12.75,12.75,12.25,12.75,220600.0,-61250.0
6,2010-04-14,12.75,14.75,12.5,14.25,2146000.0,-6369975.0
7,2010-04-15,14.75,15.5,14.25,14.25,1568400.0,-268500.0
8,2010-04-16,14.5,14.5,14.0,14.25,487500.0,57000.0
9,2010-04-19,14.0,14.25,13.75,14.0,132600.0,0.0
10,2010-04-20,14.25,14.5,14.25,14.25,336000.0,0.0
11,2010-04-21,14.25,14.25,13.75,13.75,238200.0,0.0
12,2010-04-22,14.0,14.5,14.0,14.5,774700.0,-2175000.0
13,2010-04-23,14.5,15.75,14.5,15.5,1933000.0,-12006175.0
14,2010-04-26,15.5,15.75,15.0,15.0,458900.0,60000.0
15,2010-04-27,15.0,15.0,14.75,15.0,96700.0,74750.0
16,2010-04-28,14.5,14.75,14.25,14.5,257700.0,0.0
17,2010-04-29,14.5,15.0,14.25,14.5,724700.0,-1471000.0
18,2010-04-30,14.5,14.5,14.5,14.5,60300.0,0.0
19,2010-02-01,36.0,36.0,33.5,35.0,18400.0,0.0
20,2010-02-02,33.5,33.5,25.0,28.5,43800.0,0.0
21,2010-02-03,25.0,25.0,20.0,20.5,68400.0,1000.0
22,2010-02-04,19.0,19.0,16.0,18.0,95600.0,-43000.0
23,2010-02-05,15.25,27.0,15.0,22.0,313500.0,0.0
24,2010-02-08,22.25,25.0,22.0,22.25,163400.0,99400.0
25,2010-02-09,22.0,22.0,20.5,20.5,10000.0,0.0
26,2010-02-10,21.0,21.25,18.0,18.0,163800.0,0.0
27,2010-02-11,18.0,19.75,18.0,18.75,20100.0,0.0
28,2010-02-12,20.0,20.0,18.75,18.75,6500.0,26250.0
29,2010-02-15,18.25,18.5,18.0,18.25,12400.0,0.0
30,2010-02-16,18.0,18.0,16.5,17.5,29800.0,51500.0
31,2010-02-17,17.5,17.5,16.25,16.25,90200.0,5100.0
32,2010-02-18,16.0,17.0,16.0,16.75,55000.0,4950.0
33,2010-02-19,17.0,17.0,16.5,16.5,9000.0,0.0
34,2010-02-22,16.25,16.25,16.0,16.0,34000.0,0.0
35,2010-02-23,16.0,16.0,16.0,16.0,22000.0,0.0
36,2010-02-24,16.25,16.25,15.0,16.25,75300.0,0.0
37,2010-02-25,15.75,15.75,15.75,15.75,23600.0,3150.0
38,2010-02-26,16.25,16.75,16.0,16.0,92900.0,-28050.0
39,2010-01-21,9.3,9.3,9.3,9.3,7000.0,0.0
40,2010-01-22,13.75,13.75,13.75,13.75,2000.0,0.0
41,2010-01-25,20.5,20.5,20.5,20.5,75300.0,47150.0
42,2010-01-26,30.5,30.5,30.5,30.5,101500.0,3050.0
43,2010-01-27,45.5,45.5,45.5,45.5,106600.0,-59150.0
44,2010-01-28,68.0,68.0,34.0,36.0,270100.0,159050.0
45,2010-01-29,36.0,37.0,30.0,36.0,81300.0,3600.0
46,2010-07-01,11.5,12.0,11.5,11.75,55400.0,0.0
47,2010-07-02,12.0,12.0,11.75,11.75,2100.0,0.0
48,2010-07-05,11.75,11.75,11.25,11.5,77000.0,0.0
49,2010-07-06,11.5,11.5,11.5,11.5,50400.0,230000.0
50,2010-07-07,11.5,11.5,11.25,11.5,6500.0,0.0
51,2010-07-08,11.25,11.5,11.25,11.25,104700.0,0.0
52,2010-07-09,11.25,11.25,11.0,11.25,91100.0,0.0
53,2010-07-12,11.0,11.25,11.0,11.0,230500.0,-13200.0
54,2010-07-13,11.0,11.25,10.75,11.0,124200.0,-550000.0
55,2010-07-14,11.0,11.0,11.0,11.0,174100.0,-550000.0
