,Date,Open,High,Low,Close,Volume,OtherData
0,2007-12-07,8.6,8.6,8.3,8.5,1315000,7108500
1,2007-12-10,8.5,8.5,8.3,8.4,297000,1424300
2,2007-12-11,8.4,8.4,8.3,8.4,269000,-65200
3,2007-12-12,8.3,8.3,8.1,8.2,308000,1014400
4,2007-12-13,8.0,8.2,7.8,8.2,363000,1601800
5,2007-12-14,7.9,7.9,7.7,7.7,522000,937100
6,2007-12-17,7.5,7.7,7.2,7.5,727000,3379100
7,2007-12-18,7.1,7.3,7.1,7.3,142000,-99400
8,2007-12-19,7.3,7.4,7.2,7.4,206000,370000
9,2007-12-20,7.5,7.5,7.3,7.4,54000,0
10,2007-12-26,7.5,7.7,7.5,7.7,1265000,-301000
11,2007-12-27,7.6,7.8,7.6,7.8,126000,0
12,2007-12-28,7.5,7.9,7.5,7.9,845000,5390800
13,2008-04-01,6.1,6.1,5.8,5.8,468000,0
14,2008-04-02,5.9,5.9,5.9,5.9,31000,0
15,2008-04-03,5.9,5.9,5.9,5.9,17000,-59000
16,2008-04-04,5.9,5.9,5.6,5.6,144000,0
17,2008-04-08,5.6,5.6,5.5,5.5,34000,0
18,2008-04-09,5.3,5.3,5.2,5.2,81000,0
19,2008-04-10,5.1,5.1,5.1,5.1,69000,0
20,2008-04-11,5.2,5.2,5.2,5.2,25000,-130000
21,2008-04-15,5.3,5.3,5.3,5.3,10000,0
22,2008-04-16,5.3,5.3,5.2,5.2,30000,-104500
23,2008-04-17,5.2,5.3,5.2,5.2,66000,0
24,2008-04-18,5.2,5.2,5.2,5.2,876000,1300000
25,2008-04-21,5.2,5.2,5.2,5.2,150000,520000
26,2008-04-22,5.1,5.1,5.0,5.1,70000,127500
27,2008-04-23,5.0,5.0,4.95,4.95,264000,376000
28,2008-04-24,4.95,4.95,4.95,4.95,97000,148500
29,2008-04-25,4.9,4.9,4.9,4.9,50000,0
30,2008-04-28,4.9,4.9,4.8,4.8,85000,100800
31,2008-04-29,4.8,4.8,4.8,4.8,1266000,0
32,2008-04-30,4.8,4.8,4.65,4.65,171000,0
33,2008-08-01,2.65,2.65,2.65,2.65,349000,-182850
34,2008-08-04,2.65,2.9,2.65,2.85,1536000,-305050
35,2008-08-05,2.85,2.9,2.85,2.85,259000,0
36,2008-08-06,3.0,3.15,2.9,2.9,2425000,0
37,2008-08-07,2.95,3.25,2.95,3.1,3987000,160000
38,2008-08-08,3.1,3.35,3.1,3.3,2690000,271600
39,2008-08-11,3.4,3.45,3.1,3.25,1266000,-1255900
40,2008-08-12,3.15,3.2,3.0,3.0,4132000,-4656600
41,2008-08-13,3.0,3.1,2.95,2.95,749000,-387500
42,2008-08-14,2.95,3.05,2.95,2.95,876000,-956500
43,2008-08-15,2.95,2.95,2.95,2.95,221000,-401200
44,2008-08-19,2.9,2.95,2.9,2.9,312000,-446600
45,2008-08-20,2.85,2.85,2.8,2.85,269000,-285000
46,2008-08-21,3.0,3.05,2.95,3.0,1023000,0
47,2008-08-22,3.0,3.0,2.95,3.0,426000,-171100
48,2008-08-26,3.0,3.0,3.0,3.0,161000,0
49,2008-08-27,3.0,3.0,2.95,3.0,291000,0
50,2008-08-28,3.0,3.0,2.95,2.95,329000,0
51,2008-08-29,3.0,3.05,3.0,3.0,11439000,0
52,2008-02-01,4.85,4.85,4.85,4.85,60000,0
53,2008-02-04,4.9,4.9,4.8,4.9,326000,0
54,2008-02-05,4.9,4.9,4.9,4.9,48000,0
55,2008-02-06,4.85,4.85,4.75,4.85,22000,0
56,2008-02-07,4.8,5.3,4.8,5.3,845000,0
57,2008-02-08,5.5,5.6,5.2,5.3,183000,165000
58,2008-02-11,5.4,5.4,5.0,5.0,61000,0
59,2008-02-12,5.0,5.0,5.0,5.0,20000,0
60,2008-02-13,5.0,5.0,4.95,4.95,13000,0
61,2008-02-14,5.0,5.0,5.0,5.0,82000,0
62,2008-02-15,4.9,5.5,4.9,5.5,1242000,0
63,2008-02-18,5.5,5.8,5.1,5.5,1615000,-565000
64,2008-02-19,5.5,5.7,5.5,5.6,875000,0
65,2008-02-20,5.7,5.7,5.4,5.4,136000,0
66,2008-02-21,5.3,5.3,5.2,5.2,62000,0
67,2008-02-22,5.1,5.2,4.95,5.2,199000,0
68,2008-02-26,4.9,4.9,4.9,4.9,18000,0
69,2008-02-27,4.8,4.8,4.8,4.8,43000,48000
70,2008-02-28,4.85,4.85,4.7,4.7,53000,0
71,2008-02-29,4.7,5.2,4.7,5.2,578000,0
