,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,3.05,3.05,3.0,3.0,81000,0.0
1,2006-08-02,3.05,3.05,3.0,3.0,144000,0.0
2,2006-08-03,3.05,3.05,3.05,3.05,3000,0.0
3,2006-08-04,3.05,3.05,3.05,3.05,8000,0.0
4,2006-08-07,3.0,3.0,3.0,3.0,122000,0.0
5,2006-08-08,3.0,3.0,3.0,3.0,27000,0.0
6,2006-08-11,3.0,3.0,3.0,3.0,10000,0.0
7,2006-08-15,3.0,3.0,3.0,3.0,302000,0.0
8,2006-08-16,2.95,2.95,2.95,2.95,18000,0.0
9,2006-08-17,2.95,2.95,2.95,2.95,10000,0.0
10,2006-12-04,2.95,2.95,2.9,2.9,412000,0.0
11,2006-12-05,2.9,2.9,2.9,2.9,2000,0.0
12,2006-12-06,2.9,2.9,2.9,2.9,60000,0.0
13,2006-12-07,2.9,2.95,2.9,2.9,67000,0.0
14,2006-12-08,2.95,3.0,2.9,3.0,320000,0.0
15,2006-12-11,3.0,3.1,3.0,3.1,293000,-31000.0
16,2006-12-12,3.1,3.2,3.1,3.1,169000,0.0
17,2006-12-13,3.1,3.15,3.1,3.15,31000,0.0
18,2006-12-14,3.1,3.1,3.05,3.05,658000,0.0
19,2006-12-15,3.0,3.0,3.0,3.0,187000,0.0
20,2006-12-18,3.0,3.0,3.0,3.0,284000,0.0
21,2006-12-19,3.05,3.1,3.05,3.05,180000,0.0
22,2006-12-20,3.05,3.05,3.05,3.05,160000,0.0
23,2006-12-21,3.05,3.05,3.0,3.0,332000,0.0
24,2006-12-22,3.05,3.05,3.05,3.05,336000,0.0
25,2006-12-27,3.0,3.0,3.0,3.0,80000,0.0
26,2006-12-28,3.0,3.05,3.0,3.05,34000,0.0
27,2006-12-29,3.05,3.1,3.05,3.1,150000,0.0
28,2006-11-03,2.9,2.9,2.9,2.9,5000,0.0
29,2006-11-06,2.9,2.95,2.9,2.95,95000,0.0
30,2006-11-07,2.95,2.95,2.9,2.95,219000,0.0
31,2006-11-08,2.9,2.9,2.85,2.85,169000,0.0
32,2006-11-09,2.85,2.85,2.85,2.85,135000,0.0
33,2006-11-10,2.9,3.1,2.85,3.05,572000,0.0
34,2006-11-13,3.0,3.0,3.0,3.0,175000,0.0
35,2006-11-14,3.05,3.05,3.0,3.0,86000,0.0
36,2006-11-15,3.05,3.05,3.0,3.0,305000,0.0
37,2006-11-16,3.05,3.05,3.05,3.05,220000,0.0
38,2006-11-17,3.05,3.1,3.05,3.1,211000,31000.0
39,2006-11-20,3.1,3.2,3.1,3.2,59000,0.0
40,2006-11-21,3.1,3.1,3.1,3.1,24000,0.0
41,2006-11-22,3.05,3.05,2.95,2.95,41000,0.0
