,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-16,2.5,2.5,2.5,2.5,330000,0
1,2006-12-04,3.25,4.0,3.25,3.75,3101000,-6000
2,2006-12-05,3.85,3.85,3.75,3.85,580000,0
3,2006-12-06,3.75,4.1,3.75,3.85,5091000,0
4,2006-12-07,3.85,4.25,3.8,4.25,4426000,2294000
5,2006-12-08,4.4,4.55,4.2,4.45,3128000,0
6,2006-12-11,4.55,4.7,4.0,4.1,2780000,0
7,2006-12-12,4.1,4.3,4.0,4.15,18257000,0
8,2006-12-13,4.2,4.3,4.15,4.2,2635000,1690000
9,2006-12-14,4.2,4.2,4.05,4.1,394000,0
10,2006-12-15,4.1,4.2,4.1,4.1,518000,0
11,2006-12-18,4.2,4.4,4.2,4.3,2187000,1290000
12,2006-12-19,4.4,4.5,4.1,4.25,1345000,215000
13,2006-12-20,4.3,4.3,4.2,4.2,546000,38250
14,2006-12-21,4.25,4.3,4.1,4.1,815000,0
15,2006-12-22,4.1,4.1,3.95,3.95,949000,0
16,2006-12-27,4.0,4.0,3.9,3.9,469000,1252100
17,2006-12-28,3.95,3.95,3.85,3.85,689000,0
18,2006-12-29,3.8,3.85,3.7,3.85,626000,15000
19,2006-11-10,2.0,2.0,2.0,2.0,1000000,0
20,2006-11-22,2.5,2.5,2.5,2.5,15000,0
21,2006-11-30,2.5,3.4,2.5,3.2,2079000,-5000
22,2006-09-18,2.5,2.5,2.5,2.5,675000,0
23,2006-09-19,2.3,2.3,2.3,2.3,300000,0
24,2006-09-22,2.2,2.2,2.2,2.2,153000,0
25,2006-09-26,2.3,2.5,2.3,2.3,205000,0
26,2006-09-27,2.3,2.3,2.3,2.3,1050000,0
27,2007-04-02,6.4,6.7,6.4,6.6,1696000,275100
28,2007-04-03,6.8,7.1,6.6,6.6,6723000,-104300
29,2007-04-04,6.8,6.9,6.6,6.9,3403000,27000
30,2007-04-10,7.0,7.0,6.8,6.8,485000,353600
31,2007-04-11,6.8,6.8,6.6,6.7,997000,-19800
32,2007-04-12,6.7,6.7,6.6,6.6,985000,0
33,2007-04-13,6.6,6.6,6.4,6.5,2192000,-64000
34,2007-04-16,6.5,6.8,6.5,6.6,1580000,198000
35,2007-04-17,6.6,6.6,6.6,6.6,774000,0
36,2007-04-18,6.6,6.6,6.5,6.5,585000,0
37,2007-04-19,6.5,6.5,6.3,6.3,503000,608000
38,2007-04-20,6.3,6.6,6.3,6.6,770000,0
39,2007-04-23,6.7,6.7,6.6,6.6,194000,0
40,2007-04-24,6.5,6.7,6.5,6.7,622000,0
41,2007-04-25,6.7,6.7,6.6,6.6,81000,0
42,2007-04-26,6.6,6.7,6.6,6.6,598000,-13200
43,2007-04-27,6.6,6.6,6.4,6.5,377000,0
44,2007-04-30,6.5,6.5,6.4,6.5,375000,0
45,2007-08-01,9.8,9.8,9.5,9.6,1132000,143500
46,2007-08-02,9.8,10.0,8.8,8.9,3040000,245300
47,2007-08-03,9.3,9.3,8.3,8.9,5254000,450400
48,2007-08-07,9.3,9.5,8.9,9.1,5812000,524900
49,2007-08-08,9.1,9.3,9.1,9.3,1195000,174800
50,2007-08-09,9.5,9.5,9.1,9.1,1740000,218100
