,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,0.0075,0.0075,0.007,0.007,43000000,0
1,2006-08-02,0.0065,0.0065,0.0065,0.0065,1000000,-6500
2,2006-08-04,0.007,0.007,0.007,0.007,50000000,0
3,2006-08-09,0.0065,0.0065,0.0065,0.0065,15000000,0
4,2006-08-10,0.007,0.0075,0.007,0.0075,25000000,0
5,2006-08-11,0.007,0.007,0.007,0.007,16000000,0
6,2006-08-16,0.007,0.0075,0.007,0.0075,13000000,0
7,2006-08-17,0.007,0.007,0.007,0.007,8000000,0
8,2006-12-04,0.007,0.007,0.007,0.007,5000000,0
9,2006-12-05,0.007,0.007,0.007,0.007,10000000,0
10,2006-12-06,0.007,0.007,0.007,0.007,22000000,0
11,2006-12-08,0.0065,0.0065,0.0065,0.0065,208000000,0
12,2006-12-11,0.0075,0.0075,0.0075,0.0075,48000000,0
13,2006-12-13,0.0075,0.0075,0.0075,0.0075,5000000,0
14,2006-12-14,0.008,0.0085,0.008,0.008,138000000,0
15,2006-12-15,0.0085,0.009,0.0085,0.0085,97000000,0
16,2006-12-18,0.009,0.01,0.009,0.01,349000000,0
17,2006-12-19,0.01,0.01,0.009,0.009,107000000,0
18,2006-12-20,0.0085,0.0085,0.0085,0.0085,30000000,0
19,2006-12-22,0.0085,0.009,0.0085,0.009,35000000,0
20,2006-12-27,0.009,0.009,0.0085,0.0085,11000000,0
21,2006-11-03,0.007,0.007,0.007,0.007,35000000,0
22,2006-11-06,0.007,0.007,0.007,0.007,15000000,0
23,2006-11-07,0.0075,0.008,0.0075,0.008,35000000,0
24,2006-11-08,0.008,0.0085,0.008,0.0085,10000000,-8000
25,2006-11-14,0.0075,0.0075,0.0075,0.0075,1000000,-7500
26,2006-11-16,0.0075,0.0075,0.0075,0.0075,15000000,0
27,2006-11-17,0.008,0.008,0.008,0.008,15000000,0
28,2006-11-20,0.008,0.009,0.008,0.0085,30000000,0
29,2006-11-21,0.0075,0.0075,0.0075,0.0075,20000000,-150000
30,2006-11-22,0.008,0.008,0.008,0.008,2000000,0
31,2006-11-28,0.0075,0.0075,0.0075,0.0075,29000000,0
32,2006-11-29,0.0075,0.0075,0.0075,0.0075,2000000,0
33,2006-10-05,0.0065,0.0065,0.0065,0.0065,2000000,0
34,2006-10-06,0.006,0.006,0.006,0.006,10000000,0
35,2006-10-11,0.0065,0.0065,0.0065,0.0065,3000000,0
36,2006-10-23,0.007,0.007,0.007,0.007,10000000,0
37,2006-10-26,0.0075,0.0075,0.0075,0.0075,11000000,0
38,2006-10-27,0.0075,0.0075,0.007,0.007,20000000,0
39,2006-10-30,0.007,0.007,0.007,0.007,11000000,0
40,2006-10-31,0.007,0.007,0.007,0.007,15000000,0
41,2006-09-01,0.0085,0.0085,0.008,0.008,57000000,0
42,2006-09-04,0.0085,0.0085,0.008,0.008,22000000,0
43,2006-09-05,0.008,0.008,0.0075,0.0075,28000000,0
44,2006-09-06,0.007,0.007,0.007,0.007,10000000,0
45,2006-09-07,0.007,0.007,0.007,0.007,34000000,0
