,Date,Open,High,Low,Close,Volume,OtherData
0,2014-05-13,3.32,3.77,3.32,3.75,76000,-2220.0
1,2014-05-14,3.86,3.86,3.4,3.7,67000,0.0
2,2014-05-15,3.01,3.65,3.01,3.5,188000,-17900.0
3,2014-05-16,3.22,3.59,3.22,3.31,89000,0.0
4,2014-05-19,3.12,3.49,3.12,3.47,143000,0.0
5,2014-05-20,3.63,3.65,3.31,3.65,162000,0.0
6,2014-05-21,3.75,4.86,3.75,4.53,1115000,19100.0
7,2014-05-22,4.7,4.86,4.3,4.46,238000,31800.0
8,2014-05-23,4.46,4.46,4.16,4.16,16000,0.0
9,2014-05-26,4.49,5.46,4.25,4.82,776000,14800.0
10,2014-05-27,4.85,5.33,4.85,5.0,227000,-15000.0
11,2014-05-28,4.51,5.0,4.5,4.89,207700,-27.0
12,2014-05-29,4.5,4.73,4.5,4.7,60000,0.0
13,2014-05-30,4.51,4.55,4.4,4.42,200000,0.0
14,2014-06-02,4.59,4.59,4.15,4.35,32000,-8540.0
15,2014-06-03,4.21,5.5,4.21,4.57,126000,0.0
16,2014-06-04,4.57,5.2,4.57,4.95,380000,0.0
17,2014-06-05,4.85,4.99,4.64,4.71,86000,0.0
18,2014-06-06,4.75,4.99,4.75,4.88,56000,-4820.0
19,2014-06-09,4.71,4.84,4.7,4.84,86000,0.0
20,2014-06-10,4.72,4.72,4.7,4.7,99000,0.0
21,2014-06-11,4.8,4.91,4.75,4.9,133000,29420.0
22,2014-06-13,4.93,5.39,4.93,5.05,219000,-61360.0
23,2014-06-16,5.05,5.9,5.05,5.58,222400,28105.0
24,2014-06-17,5.58,5.93,5.18,5.28,168100,-1150.0
25,2014-06-18,5.1,5.27,4.9,5.15,115600,-15300.0
26,2014-06-19,5.39,5.39,4.7,4.7,193200,0.0
27,2014-06-20,5.5,5.5,4.75,4.9,19000,0.0
28,2014-06-23,4.6,4.8,4.5,4.8,26000,-28800.0
29,2014-06-24,4.57,4.79,4.57,4.79,15000,-19160.0
30,2014-06-25,4.58,4.6,4.5,4.6,17000,0.0
31,2014-06-26,4.99,4.99,4.6,4.79,73000,0.0
32,2014-06-27,4.7,4.7,4.6,4.6,14000,0.0
33,2014-06-30,4.52,4.52,4.25,4.4,158000,0.0
34,2014-07-02,4.4,4.4,4.4,4.4,2000,0.0
35,2014-07-03,4.39,4.4,4.39,4.4,5000,0.0
36,2014-07-04,4.4,4.4,4.4,4.4,1000,0.0
37,2014-07-07,4.21,4.4,4.21,4.36,36000,0.0
38,2014-07-08,4.29,4.36,4.2,4.36,57000,0.0
39,2014-07-09,4.23,4.65,4.23,4.5,141000,0.0
40,2014-07-10,4.5,4.5,4.5,4.5,1000,0.0
41,2014-07-11,4.5,4.64,4.5,4.5,38000,0.0
42,2014-07-14,4.5,4.5,4.5,4.5,7000,0.0
