Date,Unnamed: 0,Open,High,Low,Close,Volume,OtherData,EMA-18,EMA-50,EMA-100
2006-08-01,0,33.5,34.5,33.5,34.0,315500.0,9229200.0,,,
2006-08-02,1,33.0,33.0,32.5,33.0,128600.0,-698200.0,,,
2006-08-03,2,33.0,33.5,33.0,33.0,175300.0,-102800.0,,,
2006-08-04,3,32.5,33.0,32.5,33.0,388600.0,1185200.0,,,
2006-08-07,4,33.0,33.0,33.0,33.0,2100.0,0.0,,,
2006-08-08,5,32.5,33.0,32.5,33.0,190700.0,-2386300.0,,,
2006-08-09,6,33.0,33.0,32.5,32.5,53300.0,-919750.0,,,
2006-08-10,7,32.0,32.0,31.5,31.5,348900.0,-6926250.0,,,
2006-08-11,8,32.0,32.0,31.5,31.5,335900.0,-5933200.0,,,
2006-08-14,9,31.5,32.0,31.5,32.0,219400.0,-4203450.0,,,
2006-08-15,10,32.0,32.0,32.0,32.0,208500.0,4841600.0,,,
2006-08-16,11,32.5,33.0,32.0,33.0,1388300.0,4564600.0,,,
2006-08-17,12,33.0,34.0,33.0,34.0,521700.0,10435200.0,,,
2006-12-04,13,40.0,40.5,39.5,40.0,3874100.0,-716000.0,,,
2006-12-05,14,40.0,41.0,40.0,40.5,857000.0,1184850.0,,,
2006-12-06,15,40.5,41.0,40.5,40.5,1177100.0,2357200.0,,,
2006-12-07,16,41.0,41.5,40.5,41.5,1021600.0,2591850.0,,,
2006-12-08,17,41.0,41.5,41.0,41.0,1134600.0,-2919200.0,34.94444444444444,,
2006-12-11,18,41.0,41.5,40.5,41.5,492100.0,534700.0,35.634502923976605,,
2006-12-12,19,41.0,41.0,41.0,41.0,137000.0,-3870400.0,36.199292089873815,,
2006-12-13,20,41.0,41.0,40.5,41.0,101400.0,-86100.0,36.70462976462393,,
2006-12-14,21,41.0,41.0,41.0,41.0,201900.0,1078300.0,37.156773999926685,,
2006-12-15,22,41.0,41.0,40.5,41.0,697500.0,-509200.0,37.56132410519756,,
2006-12-18,23,41.0,41.5,40.5,41.0,483900.0,26650.0,37.92328998886097,,
2006-12-19,24,41.5,41.5,41.0,41.0,577100.0,3863700.0,38.24715420055982,,
2006-12-20,25,41.0,41.0,40.5,40.5,389300.0,-1192250.0,38.484295863658794,,
2006-12-21,26,40.5,42.0,40.5,42.0,743600.0,16791650.0,38.85436998327365,,
2006-12-22,27,42.0,42.0,41.5,42.0,369000.0,11264950.0,39.18548893240274,,
2006-12-27,28,42.0,42.0,41.5,41.5,233100.0,1643900.0,39.429121676360346,,
2006-12-28,29,41.5,42.5,41.5,42.0,747300.0,23185000.0,39.69974044726978,,
2006-12-29,30,42.5,42.5,41.0,42.0,895100.0,32347400.0,39.9418730317677,,
2006-11-02,31,39.5,40.5,39.5,40.5,170200.0,2417250.0,40.00062323895005,,
2006-11-03,32,40.5,40.5,40.5,40.5,80000.0,178200.0,40.05318921379741,,
2006-11-06,33,40.5,40.5,40.0,40.5,190400.0,1443650.0,40.10022192813452,,
2006-11-07,34,40.0,40.5,40.0,40.0,81600.0,1520000.0,40.08967225148879,,
2006-11-08,35,40.0,40.0,40.0,40.0,520400.0,404000.0,40.08023306712155,,
2006-11-09,36,40.0,42.0,39.5,42.0,1084200.0,1476150.0,40.28231379689823,,
2006-11-10,37,41.5,42.0,41.0,41.5,301000.0,-716450.0,40.41049129196158,,
2006-11-13,38,41.5,41.5,41.0,41.0,251200.0,2647750.0,40.47254484017615,,
2006-11-14,39,41.5,42.0,41.0,42.0,656200.0,14348600.0,40.63332959384181,,
2006-11-15,40,41.5,42.0,41.5,42.0,407900.0,9161850.0,40.77718963659531,,
2006-11-16,41,41.5,42.0,41.5,42.0,122100.0,2667050.0,40.9059065169537,,
2006-11-17,42,41.5,42.0,41.5,41.5,268700.0,-1464000.0,40.96844267306385,,
2006-11-20,43,41.5,42.0,41.5,42.0,554900.0,2522500.0,41.07702765484659,,
2006-11-21,44,42.0,42.0,41.5,41.5,321600.0,-7328100.0,41.121551059599575,,
2006-11-22,45,41.0,42.5,41.0,42.0,47200.0,782550.0,41.214019369115405,,
2006-11-23,46,42.5,42.5,41.5,41.5,36500.0,622500.0,41.24412259341905,,
2006-11-24,47,41.5,41.5,41.0,41.0,142300.0,-1665900.0,41.21842547832231,,
2006-11-27,48,41.0,41.5,41.0,41.0,1140100.0,518200.0,41.195433322709434,,
2006-11-28,49,40.5,40.5,40.0,40.0,562200.0,-1535050.0,41.06959823610843,38.98,
2006-11-29,50,40.0,40.0,39.0,39.5,572000.0,-9148700.0,40.90437736914966,39.00039215686274,
2006-11-30,51,39.5,40.5,39.5,40.0,2274800.0,-13839350.0,40.80917975134443,39.03959246443676,
2006-10-02,52,35.0,35.0,34.0,34.5,430600.0,-9150300.0,40.14505556699238,38.86156923053728,
2006-10-03,53,35.5,35.5,35.0,35.5,529600.0,8175500.0,39.65610234941424,38.72974298620248,
2006-10-04,54,36.0,36.0,35.0,35.0,441700.0,-1256000.0,39.16598631263379,38.58347855537101,
2006-10-05,55,35.5,37.0,35.5,37.0,884100.0,13969800.0,38.93798775340918,38.52138135712117,
2006-10-06,56,37.5,38.0,37.0,37.5,1358400.0,32148850.0,38.78662062147136,38.48132718625367,
2006-10-09,57,37.5,37.5,37.0,37.5,198200.0,3566150.0,38.651186871842796,38.4428437671849,
2006-10-10,58,37.0,37.0,36.5,36.5,396400.0,-7972300.0,38.42474614849093,38.3666538155306,
2006-10-11,59,37.0,37.5,36.5,37.0,638600.0,-8490100.0,38.274772869702396,38.313059548254884,
2006-10-12,60,37.0,37.5,37.0,37.5,366900.0,-4709500.0,38.19321783078637,38.28117486008803,
2006-10-13,61,37.5,38.5,37.5,38.5,1201100.0,29482150.0,38.2255106907036,38.28975623812378,
2006-10-16,62,38.5,39.5,38.5,39.5,821900.0,25034450.0,38.35966746010322,38.33721677780521,
2006-10-17,63,39.5,39.5,38.5,39.5,593800.0,17143750.0,38.47970246430288,38.38281611985207,
2006-10-18,64,39.0,40.0,39.0,40.0,364000.0,5713800.0,38.63973378384996,38.44623509554414,
2006-10-19,65,39.5,40.5,39.5,40.0,1458100.0,16943950.0,38.78291970133943,38.507167052581615,
2006-10-20,66,40.0,41.5,39.5,41.0,2602500.0,21719650.0,39.01629657488265,38.604925207382344,
2006-10-23,67,40.0,41.0,40.0,41.0,953900.0,4031100.0,39.2251074617371,38.698849709053626,
2006-10-25,68,41.0,42.5,41.0,42.0,971900.0,25981450.0,39.5172014131332,38.82830658320839,
2006-10-26,69,42.0,42.5,41.5,41.5,699100.0,24195400.0,39.72591705385602,38.933078874062964,
2006-10-27,70,41.5,41.5,41.0,41.5,753900.0,2689200.0,39.912662627134345,39.033742447629116,
2006-10-30,71,41.5,41.5,40.5,40.5,842900.0,-1060650.0,39.974487613751776,39.09124274380053,
2006-10-31,72,40.5,40.5,39.0,39.5,719500.0,-3983650.0,39.924541549146326,39.10727244012208,
2006-09-01,73,32.0,32.5,32.0,32.5,1335400.0,34832750.0,39.143010859762505,38.84816371698003,
2006-09-04,74,33.0,33.5,33.0,33.0,377800.0,0.0,38.49637813768224,38.618823963372975,
2006-09-05,75,33.0,33.5,33.0,33.5,174400.0,4051450.0,37.9704435968736,38.4180857687309,
2006-09-06,76,33.5,34.0,33.5,33.5,208700.0,6915400.0,37.499870586676366,38.225219660153215,
2006-09-07,77,33.5,34.0,33.5,34.0,314900.0,-266900.0,37.131463156499905,38.059524771519754,
2006-09-08,78,33.5,33.5,33.0,33.0,518900.0,-2554650.0,36.69657229792097,37.861112035381716,
2006-09-11,79,33.0,33.0,33.0,33.0,366000.0,316800.0,36.3074594244556,37.67048019085695,
2006-09-12,80,33.0,33.0,33.0,33.0,354100.0,3300.0,35.95930580082869,37.48732410494099,
2006-09-13,81,33.5,33.5,33.5,33.5,289000.0,2247850.0,35.70043150600461,37.330958453766826,
2006-09-14,82,33.5,33.5,33.5,33.5,571100.0,-1567800.0,35.46880713695151,37.18072478891322,
2006-09-15,83,33.5,33.5,33.0,33.0,36200.0,-74950.0,35.20893270148292,37.01677479719115,
2006-09-18,84,33.0,34.5,33.0,34.0,391500.0,920000.0,35.08167662764261,36.898469903183646,
2006-09-19,85,34.0,35.5,34.0,35.5,623600.0,9109000.0,35.12571066683813,36.84362794619606,
2006-09-20,86,35.0,35.0,34.0,34.5,503300.0,-3070200.0,35.05984638611832,36.75172096791386,
2006-09-21,87,35.0,36.5,35.0,36.0,825100.0,11445000.0,35.15880992442166,36.72224171427018,
2006-09-22,88,36.0,36.0,35.5,36.0,233800.0,-1782500.0,35.247356248166746,36.693918509789,
2006-09-25,89,35.5,35.5,35.0,35.0,140300.0,-1976000.0,35.22131874835972,36.627490332934535,
2006-09-26,90,35.0,35.0,34.5,35.0,301500.0,-7920950.0,35.198022038006066,36.56366718262337,
2006-09-27,91,35.0,36.0,35.0,35.5,161200.0,-12000.0,35.22980919190017,36.521954744089115,
2007-04-02,92,54.5,55.0,54.5,55.0,67000.0,801400.0,37.31088190854226,37.24658396981111,
2007-04-03,93,55.0,55.5,55.0,55.5,210300.0,9762450.0,39.22552591816939,37.962404206289115,
2007-04-04,94,55.5,59.5,55.5,59.5,523200.0,28468350.0,41.35968108467787,38.80701580604249,
2007-04-10,95,58.5,61.0,58.5,60.0,834600.0,11383850.0,43.32181991786968,39.63811322541336,
2007-04-11,96,59.5,59.5,57.5,57.5,227800.0,-1091000.0,44.81425992651497,40.33857937343637,
2007-04-12,97,57.5,57.5,56.0,56.0,1072800.0,-36252400.0,45.99170625003971,40.95275273134083,
2007-04-13,98,56.0,56.0,55.0,55.0,1382400.0,-32310050.0,46.939947697403966,41.50362517324904,
2007-04-16,99,55.0,55.0,55.0,55.0,1032900.0,390500.0,47.78837425557196,42.03289477429809,39.415
2007-04-17,100,55.0,56.5,55.0,55.5,1191200.0,-26787850.0,48.6001243339328,42.561016547855026,39.73351485148515
2007-04-18,101,55.5,56.0,55.5,55.5,1037000.0,-5464050.0,49.32642703562409,43.06842766362542,40.0457224781884
2007-04-19,102,55.5,55.5,54.5,55.0,165300.0,-6471700.0,49.923645242400504,43.53633246113032,40.341846785551006
2007-04-20,103,54.5,55.0,54.0,54.5,144400.0,-2905600.0,50.40536679583202,43.966280207752646,40.622206255144064
2007-04-23,104,54.5,54.5,53.5,53.5,403400.0,-13828900.0,50.731117659428655,44.340151572154504,40.87721207187389
2007-04-24,105,53.5,53.5,53.0,53.0,441600.0,-3732750.0,50.969947379488794,44.679753471285714,41.11726727837143
2007-04-25,106,53.0,53.5,52.5,53.0,3061100.0,-16208800.0,51.18363712901628,45.00603764888234,41.35256891642348
2007-04-26,107,53.0,54.0,52.5,53.0,1431600.0,-27454500.0,51.37483322069878,45.31952636853402,41.583211116098255
2007-04-27,108,53.0,53.0,52.0,52.0,564400.0,-14824000.0,51.44064025009891,45.581505726630716,41.789484163304245
2007-04-30,109,52.0,52.0,49.5,49.5,556300.0,-14439000.0,51.23636232903586,45.73517216872363,41.94216764521901
2007-08-01,110,49.0,49.0,47.0,48.0,532500.0,-22043450.0,50.895692610189975,45.82398894642075,42.062124721551314
2007-08-02,111,49.0,50.0,48.5,49.5,979100.0,3682850.0,50.74877759859104,45.96814624263954,42.20940938053049
2007-08-03,112,50.0,50.5,48.0,48.0,339400.0,-5050650.0,50.45943258821303,46.04782678214386,42.32407454131207
2007-08-06,113,48.0,48.0,46.0,47.0,693000.0,-27258000.0,50.09528178945377,46.085166908334294,42.41666712465243
2007-08-07,114,49.5,50.5,49.5,50.5,2370200.0,-45283400.0,50.13788370635337,46.258297617811394,42.576733122184045
2007-08-08,115,50.5,52.5,50.5,52.5,777600.0,-11119100.0,50.386527526737225,46.503070260250155,42.77323345639822
2007-08-09,116,53.0,54.0,53.0,54.0,1270400.0,12326350.0,50.76689305023857,46.79706750494622,42.99554566518242
2007-08-10,117,52.5,53.0,50.5,53.0,353000.0,-1375350.0,51.00195693968714,47.04031975965422,43.19365367181248
2007-08-13,118,53.5,54.5,53.0,53.0,1107500.0,16351000.0,51.21227726182534,47.27403271025602,43.38783874761817
2007-08-14,119,53.0,53.5,52.5,53.0,755500.0,4501350.0,51.40045860268582,47.498580447108715,43.57817857439801
2007-08-15,120,52.0,52.0,51.0,51.5,1145100.0,-12216650.0,51.41093664450837,47.6554988609476,43.73504632540003
2007-08-16,121,50.0,50.0,46.0,46.5,574600.0,-4523350.0,50.89399594508644,47.610185180126116,43.7897978833129
2007-08-17,122,46.5,49.0,44.0,44.0,2237500.0,-18925250.0,50.16831216139314,47.46860929070941,43.79396030146512
2007-08-21,123,49.0,53.0,49.0,53.0,1789400.0,56171950.0,50.46638456545701,47.685526573426685,43.9762581172777
2007-08-22,124,53.0,53.0,52.0,52.5,922300.0,312500.0,50.680449348040476,47.87432945290015,44.14504508525239
2007-08-23,125,53.0,53.0,52.5,52.5,316100.0,1274450.0,50.87198099561517,48.055728297884464,44.31048973702957
2007-08-24,126,52.0,52.0,50.5,51.0,310900.0,-30600.0,50.885456680287255,48.17118993326154,44.44295528679136
2007-08-28,127,51.0,52.0,51.0,52.0,1277900.0,6100350.0,51.0027770297307,48.32133934764345,44.592599736557865
2007-08-29,128,51.0,51.0,50.5,50.5,1426700.0,8025050.0,50.94985313186431,48.40677702028486,44.70957795959632
2007-08-30,129,52.0,53.0,52.0,53.0,563800.0,4928700.0,51.165658065352275,48.58690341164626,44.873744732673615
2007-08-31,130,54.0,54.5,52.5,54.5,1557300.0,-32136750.0,51.51664142689414,48.818789552366,45.0643636488583
2007-12-03,131,50.0,52.0,50.0,51.5,2382000.0,42649000.0,51.514889697747385,48.92393506011635,45.19180199244528
2007-12-04,132,52.0,52.0,51.5,51.5,384400.0,910500.0,51.5133223611424,49.0249572146216,45.31671680447606
2007-12-05,133,51.5,51.5,50.0,50.5,682900.0,5720950.0,51.40665684944321,49.08280202973448,45.41935607567454
2007-12-06,134,51.5,52.0,51.0,51.0,223800.0,-7328450.0,51.36385086529128,49.15798626386253,45.52986387615624
2007-12-07,135,51.5,52.5,51.0,51.5,1553900.0,54076450.0,51.37818235315535,49.24982993978949,45.648084393460074
2007-12-10,136,52.5,52.5,51.0,51.5,1917400.0,19065300.0,51.39100526334954,49.338071902935006,45.76396391042129
2007-12-11,137,51.5,51.5,50.5,50.5,464800.0,-836450.0,51.29721523562853,49.38363771066305,45.857746803284215
2007-12-12,138,49.5,50.0,49.0,49.5,862100.0,454900.0,51.108034684509725,49.388200937695856,45.92987062896175
2007-12-13,139,49.5,49.5,48.5,49.0,256000.0,-10635850.0,50.88613629666661,49.37297737151171,45.99066526997242
2007-12-14,140,49.0,49.0,48.0,48.0,625000.0,-12377150.0,50.582332475964854,49.31913512164852,46.03045407650762
2007-12-17,141,47.0,48.0,47.0,48.0,462200.0,-2062450.0,50.31050800481066,49.26740433256426,46.0694549858837
2007-12-18,142,48.0,48.0,47.0,47.5,784200.0,-16739650.0,50.01466505693586,49.1980943587382,46.097782609925616
2007-12-19,143,48.0,49.0,48.0,48.5,263100.0,4286850.0,49.85522662988998,49.170718109375926,46.14535127111521
2007-12-20,144,48.5,49.0,48.5,49.0,1272200.0,18443900.0,49.76520277411208,49.164023281557256,46.201878968716876
2007-12-26,145,50.5,51.5,50.0,51.5,930700.0,41760850.0,49.947813008416084,49.25563021169226,46.306792256465066
2007-12-27,146,52.0,52.5,51.5,52.0,1295400.0,60788600.0,50.1638326917407,49.36325255633178,46.41952904346576
2007-12-28,147,52.0,52.0,52.0,52.0,719600.0,26197600.0,50.35711346103116,49.46665441686779,46.53003341884267
2007-02-01,148,42.5,43.0,42.0,43.0,543300.0,8876250.0,49.582680465133144,49.21306012601023,46.4601317669844
2007-02-02,149,42.5,44.5,42.5,44.5,1945200.0,49755350.0,49.04766146880333,49.02823423871572,46.42131727654906
2007-02-05,150,44.5,44.5,44.5,44.5,627200.0,12847150.0,48.56896026156088,48.85065642543274,46.383271389884726
2007-02-06,151,44.5,44.5,44.0,44.0,791200.0,17478150.0,48.088017076133404,48.660434604827536,46.33607789701571
2007-02-07,152,44.0,44.0,43.5,43.5,542500.0,17778500.0,47.605067910224626,48.4580646203245,46.27991793865898
2007-02-08,153,43.5,44.5,43.5,44.0,364900.0,8222000.0,47.22558707756941,48.28323855678237,46.23477104878455
2007-02-09,154,44.0,45.0,44.0,45.0,1240600.0,25783250.0,46.99131475361473,48.15448410357522,46.21032013692742
2007-02-12,155,45.0,45.0,43.5,43.5,886000.0,-15051350.0,46.62380793744475,47.97195531519972,46.15665043124569
2007-02-13,156,43.5,43.5,42.5,43.0,564900.0,-9304950.0,46.24235447034532,47.776976675387964,46.09414250191409
2007-02-14,157,43.5,44.5,43.5,44.5,468800.0,-6994050.0,46.05894873662475,47.64846778615706,46.06257532365837
2007-02-15,158,45.0,48.0,45.0,48.0,1350600.0,44431750.0,46.263269922243204,47.66225336317051,46.10094016873444
2007-02-19,159,47.0,48.0,47.0,48.0,219400.0,2969700.0,46.44608361463865,47.67549832932069,46.138545313908004
2007-02-20,160,48.0,50.0,48.0,50.0,1428500.0,-22905000.0,46.82018007625564,47.76665525758262,46.21500976313756
2007-02-21,161,50.5,53.0,50.5,53.0,428000.0,6702400.0,47.47068743664978,47.97188446316761,46.34936600545166
2007-02-22,162,53.0,53.0,52.5,53.0,295600.0,2294500.0,48.05272033805507,48.169065464612025,46.48106172811599
2007-02-23,163,53.0,54.5,53.0,54.5,842600.0,15052450.0,48.7313813551019,48.417337407176255,46.63985258498498
2007-02-26,164,54.5,55.0,54.0,55.0,611500.0,-17564400.0,49.3912359493017,48.675481038267385,46.80540005854963
2007-02-27,165,55.0,55.5,54.5,55.5,752100.0,8237550.0,50.034263744112046,48.94310923284513,46.977570354419925
2007-02-28,166,52.0,52.0,48.0,50.0,1654600.0,-64748400.0,50.03065703420553,48.9845559295963,47.037420446411616
2007-01-02,167,42.5,43.5,42.5,43.5,494400.0,15613350.0,49.34321945165758,48.76947530490625,46.9673725167797
2007-01-03,168,43.5,43.5,43.0,43.5,303400.0,5937750.0,48.72814371990414,48.562829214517784,46.89871167486327
2007-01-04,169,43.5,44.0,43.5,44.0,724100.0,27424350.0,48.230444380966865,48.38389473551708,46.84131144367787
2007-01-05,170,44.0,44.0,43.0,43.0,1079100.0,-600250.0,47.67987128823351,48.17276160863406,46.765245870535715
2007-01-08,171,43.0,43.5,42.0,43.0,134100.0,2620050.0,47.18725325789314,47.969908212217035,46.6906865463667
2007-01-09,172,42.5,43.0,42.5,43.0,366100.0,-1779800.0,46.74648975706229,47.775009850953616,46.61760364445846
2007-01-10,173,42.5,43.0,42.0,42.0,559300.0,-3868200.0,46.24685925631889,47.54853887640642,46.52616594852858
2007-01-11,174,42.5,42.5,42.5,42.5,636200.0,850000.0,45.85245301881164,47.3505569596846,46.446439890141875
2007-01-12,175,42.5,43.0,42.5,43.0,135800.0,2313400.0,45.55219480630515,47.179946882834216,46.378193555683616
2007-01-15,176,43.0,44.5,43.0,44.5,529800.0,4885800.0,45.44143745827303,47.07485092664465,46.34100160408593
2007-01-16,177,45.0,45.5,45.0,45.0,989300.0,18499400.0,45.394970357402194,46.99348422363897,46.314447116876295
2007-01-17,178,45.0,45.0,42.5,43.0,400600.0,-8663500.0,45.14286821451775,46.83687699918255,46.24881450070053
2007-01-18,179,43.0,43.0,41.5,43.0,1046000.0,2541500.0,44.91730313930535,46.686411234508725,46.18448154029061
2007-01-19,180,43.0,43.5,43.0,43.5,499000.0,469400.0,44.76811333516794,46.561453931194656,46.13132348998784
2007-01-22,181,43.0,43.5,43.0,43.5,519400.0,-2193050.0,44.63462772093974,46.44139691428506,46.07921807434451
2007-01-23,182,43.5,44.0,43.5,44.0,448700.0,12257950.0,44.56782480294609,46.34565585882291,46.038045439208965
2007-01-24,183,44.0,44.0,44.0,44.0,399100.0,10428000.0,44.50805377105702,46.25366935455534,45.997688103779105
