,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,16.0,16.0,16.0,16.0,2000,0
1,2006-08-17,16.0,16.0,16.0,16.0,5500,0
2,2006-12-08,16.25,16.25,16.25,16.25,400,6500
3,2006-09-01,16.0,16.0,16.0,16.0,100,0
4,2007-04-03,11.75,11.75,11.75,11.75,1000,0
5,2007-04-04,17.5,17.5,17.5,17.5,200,0
6,2007-04-11,12.0,15.0,12.0,15.0,1100,0
7,2007-04-12,11.5,11.5,10.75,10.75,5000,0
8,2007-04-17,10.75,10.75,7.0,7.0,164400,52500
9,2007-04-18,7.5,9.0,6.6,9.0,2112000,0
10,2007-04-19,9.0,9.0,9.0,9.0,30000,0
11,2007-04-23,9.5,9.5,9.0,9.0,25000,0
12,2007-04-25,9.5,9.5,9.5,9.5,3000,0
13,2007-08-02,14.25,29.0,14.25,29.0,600,0
14,2007-08-09,17.5,17.5,17.5,17.5,1000,0
15,2007-12-03,15.5,15.5,15.5,15.5,400,6200
16,2007-12-04,23.0,23.0,20.0,20.0,6600,0
17,2007-12-05,25.0,25.0,23.0,25.0,1700,0
18,2007-12-06,30.0,37.5,30.0,37.5,156200,285000
19,2007-12-07,43.0,43.0,27.0,30.0,126900,-292400
20,2007-12-10,30.0,30.0,30.0,30.0,15300,0
21,2007-12-11,30.0,30.0,28.0,29.0,12200,29000
22,2007-12-12,29.0,30.0,28.5,29.5,43700,0
23,2007-12-13,30.0,30.0,29.0,29.5,8100,0
24,2007-12-14,29.0,29.5,29.0,29.0,11600,0
25,2007-12-17,29.5,29.5,29.0,29.0,3900,0
26,2007-12-18,29.0,29.0,28.5,29.0,12700,0
27,2007-12-19,29.0,29.0,26.5,26.5,45200,-28000
28,2007-12-20,3.5,5.3,3.5,4.6,219500,-49000
29,2007-07-02,25.0,25.0,25.0,25.0,3000,0
30,2007-07-03,27.0,27.0,27.0,27.0,1000,0
31,2007-07-17,25.0,25.0,25.0,25.0,2400,0
32,2007-07-18,25.0,25.0,25.0,25.0,3000,0
33,2007-07-23,25.0,25.0,25.0,25.0,1000,0
34,2007-07-25,22.0,22.0,22.0,22.0,2000,0
35,2007-07-26,22.0,22.0,22.0,22.0,1000,0
36,2007-07-30,22.0,22.0,22.0,22.0,500,0
37,2007-06-01,25.0,25.0,25.0,25.0,2900,0
38,2007-06-05,25.0,25.0,25.0,25.0,1000,-25000
39,2007-06-06,25.5,26.0,25.5,26.0,3100,0
