,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-08,1.0,1.0,1.0,1.0,300000,0.0
1,2006-08-11,1.26,1.26,1.26,1.26,10000,0.0
2,2006-12-11,1.5,1.5,1.5,1.5,1000,0.0
3,2006-12-12,1.5,1.5,1.3,1.3,22000,0.0
4,2006-12-14,1.3,1.3,1.3,1.3,30000,0.0
5,2006-12-15,1.32,1.32,1.3,1.3,39000,0.0
6,2006-12-19,1.3,1.3,1.3,1.3,21000,0.0
7,2006-11-03,1.7,1.7,1.7,1.7,3000,0.0
8,2006-11-09,1.7,1.7,1.7,1.7,3000,0.0
9,2006-11-23,1.5,1.5,1.5,1.5,7000,0.0
10,2006-11-29,1.2,1.2,1.2,1.2,1000,0.0
11,2006-10-03,1.48,1.5,1.48,1.5,20000,0.0
12,2006-10-04,1.5,1.5,1.5,1.5,85000,0.0
13,2006-10-06,1.6,1.6,1.6,1.6,7000,0.0
14,2006-10-11,1.6,1.6,1.6,1.6,50000,0.0
15,2006-10-13,1.6,1.6,1.6,1.6,2000,0.0
16,2006-10-19,1.76,1.76,1.76,1.76,5000,0.0
17,2006-10-20,1.76,1.76,1.76,1.76,7000,0.0
18,2006-10-25,1.8,1.8,1.8,1.8,5000,0.0
19,2006-10-26,1.7,1.7,1.7,1.7,102000,0.0
20,2006-09-06,1.0,1.0,1.0,1.0,1000,0.0
21,2006-09-27,1.0,1.0,1.0,1.0,30000,0.0
22,2007-04-02,2.0,2.06,2.0,2.06,17000,0.0
23,2007-04-03,2.2,2.2,2.2,2.2,10000,0.0
24,2007-04-04,2.26,2.26,2.26,2.26,20000,0.0
25,2007-04-10,2.26,2.26,2.26,2.26,22000,0.0
26,2007-04-11,2.26,2.26,2.26,2.26,13000,0.0
27,2007-04-18,2.3,2.3,2.3,2.3,10000,0.0
28,2007-04-19,2.32,2.4,2.32,2.4,27000,0.0
29,2007-04-25,2.4,2.4,2.4,2.4,10000,0.0
30,2007-04-26,2.4,2.4,2.4,2.4,20000,0.0
31,2007-04-30,2.5,2.5,2.5,2.5,20000,0.0
32,2007-08-01,1.46,1.9,1.46,1.9,42000,0.0
33,2007-08-02,1.9,1.94,1.9,1.94,28000,0.0
34,2007-08-10,2.2,2.2,2.2,2.2,1000,0.0
35,2007-08-16,2.0,2.0,2.0,2.0,10000,0.0
36,2007-12-04,1.8,1.8,1.8,1.8,20000,0.0
37,2007-12-05,1.8,1.8,1.8,1.8,8000,0.0
38,2007-02-12,1.34,1.88,1.34,1.88,3000,0.0
39,2007-02-15,1.86,1.88,1.86,1.88,82000,0.0
40,2007-02-19,1.98,2.0,1.98,2.0,80000,0.0
41,2007-02-21,2.0,2.0,2.0,2.0,84000,0.0
42,2007-02-23,1.3,1.3,1.3,1.3,15000,0.0
43,2007-02-26,1.62,1.62,1.62,1.62,1000,0.0
44,2007-01-04,1.3,1.3,1.3,1.3,50000,0.0
45,2007-01-05,1.3,1.3,1.3,1.3,50000,0.0
46,2007-01-10,1.3,1.3,1.3,1.3,50000,0.0
47,2007-01-11,1.3,1.3,1.3,1.3,100000,0.0
48,2007-01-16,1.28,1.28,1.28,1.28,1000,0.0
49,2007-01-25,1.32,1.8,1.32,1.8,124000,0.0
50,2007-01-31,2.0,2.0,2.0,2.0,21000,0.0
51,2007-06-12,2.5,2.5,2.5,2.5,20000,0.0
52,2007-06-14,2.5,2.5,2.5,2.5,40000,0.0
53,2007-06-18,2.5,2.5,2.5,2.5,11000,0.0
54,2007-06-20,1.6,1.6,1.6,1.6,11000,0.0
55,2007-06-29,2.3,2.3,2.16,2.3,31000,0.0
56,2007-03-02,1.5,1.5,1.5,1.5,1000,0.0
57,2007-03-05,1.5,1.5,1.5,1.5,20000,0.0
58,2007-03-07,1.5,1.5,1.5,1.5,7000,0.0
59,2007-03-08,1.52,1.52,1.52,1.52,3000,0.0
60,2007-03-15,1.48,1.48,1.48,1.48,4000,0.0
61,2007-03-19,1.98,1.98,1.5,1.5,10000,0.0
62,2007-03-21,1.56,1.56,1.56,1.56,7000,0.0
63,2007-03-23,1.6,1.6,1.6,1.6,6000,0.0
64,2007-03-29,1.9,2.02,1.9,2.02,98000,0.0
65,2007-03-30,2.02,2.02,2.02,2.02,39000,0.0
66,2007-05-03,2.3,2.6,2.3,2.6,101000,0.0
67,2007-05-04,2.5,2.5,2.5,2.5,10000,0.0
68,2007-05-22,2.46,2.46,2.46,2.46,10000,0.0
69,2007-05-25,2.42,2.42,2.42,2.42,1000,0.0
70,2007-11-12,1.9,1.9,1.9,1.9,30000,0.0
71,2007-10-15,1.78,1.78,1.78,1.78,1000,0.0
72,2007-10-17,2.28,2.3,2.28,2.28,80000,0.0
73,2007-10-18,2.3,2.3,2.3,2.3,7000,0.0
74,2007-10-22,1.8,1.8,1.8,1.8,30000,0.0
75,2007-10-25,2.0,2.0,2.0,2.0,10000,0.0
76,2008-04-23,1.46,1.46,1.46,1.46,33000,0.0
77,2008-04-24,1.48,1.8,1.48,1.8,47000,0.0
78,2008-08-01,1.7,1.7,1.7,1.7,6000,0.0
79,2008-08-08,1.5,1.5,1.5,1.5,20000,0.0
80,2008-12-16,1.52,1.52,1.52,1.52,1000,0.0
81,2008-01-18,1.72,1.72,1.7,1.7,17000,0.0
82,2008-01-29,1.52,1.52,1.52,1.52,1000,0.0
83,2008-07-02,1.7,1.7,1.7,1.7,10000,0.0
84,2008-03-04,1.56,1.56,1.56,1.56,35000,0.0
