,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-09,0.87,0.87,0.87,0.87,80000,0
1,2006-08-16,0.88,0.88,0.88,0.88,240000,0
2,2006-12-04,0.96,0.96,0.95,0.95,70000,0
3,2006-12-06,0.96,0.96,0.96,0.96,10000,0
4,2006-12-07,0.96,0.96,0.96,0.96,10000,0
5,2006-12-08,0.96,0.96,0.96,0.96,80000,0
6,2006-12-11,0.95,0.95,0.95,0.95,300000,0
7,2006-12-12,0.95,0.95,0.94,0.94,60000,0
8,2006-12-14,0.95,0.95,0.95,0.95,20000,0
9,2006-12-19,0.95,0.95,0.94,0.94,90000,0
10,2006-12-20,0.94,0.94,0.94,0.94,110000,0
11,2006-12-21,0.94,0.94,0.94,0.94,20000,0
12,2006-12-29,0.94,0.94,0.94,0.94,150000,0
13,2006-11-02,0.98,0.98,0.98,0.98,100000,39200
14,2006-11-07,0.98,0.98,0.98,0.98,80000,78400
15,2006-11-08,0.97,0.97,0.97,0.97,90000,0
16,2006-11-09,0.97,0.97,0.97,0.97,30000,0
17,2006-11-14,0.97,0.97,0.97,0.97,70000,0
18,2006-11-15,0.97,0.97,0.97,0.97,100000,0
19,2006-11-17,0.97,0.97,0.97,0.97,30000,0
20,2006-11-20,0.97,0.97,0.96,0.96,260000,0
21,2006-11-23,0.96,0.96,0.96,0.96,50000,0
22,2006-11-24,0.96,0.96,0.96,0.96,20000,0
23,2006-11-27,0.96,0.96,0.96,0.96,50000,0
24,2006-11-29,0.96,0.96,0.96,0.96,210000,0
25,2006-11-30,0.96,0.96,0.96,0.96,40000,0
26,2006-10-02,0.94,0.94,0.94,0.94,110000,0
27,2006-10-04,0.94,0.94,0.94,0.94,70000,0
28,2006-10-06,0.96,0.96,0.96,0.96,40000,0
29,2006-10-09,0.97,1.0,0.96,0.97,640000,323500
30,2006-10-11,0.96,0.96,0.96,0.96,210000,0
31,2006-10-12,0.96,1.02,0.96,1.0,2180000,29200
32,2006-10-13,0.98,0.98,0.98,0.98,100000,98000
33,2006-10-16,1.0,1.0,0.98,0.98,350000,49000
34,2006-10-17,0.98,0.98,0.98,0.98,270000,39200
35,2006-10-19,0.98,0.98,0.98,0.98,320000,196000
36,2006-10-23,0.98,0.98,0.98,0.98,100000,9800
37,2006-10-25,0.99,0.99,0.99,0.99,200000,0
38,2006-10-26,1.0,1.0,0.98,0.98,160000,0
39,2006-10-31,0.98,0.98,0.98,0.98,370000,362600
40,2006-09-01,1.0,1.0,1.0,1.0,10000,0
41,2006-09-06,0.94,0.94,0.94,0.94,20000,0
42,2006-09-11,1.0,1.0,1.0,1.0,340000,0
43,2006-09-12,0.94,0.94,0.94,0.94,20000,0
44,2006-09-13,0.94,0.94,0.94,0.94,60000,0
45,2006-09-18,0.95,0.95,0.95,0.95,50000,0
46,2006-09-19,0.95,0.95,0.95,0.95,40000,0
47,2006-09-21,0.95,0.95,0.95,0.95,20000,0
48,2006-09-22,0.95,0.95,0.95,0.95,80000,0
49,2006-09-25,0.94,0.94,0.94,0.94,50000,0
50,2006-09-26,0.94,0.94,0.94,0.94,330000,0
51,2007-04-02,1.18,1.18,1.16,1.16,535000,609000
52,2007-04-03,1.16,1.16,1.16,1.16,530000,580000
53,2007-04-10,1.2,1.2,1.18,1.2,100000,34220
54,2007-04-12,1.2,1.28,1.2,1.2,261000,323600
55,2007-04-13,1.2,1.32,1.2,1.2,2507000,1240000
56,2007-04-16,1.2,1.2,1.2,1.2,1520000,1752000
57,2007-04-17,1.2,1.26,1.2,1.24,1932000,135020
58,2007-04-18,1.28,1.42,1.24,1.4,5011000,2534240
59,2007-04-19,1.4,1.4,1.34,1.34,227000,0
60,2007-04-24,1.36,1.44,1.36,1.42,502000,0
61,2007-04-25,1.4,1.4,1.38,1.38,227000,-169760
62,2007-04-26,1.38,1.38,1.34,1.34,75000,0
