,Date,Open,High,Low,Close,Volume,OtherData
0,2015-10-30,14.5,14.5,12.5,12.9,25000,0
1,2015-11-02,12.5,12.5,12.4,12.48,6900,46150
2,2015-11-03,12.48,12.48,11.8,11.8,5100,0
3,2015-11-04,12.0,12.38,12.0,12.3,2100,-2476
4,2015-11-05,12.3,12.3,11.74,11.8,22600,0
5,2015-11-06,11.76,11.8,11.72,11.72,19400,0
6,2015-11-09,12.0,12.0,11.5,11.5,18900,0
7,2015-11-10,11.96,12.06,11.96,12.06,27000,-1200
8,2015-11-11,12.2,12.8,12.0,12.5,74800,-60760
9,2015-11-12,12.5,12.5,12.5,12.5,26200,0
10,2015-11-13,12.5,12.5,11.74,12.5,27600,0
11,2015-11-16,11.76,12.7,11.76,12.5,20500,0
12,2015-11-17,12.0,12.5,12.0,12.5,16800,0
13,2015-11-20,12.5,12.7,12.14,12.66,10800,0
14,2015-11-23,12.5,12.8,12.5,12.5,11000,0
15,2015-11-24,12.02,12.52,12.02,12.5,11100,0
16,2015-11-25,12.5,12.5,12.5,12.5,7200,0
17,2015-11-26,12.5,12.78,12.22,12.5,58000,375000
18,2015-11-27,12.2,12.5,12.2,12.5,19500,0
19,2015-12-01,12.5,12.5,12.2,12.5,30000,0
20,2015-12-02,12.5,12.5,12.5,12.5,15100,0
21,2015-12-03,12.2,12.5,12.2,12.5,22500,0
22,2015-12-04,12.48,12.5,12.48,12.48,137000,0
23,2015-12-07,12.7,12.7,12.1,12.7,43300,-121280
24,2015-12-08,12.12,12.88,12.02,12.5,23800,0
25,2015-12-09,12.5,12.5,12.04,12.5,49300,0
26,2015-12-10,12.48,12.5,12.46,12.46,77300,0
27,2015-12-11,12.48,12.48,12.46,12.46,7700,24960
28,2015-12-16,12.38,12.42,12.3,12.3,109900,0
29,2015-12-17,12.28,12.3,12.04,12.2,96000,0
30,2015-12-18,12.2,12.2,12.1,12.1,104200,0
31,2015-12-21,12.1,12.1,12.06,12.1,31000,0
32,2015-12-22,12.08,12.1,12.02,12.1,72400,0
33,2015-12-23,12.1,12.1,12.0,12.0,80000,0
34,2015-12-28,12.0,12.0,12.0,12.0,14100,0
35,2015-12-29,12.0,12.0,11.74,12.0,122100,0
36,2016-01-04,11.98,11.98,11.88,11.88,118300,0
37,2016-01-05,11.94,11.94,11.74,11.76,30000,0
38,2016-01-06,11.74,11.74,11.72,11.74,18700,-9376
39,2016-01-07,11.72,11.76,11.72,11.76,8200,0
40,2016-01-08,11.74,11.74,11.64,11.64,62100,0
41,2016-01-11,11.64,11.64,10.34,10.34,37100,0
42,2016-01-12,10.5,10.5,7.5,8.7,265300,-296580
43,2016-01-13,8.8,8.8,8.6,8.6,54600,0
44,2016-01-14,8.5,8.5,8.5,8.5,12900,0
45,2016-01-15,7.55,8.5,7.55,8.5,27000,7550
46,2016-01-18,8.0,8.0,7.35,7.5,26500,0
47,2016-01-19,7.5,7.5,7.45,7.45,48500,0
48,2016-01-20,7.45,7.45,7.45,7.45,17600,0
