,Date,Open,High,Low,Close,Volume,OtherData
0,2007-02-05,20.0,20.0,20.0,20.0,5000,0.0
1,2007-02-12,22.0,22.0,22.0,22.0,200,0.0
2,2007-01-30,20.0,24.0,20.0,24.0,4100,0.0
3,2007-06-12,22.0,22.0,22.0,22.0,800,0.0
4,2007-06-13,22.0,22.0,22.0,22.0,1300,0.0
5,2007-06-19,22.0,22.0,22.0,22.0,600,0.0
6,2007-03-01,22.0,22.0,22.0,22.0,8000,0.0
7,2007-03-02,21.0,21.0,21.0,21.0,67200,0.0
8,2007-03-07,21.0,21.0,21.0,21.0,100000,0.0
9,2007-03-12,21.0,21.0,21.0,21.0,1000,0.0
10,2007-03-14,21.0,21.0,21.0,21.0,1800,0.0
11,2007-03-27,23.0,25.0,23.0,25.0,6400,0.0
12,2007-03-28,25.0,25.0,25.0,25.0,1900,0.0
13,2007-05-31,22.0,22.0,22.0,22.0,5100,0.0
14,2007-11-08,26.0,26.0,26.0,26.0,12000,0.0
15,2007-10-16,26.0,26.0,26.0,26.0,132100,0.0
16,2007-10-30,27.0,27.0,27.0,27.0,200,0.0
17,2007-09-13,22.0,22.0,22.0,22.0,12100,0.0
18,2007-09-24,24.0,24.0,24.0,24.0,13600,0.0
19,2007-09-28,24.0,24.0,24.0,24.0,100,0.0
20,2008-04-09,27.0,27.0,27.0,27.0,49100,0.0
21,2008-01-02,30.0,30.0,30.0,30.0,200,0.0
22,2008-06-06,27.0,27.0,27.0,27.0,1700,0.0
23,2008-11-05,28.0,28.0,28.0,28.0,500,0.0
24,2008-10-13,27.0,27.0,27.0,27.0,600,0.0
25,2008-10-17,27.0,27.0,27.0,27.0,100,0.0
26,2008-10-21,27.0,27.0,27.0,27.0,400,0.0
27,2008-09-18,27.0,27.0,27.0,27.0,8000,0.0
28,2009-06-09,28.0,28.0,28.0,28.0,1000,0.0
29,2009-05-19,28.0,28.0,28.0,28.0,275900,0.0
30,2009-11-04,30.0,30.0,30.0,30.0,125900,0.0
31,2009-11-11,30.0,30.0,30.0,30.0,125800,0.0
32,2009-10-15,30.0,30.0,30.0,30.0,1100,0.0
33,2009-09-16,30.0,30.0,30.0,30.0,22300,0.0
34,2010-04-13,35.0,35.0,35.0,35.0,9000,0.0
35,2010-04-15,35.0,35.0,35.0,35.0,25000,0.0
36,2010-04-19,34.0,34.0,34.0,34.0,800,0.0
37,2010-04-21,34.0,34.0,34.0,34.0,8900,0.0
38,2010-02-12,30.0,30.0,30.0,30.0,5300,0.0
39,2010-02-19,30.0,30.5,30.0,30.0,462500,0.0
40,2010-02-25,30.0,30.0,30.0,30.0,4000,0.0
41,2010-02-26,30.0,30.0,30.0,30.0,1900,0.0
42,2010-07-12,34.0,34.0,34.0,34.0,4400,0.0
43,2010-06-11,34.0,34.0,34.0,34.0,2400,0.0
44,2010-03-01,30.0,35.0,30.0,35.0,1600,0.0
45,2010-03-09,35.0,35.0,35.0,35.0,1500,0.0
46,2010-03-19,35.0,36.0,35.0,36.0,10500,0.0
47,2010-07-27,34.0,34.0,34.0,34.0,2200,0.0
48,2010-08-05,34.0,34.0,34.0,34.0,3000,0.0
49,2010-08-11,34.0,34.0,34.0,34.0,6500,0.0
50,2010-08-16,34.0,34.0,34.0,34.0,249800,4420000.0
51,2010-08-17,34.0,34.0,34.0,34.0,52000,0.0
52,2010-08-26,34.0,34.0,34.0,34.0,2200,0.0
53,2010-09-13,34.0,34.0,34.0,34.0,4500,0.0
54,2010-09-21,34.0,34.0,34.0,34.0,1500,0.0
55,2010-09-22,34.0,34.0,34.0,34.0,600,0.0
56,2010-09-29,34.0,34.0,34.0,34.0,1500,0.0
57,2010-10-05,34.0,34.0,34.0,34.0,3000,0.0
58,2010-10-06,34.0,34.0,34.0,34.0,3000,0.0
59,2010-10-22,34.0,34.0,34.0,34.0,7000,0.0
60,2010-11-04,34.0,34.0,34.0,34.0,2100,0.0
61,2010-11-08,36.0,36.0,36.0,36.0,2900,0.0
62,2010-11-19,34.0,34.0,34.0,34.0,3000,0.0
63,2010-11-22,34.0,34.0,34.0,34.0,5000,0.0
64,2010-11-24,34.0,34.0,34.0,34.0,3900,0.0
65,2010-11-25,34.0,34.0,34.0,34.0,2900,0.0
66,2010-12-03,37.5,37.5,34.0,34.0,6500,0.0
67,2010-12-06,36.0,36.0,36.0,36.0,500,0.0
68,2010-12-16,36.5,36.5,36.5,36.5,1000,0.0
69,2011-01-05,45.0,45.0,45.0,45.0,100,0.0
70,2011-01-07,34.0,34.0,34.0,34.0,13300,0.0
71,2011-01-14,35.0,35.0,35.0,35.0,1000,0.0
72,2011-01-17,37.0,37.0,37.0,37.0,9000,0.0
73,2011-01-18,39.0,39.0,39.0,39.0,2500,0.0
74,2011-01-19,40.0,40.0,40.0,40.0,2000,0.0
75,2011-01-20,40.0,40.0,40.0,40.0,3000,0.0
76,2011-01-21,38.0,38.0,37.5,37.5,9100,0.0
77,2011-01-24,37.5,37.5,37.5,37.5,800,0.0
78,2011-01-26,36.55,37.5,36.55,36.55,700,0.0
79,2011-01-28,45.0,45.0,45.0,45.0,500,0.0
80,2011-01-31,45.0,45.0,45.0,45.0,100,0.0
81,2011-02-01,36.55,36.55,36.55,36.55,100,0.0
82,2011-02-02,36.55,36.55,36.55,36.55,100,0.0
83,2011-02-03,36.55,36.55,36.55,36.55,100,0.0
84,2011-02-07,45.0,45.0,45.0,45.0,200,0.0
85,2011-02-08,45.0,45.0,45.0,45.0,100,0.0
86,2011-02-09,44.0,50.0,43.0,47.5,700,0.0
87,2011-02-10,48.0,49.0,48.0,49.0,200,0.0
88,2011-02-11,58.0,58.0,50.0,50.0,200,0.0
89,2011-02-14,75.0,75.0,75.0,75.0,400,0.0
90,2011-02-15,108.0,109.0,106.0,106.0,800,0.0
91,2011-03-10,70.0,70.0,70.0,70.0,250,0.0
92,2011-03-14,73.0,73.0,73.0,73.0,30,0.0
93,2011-03-18,40.0,40.0,40.0,40.0,200,0.0
94,2011-03-22,59.7,59.7,59.7,59.7,100,0.0
95,2011-03-23,59.7,59.75,59.7,59.75,430,0.0
96,2011-03-24,59.8,60.2,59.8,60.2,1400,0.0
97,2011-03-30,60.2,60.2,60.2,60.2,30,0.0
98,2011-04-01,65.0,65.1,65.0,65.1,170,0.0
99,2011-04-04,60.0,60.0,60.0,60.0,200,0.0
100,2011-04-05,62.5,62.5,62.0,62.0,1500,0.0
101,2011-04-13,56.0,56.0,56.0,56.0,450,0.0
102,2011-04-14,54.0,54.0,54.0,54.0,1000,0.0
103,2011-04-15,56.0,56.0,56.0,56.0,20,0.0
104,2011-05-03,48.0,51.0,48.0,51.0,1800,0.0
105,2011-05-06,48.0,48.0,48.0,48.0,120,0.0
106,2011-05-09,49.0,49.0,49.0,49.0,1000,0.0
107,2011-05-10,48.0,48.0,48.0,48.0,200,0.0
108,2011-05-11,48.0,48.0,48.0,48.0,600,0.0
109,2011-05-12,48.0,48.0,48.0,48.0,900,0.0
110,2011-05-13,48.0,48.0,48.0,48.0,900,0.0
111,2011-05-16,47.0,47.0,46.5,46.5,2800,0.0
112,2011-05-17,45.0,45.0,45.0,45.0,900,0.0
113,2011-05-18,44.5,44.5,42.5,42.5,4700,0.0
114,2011-05-20,43.0,43.0,42.5,42.5,1800,0.0
115,2011-05-23,59.5,59.5,59.5,59.5,100,0.0
116,2011-05-27,42.0,42.0,42.0,42.0,3200,0.0
117,2011-06-03,45.0,45.0,45.0,45.0,100,0.0
118,2011-06-16,45.0,45.0,45.0,45.0,100,0.0
119,2011-06-22,43.0,43.0,43.0,43.0,2200,0.0
120,2011-06-27,45.0,45.0,45.0,45.0,2000,0.0
121,2011-07-06,47.0,47.0,45.0,45.0,37100,0.0
122,2011-07-08,42.6,42.6,42.6,42.6,31600,0.0
123,2011-07-15,45.0,45.0,45.0,45.0,600,0.0
124,2011-08-17,50.0,50.0,50.0,50.0,1000,0.0
125,2011-08-25,70.0,70.0,68.0,68.0,220,0.0
126,2011-08-31,68.0,68.0,68.0,68.0,280,0.0
127,2011-09-01,75.0,75.0,75.0,75.0,20,0.0
128,2011-09-02,55.0,55.5,55.0,55.0,3000,0.0
129,2011-09-05,56.0,58.0,56.0,56.0,60,0.0
130,2011-09-06,68.0,68.0,68.0,68.0,10,0.0
131,2011-09-07,65.0,75.0,65.0,75.0,690,0.0
132,2011-09-09,66.0,75.0,65.0,75.0,910,0.0
133,2011-09-12,73.5,73.5,46.0,46.0,50,0.0
134,2011-09-14,51.0,51.0,45.0,45.0,116800,0.0
135,2011-09-15,49.0,49.0,49.0,49.0,100,0.0
136,2011-09-21,25.0,28.75,25.0,28.75,200,0.0
