,Date,Open,High,Low,Close,Volume,OtherData
0,2010-07-02,1.84,1.84,1.84,1.84,156000,-268640.0
1,2011-12-26,2.76,2.76,1.84,1.84,123000,0.0
2,2011-12-27,1.86,2.6,1.62,1.62,2762000,138120.0
3,2011-12-28,1.66,1.66,1.04,1.32,24054000,80300.0
4,2011-12-29,1.32,1.32,1.21,1.21,668000,-50000.0
5,2012-01-02,1.17,1.3,1.17,1.21,631000,0.0
6,2012-01-03,1.31,1.32,1.24,1.32,83000,0.0
7,2012-01-04,1.23,1.72,1.22,1.69,2382000,0.0
8,2012-01-05,1.75,2.34,1.75,2.11,3076000,-192650.0
9,2012-01-06,2.0,2.27,1.8,1.84,786000,3720.0
10,2012-01-09,1.9,1.99,1.8,1.97,498000,9700.0
11,2012-01-10,1.98,2.3,1.89,1.89,2131000,46540.0
12,2012-01-11,1.96,1.96,1.74,1.74,1061000,9000.0
13,2012-01-12,1.73,1.79,1.66,1.74,351000,-3440.0
14,2012-01-13,1.77,1.77,1.68,1.7,74000,0.0
15,2012-01-16,1.7,1.7,1.66,1.68,40000,0.0
16,2012-01-17,1.67,1.67,1.6,1.6,242000,0.0
17,2012-01-18,1.61,1.85,1.6,1.72,298000,8650.0
18,2012-01-19,1.72,1.75,1.62,1.62,65000,-12040.0
19,2012-01-20,1.63,1.73,1.62,1.62,116000,0.0
20,2012-01-24,1.61,1.73,1.6,1.7,101000,0.0
21,2012-01-25,1.63,2.38,1.6,2.2,2975000,-19650.0
22,2012-01-26,2.2,2.51,2.2,2.45,3946000,-24410.0
23,2012-01-27,2.45,3.01,2.38,3.01,4055000,0.0
24,2012-01-30,3.3,4.48,3.2,4.48,3748000,94500.0
25,2012-01-31,5.25,6.65,5.25,6.6,4542000,-1810.0
26,2012-02-01,7.75,8.4,6.5,8.0,10494500,252116.0
27,2012-02-02,8.17,8.2,6.8,7.2,15078500,-142889.0
28,2012-02-03,7.2,7.2,6.0,6.0,2031800,-101150.0
29,2012-02-06,6.0,6.3,6.0,6.05,155900,0.0
30,2012-03-05,6.5,7.24,5.98,5.98,1635200,67142.0
31,2012-03-06,5.98,6.5,5.6,5.6,797000,0.0
32,2012-03-07,5.6,5.6,4.1,4.1,1664000,0.0
33,2012-03-08,4.3,4.3,3.21,3.85,615000,-3800.0
34,2012-03-09,3.85,4.7,3.85,4.46,659000,0.0
35,2012-03-12,4.4,4.5,4.4,4.45,373000,0.0
36,2012-03-13,4.4,4.65,4.4,4.45,218000,0.0
37,2012-03-14,4.44,4.79,4.33,4.37,1311000,0.0
38,2012-03-15,4.43,5.0,2.5,3.95,17288000,-118310.0
39,2012-03-16,3.95,5.92,3.95,5.92,6818000,63850.0
40,2012-03-19,6.62,6.72,5.61,5.88,5827500,-47450.0
41,2012-03-20,5.61,5.61,4.8,5.09,1105400,204000.0
42,2012-03-21,5.08,5.57,4.85,5.3,1999600,137.0
43,2012-03-22,5.5,5.5,4.9,5.0,910100,-22000.0
44,2012-03-23,5.0,5.1,4.91,4.91,730200,0.0
45,2012-03-26,4.86,4.86,4.01,4.2,1414000,0.0
46,2012-03-27,4.25,4.25,3.8,3.94,1000000,-19500.0
47,2012-03-28,4.1,4.1,3.45,3.65,1733000,47450.0
48,2012-03-29,3.75,3.95,3.59,3.6,848000,7200.0
49,2012-03-30,3.8,3.82,3.56,3.56,341000,-7440.0
50,2012-04-02,3.58,3.95,3.58,3.66,246000,0.0
51,2012-04-03,3.84,3.89,3.65,3.65,152000,7400.0
52,2012-04-04,3.79,3.79,3.65,3.65,106000,-146000.0
53,2012-04-10,3.66,3.66,3.63,3.63,141000,0.0
54,2012-04-11,3.61,3.61,3.48,3.5,235000,0.0
55,2012-04-12,3.55,3.6,3.48,3.59,71000,0.0
56,2012-04-13,3.52,3.52,3.45,3.45,120000,0.0
57,2012-04-16,3.5,3.65,3.45,3.45,79000,3600.0
58,2012-04-17,3.46,3.46,3.3,3.4,132000,0.0
59,2012-04-18,3.31,3.32,3.22,3.28,212000,0.0
60,2012-04-19,3.28,3.28,3.0,3.15,237000,0.0
61,2012-04-20,3.15,3.17,3.09,3.15,67000,12600.0
62,2012-04-23,3.15,3.2,3.11,3.11,34000,0.0
63,2012-04-24,3.15,3.18,3.02,3.18,120000,0.0
64,2012-04-25,3.1,3.39,3.1,3.39,167000,-33900.0
65,2012-04-26,3.4,3.5,3.1,3.1,154000,9300.0
66,2012-04-27,3.15,3.31,3.15,3.2,117000,0.0
67,2012-05-02,3.2,3.28,3.1,3.28,105000,0.0
68,2012-05-03,3.28,3.28,3.0,3.07,10796000,400.0
69,2012-05-04,3.07,3.28,2.88,3.0,602000,6140.0
70,2012-05-07,2.88,2.98,2.79,2.8,177000,0.0
71,2012-05-08,2.8,2.84,2.67,2.82,269000,-16440.0
72,2012-05-09,2.8,2.8,2.65,2.7,66000,0.0
73,2012-05-10,2.53,2.55,2.21,2.21,589000,22500.0
74,2012-05-11,2.21,2.26,1.95,1.95,533000,-2150.0
75,2012-05-14,1.95,2.6,1.95,2.07,937000,20000.0
76,2012-05-15,2.1,2.1,1.87,1.98,732000,0.0
77,2012-05-16,1.98,2.0,1.8,1.8,986000,0.0
78,2012-05-17,1.98,2.16,1.92,2.02,873000,-3730.0
79,2012-05-18,1.97,2.01,1.85,2.0,1485000,-5820.0
80,2012-05-21,2.0,2.07,1.93,1.99,407000,0.0
81,2012-05-22,1.94,1.99,1.89,1.91,1101000,0.0
82,2012-05-23,1.88,1.99,1.83,1.99,655000,0.0
83,2012-05-24,2.02,2.32,2.0,2.06,1418000,-20510.0
84,2012-05-25,2.1,2.14,1.99,2.03,671000,219600.0
85,2012-05-28,1.94,1.99,1.88,1.93,724000,19000.0
86,2012-05-29,1.9,1.93,1.86,1.9,615000,-197300.0
87,2012-05-30,1.9,1.9,1.81,1.81,695000,5490.0
88,2012-05-31,1.84,1.85,1.79,1.85,538000,0.0
89,2012-06-01,1.8,1.81,1.79,1.79,416000,0.0
90,2012-06-04,1.8,1.8,1.61,1.69,989000,0.0
91,2012-06-05,1.7,1.7,1.52,1.58,880000,15500.0
92,2012-06-06,1.69,1.89,1.68,1.7,1790000,26200.0
93,2012-06-07,1.72,1.75,1.66,1.67,430000,-17000.0
94,2012-06-08,1.65,1.67,1.55,1.64,1250000,0.0
95,2012-06-11,1.67,1.67,1.59,1.6,365000,0.0
96,2012-06-13,1.59,1.6,1.56,1.58,115000,-4720.0
97,2012-06-14,1.58,1.58,1.48,1.54,862000,15100.0
98,2012-06-15,1.57,1.64,1.47,1.55,1701000,0.0
99,2012-06-18,1.58,1.58,1.46,1.49,436000,0.0
100,2012-06-19,1.45,1.53,1.44,1.5,532000,-10640.0
101,2012-06-20,1.47,1.48,1.45,1.46,227000,0.0
102,2012-06-21,1.47,1.52,1.45,1.49,310000,0.0
103,2012-06-22,1.49,1.51,1.47,1.51,95000,0.0
104,2012-06-25,1.52,1.68,1.49,1.6,1031000,917960.0
105,2012-06-26,1.62,1.84,1.62,1.69,1118000,-15100.0
106,2012-06-27,1.76,1.76,1.6,1.67,1287000,145120.0
107,2012-06-28,1.66,1.66,1.57,1.57,403000,121720.0
108,2012-06-29,1.56,1.62,1.56,1.61,86000,0.0
109,2012-07-02,1.75,1.75,1.6,1.66,285000,1750.0
110,2012-07-03,1.65,1.8,1.65,1.71,1143000,0.0
111,2012-07-04,1.71,1.71,1.67,1.71,277000,0.0
112,2012-07-05,1.72,1.77,1.72,1.72,815000,0.0
113,2012-07-06,1.73,1.73,1.68,1.7,273000,53130.0
114,2012-07-09,1.69,1.69,1.6,1.6,546000,5010.0
115,2012-07-10,1.68,2.4,1.68,2.4,16656000,1320000.0
116,2012-07-11,2.49,2.5,1.84,1.89,22284000,1183330.0
117,2012-07-12,1.89,1.89,1.79,1.82,2381000,18650.0
118,2012-07-13,1.8,2.03,1.8,2.02,2776000,-239560.0
119,2012-07-16,2.05,2.25,2.0,2.05,4629000,654050.0
120,2012-07-17,2.1,2.1,1.9,1.96,3799000,56080.0
121,2012-07-18,1.96,1.98,1.88,1.93,446000,1960.0
122,2012-07-19,1.88,2.0,1.88,1.98,1747000,0.0
123,2012-07-20,1.96,2.09,1.96,2.02,1543000,0.0
124,2012-07-23,2.05,2.07,1.99,2.01,1640000,-38550.0
125,2012-07-24,1.98,2.03,1.96,1.99,837000,-19700.0
126,2012-07-25,1.99,2.04,1.97,1.97,228000,0.0
127,2012-07-26,1.99,2.08,1.96,2.03,1307000,-3990.0
128,2012-07-27,2.03,2.07,2.0,2.0,1132000,0.0
129,2012-07-30,2.04,2.06,2.0,2.02,247000,4080.0
130,2012-07-31,2.02,2.05,2.01,2.03,235000,-9920.0
131,2012-08-01,2.05,2.07,2.0,2.0,649000,-13990.0
132,2012-08-02,2.04,2.08,2.0,2.0,311000,-2190.0
133,2012-08-03,2.05,2.05,1.99,2.01,472000,20500.0
134,2012-08-06,2.01,2.12,2.0,2.0,1496000,2120.0
135,2012-08-08,2.0,2.05,1.92,1.92,839000,-1049750.0
136,2012-08-09,1.92,1.96,1.92,1.92,375000,378370.0
137,2012-08-10,1.91,1.94,1.87,1.87,311000,212240.0
138,2012-08-13,1.86,1.95,1.85,1.85,178000,-185500.0
139,2012-08-14,1.83,1.9,1.79,1.79,536000,-474520.0
140,2012-08-15,1.8,1.91,1.79,1.82,380000,0.0
141,2012-08-16,1.81,2.0,1.8,1.97,780000,278600.0
142,2012-08-17,2.02,2.05,1.96,2.0,776000,625400.0
143,2012-08-22,2.0,2.1,1.97,2.0,840000,-13850.0
144,2012-08-23,2.1,2.31,2.1,2.16,2634000,13190.0
145,2012-08-24,2.19,2.32,2.1,2.25,1800000,-17180.0
146,2012-08-28,2.25,2.28,2.04,2.11,500000,45000.0
147,2012-08-29,2.08,2.2,2.0,2.03,899000,-10100.0
148,2012-08-30,2.1,2.28,2.1,2.17,1109000,-22200.0
149,2012-08-31,2.2,2.29,2.05,2.21,1240000,-46410.0
150,2012-09-03,2.2,2.27,2.1,2.25,884000,20070.0
151,2012-09-04,2.31,2.35,2.22,2.33,1567000,23460.0
152,2012-09-05,2.3,2.33,2.27,2.3,220000,0.0
153,2012-09-06,2.3,2.32,2.25,2.25,232000,0.0
154,2012-09-07,2.29,2.35,2.24,2.24,246000,0.0
155,2012-09-10,2.24,2.24,2.11,2.15,269000,0.0
156,2012-09-11,2.15,2.15,2.06,2.08,244000,0.0
157,2012-09-12,2.08,2.08,2.06,2.08,127000,0.0
158,2012-09-13,2.08,2.13,2.08,2.09,145000,0.0
159,2012-09-14,2.15,2.17,2.06,2.15,156000,-16500.0
160,2012-09-17,2.16,2.16,2.1,2.1,236000,2160.0
161,2012-09-18,2.09,2.14,2.07,2.1,64000,2140.0
162,2012-09-19,2.14,2.14,2.05,2.07,80000,8450.0
163,2012-09-20,2.13,2.13,2.05,2.06,86000,2130.0
164,2012-09-21,2.12,2.12,2.03,2.03,80000,4230.0
165,2012-09-24,2.03,2.03,2.02,2.02,261000,0.0
166,2012-09-25,2.02,2.05,2.0,2.0,178000,0.0
167,2012-09-26,1.99,2.04,1.98,2.04,213000,-237600.0
168,2012-09-27,2.04,2.14,2.01,2.1,75000,92860.0
169,2012-09-28,2.08,2.08,2.01,2.01,49000,10400.0
170,2012-10-01,2.09,2.09,2.0,2.0,39000,2090.0
171,2012-10-02,2.01,2.07,2.01,2.01,39000,0.0
172,2012-10-03,2.01,2.03,2.01,2.01,59000,-80400.0
173,2012-10-04,2.07,2.07,2.04,2.04,12000,2070.0
174,2012-10-05,2.01,2.12,2.01,2.12,2596000,14700.0
175,2012-10-08,2.02,2.1,2.0,2.06,618000,-874840.0
176,2012-10-09,2.08,2.15,2.06,2.06,654000,-374750.0
177,2012-10-10,2.05,2.08,2.01,2.01,1992000,-2620740.0
178,2012-10-11,2.07,2.15,2.07,2.08,2476000,0.0
179,2012-10-12,2.11,2.17,2.1,2.13,1148000,0.0
180,2012-10-15,2.15,2.21,2.12,2.15,1968000,0.0
181,2012-10-16,2.21,2.22,2.09,2.09,749000,0.0
182,2012-10-17,2.14,2.14,2.08,2.09,131000,0.0
183,2012-10-18,2.13,2.13,2.07,2.07,288000,0.0
184,2012-10-19,2.07,2.13,2.07,2.1,299000,0.0
185,2012-10-22,2.07,2.24,2.07,2.19,1435000,0.0
186,2012-10-23,2.22,2.22,2.1,2.15,214000,0.0
187,2012-10-24,2.14,2.14,2.05,2.12,289000,0.0
188,2012-10-25,2.13,2.13,2.07,2.12,167000,0.0
