,Date,Open,High,Low,Close,Volume,OtherData
0,2007-04-12,13.25,13.25,13.25,13.25,1681000,-901000.0
1,2007-04-13,16.0,16.0,14.0,14.0,17818000,7843500.0
2,2007-04-16,14.0,14.5,13.5,13.75,4562800,359750.0
3,2007-04-17,13.75,14.0,13.25,13.25,3948800,-309250.0
4,2007-04-18,13.25,13.5,13.0,13.5,2401900,-1215000.0
5,2007-04-19,13.5,14.25,13.5,13.5,2453300,1422600.0
6,2007-04-20,13.75,14.25,13.75,14.0,1546600,0.0
7,2007-04-23,14.0,14.0,13.5,13.75,692400,0.0
8,2007-04-24,13.75,14.5,13.75,14.5,3296200,-898000.0
9,2007-04-25,14.75,14.75,14.0,14.0,1559200,0.0
10,2007-04-26,14.0,14.25,14.0,14.0,1923500,0.0
11,2007-04-27,14.0,15.0,14.0,15.0,9983700,75197475.0
12,2007-04-30,15.5,15.5,14.75,14.75,3915500,-124000.0
13,2007-08-01,12.25,12.75,11.5,12.0,298300,1200.0
14,2007-08-02,12.0,12.75,11.25,11.75,218200,0.0
15,2007-08-03,11.5,11.75,10.75,11.0,545000,-22000.0
16,2007-08-06,10.75,11.0,10.0,11.0,518000,1386750.0
17,2007-08-07,11.0,11.5,11.0,11.5,96100,0.0
18,2007-08-08,11.75,11.75,11.5,11.75,143400,0.0
19,2007-08-09,11.75,12.75,11.5,12.5,483400,-78750.0
20,2007-08-10,11.0,11.75,11.0,11.25,175100,-1353650.0
21,2007-08-13,11.25,11.5,10.5,10.5,325700,-1087500.0
22,2007-08-14,10.75,11.25,10.5,11.0,191000,759000.0
23,2007-08-15,10.5,10.5,10.0,10.5,596200,248775.0
24,2007-08-16,10.0,10.25,9.9,10.25,218700,300000.0
25,2007-08-17,10.0,10.25,9.8,9.8,252400,0.0
26,2007-08-21,10.5,11.0,10.25,11.0,924000,2619750.0
27,2007-08-22,10.5,11.0,10.5,10.75,106100,0.0
28,2007-08-23,11.0,12.25,11.0,12.25,398000,1891400.0
29,2007-08-24,12.25,12.25,11.25,11.75,168500,0.0
30,2007-08-28,12.0,12.0,12.0,12.0,81000,0.0
31,2007-08-29,10.75,11.5,10.75,11.5,126800,0.0
32,2007-08-30,12.0,12.0,11.75,11.75,209000,0.0
33,2007-08-31,11.75,12.0,11.75,12.0,392500,-2400.0
34,2007-12-03,11.25,11.25,11.25,11.25,2000,0.0
35,2007-12-04,11.25,11.25,11.0,11.0,53100,0.0
36,2007-12-05,11.0,11.0,11.0,11.0,38000,0.0
37,2007-12-06,11.25,11.25,11.0,11.0,554000,-33750.0
38,2007-12-07,11.25,11.25,11.0,11.25,326500,-11250.0
39,2007-12-10,11.5,11.5,11.5,11.5,2000,0.0
40,2007-12-12,11.25,11.25,11.25,11.25,2000,0.0
41,2007-12-13,11.25,11.25,11.0,11.0,57000,0.0
42,2007-12-14,10.75,10.75,10.5,10.5,632100,0.0
43,2007-12-18,10.75,10.75,10.0,10.5,366500,-20500.0
44,2007-12-19,11.0,11.0,10.25,10.25,306000,10250.0
45,2007-12-20,10.5,10.5,10.25,10.25,345000,0.0
46,2007-12-26,10.75,10.75,10.5,10.5,3052800,0.0
47,2007-12-27,10.75,10.75,10.5,10.75,5000,-31500.0
48,2007-12-28,10.5,10.5,10.25,10.5,272200,-2574500.0
49,2007-07-02,15.5,15.5,14.0,14.5,450700,0.0
50,2007-07-03,15.0,15.25,15.0,15.25,752300,0.0
51,2007-07-04,15.0,15.5,15.0,15.5,289100,2157875.0
52,2007-07-05,15.5,15.5,15.5,15.5,167000,0.0
53,2007-07-06,15.5,15.75,15.25,15.5,392900,1990400.0
54,2007-07-09,15.5,16.0,15.25,15.5,64100,0.0
55,2007-07-10,15.5,15.5,15.0,15.5,209400,620000.0
56,2007-07-11,15.25,15.5,15.25,15.25,273900,0.0
57,2007-07-12,15.0,15.25,15.0,15.25,246500,0.0
58,2007-07-13,15.25,15.75,15.0,15.0,339200,0.0
59,2007-07-16,15.25,15.5,14.25,15.0,330300,0.0
60,2007-07-17,14.5,14.5,14.5,14.5,236500,0.0
61,2007-07-18,14.25,14.5,14.0,14.25,606300,114000.0
62,2007-07-19,14.25,14.25,13.75,13.75,454900,0.0
63,2007-07-23,13.75,13.75,13.5,13.5,238400,0.0
64,2007-07-25,13.75,13.75,13.25,13.25,300000,463750.0
65,2007-07-26,13.25,13.75,13.25,13.5,95500,0.0
66,2007-07-27,13.25,13.25,13.0,13.25,147900,0.0
67,2007-07-30,13.25,13.25,12.75,12.75,187700,-455000.0
68,2007-07-31,12.75,13.0,12.5,12.5,258800,-38250.0
69,2007-06-01,16.75,16.75,16.5,16.75,1142200,0.0
70,2007-06-04,16.5,16.75,16.5,16.5,1122600,3300.0
71,2007-06-05,16.5,16.5,16.5,16.5,769100,0.0
72,2007-06-06,16.5,16.75,16.5,16.75,619700,0.0
73,2007-06-07,16.5,16.5,16.0,16.25,296900,48750.0
74,2007-06-08,16.0,16.5,16.0,16.25,932300,438750.0
75,2007-06-12,16.25,16.25,16.0,16.0,730000,64000.0
76,2007-06-13,16.0,16.0,15.75,15.75,419100,176000.0
77,2007-06-14,15.75,16.0,15.75,16.0,182500,0.0
78,2007-06-15,16.0,16.0,15.5,15.75,371200,0.0
79,2007-06-18,16.0,16.0,15.75,15.75,136500,0.0
80,2007-06-19,15.75,16.0,15.75,16.0,398000,0.0
81,2007-06-20,16.0,16.25,16.0,16.25,846500,0.0
82,2007-06-21,16.25,16.25,16.0,16.25,338000,0.0
83,2007-06-22,16.0,16.5,16.0,16.25,883000,-33000.0
84,2007-06-25,16.25,16.5,16.0,16.0,444900,4410175.0
85,2007-06-26,16.0,16.25,15.75,15.75,457500,47250.0
86,2007-06-27,16.5,16.5,15.25,15.5,1168300,0.0
87,2007-06-28,15.5,15.75,15.5,15.75,134700,0.0
88,2007-06-29,15.75,15.75,15.5,15.5,436800,0.0
89,2007-05-02,14.75,14.75,14.25,14.25,1274800,-6971225.0
90,2007-05-03,14.5,14.5,13.75,13.75,1263500,-7391100.0
91,2007-05-04,13.75,14.25,13.75,14.25,994300,-336875.0
92,2007-05-07,14.0,14.0,13.75,14.0,316900,0.0
93,2007-05-08,14.0,14.25,14.0,14.25,945600,0.0
94,2007-05-09,14.25,14.25,14.0,14.25,428400,0.0
95,2007-05-10,14.0,14.25,14.0,14.25,880300,0.0
96,2007-05-11,14.0,15.25,14.0,15.0,3666900,888750.0
97,2007-05-15,15.25,15.75,15.0,15.75,4312000,16919250.0
98,2007-05-16,15.75,16.25,15.25,15.5,3722600,1316000.0
99,2007-05-17,15.5,15.75,15.25,15.5,434200,1860000.0
100,2007-05-18,15.5,16.0,15.25,15.75,1589800,-206750.0
101,2007-05-21,15.75,16.25,15.75,16.0,2173600,0.0
102,2007-05-22,16.0,16.25,15.5,16.0,2354100,-1400000.0
103,2007-05-23,16.0,16.75,16.0,16.0,3534700,0.0
104,2007-05-24,16.0,16.0,16.0,16.0,618500,80000.0
105,2007-05-25,15.75,16.25,15.5,16.25,1041000,1821875.0
106,2007-05-28,16.25,16.25,16.0,16.25,2410700,12093250.0
107,2007-05-29,16.25,16.75,16.25,16.5,4121300,4975000.0
108,2007-05-30,16.75,17.25,16.0,16.25,3843000,4762500.0
109,2007-05-31,16.5,16.75,16.5,16.5,1415000,363000.0
110,2007-11-05,12.0,12.0,11.75,12.0,16800,0.0
111,2007-11-06,12.0,12.0,12.0,12.0,100500,-48000.0
112,2007-11-07,12.0,12.0,11.75,12.0,660000,0.0
113,2007-11-08,11.5,12.0,11.5,11.75,479700,0.0
114,2007-11-09,11.75,11.75,11.5,11.5,561000,0.0
115,2007-11-12,11.25,11.25,11.0,11.0,234000,0.0
116,2007-11-13,11.0,11.5,11.0,11.5,207000,23000.0
117,2007-11-14,11.5,11.5,11.5,11.5,374000,0.0
118,2007-11-15,11.25,11.5,11.25,11.5,183300,-1125.0
119,2007-11-16,11.5,11.5,11.0,11.25,610000,0.0
120,2007-11-19,12.0,12.0,11.5,11.75,830500,950000.0
121,2007-11-20,11.5,11.75,11.25,11.75,878900,-5750.0
122,2007-11-21,11.5,11.75,11.0,11.5,302000,275000.0
123,2007-11-22,11.0,11.25,10.75,11.25,455300,1078600.0
124,2007-11-23,11.5,11.75,11.5,11.5,866000,-172500.0
125,2007-11-26,11.5,11.5,11.25,11.25,28000,-287500.0
126,2007-11-27,11.0,11.0,11.0,11.0,195700,5500.0
127,2007-11-28,11.0,11.25,11.0,11.25,131700,0.0
128,2007-11-29,11.25,11.25,11.0,11.0,78000,0.0
129,2007-10-01,13.0,13.0,12.75,13.0,203500,0.0
130,2007-10-02,13.0,13.0,12.5,12.75,363300,-1090025.0
131,2007-10-03,12.75,13.0,12.5,12.75,407500,0.0
132,2007-10-04,12.5,12.75,12.5,12.75,149000,62500.0
133,2007-10-05,12.75,12.75,12.5,12.75,101700,0.0
134,2007-10-08,12.75,12.75,12.5,12.75,173800,0.0
135,2007-10-09,12.75,12.75,12.5,12.75,67600,-45900.0
136,2007-10-10,13.25,13.75,13.0,13.25,696200,-5536925.0
137,2007-10-11,13.25,13.25,13.0,13.25,62500,-396250.0
138,2007-10-15,13.25,13.25,13.0,13.0,75000,-261250.0
139,2007-10-16,13.0,13.5,12.75,13.5,33897300,-2529950.0
140,2007-10-17,13.5,13.5,13.0,13.0,77500,6750.0
141,2007-10-18,12.75,13.0,12.75,12.75,43800,-128700.0
142,2007-10-19,13.0,13.0,13.0,13.0,143800,0.0
143,2007-10-22,12.0,12.5,12.0,12.25,91700,0.0
144,2007-10-23,12.0,13.0,12.0,12.5,34600,0.0
145,2007-10-24,12.5,12.75,12.25,12.25,147100,0.0
146,2007-10-25,12.75,12.75,12.25,12.5,49300,0.0
147,2007-10-26,12.25,12.25,12.25,12.25,18000,0.0
148,2007-10-30,12.25,12.5,12.25,12.5,93100,0.0
149,2007-10-31,12.5,12.5,12.0,12.0,45000,84000.0
150,2007-09-03,12.0,12.0,11.75,11.75,49000,0.0
151,2007-09-04,11.75,11.75,11.5,11.75,51000,0.0
152,2007-09-05,12.0,12.0,11.75,11.75,43000,0.0
153,2007-09-06,11.75,11.75,11.5,11.75,73000,0.0
154,2007-09-07,11.5,11.75,11.5,11.75,250300,0.0
155,2007-09-10,11.5,11.75,11.5,11.75,22500,0.0
156,2007-09-11,11.75,11.75,11.5,11.5,95100,0.0
157,2007-09-12,11.5,11.75,11.5,11.75,199800,0.0
158,2007-09-13,11.75,12.0,11.75,11.75,146200,0.0
159,2007-09-14,11.75,11.75,11.75,11.75,21000,0.0
160,2007-09-17,11.75,11.75,11.75,11.75,48400,0.0
161,2007-09-18,11.75,11.75,11.75,11.75,230000,0.0
162,2007-09-19,12.0,12.0,11.5,11.75,67000,0.0
163,2007-09-20,11.75,12.0,11.75,11.75,172000,0.0
164,2007-09-21,11.75,11.75,11.75,11.75,18000,0.0
165,2007-09-24,12.0,12.25,12.0,12.25,282500,0.0
166,2007-09-25,12.25,12.25,12.0,12.0,35100,0.0
167,2007-09-26,12.25,12.25,12.25,12.25,201000,0.0
168,2007-09-27,12.5,13.0,12.5,13.0,185200,-8750.0
169,2007-09-28,12.75,13.25,12.75,13.25,60000,0.0
170,2008-04-01,10.25,10.25,10.25,10.25,700,0.0
171,2008-04-02,10.25,10.5,10.0,10.25,118000,-969250.0
172,2008-04-03,10.0,10.25,10.0,10.25,635000,-4500000.0
173,2008-04-04,10.0,10.25,10.0,10.25,32000,0.0
174,2008-04-08,10.25,10.25,10.25,10.25,55000,0.0
175,2008-04-09,10.0,10.25,10.0,10.25,20000,0.0
176,2008-04-10,10.25,10.25,10.25,10.25,5000,0.0
177,2008-04-11,10.0,10.0,9.8,9.8,163000,0.0
178,2008-04-14,9.8,9.8,9.8,9.8,3000,0.0
179,2008-04-16,9.7,9.7,9.7,9.7,66000,97000.0
180,2008-04-17,9.7,9.7,9.7,9.7,46000,0.0
181,2008-04-18,9.7,9.7,9.7,9.7,20000,0.0
182,2008-04-21,9.6,9.6,9.6,9.6,80000,0.0
183,2008-04-22,9.6,9.6,9.3,9.3,95000,-310200.0
184,2008-04-24,9.6,9.6,9.6,9.6,20000,192000.0
185,2008-04-28,9.4,9.4,9.4,9.4,43000,94000.0
186,2008-04-29,9.5,9.5,9.4,9.4,9000,0.0
187,2008-04-30,9.4,9.4,9.4,9.4,2000,0.0
188,2008-08-01,9.1,9.1,9.1,9.1,32000,0.0
189,2008-08-04,9.1,9.1,9.1,9.1,78000,-373100.0
190,2008-08-05,9.1,9.1,9.1,9.1,409000,0.0
191,2008-08-06,9.1,9.6,9.1,9.3,95000,0.0
192,2008-08-07,9.3,9.3,9.3,9.3,15000,0.0
193,2008-08-08,9.3,9.3,9.3,9.3,2000,0.0
194,2008-08-11,9.3,9.4,9.3,9.4,52000,0.0
195,2008-08-12,9.4,9.4,9.3,9.3,52000,0.0
196,2008-08-13,9.2,9.2,9.1,9.2,66000,0.0
197,2008-08-14,9.3,9.3,9.2,9.2,70000,0.0
198,2008-08-15,9.3,9.3,9.2,9.3,71000,0.0
199,2008-08-19,9.3,9.3,9.2,9.2,91000,0.0
200,2008-08-20,9.2,9.2,9.2,9.2,10000,0.0
201,2008-08-21,9.2,9.2,9.2,9.2,4000,0.0
202,2008-08-22,9.2,9.2,9.2,9.2,12000,0.0
203,2008-08-26,9.2,9.2,9.1,9.1,20000,-183000.0
204,2008-08-27,9.1,9.1,9.1,9.1,20000,0.0
205,2008-08-28,9.2,9.2,9.2,9.2,14000,0.0
206,2008-08-29,9.3,9.4,9.3,9.4,6000,0.0
207,2008-12-02,7.5,7.5,7.5,7.5,80000,-112500.0
208,2008-12-03,7.5,7.5,7.5,7.5,50000,-75000.0
209,2008-12-04,7.5,7.5,7.4,7.4,33000,0.0
210,2008-12-05,7.4,7.4,7.4,7.4,50000,0.0
211,2008-12-08,7.6,7.6,7.4,7.4,75000,0.0
212,2008-12-09,7.4,7.4,7.4,7.4,72000,0.0
213,2008-12-10,7.4,7.4,7.4,7.4,51000,-14800.0
214,2008-12-11,7.4,7.4,7.4,7.4,65000,-222000.0
215,2008-12-12,7.3,7.3,7.3,7.3,56000,-109500.0
216,2008-12-15,7.3,7.3,7.3,7.3,56000,-94900.0
217,2008-12-16,7.3,7.3,7.3,7.3,65000,-146000.0
218,2008-12-17,7.4,7.4,7.4,7.4,52000,-148000.0
219,2008-12-18,7.4,7.4,7.4,7.4,68000,-407000.0
220,2008-12-22,7.4,7.4,7.4,7.4,10000,-66600.0
221,2008-12-23,7.4,7.4,7.4,7.4,50000,-318200.0
222,2008-12-24,7.4,7.5,7.4,7.5,236000,-928000.0
223,2008-02-01,9.2,9.2,9.1,9.1,1610000,46000.0
224,2008-02-04,9.1,9.1,9.1,9.1,221000,0.0
225,2008-02-05,9.1,9.2,9.1,9.2,368000,0.0
226,2008-02-06,9.0,9.0,8.9,9.0,367000,45000.0
227,2008-02-07,9.0,9.2,9.0,9.2,303000,0.0
228,2008-02-08,9.2,9.2,9.2,9.2,76000,46000.0
229,2008-02-12,9.2,9.4,9.2,9.4,25000,0.0
230,2008-02-13,9.5,10.0,9.5,9.9,960000,-400000.0
231,2008-02-14,9.9,10.0,9.9,10.0,73000,0.0
232,2008-02-15,9.9,10.0,9.9,10.0,55000,0.0
233,2008-02-18,9.8,9.8,9.7,9.7,50000,0.0
234,2008-02-19,9.8,10.0,9.8,10.0,16000,0.0
235,2008-02-20,10.0,10.0,9.8,9.8,31000,-294000.0
236,2008-02-21,9.9,9.9,9.8,9.8,26000,0.0
237,2008-02-22,9.7,9.7,9.7,9.7,12000,0.0
238,2008-02-26,9.5,9.5,9.5,9.5,4000,-38000.0
239,2008-02-27,9.8,9.8,9.5,9.5,21000,0.0
240,2008-02-28,9.8,9.8,9.8,9.8,7000,0.0
241,2008-01-02,10.5,10.5,10.5,10.5,205000,0.0
242,2008-01-03,10.25,10.75,10.25,10.75,296800,0.0
243,2008-01-04,10.75,10.75,10.5,10.5,206600,0.0
244,2008-01-07,10.5,10.5,10.0,10.25,25000,30000.0
245,2008-01-08,10.0,10.25,10.0,10.25,120500,-51250.0
246,2008-01-09,10.5,10.5,10.5,10.5,166000,0.0
247,2008-01-10,10.5,10.5,10.25,10.5,310000,0.0
248,2008-01-11,10.75,10.75,10.5,10.5,26000,-136500.0
249,2008-01-14,10.5,10.5,10.5,10.5,3000,0.0
250,2008-01-15,10.25,10.25,10.25,10.25,10200,0.0
251,2008-01-16,10.0,10.25,10.0,10.0,115400,0.0
252,2008-01-17,10.0,10.0,9.9,9.9,449000,0.0
253,2008-01-18,9.7,9.9,9.7,9.9,579000,0.0
254,2008-01-21,9.6,10.0,9.6,10.0,508000,0.0
255,2008-01-22,9.5,9.5,9.0,9.5,639000,0.0
256,2008-01-23,9.5,9.6,9.4,9.5,631000,-569900.0
257,2008-01-24,9.8,9.8,9.5,9.8,560000,-380000.0
258,2008-01-25,9.8,10.0,9.8,9.9,518000,0.0
259,2008-01-28,9.3,9.4,9.2,9.2,175000,-140500.0
260,2008-01-29,9.2,9.2,9.2,9.2,1011000,0.0
261,2008-01-30,9.2,9.2,9.1,9.1,325000,0.0
262,2008-01-31,9.0,9.2,9.0,9.1,211000,-864000.0
263,2008-07-01,8.0,8.0,8.0,8.0,5000,0.0
264,2008-07-02,7.9,7.9,7.8,7.8,60000,-39500.0
265,2008-07-03,7.6,7.7,7.6,7.7,9000,0.0
266,2008-07-04,7.5,7.5,7.3,7.5,210000,-1003100.0
267,2008-07-07,7.8,7.8,7.8,7.8,20000,0.0
268,2008-07-08,8.3,8.3,8.3,8.3,2000,0.0
