,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,1.4,1.4,1.4,1.4,370000.0,0.0
1,2006-08-02,1.4,1.4,1.38,1.38,725000.0,0.0
2,2006-08-03,1.38,1.4,1.36,1.4,900000.0,69000.0
3,2006-08-04,1.42,1.44,1.4,1.42,8882000.0,-28400.0
4,2006-08-07,1.42,1.42,1.4,1.4,736000.0,0.0
5,2006-08-08,1.38,1.38,1.38,1.38,587000.0,0.0
6,2006-08-09,1.38,1.38,1.34,1.34,880000.0,27200.0
7,2006-08-10,1.34,1.36,1.34,1.36,970000.0,0.0
8,2006-08-11,1.34,1.34,1.32,1.32,2309000.0,0.0
9,2006-08-14,1.32,1.34,1.28,1.28,656000.0,0.0
10,2006-08-15,1.28,1.4,1.28,1.4,6692000.0,82980.0
11,2006-08-16,1.4,1.44,1.4,1.44,641000.0,-113000.0
12,2006-08-17,1.44,1.48,1.42,1.48,2950000.0,-14400.0
13,2006-12-04,2.08,2.18,2.08,2.1,762000.0,907100.0
14,2006-12-05,2.1,2.12,2.1,2.12,5988000.0,10501000.0
15,2006-12-06,2.16,2.26,2.14,2.26,4142000.0,3971940.0
16,2006-12-07,2.28,2.28,2.2,2.24,4954000.0,5671100.0
17,2006-12-08,2.22,2.22,2.2,2.2,630000.0,440000.0
18,2006-12-11,2.22,2.22,2.16,2.18,1600000.0,2402000.0
19,2006-12-12,2.18,2.18,2.14,2.14,1460000.0,2145000.0
20,2006-12-13,2.12,2.2,2.12,2.18,585000.0,689800.0
21,2006-12-14,2.18,2.22,2.16,2.18,2385000.0,2193800.0
22,2006-12-15,2.18,2.18,2.18,2.18,505000.0,0.0
23,2006-12-18,2.18,2.18,2.14,2.16,1063000.0,0.0
24,2006-12-19,2.16,2.16,2.14,2.14,951000.0,0.0
25,2006-12-20,2.14,2.14,2.06,2.08,2980000.0,414000.0
26,2006-12-21,2.08,2.12,2.08,2.1,310000.0,0.0
27,2006-12-22,2.08,2.08,2.06,2.08,330000.0,0.0
28,2006-12-27,2.04,2.06,2.0,2.0,1360000.0,40000.0
29,2006-12-28,2.0,2.0,1.94,2.0,1611000.0,0.0
30,2006-12-29,1.98,1.98,1.9,1.9,3485000.0,0.0
31,2006-11-02,2.24,2.28,2.24,2.28,538000.0,-56000.0
32,2006-11-03,2.28,2.28,2.24,2.26,415000.0,0.0
33,2006-11-06,2.24,2.26,2.24,2.24,915000.0,0.0
34,2006-11-07,2.24,2.28,2.22,2.28,750000.0,-224000.0
35,2006-11-08,2.28,2.28,2.24,2.26,15551000.0,-34200000.0
36,2006-11-09,2.22,2.26,2.22,2.26,8035000.0,-1792000.0
37,2006-11-10,2.24,2.28,2.24,2.26,5797000.0,5816000.0
38,2006-11-13,2.26,2.26,2.24,2.26,1756000.0,2240000.0
39,2006-11-14,2.26,2.26,2.14,2.2,2958000.0,0.0
40,2006-11-15,2.18,2.22,2.18,2.22,1081000.0,0.0
41,2006-11-16,2.2,2.24,2.2,2.24,683000.0,0.0
42,2006-11-17,2.24,2.24,2.18,2.18,1502000.0,0.0
43,2006-11-20,2.2,2.24,2.18,2.2,1346000.0,0.0
44,2006-11-21,2.18,2.18,2.16,2.18,176000.0,0.0
45,2006-11-22,2.18,2.22,2.18,2.22,1063000.0,0.0
46,2006-11-23,2.2,2.2,2.14,2.16,1029000.0,109000.0
47,2006-11-24,2.16,2.18,2.14,2.14,2620000.0,0.0
48,2006-11-27,2.12,2.16,2.12,2.14,2147000.0,0.0
49,2006-11-28,2.12,2.14,2.04,2.06,3451000.0,-424000.0
50,2006-11-29,2.08,2.1,2.04,2.08,1236000.0,910200.0
51,2006-11-30,2.08,2.08,2.08,2.08,375000.0,717600.0
52,2006-10-02,2.0,2.04,2.0,2.02,10493000.0,1029960.0
53,2006-10-03,2.0,2.0,1.98,2.0,16944000.0,5983980.0
54,2006-10-04,2.0,2.0,1.98,1.98,3752000.0,5701020.0
55,2006-10-05,1.98,2.0,1.98,1.98,861000.0,0.0
56,2006-10-06,2.0,2.02,1.98,2.0,3975000.0,3004000.0
57,2006-10-09,1.98,2.0,1.98,2.0,767000.0,996000.0
58,2006-10-10,1.98,2.0,1.98,1.98,485000.0,0.0
59,2006-10-11,1.96,1.98,1.96,1.98,1103000.0,0.0
60,2006-10-12,1.96,2.0,1.96,2.0,1557000.0,0.0
61,2006-10-13,2.0,2.0,2.0,2.0,462000.0,0.0
62,2006-10-16,2.0,2.1,2.0,2.1,5165000.0,0.0
63,2006-10-17,2.1,2.14,2.06,2.14,55547000.0,-16172500.0
64,2006-10-18,2.14,2.24,2.12,2.22,7391000.0,-218000.0
65,2006-10-19,2.22,2.24,2.16,2.22,6519000.0,1823420.0
66,2006-10-20,2.22,2.22,2.2,2.22,565000.0,0.0
67,2006-10-23,2.22,2.3,2.2,2.28,8450000.0,6600000.0
68,2006-10-25,2.26,2.34,2.26,2.32,14336000.0,13827500.0
69,2006-10-26,2.34,2.34,2.28,2.28,9875000.0,15382000.0
70,2006-10-27,2.28,2.3,2.26,2.26,839000.0,0.0
71,2006-10-30,2.26,2.28,2.26,2.28,355000.0,0.0
72,2006-10-31,2.24,2.24,2.24,2.24,1281000.0,-58240.0
73,2006-09-01,1.7,1.76,1.68,1.76,5418000.0,0.0
74,2006-09-04,1.78,1.86,1.78,1.84,28315000.0,41295900.0
75,2006-09-05,1.92,2.0,1.9,1.94,27826000.0,7891800.0
76,2006-09-06,1.96,2.08,1.96,2.08,19086000.0,-2588000.0
77,2006-09-07,2.06,2.14,2.02,2.08,16100000.0,11866000.0
78,2006-09-08,2.08,2.08,1.96,2.02,4370000.0,1908320.0
79,2006-09-11,2.0,2.0,1.96,1.96,1725000.0,0.0
80,2006-09-12,1.94,1.98,1.92,1.98,4836000.0,3314900.0
81,2006-09-13,1.98,1.98,1.94,1.96,4583000.0,6879600.0
82,2006-09-14,1.96,1.96,1.94,1.94,2098000.0,2328000.0
83,2006-09-15,1.94,1.96,1.94,1.94,589000.0,0.0
84,2006-09-18,1.94,2.02,1.94,2.02,1240000.0,-200000.0
85,2006-09-19,2.02,2.06,1.98,2.06,4531000.0,1286440.0
86,2006-09-20,2.06,2.06,1.98,1.98,943000.0,0.0
87,2006-09-21,1.98,2.0,1.98,2.0,759000.0,0.0
88,2006-09-22,2.0,2.02,1.98,1.98,3175000.0,2378000.0
89,2006-09-25,1.98,2.0,1.98,1.98,5590000.0,6201600.0
90,2006-09-26,1.98,1.98,1.96,1.98,7288000.0,370260.0
91,2006-09-27,1.98,2.0,1.98,2.0,4058000.0,-631680.0
92,2007-04-02,3.55,3.8,3.55,3.75,7382000.0,5101900.0
93,2007-04-03,3.75,3.95,3.75,3.95,5884000.0,962350.0
94,2007-04-04,3.95,4.0,3.85,3.95,6333000.0,1925450.0
95,2007-04-10,3.95,3.95,3.85,3.95,2440000.0,3512700.0
96,2007-04-11,4.0,4.25,4.0,4.15,11233000.0,-4255050.0
97,2007-04-12,4.15,4.15,4.0,4.1,1619000.0,-428650.0
98,2007-04-13,4.1,4.1,4.0,4.0,1240000.0,0.0
99,2007-04-16,4.0,4.0,3.85,3.85,1352000.0,0.0
100,2007-04-17,3.9,3.9,3.9,3.9,832000.0,39000.0
101,2007-04-18,3.95,4.05,3.95,4.05,2578000.0,0.0
102,2007-04-19,4.0,4.05,3.85,3.85,1040000.0,-1999300.0
103,2007-04-20,3.8,3.9,3.8,3.8,2356000.0,-2114550.0
104,2007-04-23,3.8,3.85,3.8,3.8,1216000.0,-3678900.0
105,2007-04-24,3.8,3.85,3.75,3.85,1256000.0,-1783600.0
