,Date,Open,High,Low,Close,Volume,OtherData
0,2012-07-13,8.53,8.8,8.24,8.8,53600.0,-849.0
1,2012-07-16,8.5,8.96,8.5,8.96,145300.0,-87400.0
2,2012-07-18,8.03,8.9,8.03,8.9,37500.0,0.0
3,2012-07-19,8.2,8.85,8.2,8.25,10300.0,0.0
4,2012-07-20,8.25,8.85,8.25,8.85,1700.0,0.0
5,2012-07-23,8.25,8.8,8.25,8.8,2200.0,0.0
6,2012-07-24,8.3,8.3,8.3,8.3,20000.0,0.0
7,2012-07-25,8.3,8.3,8.3,8.3,20700.0,-130310.0
8,2012-07-26,8.8,8.8,8.8,8.8,500.0,0.0
9,2012-07-27,8.79,8.85,8.79,8.85,276000.0,0.0
10,2012-07-30,8.9,8.9,8.3,8.3,64900.0,0.0
11,2012-07-31,8.79,8.88,8.75,8.85,89900.0,0.0
12,2012-08-01,8.84,9.5,8.84,9.0,1327000.0,0.0
13,2012-08-02,9.0,9.0,8.5,8.8,73700.0,0.0
14,2012-08-03,9.0,9.29,9.0,9.16,368800.0,810250.0
15,2012-08-06,9.3,10.38,9.3,10.0,1696900.0,6730332.0
16,2012-08-08,10.0,10.22,9.55,10.0,70700.0,0.0
17,2012-08-09,10.0,10.0,10.0,10.0,5000.0,0.0
18,2012-08-14,10.0,10.0,10.0,10.0,10000.0,0.0
19,2012-08-15,9.5,9.8,9.5,9.8,2900.0,0.0
20,2012-08-16,9.2,9.5,9.0,9.5,21500.0,0.0
21,2012-08-17,9.5,9.5,9.5,9.5,21300.0,202350.0
22,2012-08-22,9.05,9.43,8.88,8.88,400600.0,3188348.0
23,2012-08-23,9.25,9.25,9.25,9.25,2000.0,0.0
24,2012-08-24,8.94,9.2,8.94,9.2,5500.0,0.0
25,2012-08-28,9.2,9.35,9.2,9.2,39800.0,0.0
26,2012-08-29,9.3,9.35,9.14,9.3,120500.0,-279000.0
27,2012-09-04,9.28,9.5,9.0,9.3,710000.0,36000.0
28,2012-09-06,9.0,9.0,9.0,9.0,50300.0,0.0
29,2012-09-07,9.3,9.5,9.28,9.45,1208600.0,3780000.0
30,2012-09-10,9.5,9.6,9.4,9.45,102000.0,-47750.0
31,2012-09-11,9.47,9.49,9.47,9.49,8100.0,0.0
32,2012-09-12,9.47,9.5,9.4,9.45,30500.0,0.0
33,2012-09-13,9.5,9.5,9.5,9.5,364700.0,2941200.0
34,2012-09-14,9.5,9.5,9.1,9.48,23600.0,0.0
35,2012-09-18,9.25,9.46,9.2,9.46,10500.0,0.0
36,2012-09-19,9.46,9.46,9.35,9.35,2839100.0,9350000.0
37,2012-09-20,9.36,9.36,9.15,9.35,4340100.0,1261840.0
38,2012-09-21,9.1,9.35,9.1,9.35,202500.0,0.0
39,2012-09-24,9.35,9.35,9.1,9.1,6400.0,0.0
40,2012-09-25,9.1,9.3,8.9,9.3,2304400.0,2265400.0
41,2012-09-26,9.3,9.3,8.4,9.3,731300.0,0.0
42,2012-09-27,9.25,9.5,9.25,9.3,2590200.0,-5126210.0
43,2012-09-28,9.3,9.3,9.0,9.26,1740700.0,0.0
44,2012-10-01,9.9,9.9,9.01,9.01,151800.0,738280.0
45,2012-10-02,9.25,9.28,9.0,9.28,784500.0,0.0
46,2012-10-03,9.02,9.24,8.9,9.24,660300.0,880754.0
47,2012-10-04,8.95,9.3,8.95,9.3,1159500.0,-744000.0
48,2012-10-05,9.0,9.29,9.0,9.29,36500.0,0.0
49,2012-10-08,9.03,9.3,9.03,9.29,258300.0,18580.0
50,2012-10-09,9.3,9.41,9.3,9.36,1934500.0,3029855.0
51,2012-10-10,9.13,9.39,9.13,9.39,6300.0,0.0
52,2012-10-11,9.4,9.4,9.26,9.26,64400.0,538524.0
53,2012-10-12,9.44,9.44,9.44,9.44,1955800.0,2830112.0
54,2012-10-15,9.4,9.5,9.4,9.45,1693500.0,-826480.0
55,2012-10-16,9.5,9.5,9.45,9.46,5763700.0,11689701.0
56,2012-10-17,9.5,9.5,9.42,9.47,2681700.0,15895098.0
57,2012-10-18,9.48,9.48,9.43,9.48,4667700.0,19278000.0
58,2012-10-19,9.48,9.6,9.48,9.6,161700.0,794564.0
59,2012-10-24,9.59,9.6,9.59,9.6,81800.0,545230.0
60,2012-10-25,9.3,9.7,9.3,9.68,11800.0,0.0
61,2012-10-29,9.68,9.68,9.59,9.59,2600.0,0.0
62,2012-10-30,9.57,9.59,9.45,9.5,3087400.0,95750.0
63,2012-10-31,9.5,10.2,9.5,10.2,1300000.0,4750000.0
64,2012-11-05,10.2,10.2,10.1,10.1,1400.0,0.0
65,2012-11-06,9.4,9.5,9.4,9.4,8677000.0,73864700.0
66,2012-11-07,9.4,9.48,9.32,9.32,2296000.0,94000.0
67,2012-11-08,9.32,9.65,9.2,9.65,2032200.0,139800.0
68,2012-11-09,9.3,9.65,9.3,9.65,542800.0,17700.0
69,2012-11-12,9.65,9.65,9.3,9.65,128800.0,-214400.0
70,2012-11-13,9.35,9.68,9.35,9.65,2527200.0,96500.0
71,2012-11-14,9.65,9.67,9.65,9.65,237200.0,772500.0
72,2012-11-15,9.41,9.7,9.41,9.7,205500.0,-291300.0
73,2012-11-16,9.6,9.6,9.4,9.5,183100.0,724000.0
74,2012-11-19,9.7,9.82,9.7,9.74,2055300.0,96200.0
75,2012-11-20,9.75,10.22,9.7,9.72,656800.0,3062715.0
76,2012-11-21,9.72,9.9,9.6,9.65,1297400.0,5820.0
77,2012-11-22,9.65,9.65,9.36,9.59,397000.0,0.0
78,2012-11-23,9.4,9.55,9.3,9.55,569900.0,0.0
79,2012-11-26,9.54,9.54,9.32,9.45,1662400.0,4636107.0
80,2012-11-27,9.45,9.45,9.3,9.4,358600.0,186200.0
81,2012-11-28,9.32,9.75,9.32,9.75,3219200.0,960375.0
82,2012-11-29,9.75,9.8,9.36,9.8,638700.0,-776412.0
83,2012-12-03,9.6,10.5,9.6,10.1,2369900.0,73512.0
84,2012-12-04,10.1,10.48,10.0,10.38,9991200.0,11423818.0
85,2012-12-05,10.38,10.62,10.38,10.38,272600.0,92.0
86,2012-12-06,10.3,10.4,10.22,10.3,15211700.0,2491058.0
87,2012-12-07,10.7,10.7,10.22,10.48,593300.0,1712960.0
88,2012-12-10,10.46,10.7,10.46,10.5,523200.0,0.0
89,2012-12-11,10.6,10.6,10.48,10.5,1472800.0,-106000.0
90,2012-12-12,10.6,10.68,10.5,10.68,891400.0,0.0
91,2012-12-13,10.52,10.8,10.44,10.8,902800.0,0.0
92,2012-12-14,10.84,10.94,10.78,10.8,281000.0,0.0
93,2012-12-17,10.94,10.94,10.6,10.8,365800.0,0.0
94,2012-12-18,10.8,10.88,10.5,10.7,503900.0,-28590.0
95,2012-12-19,10.52,10.78,10.52,10.7,2453800.0,-6420000.0
96,2012-12-20,10.7,10.84,10.7,10.7,713600.0,2320860.0
97,2012-12-21,10.62,10.9,10.62,10.9,263500.0,0.0
98,2012-12-26,10.7,11.02,10.5,11.02,1415700.0,-5401360.0
99,2012-12-27,11.0,11.0,10.88,11.0,1728000.0,4595620.0
100,2012-12-28,11.0,11.7,10.82,11.7,4058600.0,3432000.0
101,2013-01-02,11.64,11.64,11.02,11.48,1648100.0,-142876.0
102,2013-01-03,11.5,11.6,11.0,11.0,1489200.0,0.0
103,2013-01-04,11.0,11.3,10.9,11.3,319300.0,0.0
104,2013-01-07,11.0,11.4,11.0,11.4,1550000.0,-62700.0
105,2013-01-08,11.4,11.7,11.3,11.7,232200.0,0.0
106,2013-01-09,11.7,11.8,11.4,11.8,584700.0,-1108788.0
107,2013-01-10,11.6,11.62,11.5,11.62,1073800.0,7787800.0
108,2013-01-11,11.5,11.6,11.34,11.6,463600.0,2052750.0
109,2013-01-14,11.4,11.6,11.4,11.6,105000.0,0.0
110,2013-01-15,11.5,11.6,11.32,11.6,1679900.0,0.0
111,2013-01-16,11.32,11.6,11.0,11.5,641500.0,4345000.0
112,2013-01-17,11.06,11.5,11.06,11.5,321500.0,-143750.0
113,2013-01-18,11.5,11.5,11.14,11.5,197600.0,-115000.0
114,2013-01-21,11.5,11.5,11.18,11.5,240800.0,-460000.0
115,2013-01-22,11.48,11.48,11.2,11.36,576000.0,0.0
116,2013-01-23,11.36,11.36,11.14,11.14,426300.0,-203360.0
117,2013-01-24,11.14,11.14,11.04,11.06,1123300.0,625526.0
118,2013-01-25,11.06,11.28,11.0,11.1,2758100.0,0.0
119,2013-01-28,11.26,11.26,11.04,11.1,512000.0,-4504.0
120,2013-01-29,11.1,11.24,11.04,11.24,795500.0,0.0
121,2013-01-30,11.06,11.5,11.04,11.5,370100.0,-6768.0
122,2013-01-31,11.48,11.5,11.2,11.46,402200.0,-632592.0
123,2013-02-01,11.46,11.46,11.24,11.42,102700.0,-576710.0
124,2013-02-04,11.22,11.54,11.22,11.52,2116100.0,474160.0
125,2013-02-05,11.42,11.46,11.24,11.42,1266400.0,696880.0
126,2013-02-06,11.5,11.66,11.5,11.6,882800.0,-232400.0
127,2013-02-07,11.62,11.8,11.48,11.78,504200.0,-727352.0
128,2013-02-08,11.54,11.94,11.54,11.82,1987400.0,15349116.0
129,2013-02-11,11.82,11.96,11.8,11.96,717100.0,-476600.0
130,2013-02-12,11.96,11.96,11.8,11.96,305700.0,360132.0
131,2013-02-13,11.96,11.96,11.5,11.8,1639100.0,-119400.0
132,2013-02-14,11.52,11.8,11.52,11.8,465400.0,1051446.0
133,2013-02-15,11.8,11.82,11.54,11.82,1899000.0,-3492320.0
134,2013-02-18,11.82,12.02,11.72,12.0,1256100.0,2596800.0
135,2013-02-19,12.0,12.0,11.8,12.0,445300.0,0.0
136,2013-02-20,11.5,11.96,11.5,11.94,166600.0,-211820.0
137,2013-02-21,11.7,11.9,11.6,11.9,64100.0,549300.0
