,Date,Open,High,Low,Close,Volume,OtherData
0,2013-12-23,1.0,1.2,1.0,1.14,163584000.0,0.0
1,2013-12-26,1.13,1.3,1.09,1.14,1701000.0,-90.0
2,2013-12-27,1.09,1.09,1.02,1.02,7249000.0,0.0
3,2014-01-02,1.09,1.09,1.02,1.02,61000.0,0.0
4,2014-01-03,1.02,1.02,1.01,1.01,2054000.0,10100.0
5,2014-01-06,1.01,1.02,1.01,1.02,831000.0,0.0
6,2014-01-07,1.01,1.01,1.01,1.01,1150000.0,0.0
7,2014-01-08,1.02,1.03,1.02,1.03,31000.0,0.0
8,2014-01-09,1.03,1.03,1.01,1.01,356000.0,0.0
9,2014-01-10,1.02,1.03,1.02,1.03,50000.0,0.0
10,2014-01-13,1.02,1.02,1.01,1.01,3570000.0,0.0
11,2014-01-14,1.01,1.02,1.01,1.02,122000.0,0.0
12,2014-01-15,1.02,1.02,1.02,1.02,250000.0,0.0
13,2014-01-16,1.01,1.02,1.01,1.01,4934000.0,0.0
14,2014-01-17,1.01,1.02,1.01,1.01,2362000.0,0.0
15,2014-01-20,1.01,1.01,1.01,1.01,526000.0,0.0
16,2014-01-21,1.02,1.02,1.02,1.02,1000.0,0.0
17,2014-01-22,1.01,1.02,1.01,1.02,35000.0,0.0
18,2014-01-23,1.02,1.02,1.0,1.0,11000.0,0.0
19,2014-01-24,1.01,1.01,1.0,1.0,5112000.0,0.0
20,2014-01-27,1.0,1.0,1.0,1.0,49000.0,0.0
21,2014-01-28,1.0,1.0,1.0,1.0,7000.0,0.0
22,2014-01-29,1.01,1.01,1.0,1.0,54000.0,0.0
23,2014-01-30,1.01,1.02,1.01,1.01,712000.0,0.0
24,2014-02-03,1.02,1.02,1.01,1.02,282000.0,0.0
25,2014-02-04,1.01,1.01,1.0,1.0,2620000.0,0.0
26,2014-02-05,1.01,1.01,1.0,1.0,900000.0,0.0
27,2014-02-06,1.01,1.01,1.01,1.01,9000.0,0.0
28,2014-02-07,1.01,1.01,1.0,1.0,68000.0,0.0
29,2014-02-10,1.01,1.01,1.01,1.01,310000.0,0.0
30,2014-02-11,1.02,1.02,1.01,1.01,60000.0,0.0
31,2014-02-12,1.01,1.01,1.01,1.01,614000.0,0.0
32,2014-02-13,1.01,1.02,1.01,1.02,383000.0,0.0
33,2014-02-14,1.0,1.0,1.0,1.0,2500000.0,0.0
34,2014-02-17,1.01,1.01,1.01,1.01,250000.0,0.0
