,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,1.22,1.22,1.22,1.22,50000.0,-61000.0
1,2006-08-03,1.0,1.0,1.0,1.0,4000.0,0.0
2,2006-08-09,1.26,1.26,1.26,1.26,100000.0,-126000.0
3,2006-08-14,1.26,1.26,1.26,1.26,214000.0,-264600.0
4,2006-08-16,1.26,1.26,1.26,1.26,31000.0,0.0
5,2006-12-04,1.16,1.36,1.14,1.36,131000.0,0.0
6,2006-12-05,1.3,1.4,1.28,1.34,931000.0,745320.0
7,2006-12-06,1.3,1.3,1.3,1.3,210000.0,273000.0
8,2006-12-08,1.2,1.2,1.2,1.2,6000.0,0.0
9,2006-12-11,1.34,1.34,1.34,1.34,10000.0,0.0
10,2006-12-12,1.3,1.3,1.18,1.18,20000.0,0.0
11,2006-12-13,1.28,1.3,1.24,1.28,47000.0,0.0
12,2006-12-14,1.28,1.3,1.18,1.3,80000.0,0.0
13,2006-12-15,1.18,1.18,1.18,1.18,50000.0,0.0
14,2006-12-18,1.2,1.22,1.2,1.22,53000.0,0.0
15,2006-12-19,1.26,1.26,1.26,1.26,1000.0,0.0
16,2006-12-20,1.3,1.3,1.26,1.28,230000.0,0.0
17,2006-12-21,1.3,1.36,1.28,1.28,568000.0,708320.0
18,2006-12-22,1.28,1.28,1.26,1.26,81000.0,0.0
19,2006-11-08,1.2,1.2,1.2,1.2,43000.0,0.0
20,2006-11-09,1.04,1.04,1.04,1.04,10000.0,0.0
21,2006-11-10,1.2,1.3,1.06,1.2,180000.0,-130000.0
22,2006-11-13,1.3,1.3,1.22,1.22,12000.0,0.0
23,2006-11-14,1.22,1.24,1.08,1.24,101000.0,0.0
24,2006-11-15,1.24,1.26,1.12,1.14,39000.0,0.0
25,2006-11-16,1.22,1.22,1.22,1.22,10000.0,0.0
26,2006-11-17,1.16,1.28,1.16,1.28,13000.0,0.0
27,2006-11-20,1.3,1.3,1.2,1.2,25000.0,0.0
28,2006-11-21,1.3,1.3,1.3,1.3,10000.0,-13000.0
29,2006-11-22,1.3,1.3,1.3,1.3,10000.0,-13000.0
30,2006-11-23,1.3,1.3,1.3,1.3,10000.0,-13000.0
31,2006-11-24,1.2,1.2,1.06,1.12,588000.0,0.0
32,2006-11-27,1.22,1.26,1.22,1.26,7000.0,0.0
33,2006-11-29,1.26,1.3,1.26,1.3,492000.0,-156000.0
34,2006-11-30,1.14,1.14,1.14,1.14,2000.0,0.0
35,2006-10-03,1.16,1.16,1.16,1.16,20000.0,0.0
36,2006-10-06,1.16,1.16,1.16,1.16,30000.0,0.0
37,2006-10-11,1.18,1.18,1.18,1.18,4000.0,0.0
38,2006-10-12,1.18,1.18,1.18,1.18,9000.0,0.0
39,2006-10-19,1.18,1.18,1.18,1.18,11000.0,0.0
40,2006-10-20,1.18,1.18,1.18,1.18,3000.0,0.0
41,2006-10-23,1.16,1.16,1.16,1.16,50000.0,0.0
42,2006-10-27,1.74,1.74,1.74,1.74,20000.0,0.0
43,2006-10-30,1.2,1.26,1.2,1.2,54000.0,0.0
44,2006-10-31,1.18,1.18,1.06,1.06,109000.0,0.0
45,2006-09-04,1.28,1.28,1.28,1.28,13000.0,0.0
46,2006-09-05,1.3,1.3,1.3,1.3,10000.0,0.0
47,2006-09-07,1.4,1.4,1.4,1.4,28000.0,0.0
48,2006-09-08,1.36,1.36,1.36,1.36,15000.0,0.0
49,2006-09-11,1.36,1.36,1.36,1.36,20000.0,0.0
50,2006-09-12,1.36,1.36,1.36,1.36,9000.0,0.0
51,2006-09-13,1.32,1.4,1.32,1.4,6144000.0,0.0
52,2006-09-14,1.4,1.4,1.4,1.4,5000.0,0.0
53,2007-04-04,1.18,1.18,1.18,1.18,17000.0,0.0
54,2007-04-11,1.18,1.18,1.18,1.18,8000.0,0.0
55,2007-04-12,1.18,1.18,1.14,1.14,42000.0,0.0
56,2007-04-13,1.16,1.18,1.16,1.18,105000.0,0.0
57,2007-04-20,1.16,1.16,1.12,1.16,64000.0,0.0
58,2007-04-23,1.18,1.18,1.18,1.18,52000.0,0.0
59,2007-08-02,1.26,1.26,1.18,1.18,76000.0,-73240.0
60,2007-08-08,1.18,1.18,1.18,1.18,30000.0,-35400.0
61,2007-08-13,1.2,1.2,1.18,1.18,200000.0,-238000.0
62,2007-08-14,1.18,1.18,1.18,1.18,100000.0,-118000.0
63,2007-08-15,1.16,1.16,1.16,1.16,25000.0,0.0
64,2007-08-16,1.16,1.16,1.16,1.16,5000.0,-5800.0
65,2007-08-23,1.68,1.68,1.5,1.5,2000.0,0.0
66,2007-08-30,1.5,1.5,1.5,1.5,13000.0,0.0
67,2007-12-03,1.5,1.8,1.5,1.8,799000.0,0.0
68,2007-12-04,1.8,2.7,1.8,2.14,63962000.0,0.0
69,2007-12-05,2.4,2.4,1.98,2.0,542000.0,0.0
70,2007-12-06,1.98,1.98,1.7,1.7,208000.0,0.0
71,2007-12-07,1.7,1.7,1.52,1.52,90000.0,0.0
72,2007-12-10,1.56,1.74,1.56,1.68,70000.0,0.0
73,2007-12-11,1.68,1.7,1.66,1.66,89000.0,0.0
74,2007-12-12,1.66,1.66,1.66,1.66,31000.0,0.0
75,2007-12-13,1.56,1.58,1.56,1.58,40000.0,0.0
76,2007-12-14,1.6,1.6,1.6,1.6,32000.0,0.0
77,2007-12-17,1.54,1.54,1.3,1.3,19000.0,0.0
78,2007-12-26,1.6,1.62,1.6,1.6,100000.0,0.0
79,2007-12-27,1.64,2.06,1.64,1.8,6589000.0,0.0
80,2007-12-28,1.72,1.72,1.68,1.68,73000.0,0.0
81,2007-02-01,1.2,1.2,1.2,1.2,3000.0,0.0
82,2007-02-02,1.2,1.2,1.2,1.2,20000.0,0.0
83,2007-02-05,1.2,1.2,1.2,1.2,42000.0,0.0
84,2007-02-09,1.3,1.3,1.3,1.3,5000.0,0.0
85,2007-02-13,1.32,1.32,1.32,1.32,195000.0,257400.0
86,2007-02-14,1.2,1.2,1.2,1.2,6000.0,0.0
87,2007-02-15,1.18,1.18,1.18,1.18,16000.0,0.0
88,2007-02-22,1.24,1.24,1.24,1.24,2000.0,0.0
89,2007-02-23,1.24,1.24,1.24,1.24,1000.0,0.0
90,2007-02-26,1.26,1.26,1.26,1.26,1000.0,0.0
91,2007-02-27,1.26,1.28,1.26,1.28,5000.0,0.0
92,2007-02-28,1.24,1.24,1.24,1.24,20000.0,0.0
93,2007-01-02,1.28,1.28,1.28,1.28,15000.0,0.0
94,2007-01-03,1.28,1.28,1.28,1.28,35000.0,0.0
95,2007-01-04,1.28,1.28,1.28,1.28,17000.0,0.0
96,2007-01-05,1.3,1.3,1.3,1.3,1000.0,0.0
97,2007-01-08,1.26,1.26,1.22,1.22,200000.0,-246000.0
98,2007-01-09,1.32,1.34,1.28,1.28,303000.0,0.0
99,2007-01-10,1.28,1.28,1.28,1.28,5000.0,0.0
100,2007-01-17,1.3,1.3,1.3,1.3,31000.0,0.0
101,2007-01-19,1.28,1.28,1.28,1.28,60000.0,0.0
