,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-03,0.245,0.245,0.245,0.245,10000,0
1,2006-08-11,0.3,0.3,0.3,0.3,20000,0
2,2006-12-06,0.36,0.36,0.36,0.36,70000,0
3,2006-12-07,0.49,0.49,0.49,0.49,80000,0
4,2006-11-23,0.42,0.42,0.42,0.42,40000,0
5,2006-10-03,0.39,0.39,0.39,0.39,100000,0
6,2006-10-06,0.4,0.4,0.4,0.4,20000,0
7,2006-10-10,0.4,0.4,0.4,0.4,10000,0
8,2006-10-12,0.4,0.4,0.4,0.4,80000,0
9,2006-10-16,0.4,0.4,0.4,0.4,110000,0
10,2006-10-23,0.5,0.5,0.5,0.5,50000,0
11,2006-10-25,0.46,0.46,0.45,0.45,100000,0
12,2006-10-27,0.41,0.41,0.41,0.41,10000,0
13,2006-09-04,0.55,0.6,0.55,0.57,220000,0
14,2006-09-07,0.54,0.54,0.53,0.53,90000,0
15,2006-09-13,0.38,0.38,0.38,0.38,100000,0
16,2006-09-14,0.33,0.33,0.33,0.33,100000,0
17,2006-09-18,0.36,0.44,0.36,0.44,100000,0
18,2006-09-19,0.48,0.52,0.48,0.52,80000,0
19,2006-09-25,0.55,0.55,0.55,0.55,50000,0
20,2007-04-02,0.72,0.74,0.72,0.74,20000,0
21,2007-04-03,0.7,0.7,0.7,0.7,40000,0
22,2007-04-04,0.7,0.78,0.7,0.78,160000,0
23,2007-04-19,0.68,0.68,0.68,0.68,30000,0
24,2007-04-23,0.7,0.7,0.7,0.7,50000,0
25,2007-04-24,0.7,0.7,0.7,0.7,50000,0
26,2007-04-30,0.84,0.84,0.84,0.84,40000,0
27,2007-02-12,0.37,0.37,0.37,0.37,30000,0
28,2007-02-13,0.39,0.39,0.39,0.39,10000,0
29,2007-02-20,0.3,0.58,0.3,0.58,500000,0
30,2007-02-21,0.6,0.87,0.6,0.85,510000,0
31,2007-02-23,0.85,0.85,0.85,0.85,130000,0
32,2007-02-26,0.9,0.95,0.9,0.95,90000,0
33,2007-02-27,0.9,0.9,0.85,0.85,190000,0
34,2007-03-01,0.61,0.61,0.61,0.61,10000,0
35,2007-03-12,0.61,0.61,0.61,0.61,20000,0
36,2007-03-29,0.73,0.73,0.73,0.73,10000,0
37,2007-05-02,0.74,0.74,0.74,0.74,80000,0
38,2007-05-08,0.74,0.74,0.7,0.7,110000,0
39,2007-05-09,0.7,0.7,0.7,0.7,100000,0
40,2007-05-17,0.7,0.7,0.7,0.7,40000,0
41,2018-06-04,2.2,5.5,1.51,3.5,33207000,0
42,2018-06-05,3.65,3.74,2.7,2.86,16257000,0
43,2018-06-06,2.78,3.19,2.42,3.13,14252000,0
44,2018-06-07,3.19,3.26,2.76,2.94,8454000,0
45,2018-06-08,2.9,2.99,2.77,2.86,3439000,0
46,2018-06-11,2.87,4.24,2.8,3.58,20475000,0
47,2018-06-13,3.32,4.1,3.2,3.8,23976000,0
48,2018-06-14,3.8,4.05,3.7,3.8,11216000,0
49,2018-06-18,3.86,3.99,3.3,3.33,6932000,0
50,2018-06-19,3.36,3.46,3.14,3.3,2872000,0
51,2018-06-20,3.32,3.32,3.08,3.12,2159000,0
52,2018-06-21,3.12,3.12,2.74,2.81,3268000,0
53,2018-06-22,2.85,2.86,2.55,2.85,1438000,0
54,2018-06-25,3.04,3.13,2.58,2.66,2946000,0
55,2018-06-26,2.65,2.79,2.5,2.6,2087000,0
56,2018-06-27,2.55,2.9,2.42,2.8,3015000,0
57,2018-06-28,2.82,3.03,2.61,2.62,3838000,0
58,2018-06-29,2.63,2.72,2.53,2.55,1025000,0
59,2018-07-02,2.53,2.63,2.53,2.58,487000,0
60,2018-07-03,2.58,2.78,2.5,2.74,1644000,0
61,2018-07-04,2.72,2.74,2.58,2.68,432000,0
62,2018-07-05,2.7,2.7,2.59,2.63,951000,0
63,2018-07-06,2.67,2.67,2.5,2.51,1275000,0
64,2018-07-09,2.52,2.59,2.44,2.44,680000,0
65,2018-07-10,2.45,2.48,2.29,2.34,2373000,0
66,2018-07-11,2.2,2.39,2.2,2.25,649000,0
67,2018-07-12,2.24,2.35,2.01,2.05,1124000,0
68,2018-07-13,2.02,2.1,1.9,2.0,1031000,0
69,2018-07-16,2.01,2.24,2.01,2.16,1070000,0
70,2018-07-17,2.16,2.19,2.1,2.16,479000,0
71,2018-07-18,2.2,2.2,2.02,2.06,559000,0
72,2018-07-19,2.08,2.1,2.01,2.03,356000,0
73,2018-07-20,2.02,2.09,1.96,2.0,571000,0
74,2018-07-23,1.98,2.0,1.92,1.94,431000,0
75,2018-07-24,1.98,2.06,1.98,2.01,165000,0
76,2018-07-25,2.05,2.05,1.98,2.02,168000,0
77,2018-07-26,1.99,2.02,1.98,2.0,218000,0
78,2018-07-27,2.0,2.4,2.0,2.35,2406000,0
79,2018-07-30,2.35,2.39,2.2,2.25,1354000,0
80,2018-07-31,2.25,2.5,2.23,2.47,2562000,0
81,2018-08-01,2.52,2.52,2.28,2.37,1436000,0
82,2018-08-02,2.32,2.32,2.2,2.26,1147000,0
83,2018-08-03,2.26,2.37,2.26,2.3,849000,0
84,2018-08-06,2.25,2.25,2.08,2.14,1908000,0
85,2018-08-07,2.14,2.18,2.07,2.13,578000,0
86,2018-08-08,2.18,2.19,2.1,2.15,231000,0
87,2018-08-09,2.15,2.15,2.1,2.12,111000,0
88,2018-08-10,2.16,2.24,2.15,2.2,466000,0
89,2018-08-13,2.2,2.3,2.2,2.21,754000,0
90,2018-08-14,2.21,2.21,2.1,2.18,171000,0
91,2018-08-15,2.22,2.24,2.1,2.2,569000,0
92,2018-08-16,2.12,2.2,2.12,2.16,171000,0
93,2018-08-17,2.16,2.16,2.05,2.06,413000,0
94,2018-08-20,2.05,2.14,2.05,2.11,280000,0
95,2018-08-22,2.12,2.12,1.95,2.04,667000,0
96,2018-08-23,2.0,2.05,1.98,2.02,197000,0
97,2018-08-24,2.02,2.09,2.0,2.09,336000,0
98,2018-08-28,2.1,2.12,2.04,2.04,156000,0
99,2018-08-29,2.05,2.08,2.0,2.06,222000,0
100,2018-08-30,2.07,2.1,1.97,2.06,295000,0
101,2018-08-31,2.09,2.09,2.0,2.05,149000,0
102,2018-09-03,2.08,2.08,2.0,2.04,190000,0
103,2018-09-04,2.04,2.04,1.96,2.03,153000,0
104,2018-09-05,2.03,2.03,1.95,2.0,431000,0
105,2018-09-06,1.99,1.99,1.94,1.94,49000,0
106,2018-09-07,1.94,2.04,1.94,2.0,120000,0
107,2018-09-10,2.02,2.02,1.9,1.95,287000,0
108,2018-09-11,1.99,1.99,1.66,1.66,910000,0
109,2018-09-12,1.67,1.74,1.55,1.6,574000,0
110,2018-09-13,1.62,1.62,1.52,1.56,159000,0
111,2018-09-14,1.56,1.79,1.55,1.71,683000,0
112,2018-09-17,1.72,1.79,1.65,1.72,128000,0
113,2018-09-18,1.73,1.73,1.59,1.7,25000,0
114,2018-09-19,1.72,1.72,1.54,1.6,168000,0
115,2018-09-20,1.53,1.64,1.53,1.61,285000,0
116,2018-09-21,1.52,1.61,1.48,1.48,452000,0
117,2018-09-24,1.44,1.48,1.36,1.36,233000,0
118,2018-09-25,1.36,1.64,1.36,1.49,390000,0
119,2018-09-26,1.54,1.54,1.41,1.49,95000,0
120,2018-09-27,1.43,1.5,1.4,1.5,111000,0
121,2018-09-28,1.59,1.59,1.54,1.56,23000,0
122,2018-10-01,1.5,1.55,1.43,1.53,75000,0
123,2018-10-02,1.54,1.54,1.44,1.5,31000,0
124,2018-10-03,1.58,1.58,1.45,1.53,57000,0
125,2018-10-04,1.4,1.54,1.38,1.52,14000,0
126,2018-10-05,1.39,1.51,1.38,1.51,15000,0
127,2018-10-08,1.52,1.52,1.5,1.5,2000,0
128,2018-10-09,1.41,1.5,1.38,1.48,96000,0
129,2018-10-10,1.38,1.44,1.36,1.4,15000,0
130,2018-10-11,1.46,1.46,1.35,1.42,28000,0
131,2018-10-12,1.42,1.46,1.36,1.44,32000,0
132,2018-10-15,1.37,1.44,1.37,1.44,27000,0
133,2018-10-16,1.41,1.44,1.41,1.44,19000,0
134,2018-10-17,1.41,1.48,1.36,1.4,171000,0
135,2018-10-18,1.36,1.39,1.36,1.39,19000,0
136,2018-10-19,1.39,1.39,1.35,1.39,26000,0
137,2018-10-22,1.39,1.39,1.33,1.34,92000,0
138,2018-10-23,1.43,1.43,1.35,1.35,23000,0
139,2018-10-24,1.32,1.35,1.26,1.35,108000,0
140,2018-10-25,1.35,1.35,1.26,1.33,12000,0
141,2018-10-26,1.33,1.33,1.22,1.31,41000,0
142,2018-10-29,1.31,1.35,1.31,1.35,2000,0
143,2018-10-30,1.34,1.34,1.34,1.34,1000,0
144,2018-10-31,1.23,1.27,1.23,1.23,60000,0
145,2018-11-05,1.25,1.4,1.23,1.4,59000,0
146,2018-11-06,1.39,1.52,1.3,1.3,226000,0
147,2018-11-07,1.24,1.24,1.05,1.19,229000,0
148,2018-11-08,1.04,1.09,0.92,1.09,564000,0
149,2018-11-09,1.08,1.1,1.05,1.1,102000,0
150,2018-11-12,1.1,1.1,1.01,1.09,65000,0
151,2018-11-13,1.01,1.1,0.97,1.1,202000,0
152,2018-11-14,1.0,1.1,0.98,1.08,58000,0
153,2018-11-15,1.0,1.32,1.0,1.23,115000,0
154,2018-11-16,1.12,1.22,1.11,1.21,70000,0
155,2018-11-19,1.05,1.4,1.05,1.28,202000,0
156,2018-11-20,1.27,1.39,1.27,1.3,172000,0
157,2018-11-21,1.25,1.54,1.11,1.39,616000,0
158,2018-11-22,1.44,1.82,1.4,1.82,1974000,0
159,2018-11-23,1.85,2.24,1.85,2.02,5748000,0
160,2018-11-26,2.07,2.07,1.52,1.85,1525000,0
161,2018-11-27,1.84,1.84,1.66,1.66,1413000,0
162,2018-11-28,1.65,2.29,1.65,1.8,7374000,0
163,2018-11-29,1.85,2.12,1.85,1.94,3336000,0
164,2018-12-03,1.9,2.04,1.8,1.95,1327000,0
165,2018-12-04,1.95,2.21,1.95,2.15,3404000,0
166,2018-12-05,2.18,2.37,2.07,2.37,2927000,0
167,2018-12-06,2.34,2.46,2.24,2.29,2260000,0
168,2018-12-07,2.26,2.42,2.16,2.32,1321000,0
169,2018-12-10,2.37,2.41,2.06,2.14,1559000,0
170,2018-12-11,2.1,2.19,2.08,2.15,736000,0
171,2018-12-12,2.15,2.2,2.07,2.14,668000,0
172,2018-12-13,2.1,2.13,1.96,2.11,1591000,0
