,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-03,0.38,0.38,0.38,0.38,10000,0
1,2006-12-06,0.36,0.36,0.36,0.36,10000,0
2,2006-11-03,0.41,0.41,0.41,0.41,40000,0
3,2006-11-06,0.45,0.45,0.45,0.45,100000,0
4,2006-11-21,0.43,0.43,0.43,0.43,30000,0
5,2006-11-29,0.43,0.43,0.4,0.4,510000,127500
6,2006-10-20,0.5,0.5,0.5,0.5,100000,0
7,2006-10-25,0.43,0.43,0.42,0.42,100000,0
8,2006-10-26,0.54,0.54,0.54,0.54,100000,0
9,2006-09-01,0.43,0.43,0.43,0.43,100000,0
10,2006-09-04,0.59,0.6,0.59,0.6,170000,0
11,2006-09-06,0.42,0.42,0.42,0.42,50000,21000
12,2006-09-07,0.5,0.55,0.5,0.55,170000,0
13,2006-09-13,0.39,0.39,0.39,0.39,60000,0
14,2006-09-14,0.35,0.35,0.33,0.33,360000,0
15,2006-09-18,0.44,0.44,0.44,0.44,50000,0
16,2006-09-19,0.49,0.56,0.49,0.5,540000,0
17,2006-09-20,0.5,0.5,0.44,0.5,200000,0
18,2006-09-25,0.5,0.5,0.5,0.5,300000,0
19,2007-04-02,0.74,0.74,0.74,0.74,10000,0
20,2007-04-03,0.74,0.74,0.73,0.73,100000,0
21,2007-04-04,0.7,0.74,0.6,0.74,430000,20400
22,2007-04-19,0.6,0.6,0.6,0.6,10000,0
23,2007-04-23,0.7,0.7,0.7,0.7,40000,0
24,2007-04-24,0.7,0.7,0.7,0.7,50000,0
25,2007-04-25,0.43,0.7,0.43,0.7,220000,131400
26,2007-04-30,0.7,0.7,0.7,0.7,20000,0
27,2007-02-20,0.4,0.54,0.4,0.54,420000,-27000
28,2007-02-21,0.6,0.81,0.6,0.81,810000,0
29,2007-02-22,0.81,0.81,0.8,0.81,120000,0
30,2007-02-23,0.99,0.99,0.99,0.99,20000,0
31,2007-02-26,0.86,0.86,0.86,0.86,40000,0
32,2007-02-27,0.85,0.85,0.85,0.85,90000,0
33,2007-02-28,0.67,0.75,0.67,0.75,130000,0
34,2007-01-26,0.36,0.36,0.36,0.36,60000,0
35,2007-03-01,0.75,0.75,0.75,0.75,100000,0
36,2007-03-13,0.72,0.72,0.72,0.72,20000,14400
37,2007-03-15,0.44,0.5,0.44,0.5,120000,0
38,2007-03-16,0.52,0.52,0.52,0.52,50000,0
39,2007-03-22,0.69,0.69,0.69,0.69,50000,0
40,2007-03-27,0.72,0.72,0.72,0.72,10000,7200
41,2007-05-02,0.75,0.75,0.74,0.75,110000,0
42,2007-05-08,0.77,0.77,0.77,0.77,50000,0
43,2007-05-15,0.8,0.84,0.8,0.84,80000,0
44,2007-05-17,0.57,0.84,0.57,0.84,20000,0
45,2018-06-04,2.98,5.45,2.76,3.4,5288000,-609240
46,2018-06-05,3.5,3.54,2.66,2.85,916000,100650
