,Date,Open,High,Low,Close,Volume,OtherData
0,2012-03-07,4.0,4.0,4.0,4.0,1000,0.0
1,2012-03-09,4.8,6.0,4.8,6.0,264000,-186000.0
2,2012-03-12,8.8,9.0,8.8,9.0,61300,-4500.0
3,2012-03-13,13.5,13.5,10.2,11.72,1340400,255780.0
4,2012-03-14,12.02,12.3,9.6,12.3,784700,-27736.0
5,2012-03-15,13.0,18.08,13.0,17.8,2389300,927340.0
6,2012-03-16,18.3,25.0,18.3,23.4,1726200,-957830.0
7,2012-03-19,24.95,26.9,23.55,23.8,851600,17140.0
8,2012-03-20,23.85,27.8,20.7,27.55,1739400,-52300.0
9,2012-03-21,26.0,28.9,26.0,28.85,1284500,28500.0
10,2012-03-22,28.85,29.0,27.95,28.1,321300,-8600.0
11,2012-03-23,27.1,28.7,25.0,26.0,262800,0.0
12,2012-03-26,26.0,28.0,24.5,27.0,273800,0.0
13,2012-03-27,26.0,27.0,24.55,24.55,122900,307940.0
14,2012-03-28,24.6,27.35,24.3,27.35,367100,-5340.0
15,2012-03-29,27.4,27.5,26.05,26.05,110100,-2745.0
16,2012-03-30,26.05,26.05,24.9,24.9,205000,174750.0
17,2012-04-02,25.1,25.9,24.9,25.9,21000,0.0
18,2012-04-03,25.9,25.9,25.0,25.05,10800,75000.0
19,2012-04-04,25.05,25.3,25.0,25.0,21600,0.0
20,2012-04-10,25.0,25.0,23.0,23.3,175400,0.0
21,2012-04-11,23.15,23.6,23.0,23.1,62600,-254000.0
22,2012-04-12,23.1,23.4,23.1,23.4,8900,0.0
23,2012-04-13,23.0,23.0,20.0,20.0,119200,0.0
24,2012-04-16,21.0,23.0,21.0,22.5,257400,-1400.0
25,2012-04-17,21.0,23.5,21.0,23.0,105600,-23000.0
26,2012-04-18,21.7,22.9,21.6,21.6,25200,60480.0
27,2012-04-19,22.5,22.8,22.5,22.5,22000,-63000.0
28,2012-04-20,21.8,23.1,21.8,22.85,47800,23000.0
29,2012-04-23,22.65,23.0,22.6,22.6,11800,67800.0
30,2012-04-24,22.9,25.6,22.9,24.25,608100,-12540.0
31,2012-04-25,24.9,25.0,24.0,24.8,105000,0.0
32,2012-04-26,25.0,25.75,24.8,25.6,439200,-98440.0
33,2012-04-27,25.6,25.9,25.55,25.55,100300,0.0
34,2012-05-02,25.6,26.5,25.6,26.5,370500,-132000.0
35,2012-05-03,26.6,27.25,26.6,27.25,156900,0.0
36,2012-05-04,26.8,28.5,26.8,28.4,368700,0.0
37,2012-05-07,28.4,28.4,27.95,28.15,102700,0.0
38,2012-05-08,28.0,28.75,27.9,28.75,165900,0.0
39,2012-05-09,28.7,29.05,28.0,28.8,91300,23095.0
40,2012-05-10,28.8,29.15,28.8,29.1,176400,20375.0
41,2012-05-11,29.0,29.75,27.2,29.65,232700,5880.0
42,2012-05-14,29.65,29.65,28.0,28.5,33500,-49085.0
43,2012-05-15,28.05,28.3,28.05,28.05,17100,0.0
44,2012-05-16,28.0,29.0,26.1,26.1,61700,0.0
45,2012-05-17,28.0,28.0,28.0,28.0,4400,0.0
46,2012-05-18,26.1,29.0,26.0,28.2,10100,0.0
47,2012-05-21,28.0,33.0,28.0,33.0,137300,2820.0
48,2012-05-22,33.7,36.95,33.05,33.05,124300,1231570.0
49,2012-05-23,31.5,35.3,31.5,35.3,127100,1635870.0
50,2012-05-24,35.1,35.1,34.55,34.55,25700,0.0
51,2012-05-25,34.6,34.6,33.0,33.0,4900,0.0
52,2012-05-28,32.95,34.95,30.4,34.9,129600,-1153000.0
53,2012-05-29,34.9,35.9,34.0,35.9,226100,-1413465.0
54,2012-05-30,35.9,37.15,32.95,36.6,296100,0.0
55,2012-05-31,37.0,37.7,37.0,37.7,231500,0.0
56,2012-06-01,37.05,37.8,37.05,37.7,51300,-248820.0
57,2012-06-04,37.05,37.05,35.9,36.3,18700,54450.0
58,2012-06-05,36.4,37.25,36.4,37.25,214500,0.0
59,2012-06-06,37.0,37.95,36.9,37.95,56200,-3690.0
60,2012-06-07,38.0,38.35,38.0,38.35,27300,0.0
61,2012-06-08,38.35,38.65,38.35,38.65,126500,0.0
62,2012-06-11,38.7,38.75,38.0,38.55,48200,38500.0
63,2012-06-13,38.7,39.15,38.7,39.15,90900,0.0
64,2012-06-14,38.55,38.55,38.35,38.35,5000,0.0
65,2012-06-15,38.2,39.15,38.15,38.15,12100,0.0
66,2012-06-18,39.2,39.2,38.15,38.15,6800,0.0
67,2012-06-19,38.15,38.15,37.35,37.35,48000,0.0
68,2012-06-20,37.15,37.15,37.05,37.05,3000,0.0
69,2012-06-21,37.95,38.55,37.5,38.55,103900,0.0
70,2012-06-22,37.9,38.3,37.9,38.3,7400,0.0
71,2012-06-25,37.9,38.35,37.9,38.25,19600,0.0
72,2012-06-26,37.9,38.5,37.9,38.5,69700,0.0
73,2012-06-27,37.9,38.5,37.9,38.4,2600,0.0
74,2012-06-29,37.1,38.35,37.1,38.35,30600,0.0
75,2012-07-03,38.35,38.6,38.35,38.6,35400,0.0
76,2012-07-04,38.0,38.55,38.0,38.55,28100,0.0
77,2012-07-05,38.3,38.3,38.3,38.3,6300,0.0
78,2012-07-06,38.55,38.55,38.1,38.1,13600,0.0
79,2012-07-09,37.8,37.8,37.8,37.8,3000,0.0
80,2012-07-10,37.8,37.8,37.8,37.8,5300,0.0
81,2012-07-12,37.8,37.8,37.8,37.8,2000,0.0
82,2012-07-13,37.75,37.8,37.75,37.8,1000,37765.0
83,2012-07-16,37.1,37.1,37.1,37.1,2600,22260.0
84,2012-07-17,37.75,37.75,37.45,37.45,4100,0.0
85,2012-07-19,35.0,37.0,35.0,37.0,200,0.0
86,2012-07-20,36.9,37.0,36.9,37.0,7600,0.0
87,2012-07-23,37.0,37.0,37.0,37.0,3900,0.0
88,2012-07-24,37.0,37.0,37.0,37.0,5000,0.0
89,2012-07-27,36.95,36.95,36.95,36.95,400,14780.0
90,2012-08-08,36.0,36.0,36.0,36.0,8200,0.0
91,2012-08-10,28.0,36.0,28.0,36.0,77800,0.0
92,2012-08-17,29.35,34.45,28.2,29.0,95400,-2291410.0
93,2012-08-22,29.5,32.0,29.5,32.0,13800,3000.0
94,2012-08-24,29.2,29.5,29.0,29.0,5400,0.0
95,2012-08-28,29.0,29.0,28.5,28.5,7600,0.0
96,2012-08-30,28.0,28.0,28.0,28.0,7400,0.0
97,2012-09-03,27.5,27.8,27.5,27.8,2300,0.0
98,2012-09-04,27.5,27.5,27.0,27.0,4700,13500.0
99,2012-09-05,27.0,27.0,27.0,27.0,2900,0.0
100,2012-09-07,26.0,26.0,24.6,25.0,17300,0.0
101,2012-09-10,25.0,25.0,25.0,25.0,4900,0.0
102,2012-09-11,25.0,25.0,25.0,25.0,1600,0.0
103,2012-09-13,24.0,24.1,24.0,24.1,2000,0.0
104,2012-09-14,25.0,25.0,25.0,25.0,6500,0.0
105,2012-09-17,25.0,25.0,25.0,25.0,200,0.0
106,2012-09-18,25.25,26.85,25.05,26.8,24900,0.0
107,2012-09-19,26.7,26.7,26.7,26.7,2100,0.0
108,2012-09-20,26.7,26.7,26.7,26.7,100,0.0
109,2012-09-21,25.5,25.5,25.5,25.5,2000,0.0
110,2012-09-24,25.5,26.0,25.5,25.5,4200,0.0
111,2012-10-02,25.0,25.0,25.0,25.0,1100,0.0
112,2012-10-03,25.0,25.0,23.95,23.95,13300,0.0
113,2012-10-04,24.0,24.0,24.0,24.0,1000,0.0
114,2012-10-05,24.0,24.3,24.0,24.3,5700,0.0
115,2012-10-08,23.95,23.95,23.85,23.9,10800,-2395.0
116,2012-10-09,23.9,24.5,23.45,24.5,76500,0.0
117,2012-10-10,24.05,24.05,23.7,23.7,9800,0.0
118,2012-10-11,23.45,23.95,23.45,23.95,19900,-234500.0
119,2012-10-15,23.5,23.5,23.5,23.5,4900,0.0
120,2012-10-17,23.0,23.0,23.0,23.0,15000,0.0
121,2012-10-19,25.0,25.0,25.0,25.0,1500,0.0
122,2012-10-22,22.55,22.55,21.0,21.0,35000,0.0
123,2012-10-23,21.5,22.2,21.5,22.2,9800,0.0
124,2012-10-25,21.5,22.5,21.5,21.5,6800,0.0
125,2012-10-29,21.0,22.5,21.0,22.5,3100,0.0
126,2012-10-31,21.0,21.0,21.0,21.0,6500,-31500.0
127,2012-11-05,21.0,21.0,21.0,21.0,15500,0.0
128,2012-11-06,21.0,21.0,21.0,21.0,10700,0.0
129,2012-11-07,20.15,20.15,20.0,20.0,30500,0.0
130,2012-11-08,19.08,19.08,19.08,19.08,300,0.0
131,2012-11-09,21.0,21.0,21.0,21.0,17500,0.0
132,2012-11-12,21.0,21.0,20.05,20.05,6700,0.0
133,2012-11-13,21.5,21.5,21.5,21.5,2500,0.0
134,2012-11-14,21.5,21.75,21.5,21.5,20100,0.0
135,2012-11-15,21.5,21.6,21.5,21.6,5500,43000.0
136,2012-11-19,21.6,21.6,21.0,21.0,12100,0.0
137,2012-11-21,21.5,21.5,21.5,21.5,10500,0.0
138,2012-11-22,21.5,21.5,21.5,21.5,2500,0.0
139,2012-11-23,21.0,21.0,21.0,21.0,3000,0.0
140,2012-11-27,21.5,21.5,21.5,21.5,5700,0.0
141,2012-11-28,21.5,21.5,21.0,21.0,17000,0.0
142,2012-11-29,21.5,22.0,21.35,21.35,19700,0.0
143,2012-12-03,21.35,21.35,21.3,21.3,600,0.0
144,2012-12-04,21.4,21.4,21.4,21.4,5500,0.0
145,2012-12-05,21.35,21.5,21.35,21.4,8100,0.0
146,2012-12-10,21.2,21.2,21.2,21.2,1400,0.0
147,2012-12-11,20.5,21.55,20.5,21.55,15800,0.0
148,2012-12-12,22.0,22.8,22.0,22.8,20100,0.0
149,2012-12-13,22.9,23.25,22.9,23.25,26100,0.0
150,2012-12-14,23.3,23.3,23.0,23.3,1700,0.0
151,2012-12-17,22.3,22.3,21.0,21.0,9000,0.0
