,Date,Open,High,Low,Close,Volume,OtherData
0,2014-09-04,41.4,41.5,33.1,33.1,429900.0,-16950.0
1,2014-09-05,34.0,34.45,33.5,33.5,134000.0,0.0
2,2014-09-08,33.7,34.0,31.0,31.8,169700.0,0.0
3,2014-09-09,32.5,32.5,28.5,30.0,185000.0,8700.0
4,2014-09-10,30.0,30.0,28.0,28.5,182100.0,8400.0
5,2014-09-11,28.5,28.5,25.15,27.2,209000.0,10400.0
6,2014-09-12,27.2,27.2,25.4,26.0,151300.0,28150.0
7,2014-09-15,28.0,31.0,28.0,30.0,226100.0,-2900.0
8,2014-09-16,30.5,31.0,29.05,29.6,93000.0,0.0
9,2014-09-17,29.75,30.0,29.55,29.55,40800.0,0.0
10,2014-09-18,29.4,29.6,27.5,29.0,62300.0,121800.0
11,2014-09-22,29.0,29.0,27.95,28.0,112900.0,-11360.0
12,2014-09-23,28.0,28.0,26.0,26.8,317000.0,2630.0
13,2014-09-24,26.8,27.3,26.1,26.5,64700.0,0.0
14,2014-09-25,26.5,26.8,26.0,26.3,127300.0,0.0
15,2014-09-26,26.05,26.8,25.7,26.2,107500.0,-7950.0
16,2014-09-29,26.2,26.9,25.8,26.0,43200.0,0.0
17,2014-09-30,25.8,26.0,25.8,25.85,22400.0,0.0
18,2014-10-01,25.8,26.4,25.0,25.1,154800.0,110400.0
19,2014-10-02,25.05,25.05,24.6,24.6,52900.0,5000.0
20,2014-10-03,24.6,24.6,23.95,24.0,67800.0,2440.0
21,2014-10-07,24.1,24.2,23.9,24.1,55600.0,-7200.0
22,2014-10-08,25.0,25.0,23.5,24.45,74500.0,0.0
23,2014-10-09,24.95,24.95,23.9,23.9,52400.0,0.0
24,2014-10-10,23.9,24.0,23.5,23.9,26300.0,0.0
25,2014-10-13,23.9,23.9,23.1,23.45,38400.0,2385.0
26,2014-10-14,23.0,23.5,22.5,23.0,42800.0,9200.0
27,2014-10-15,23.2,23.8,23.0,23.15,11600.0,0.0
28,2014-10-16,23.15,23.3,22.85,23.2,10100.0,0.0
29,2014-10-17,22.8,23.7,22.8,23.7,6800.0,0.0
30,2014-10-20,23.7,24.4,22.6,24.3,12500.0,0.0
31,2014-10-21,23.5,24.8,23.5,24.0,13400.0,-95400.0
32,2014-10-22,24.0,24.0,23.5,23.95,9700.0,0.0
33,2014-10-23,23.5,24.0,23.05,23.95,11400.0,0.0
34,2014-10-24,24.0,25.0,24.0,24.4,42300.0,0.0
35,2014-10-27,24.1,24.4,24.0,24.0,12800.0,0.0
36,2014-10-28,23.6,24.0,23.5,23.5,29200.0,0.0
37,2014-10-29,22.0,22.7,22.0,22.65,41700.0,0.0
38,2014-10-30,22.6,22.6,21.5,22.05,40000.0,32750.0
39,2014-10-31,22.0,23.0,22.0,22.5,31500.0,0.0
40,2014-11-03,23.0,23.5,22.7,23.05,28500.0,-23500.0
41,2014-11-04,23.5,23.5,22.5,23.0,15600.0,2300.0
42,2014-11-05,23.0,23.0,22.8,22.9,7400.0,9120.0
43,2014-11-06,22.9,23.0,22.6,22.6,22100.0,0.0
44,2014-11-07,22.5,22.5,21.55,22.1,72000.0,28600.0
45,2014-11-10,22.1,22.75,21.6,22.5,69500.0,0.0
46,2014-11-11,22.0,22.0,21.0,21.75,177100.0,-6450.0
47,2014-11-12,21.75,21.75,21.25,21.5,38500.0,23920.0
48,2014-11-13,21.5,21.7,21.5,21.5,2500.0,4300.0
49,2014-11-14,21.7,21.7,21.25,21.65,36200.0,-96075.0
50,2014-11-17,21.35,21.6,21.3,21.4,27900.0,315480.0
51,2014-11-18,21.25,21.8,21.0,21.35,129500.0,0.0
52,2014-11-19,21.35,21.35,20.5,20.65,74000.0,0.0
53,2014-11-20,20.6,20.6,19.7,20.1,121200.0,69900.0
54,2014-11-21,20.25,20.55,19.7,20.0,55100.0,0.0
55,2014-11-24,19.8,19.8,18.8,19.5,89400.0,9450.0
56,2014-11-25,19.1,19.9,19.1,19.8,64100.0,557072.0
57,2014-11-26,19.6,20.15,19.6,20.0,79900.0,306295.0
58,2014-11-27,19.0,19.2,18.2,19.0,160200.0,141300.0
59,2014-11-28,18.5,19.0,18.3,18.6,74400.0,230870.0
60,2014-12-01,18.5,18.7,18.3,18.4,116000.0,-11640.0
61,2014-12-02,18.46,18.6,18.4,18.48,56100.0,68462.0
62,2014-12-03,18.9,19.0,18.1,18.3,123800.0,54620.0
63,2014-12-04,18.8,18.8,18.2,18.4,30200.0,184000.0
64,2014-12-05,18.5,18.5,18.1,18.4,48000.0,27200.0
65,2014-12-09,18.4,18.4,18.18,18.18,39500.0,110000.0
66,2014-12-10,18.18,18.18,18.1,18.18,28800.0,18180.0
67,2014-12-11,17.8,17.92,17.7,17.7,96400.0,88900.0
68,2014-12-12,17.66,18.3,17.3,18.0,7164100.0,48910766.0
69,2014-12-15,18.0,18.02,17.72,18.02,923300.0,13994834.0
70,2014-12-16,18.18,18.6,17.88,18.14,2356500.0,6120484.0
71,2014-12-17,18.14,18.6,17.92,18.38,2021500.0,9993188.0
72,2014-12-18,18.5,19.5,18.5,19.4,3234600.0,12143602.0
73,2014-12-19,19.5,22.5,19.46,21.8,8460400.0,18576769.0
74,2014-12-22,22.2,23.9,21.1,23.45,5367600.0,13272145.0
75,2014-12-23,23.7,24.95,23.1,24.95,5496200.0,15416300.0
76,2014-12-29,25.0,25.5,24.15,24.55,1737500.0,4124125.0
77,2015-01-05,24.0,24.6,23.3,24.5,1726800.0,8158490.0
78,2015-01-06,24.25,26.5,23.35,26.4,6057500.0,9628545.0
79,2015-01-07,26.4,26.4,25.5,25.5,3008100.0,8618725.0
80,2015-01-08,25.5,26.1,24.35,25.45,4668500.0,26828985.0
81,2015-01-09,25.5,27.7,25.5,27.3,3344400.0,5320080.0
82,2015-01-12,27.3,28.5,27.0,27.15,4622100.0,11484830.0
