,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,1.28,1.28,1.24,1.26,54000.0,0.0
1,2006-08-02,1.24,1.24,1.24,1.24,3000.0,0.0
2,2006-08-03,1.28,1.28,1.26,1.26,109000.0,0.0
3,2006-08-04,1.26,1.26,1.26,1.26,71000.0,0.0
4,2006-08-07,1.1,1.1,1.1,1.1,36000.0,0.0
5,2006-08-08,1.04,1.1,1.04,1.1,169000.0,0.0
6,2006-08-09,1.1,1.1,1.1,1.1,95000.0,0.0
7,2006-08-10,1.1,1.1,1.04,1.04,172000.0,0.0
8,2006-08-11,1.1,1.1,1.1,1.1,147000.0,0.0
9,2006-08-14,1.1,1.1,1.1,1.1,109000.0,0.0
10,2006-08-16,1.1,1.1,1.1,1.1,89000.0,0.0
11,2006-08-17,1.1,1.1,1.1,1.1,114000.0,0.0
12,2006-12-05,1.0,1.0,1.0,1.0,50000.0,0.0
13,2006-12-06,1.02,1.02,1.02,1.02,20000.0,0.0
14,2006-12-08,1.0,1.0,1.0,1.0,83000.0,0.0
15,2006-12-12,1.0,1.0,1.0,1.0,100000.0,0.0
16,2006-12-14,1.0,1.0,1.0,1.0,20000.0,0.0
17,2006-12-15,1.02,1.02,1.02,1.02,20000.0,0.0
18,2006-12-19,1.04,1.04,1.04,1.04,5000.0,0.0
19,2006-12-21,1.02,1.04,1.02,1.04,50000.0,0.0
20,2006-12-27,1.04,1.04,1.04,1.04,1000.0,0.0
21,2006-12-28,1.04,1.04,1.04,1.04,11000.0,0.0
22,2006-12-29,1.04,1.04,1.04,1.04,50000.0,0.0
23,2006-11-02,1.0,1.0,1.0,1.0,110000.0,0.0
24,2006-11-03,1.0,1.0,1.0,1.0,50000.0,0.0
25,2006-11-06,1.0,1.0,1.0,1.0,50000.0,0.0
26,2006-11-07,1.0,1.0,1.0,1.0,60000.0,0.0
27,2006-11-08,1.02,1.02,1.02,1.02,40000.0,0.0
28,2006-11-09,1.0,1.02,1.0,1.02,109000.0,0.0
29,2006-11-10,1.02,1.02,1.02,1.02,111000.0,0.0
30,2006-11-13,1.02,1.02,1.02,1.02,9000.0,0.0
31,2006-11-15,1.0,1.0,1.0,1.0,1000.0,0.0
32,2006-11-17,0.98,1.0,0.98,1.0,80000.0,0.0
33,2006-11-20,1.06,1.06,1.06,1.06,50000.0,0.0
34,2006-11-21,1.0,1.0,1.0,1.0,71000.0,0.0
35,2006-11-22,1.06,1.06,1.06,1.06,50000.0,0.0
36,2006-11-23,1.02,1.02,1.02,1.02,28000.0,0.0
37,2006-11-24,1.04,1.06,1.04,1.06,37000.0,0.0
38,2006-11-27,1.02,1.02,1.02,1.02,15000.0,0.0
39,2006-11-30,1.0,1.0,1.0,1.0,12000.0,0.0
40,2006-10-06,1.0,1.0,1.0,1.0,110000.0,0.0
41,2006-10-10,1.0,1.0,1.0,1.0,140000.0,0.0
42,2006-10-11,1.0,1.0,1.0,1.0,210000.0,0.0
43,2006-10-12,1.0,1.0,1.0,1.0,160000.0,0.0
44,2006-10-13,1.0,1.0,1.0,1.0,110000.0,0.0
45,2006-10-16,1.0,1.0,1.0,1.0,230000.0,0.0
46,2006-10-17,1.0,1.0,1.0,1.0,320000.0,0.0
47,2006-10-18,1.0,1.0,1.0,1.0,100000.0,0.0
48,2006-10-19,1.0,1.02,1.0,1.02,40000.0,0.0
49,2006-10-20,1.0,1.0,1.0,1.0,27000.0,0.0
50,2006-10-23,1.0,1.0,1.0,1.0,160000.0,0.0
51,2006-10-25,1.0,1.02,1.0,1.0,330000.0,0.0
52,2006-10-26,1.0,1.0,1.0,1.0,20000.0,0.0
53,2006-10-27,1.0,1.0,1.0,1.0,170000.0,0.0
54,2006-10-30,1.0,1.0,1.0,1.0,30000.0,0.0
55,2006-10-31,1.0,1.0,1.0,1.0,90000.0,0.0
56,2006-09-04,1.08,1.08,1.08,1.08,10000.0,0.0
57,2006-09-07,1.06,1.08,1.06,1.08,11000.0,0.0
58,2006-09-11,1.06,1.06,1.06,1.06,4000.0,0.0
59,2006-09-13,1.0,1.0,1.0,1.0,14000.0,0.0
60,2006-09-15,1.02,1.02,1.0,1.0,320000.0,0.0
61,2006-09-18,1.0,1.0,1.0,1.0,40000.0,0.0
62,2006-09-19,1.0,1.0,1.0,1.0,10000.0,0.0
63,2006-09-21,1.0,1.0,1.0,1.0,70000.0,0.0
64,2006-09-22,1.02,1.02,1.0,1.0,130000.0,0.0
65,2006-09-25,1.0,1.0,1.0,1.0,120000.0,0.0
66,2007-04-02,1.02,1.02,1.02,1.02,2000.0,0.0
67,2007-04-03,1.04,1.04,1.04,1.04,10000.0,0.0
68,2007-04-04,1.04,1.04,1.04,1.04,76000.0,0.0
69,2007-04-13,1.04,1.04,1.02,1.02,42000.0,0.0
70,2007-04-17,1.02,1.02,1.02,1.02,5000.0,0.0
71,2007-04-19,1.04,1.04,1.04,1.04,31000.0,0.0
72,2007-04-20,1.04,1.04,1.04,1.04,269000.0,0.0
73,2007-04-23,1.06,1.06,1.06,1.06,120000.0,0.0
74,2007-04-24,1.06,1.06,1.06,1.06,24000.0,0.0
75,2007-04-26,1.02,1.02,1.02,1.02,60000.0,0.0
76,2007-04-27,1.02,1.02,1.02,1.02,112000.0,0.0
77,2007-04-30,1.04,1.06,1.04,1.06,5000.0,0.0
78,2007-08-01,1.06,1.06,1.04,1.04,60000.0,0.0
79,2007-08-02,1.06,1.06,1.04,1.04,142000.0,0.0
80,2007-08-06,1.0,1.0,0.91,0.91,115000.0,0.0
81,2007-08-07,1.04,1.04,1.04,1.04,10000.0,0.0
82,2007-08-08,1.04,1.04,1.04,1.04,50000.0,0.0
83,2007-08-09,1.04,1.04,1.04,1.04,1000.0,0.0
84,2007-08-10,1.02,1.02,0.99,0.99,140000.0,0.0
85,2007-08-15,0.95,0.95,0.95,0.95,60000.0,0.0
86,2007-08-28,0.95,0.95,0.95,0.95,470000.0,0.0
87,2007-12-03,1.0,1.0,1.0,1.0,10000.0,0.0
88,2007-12-05,0.9,0.9,0.9,0.9,20000.0,0.0
89,2007-12-06,0.92,0.92,0.9,0.9,190000.0,0.0
90,2007-12-07,0.86,0.86,0.86,0.86,20000.0,0.0
91,2007-12-11,0.88,0.88,0.88,0.88,170000.0,0.0
92,2007-12-12,0.88,0.88,0.86,0.86,260000.0,0.0
93,2007-12-17,0.86,0.86,0.86,0.86,20000.0,0.0
94,2007-12-20,0.95,0.95,0.95,0.95,30000.0,0.0
95,2007-12-26,0.95,0.95,0.95,0.95,10000.0,0.0
96,2007-12-28,0.9,0.9,0.86,0.86,80000.0,0.0
97,2007-02-06,1.04,1.04,1.04,1.04,110000.0,0.0
98,2007-02-07,1.02,1.02,1.02,1.02,40000.0,0.0
99,2007-02-09,1.0,1.02,1.0,1.02,58000.0,0.0
100,2007-02-13,1.02,1.02,1.02,1.02,144000.0,0.0
101,2007-02-14,1.04,1.04,1.04,1.04,62000.0,0.0
102,2007-02-15,1.04,1.04,1.04,1.04,215000.0,0.0
103,2007-02-19,1.04,1.04,1.04,1.04,130000.0,0.0
104,2007-02-20,1.04,1.04,1.04,1.04,15000.0,0.0
105,2007-02-21,1.08,1.08,1.08,1.08,2000.0,0.0
106,2007-02-22,1.08,1.14,1.08,1.14,304000.0,0.0
107,2007-02-23,1.14,1.14,1.14,1.14,35000.0,0.0
108,2007-02-26,1.14,1.14,1.14,1.14,6000.0,0.0
109,2007-02-27,1.14,1.14,1.14,1.14,30000.0,0.0
110,2007-01-02,0.99,1.0,0.99,1.0,7000.0,0.0
111,2007-01-05,1.0,1.0,1.0,1.0,30000.0,0.0
112,2007-01-08,1.0,1.0,1.0,1.0,40000.0,0.0
113,2007-01-12,1.0,1.0,1.0,1.0,30000.0,0.0
114,2007-01-15,1.0,1.0,1.0,1.0,110000.0,0.0
115,2007-01-17,1.0,1.0,1.0,1.0,50000.0,0.0
116,2007-01-19,1.02,1.04,1.02,1.04,40000.0,0.0
117,2007-01-22,1.0,1.0,1.0,1.0,4000.0,0.0
118,2007-01-23,0.98,0.98,0.98,0.98,10000.0,0.0
119,2007-07-02,1.06,1.06,1.06,1.06,28000.0,0.0
120,2007-07-04,1.12,1.12,1.12,1.12,10000.0,0.0
121,2007-07-05,1.02,1.02,1.02,1.02,2000.0,0.0
122,2007-07-09,1.04,1.04,1.04,1.04,39000.0,0.0
123,2007-07-10,1.08,1.08,1.08,1.08,4000.0,0.0
124,2007-07-11,1.04,1.04,1.04,1.04,12000.0,0.0
125,2007-07-12,1.04,1.06,1.04,1.06,75000.0,0.0
126,2007-07-17,1.06,1.06,1.06,1.06,121000.0,0.0
127,2007-07-18,1.08,1.08,1.08,1.08,25000.0,0.0
128,2007-07-19,1.08,1.08,1.06,1.06,52000.0,0.0
129,2007-07-23,1.06,1.06,1.06,1.06,12000.0,0.0
130,2007-07-25,1.08,1.08,1.08,1.08,20000.0,0.0
131,2007-07-26,1.1,1.1,1.1,1.1,130000.0,0.0
132,2007-07-27,1.12,1.12,1.08,1.08,274000.0,0.0
133,2007-07-31,1.06,1.06,1.06,1.06,130000.0,0.0
134,2007-06-01,1.02,1.02,1.02,1.02,1000.0,0.0
135,2007-06-04,1.02,1.02,1.02,1.02,5000.0,0.0
136,2007-06-05,1.02,1.02,1.02,1.02,12000.0,0.0
137,2007-06-08,1.04,1.04,1.04,1.04,50000.0,0.0
138,2007-06-12,1.08,1.08,1.08,1.08,1000.0,0.0
139,2007-06-13,1.06,1.06,1.06,1.06,15000.0,0.0
140,2007-06-14,1.06,1.06,1.06,1.06,20000.0,0.0
141,2007-06-15,1.04,1.04,1.04,1.04,27000.0,0.0
142,2007-06-18,1.04,1.04,1.04,1.04,12000.0,0.0
