,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-11,0.014,0.014,0.014,0.014,1000000,0
1,2006-08-16,0.016,0.016,0.016,0.016,1000000,0
2,2006-08-17,0.018,0.018,0.017,0.017,4000000,0
3,2006-12-29,0.016,0.016,0.015,0.015,2500000,0
4,2006-11-10,0.011,0.011,0.011,0.011,2000000,0
5,2006-11-17,0.013,0.013,0.013,0.013,2000000,0
6,2006-11-20,0.015,0.015,0.015,0.015,300000,0
7,2006-11-22,0.016,0.017,0.016,0.017,1300000,0
8,2006-11-23,0.017,0.018,0.017,0.017,400000,0
9,2006-10-04,0.016,0.016,0.016,0.016,1000000,0
10,2006-10-09,0.017,0.017,0.017,0.017,5000000,0
11,2006-10-13,0.017,0.017,0.017,0.017,1000000,0
12,2006-09-01,0.019,0.022,0.019,0.02,6600000,0
13,2006-09-04,0.02,0.021,0.02,0.021,9500000,0
14,2006-09-05,0.02,0.02,0.017,0.017,3100000,0
15,2007-04-02,0.023,0.023,0.023,0.023,5000000,0
16,2007-04-03,0.024,0.024,0.024,0.024,1000000,0
17,2007-04-04,0.024,0.024,0.024,0.024,100000,0
18,2007-04-18,0.015,0.015,0.015,0.015,200000,0
19,2007-04-19,0.022,0.022,0.022,0.022,200000,0
20,2007-04-20,0.032,0.032,0.027,0.028,4900000,0
21,2007-04-23,0.028,0.028,0.027,0.027,3500000,0
22,2007-04-25,0.03,0.03,0.03,0.03,200000,0
23,2007-02-06,0.023,0.023,0.02,0.02,4600000,0
24,2007-02-08,0.02,0.021,0.02,0.021,1000000,0
25,2007-02-09,0.019,0.019,0.019,0.019,4000000,0
26,2007-02-15,0.024,0.024,0.024,0.024,3100000,0
27,2007-02-20,0.025,0.027,0.025,0.027,5700000,0
28,2007-02-22,0.027,0.028,0.027,0.028,1000000,0
29,2007-02-23,0.028,0.028,0.028,0.028,1000000,0
30,2007-02-28,0.021,0.021,0.021,0.021,2000000,0
31,2007-01-18,0.018,0.019,0.018,0.019,1300000,0
32,2007-01-19,0.018,0.018,0.018,0.018,1200000,0
33,2007-01-22,0.017,0.017,0.017,0.017,1000000,0
34,2007-01-24,0.019,0.025,0.019,0.025,6500000,0
35,2007-01-25,0.031,0.034,0.029,0.029,11800000,0
36,2007-01-26,0.027,0.027,0.024,0.024,6700000,0
37,2007-01-30,0.022,0.027,0.022,0.027,800000,0
38,2007-01-31,0.025,0.025,0.025,0.025,1600000,0
39,2007-03-01,0.022,0.022,0.022,0.022,2000000,0
40,2007-03-09,0.023,0.023,0.023,0.023,100000,0
41,2007-03-14,0.022,0.022,0.022,0.022,100000,0
42,2007-03-21,0.021,0.021,0.021,0.021,1000000,0
43,2007-03-23,0.022,0.022,0.022,0.022,500000,0
44,2007-03-26,0.025,0.028,0.025,0.028,8400000,0
45,2007-03-27,0.026,0.026,0.026,0.026,1200000,0
46,2007-03-28,0.026,0.026,0.024,0.024,3900000,0
47,2007-03-29,0.024,0.024,0.024,0.024,1000000,0
48,2007-03-30,0.023,0.023,0.023,0.023,2000000,0
49,2007-05-07,0.024,0.024,0.024,0.024,2000000,0
50,2007-05-08,0.024,0.024,0.024,0.024,400000,0
51,2007-05-09,0.024,0.024,0.021,0.022,5400000,0
52,2007-05-10,0.022,0.022,0.022,0.022,2700000,0
53,2007-05-11,0.021,0.021,0.021,0.021,7800000,0
54,2007-05-16,0.021,0.021,0.021,0.021,800000,0
55,2007-05-18,0.02,0.02,0.02,0.02,3900000,0
